# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.317
metadata : {}


# id : NWRW1800000021.317.1.1
내년 폐기물 자원화 사업에 762억원 쏟기로

내년	내년/NNG
매립가스와	매립/NNG+가스/NNG+와/JC
소각여열	소각/NNG+여열/NNG
회수	회수/NNG
지원사업도	지원/NNG+사업/NNG+도/JX
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.317.2.6
또 폐기물 에너지화 추진을 위해 매립·소각시설 설치에 대한 국고 지원을 점차 줄이고 매립 부과금을 물리는 한편 에너지화시설 조성을 위해 관련 규제도 완화한다.

또	또/MAG
폐기물	폐기물/NNG
에너지화	에너지/NNG+화/XSN
추진을	추진/NNG+을/JKO
위해	위하/VV+아/EC
매립·소각시설	매립/NNG+·/SP+소각/NNG+시설/NNG
설치에	설치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국고	국고/NNG
지원을	지원/NNG+을/JKO
점차	점차/MAG
줄이고	줄이/VV+고/EC
매립	매립/NNG
부과금을	부과금/NNG+을/JKO
물리는	물리/VV+는/ETM
한편	한편/MAG
에너지화시설	에너지/NNG+화/XSN+시설/NNG
조성을	조성/NNG+을/JKO
관련	관련/NNG
규제도	규제/NNG+도/JX
완화한다.	완화/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.317.3.1
정부는 폐기물에너지화 종합대책이 추진되면 2020년까지 △원유 1200만 배럴 대체 효과 △온실가스 834만 t 감축 △폐기물 처리비용 2조9490억 원 절감 등 연간 4조803억 원의 경제 효과와 일자리 5만 개 창출 효과가 있을 것으로 기대하고 있다.

정부는	정부/NNG+는/JX
폐기물에너지화	폐기물/NNG+에너지/NNG+화/XSN
종합대책이	종합/NNG+대책/NNG+이/JKS
추진되면	추진/NNG+되/XSV+면/EC
2020년까지	2020/SN+년/NNB+까지/JX
△원유	△/SW+원유/NNG
1200만	1200/SN+만/NR
배럴	배럴/NNB
대체	대체/NNG
효과	효과/NNG
△온실가스	△/SW+온실가스/NNG
834만	834/SN+만/NR
t	t/SW
감축	감축/NNG
△폐기물	△/SW+폐기물/NNG
처리비용	처리/NNG+비용/NNG
2조9490억	2/SN+조/NR+9490/SN+억/NR
원	원/NNB
절감	절감/NNG
등	등/NNB
연간	연간/NNG
4조803억	4/SN+조/NR+803/SN+억/NR
원의	원/NNB+의/JKG
경제	경제/NNG
효과와	효과/NNG+와/JC
일자리	일자리/NNG
5만	5/SN+만/NR
개	개/NNB
창출	창출/NNG
효과가	효과/NNG+가/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.317.4.1
범지구적 문제인 기후변화에 능동적으로 대처하기 위한 온실가스 통계 구축, 기후변화 적응, 국민실천 지원 등 기후변화 대응 예산도 301억 원에서 393억 원으로 확대했다.

범지구적	범/XPN+지구/NNG+적/XSN
문제인	문제/NNG+이/VCP+ㄴ/ETM
기후변화에	기후/NNG+변화/NNG+에/JKB
능동적으로	능동/NNG+적/XSN+으로/JKB
대처하기	대처/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
온실가스	온실가스/NNG
통계	통계/NNG
구축,	구축/NNG+,/SP
기후변화	기후/NNG+변화/NNG
적응,	적응/NNG+,/SP
국민실천	국민/NNG+실천/NNG
지원	지원/NNG
등	등/NNB
대응	대응/NNG
예산도	예산/NNG+도/JX
301억	301/SN+억/NR
원에서	원/NNB+에서/JKB
393억	393/SN+억/NR
원으로	원/NNB+으로/JKB
확대했다.	확대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.317.4.2
녹색기업에 금융 인센티브를 부여하는 녹색금융 사업에는 12억 원, 미래유망 녹색환경기술의 산업화를 촉진하기 위한 사업에 40억 원을 새로 편성했다.

녹색기업에	녹색/NNG+기업/NNG+에/JKB
금융	금융/NNG
인센티브를	인센티브/NNG+를/JKO
부여하는	부여/NNG+하/XSV+는/ETM
녹색금융	녹색/NNG+금융/NNG
사업에는	사업/NNG+에/JKB+는/JX
12억	12/SN+억/NR
원,	원/NNB+,/SP
미래유망	미래/NNG+유망/NNG
녹색환경기술의	녹색/NNG+환경/NNG+기술/NNG+의/JKG
산업화를	산업/NNG+화/XSN+를/JKO
촉진하기	촉진/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
사업에	사업/NNG+에/JKB
40억	40/SN+억/NR
원을	원/NNB+을/JKO
새로	새로/MAG
편성했다.	편성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.317.5.1
내년도 환경부 예산은 올해 4조282억 원보다 3962억 원(9.8%) 많은 4조4244억 원을 편성했다.

내년도	내년도/NNG
환경부	환경부/NNG
예산은	예산/NNG+은/JX
올해	올해/NNG
4조282억	4/SN+조/NR+282/SN+억/NR
원보다	원/NNB+보다/JKB
3962억	3962/SN+억/NR
원(9.8%)	원/NNB+(/SS+9/SN+./SP+8/SN+%/SW+)/SS
많은	많/VA+은/ETM
4조4244억	4/SN+조/NR+4244/SN+억/NR
원을	원/NNB+을/JKO
편성했다.	편성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.317.5.2
상하수도 부문이 2조3547억 원으로 가장 많은 비중(53.2%)을 차지했다.

상하수도	상하수도/NNG
부문이	부문/NNG+이/JKS
2조3547억	2/SN+조/NR+3547/SN+억/NR
원으로	원/NNB+으로/JKB
가장	가장/MAG
많은	많/VA+은/ETM
비중(53.2%)을	비중/NNG+(/SS+53/SN+./SP+2/SN+%/SW+)/SS+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.317.5.3
전국 주요 하천 등의 수질보전 및 생활환경 개선을 위해 하수처리장 개선에 6638억 원, 하수관거 정비에 6304억 원을 배정했다.

전국	전국/NNG
주요	주요/NNG
하천	하천/NNG
등의	등/NNB+의/JKG
수질보전	수질/NNG+보전/NNG
및	및/MAG
생활환경	생활/NNG+환경/NNG
개선을	개선/NNG+을/JKO
위해	위하/VV+아/EC
하수처리장	하수/NNG+처리장/NNG
개선에	개선/NNG+에/JKB
6638억	6638/SN+억/NR
원,	원/NNB+,/SP
하수관거	하수관거/NNG
정비에	정비/NNG+에/JKB
6304억	6304/SN+억/NR
원을	원/NNB+을/JKO
배정했다.	배정/NNG+하/XSV+았/EP+다/EF+./SF


