# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.101
metadata : {}


# id : NWRW1800000045.101.1.1
“문화관광산업은 한국 경제도약을 이끌 성장엔진”

“문화관광산업은	“/SS+문화/NNG+관광/NNG+산업/NNG+은/JX
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000045.101.5.1
그러나 최근 세계경제포럼(WEF)이 발표한 ‘2015년 여행·관광 경쟁력보고서’를 살펴보면 한국의 여행·관광 경쟁력은 일본(9위)은 물론 중국(17위)에도 크게 뒤처지고 있는 실정입니다.

그러나	그러나/MAJ
최근	최근/MAG
세계경제포럼(WEF)이	세계경제포럼/NNP+(/SS+WEF/SL+)/SS+이/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘2015년	‘/SS+2015/SN+년/NNB
여행·관광	여행/NNG+·/SP+관광/NNG
경쟁력보고서’를	경쟁력/NNG+보고서/NNG+’/SS+를/JKO
살펴보면	살펴보/VV+면/EC
한국의	한국/NNP+의/JKG
경쟁력은	경쟁력/NNG+은/JX
일본(9위)은	일본/NNP+(/SS+9/SN+위/NNB+)/SS+은/JX
물론	물론/MAG
중국(17위)에도	중국/NNP+(/SS+17/SN+위/NNB+)/SS+에/JKB+도/JX
크게	크/VA+게/EC
뒤처지고	뒤처지/VV+고/EC
있는	있/VX+는/ETM
실정입니다.	실정/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000045.101.5.2
2013년 세계 25위에서 올해는 29위로 더 추락한 상황입니다.

2013년	2013/SN+년/NNB
세계	세계/NNG
25위에서	25/SN+위/NNB+에서/JKB
올해는	올해/NNG+는/JX
29위로	29/SN+위/NNB+로/JKB
더	더/MAG
추락한	추락/NNG+하/XSV+ㄴ/ETM
상황입니다.	상황/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000045.101.6.1
이 시점에서 우리가 챙겨야 할 한 가지 답은 관광산업을 ‘문화융성’을 기반으로 하여 ‘창조성’과 결합하는 데서 찾을 수 있을 것으로 보입니다.

이	이/MMD
시점에서	시점/NNG+에서/JKB
우리가	우리/NP+가/JKS
챙겨야	챙기/VV+어야/EC
할	하/VX+ㄹ/ETM
한	한/MMN
가지	가지/NNB
답은	답/NNG+은/JX
관광산업을	관광/NNG+산업/NNG+을/JKO
‘문화융성’을	‘/SS+문화/NNG+융성/NNG+’/SS+을/JKO
기반으로	기반/NNG+으로/JKB
하여	하/VV+아/EC
‘창조성’과	‘/SS+창조/NNG+성/XSN+’/SS+과/JKB
결합하는	결합/NNG+하/XSV+는/ETM
데서	데/NNB+서/JKB
찾을	찾/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보입니다.	보이/VV+ㅂ니다/EF+./SF


# id : NWRW1800000045.101.6.2
문화는 언어와 국경을 넘어 세계인을 하나로 만들고 열광하게 하며 가치를 공유하도록 하는 강력한 힘을 갖고 있어 문화관광산업에 창조성이 가미된다면 국가경쟁력의 진정한 핵심원천이 될 것입니다.

문화는	문화/NNG+는/JX
언어와	언어/NNG+와/JC
국경을	국경/NNG+을/JKO
넘어	넘/VV+어/EC
세계인을	세계인/NNG+을/JKO
하나로	하나/NR+로/JKB
만들고	만들/VV+고/EC
열광하게	열광/NNG+하/XSV+게/EC
하며	하/VX+며/EC
가치를	가치/NNG+를/JKO
공유하도록	공유/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
힘을	힘/NNG+을/JKO
갖고	갖/VV+고/EC
있어	있/VX+어/EC
문화관광산업에	문화/NNG+관광/NNG+산업/NNG+에/JKB
창조성이	창조/NNG+성/XSN+이/JKS
가미된다면	가미/NNG+되/XSV+ㄴ다면/EC
국가경쟁력의	국가/NNG+경쟁력/NNG+의/JKG
진정한	진정하/VA+ㄴ/ETM
핵심원천이	핵심/NNG+원천/NNG+이/JKC
될	되/VV+ㄹ/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000045.101.7.1
문화관광산업은 창조적 융합산업입니다.

문화관광산업은	문화/NNG+관광/NNG+산업/NNG+은/JX
창조적	창조/NNG+적/XSN
융합산업입니다.	융합/NNG+산업/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000045.101.7.2
전통적인 관광산업이 여행업, 식음료업, 쇼핑업 등에 국한되어 있었다면 이제 점차 다른 산업들과 융합하여 스포츠, 교육, 의료, 한류, 농업, 정보기술 등 모든 분야가 관광자원화되고 있습니다.

전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
관광산업이	관광/NNG+산업/NNG+이/JKS
여행업,	여행업/NNG+,/SP
식음료업,	식음료업/NNG+,/SP
쇼핑업	쇼핑업/NNG
등에	등/NNB+에/JKB
국한되어	국한/NNG+되/XSV+어/EC
있었다면	있/VX+었/EP+다면/EC
이제	이제/MAG
점차	점차/MAG
다른	다른/MMD
산업들과	산업/NNG+들/XSN+과/JKB
융합하여	융합/NNG+하/XSV+아/EC
스포츠,	스포츠/NNG+,/SP
교육,	교육/NNG+,/SP
의료,	의료/NNG+,/SP
한류,	한류/NNG+,/SP
농업,	농업/NNG+,/SP
정보기술	정보/NNG+기술/NNG
등	등/NNB
모든	모든/MMN
분야가	분야/NNG+가/JKS
관광자원화되고	관광/NNG+자원/NNG+화/XSN+되/XSV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000045.101.7.3
이러한 다양한 산업들을 창조적이고 융합적으로 결합하여 관광상품화하고 경쟁력을 키워야 문화관광산업이 우리 경제의 도약을 이끌 성장엔진으로서의 새로운 면모를 갖게 될 것입니다.

이러한	이러하/VA+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
산업들을	산업/NNG+들/XSN+을/JKO
창조적이고	창조/NNG+적/XSN+이/VCP+고/EC
융합적으로	융합/NNG+적/XSN+으로/JKB
결합하여	결합/NNG+하/XSV+아/EC
관광상품화하고	관광/NNG+상품/NNG+화/XSN+하/XSV+고/EC
경쟁력을	경쟁력/NNG+을/JKO
키워야	키우/VV+어야/EC
문화관광산업이	문화/NNG+관광/NNG+산업/NNG+이/JKS
우리	우리/NP
경제의	경제/NNG+의/JKG
도약을	도약/NNG+을/JKO
이끌	이끌/VV+ㄹ/ETM
성장엔진으로서의	성장/NNG+엔진/NNG+으로서/JKB+의/JKG
새로운	새롭/VA+ㄴ/ETM
면모를	면모/NNG+를/JKO
갖게	갖/VV+게/EC
될	되/VV+ㄹ/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000045.101.8.1
제조업에서는 더 이상 양질의 일자리가 만들어지지 않고 있습니다.

제조업에서는	제조업/NNG+에서/JKB+는/JX
더	더/MAG
이상	이상/NNG
양질의	양질/NNG+의/JKG
일자리가	일자리/NNG+가/JKS
만들어지지	만들/VV+어/EC+지/VX+지/EC
않고	않/VX+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000045.101.8.2
이제 고용의 증가는 문화와 관광을 기반으로 한 새로운 사업에서 만들어지게 될 것입니다.

이제	이제/MAG
고용의	고용/NNG+의/JKG
증가는	증가/NNG+는/JX
문화와	문화/NNG+와/JC
관광을	관광/NNG+을/JKO
기반으로	기반/NNG+으로/JKB
한	하/VV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
사업에서	사업/NNG+에서/JKB
만들어지게	만들/VV+어/EC+지/VX+게/EC
될	되/VV+ㄹ/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000045.101.9.1
문화융성의 시대에 문화관광산업 부분의 선구자 역할을 하고 계신 오늘 수상 기업 및 공로자분들이 앞으로 우리나라 문화관광산업의 발전에 더욱 중요한 역할을 해주실 것을 믿어 의심치 않습니다.

문화융성의	문화/NNG+융성/NNG+의/JKG
시대에	시대/NNG+에/JKB
문화관광산업	문화/NNG+관광/NNG+산업/NNG
부분의	부분/NNG+의/JKG
선구자	선구자/NNG
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
계신	계시/VX+ㄴ/ETM
오늘	오늘/NNG
수상	수상/NNG
기업	기업/NNG
및	및/MAG
공로자분들이	공로자/NNG+분/NNB+들/XSN+이/JKS
앞으로	앞/NNG+으로/JKB
우리나라	우리나라/NNG
문화관광산업의	문화/NNG+관광/NNG+산업/NNG+의/JKG
발전에	발전/NNG+에/JKB
더욱	더욱/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
해주실	하/VV+아/EC+주/VX+시/EP+ㄹ/ETM
것을	것/NNB+을/JKO
믿어	믿/VV+어/EC
의심치	의심/NNG+하/XSV+지/EC
않습니다.	않/VX+습니다/EF+./SF


# id : NWRW1800000045.101.9.2
내년에는 국내 문화관광산업이 더욱 발전하여 많은 기업들이 수상의 기쁨을 같이 누릴 수 있기를 기원합니다.

내년에는	내년/NNG+에/JKB+는/JX
국내	국내/NNG
문화관광산업이	문화/NNG+관광/NNG+산업/NNG+이/JKS
더욱	더욱/MAG
발전하여	발전/NNG+하/XSV+아/EC
많은	많/VA+은/ETM
기업들이	기업/NNG+들/XSN+이/JKS
수상의	수상/NNG+의/JKG
기쁨을	기쁨/NNG+을/JKO
같이	같이/MAG
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있기를	있/VA+기/ETN+를/JKO
기원합니다.	기원/NNG+하/XSV+ㅂ니다/EF+./SF


