# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.42
metadata : {}


# id : NWRW1800000046.42.1.1
'여객기 3强'으로 날아오른 중국

'여객기	'/SS+여객기/NNG
중국이 자체 여객기 개발에 나선 것도 내수 시장이 충분하기 때문이다.

중국이	중국/NNP+이/JKS
자체	자체/NNG
여객기	여객기/NNG
개발에	개발/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것도	것/NNB+도/JX
내수	내수/NNG
시장이	시장/NNG+이/JKS
충분하기	충분하/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.42.7.4
지난 4월 리자샹(李家祥) 민용항공국장은 "중국 모든 지방을 항공망으로 연결하기 위해 앞으로 매년 공항 100개를 건설해 2030년까지 2000여 개를 확보할 계획"이라고 말했다.

지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
리자샹(李家祥)	리자샹/NNP+(/SS+李家祥/SH+)/SS
민용항공국장은	민용/NNG+항공국장/NNG+은/JX
"중국	"/SS+중국/NNP
모든	모든/MMN
지방을	지방/NNG+을/JKO
항공망으로	항공망/NNG+으로/JKB
연결하기	연결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
앞으로	앞/NNG+으로/JKB
매년	매년/MAG
공항	공항/NNG
100개를	100/SN+개/NNB+를/JKO
건설해	건설/NNG+하/XSV+아/EC
2030년까지	2030/SN+년/NNB+까지/JX
2000여	2000/SN+여/XSN
개를	개/NNB+를/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.42.7.5
현재 중국의 공항은 400여 개다.

현재	현재/MAG
중국의	중국/NNP+의/JKG
공항은	공항/NNG+은/JX
400여	400/SN+여/XSN
개다.	개/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.42.7.6
중국은 여객기 개발과 공항 확대를 양 날개로 '항공 굴기(?起)'를 본격화하고 있다.

중국은	중국/NNP+은/JX
여객기	여객기/NNG
개발과	개발/NNG+과/JC
공항	공항/NNG
확대를	확대/NNG+를/JKO
양	양/MMN
날개로	날개/NNG+로/JKB
'항공	'/SS+항공/NNG
굴기(?起)'를	굴기/NNG+(/SS+?/NA+起/SH+)/SS+'/SS+를/JKO
본격화하고	본격/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


