# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.67
metadata : {}


# id : NWRW1800000037.67.1.1
[Food&Dining 3.0]까다로운 품질 관리기준 적용, 컵 커피 시장의 고급화 주도

[Food&Dining	[/SS+Food/SL+&/SW+Dining/SL
그는 “바리스타 제품의 프리미엄 이미지와 전문성을 부각할 수 있도록 온오프라인에서 다양한 행사를 마련해 고객들의 적극적인 참여도 유도할 계획”이라고 덧붙였다.

그는	그/NP+는/JX
“바리스타	“/SS+바리스타/NNP
제품의	제품/NNG+의/JKG
프리미엄	프리미엄/NNG
이미지와	이미지/NNG+와/JC
전문성을	전문/NNG+성/XSN+을/JKO
부각할	부각/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
온오프라인에서	온오프라인/NNG+에서/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
행사를	행사/NNG+를/JKO
마련해	마련/NNG+하/XSV+아/EC
고객들의	고객/NNG+들/XSN+의/JKG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
참여도	참여/NNG+도/JX
유도할	유도/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


