# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.281
metadata : {}


# id : NWRW1800000032.281.1.1
‘자립생활 꿈’ 휠체어에 싣고 떠난 ‘스마일맨’

‘자립생활	‘/SS+자립/NNG+생활/NNG
홀로서기를	홀로서기/NNG+를/JKO
준비해왔다.	준비/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.281.7.1
김씨는 특히 장애인들이 시설이 아닌 ‘동네’에서 사람들과 어울려 살 수 있도록 하자는 ‘탈시설 및 주거권 대책마련 운동’에 헌신해왔다.

김씨는	김/NNP+씨/NNB+는/JX
특히	특히/MAG
장애인들이	장애인/NNG+들/XSN+이/JKS
시설이	시설/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
‘동네’에서	‘/SS+동네/NNG+’/SS+에서/JKB
사람들과	사람/NNG+들/XSN+과/JKB
어울려	어울리/VV+어/EC
살	살/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하자는	하/VX+자는/ETM
‘탈시설	‘/SS+탈/XPN+시설/NNG
및	및/MAG
주거권	주거/NNG+권/XSN
대책마련	대책/NNG+마련/NNG
운동’에	운동/NNG+’/SS+에/JKB
헌신해왔다.	헌신/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.281.7.2
지난해부터 동료들과 함께 경산시를 상대로 50일 동안 1인시위를 벌였고, 숨지기 바로 전날에는 경산시로부터 자립주거공간 지원 약속을 받아냈다.

지난해부터	지난해/NNG+부터/JX
동료들과	동료/NNG+들/XSN+과/JKB
함께	함께/MAG
경산시를	경산시/NNP+를/JKO
상대로	상대/NNG+로/JKB
50일	50/SN+일/NNB
동안	동안/NNG
1인시위를	1/SN+인/NNG+시위/NNG+를/JKO
벌였고,	벌이/VV+었/EP+고/EC+,/SP
숨지기	숨지/VV+기/ETN
바로	바로/MAG
전날에는	전날/NNG+에/JKB+는/JX
경산시로부터	경산시/NNP+로부터/JKB
자립주거공간	자립/NNG+주거/NNG+공간/NNG
지원	지원/NNG
약속을	약속/NNG+을/JKO
받아냈다.	받/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.281.7.3
그렇게 꿈꾸던 ‘자립’의 조건이 마련됐는데, 하루 만에 세상을 등진 것이다.

그렇게	그렇/VA+게/EC
꿈꾸던	꿈꾸/VV+던/ETM
‘자립’의	‘/SS+자립/NNG+’/SS+의/JKG
조건이	조건/NNG+이/JKS
마련됐는데,	마련/NNG+되/XSV+었/EP+는데/EC+,/SP
하루	하루/NNG
만에	만/NNB+에/JKB
세상을	세상/NNG+을/JKO
등진	등지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.281.8.1
고인은 지난해부터 현병철 국가인권위원장 퇴진, 도가니 사건 해결과 사회복지사업법 개정운동 등 장애인운동뿐만 아니라 한-미 자유무역협정(FTA) 반대운동, 비정규직 처우개선 등 시민사회단체 활동에도 힘을 보탰다.

고인은	고인/NNG+은/JX
지난해부터	지난해/NNG+부터/JX
현병철	현병철/NNP
국가인권위원장	국가/NNG+인권/NNG+위원장/NNG
퇴진,	퇴진/NNG+,/SP
도가니	도가니/NNP
사건	사건/NNG
해결과	해결/NNG+과/JC
사회복지사업법	사회/NNG+복지/NNG+사업법/NNG
개정운동	개정/NNG+운동/NNG
등	등/NNB
장애인운동뿐만	장애인/NNG+운동/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
한-미	한-미/NNP
자유무역협정(FTA)	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS
반대운동,	반대/NNG+운동/NNG+,/SP
비정규직	비/XPN+정규직/NNG
처우개선	처우/NNG+개선/NNG
시민사회단체	시민/NNG+사회단체/NNG
활동에도	활동/NNG+에/JKB+도/JX
힘을	힘/NNG+을/JKO
보탰다.	보태/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.281.9.1
고인의 주검은 10일 노제를 치른 뒤 경산의 한 납골당에 안치됐다.

고인의	고인/NNG+의/JKG
주검은	주검/NNG+은/JX
10일	10/SN+일/NNB
노제를	노제/NNG+를/JKO
치른	치르/VV+ㄴ/ETM
뒤	뒤/NNG
경산의	경산/NNP+의/JKG
한	한/MMN
납골당에	납골당/NNG+에/JKB
안치됐다.	안치/NNG+되/XSV+었/EP+다/EF+./SF


