# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.82
metadata : {}


# id : NWRW1800000026.82.1.1
[제14회 LG배 세계기왕전] 양쪽 뺨 맞기

[제14회	[/SS+제/XPN+14/SN+회/NNB
큰	크/VA+ㄴ/ETM
곳임에	곳/NNG+이/VCP+ㅁ/ETN+에/JKB
틀림없다.	틀림없/VA+다/EF+./SF


# id : NWRW1800000026.82.5.4
하지만 지금은 참고도 1이 옳았다.

하지만	하지만/MAJ
지금은	지금/NNG+은/JX
참고도	참고도/NNG
1이	1/SN+이/JKS
옳았다.	옳/VA+았/EP+다/EF+./SF


# id : NWRW1800000026.82.5.5
백은 3으로 받고 있을 수 없어 2로 가야 하는데, 그때 흑3이었으면 역전 무드였다는 데 검토 기사들의 의견이 일치했다.

백은	백/NNG+은/JX
3으로	3/SN+으로/JKB
받고	받/VV+고/EC
있을	있/VX+을/ETM
수	수/NNB
없어	없/VA+어/EC
2로	2/SN+로/JKB
가야	가/VV+아야/EC
하는데,	하/VX+는데/EC+,/SP
그때	그때/NNG
흑3이었으면	흑/NNG+3/SN+이/VCP+었/EP+으면/EC
역전	역전/NNG
무드였다는	무드/NNG+이/VCP+었/EP+다는/ETM
데	데/NNB
검토	검토/NNG
기사들의	기사/NNG+들/XSN+의/JKG
의견이	의견/NNG+이/JKS
일치했다.	일치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.82.6.1
다시 174, 176으로 이어가니 흑은 양쪽 뺨을 모두 얻어맞은 느낌.

다시	다시/MAG
174,	174/SN+,/SP
176으로	176/SN+으로/JKB
이어가니	잇/VV+어/EC+가/VX+니/EC
흑은	흑/NNG+은/JX
양쪽	양쪽/NNG
뺨을	뺨/NNG+을/JKO
모두	모두/MAG
얻어맞은	얻어맞/VV+은/ETM
느낌.	느낌/NNG+./SF


# id : NWRW1800000026.82.6.2
179는 보기보다 꽤 큰 곳이다.

179는	179/SN+는/JX
보기보다	보/VV+기/ETN+보다/JKB
꽤	꽤/MAG
큰	크/VA+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.82.6.3
나중에 '나'의 젖힘까지 보고 있어 약 6집 정도는 족히 된다.

나중에	나중/NNG+에/JKB
'나'의	'/SS+나/NP+'/SS+의/JKG
젖힘까지	젖힘/NNG+까지/JX
보고	보/VV+고/EC
있어	있/VX+어/EC
약	약/MMA
6집	6/SN+집/NNG
정도는	정도/NNG+는/JX
족히	족히/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.82.6.4
180도 이 자리를 흑에게 당하면 훗날 한 수 더 손질이 필요한 곳.

180도	180/SN+도/JX
이	이/MMD
자리를	자리/NNG+를/JKO
흑에게	흑/NNG+에게/JKB
당하면	당하/VV+면/EC
훗날	훗날/NNG
한	한/MMN
수	수/NNB
더	더/MAG
손질이	손질/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
곳.	곳/NNG+./SF


# id : NWRW1800000026.82.6.5
181 치중은 무엇을 노리고 있을까.

181	181/SN
치중은	치중/NNG+은/JX
무엇을	무엇/NP+을/JKO
노리고	노리/VV+고/EC
있을까.	있/VX+을까/EF+./SF


# id : NWRW1800000026.82.6.6
이 바둑은 앞으로도 40여 수가 더 이어지거니와 쌍방 손 떨리는 마지막 드라마가 남아 있었다.

이	이/MMD
바둑은	바둑/NNG+은/JX
앞으로도	앞/NNG+으로/JKB+도/JX
40여	40/SN+여/XSN
수가	수/NNB+가/JKS
더	더/MAG
이어지거니와	이어지/VV+거니와/EC
쌍방	쌍방/NNG
손	손/NNG
떨리는	떨리/VV+는/ETM
마지막	마지막/NNG
드라마가	드라마/NNG+가/JKS
남아	남/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


