# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.437
metadata : {}


# id : NWRW1800000024.437.1.1
토지·주택·전월세 실거래가 공개 추진

토지·주택·전월세	토지/NNG+·/SP+주택/NNG+·/SP+전월세/NNG
정보와	정보/NNG+와/JC
다세대,	다세대/NNG+,/SP
연립	연립/NNG
실거래가를	실거래/NNG+가/XSN+를/JKO
먼저	먼저/MAG
공개하고,	공개/NNG+하/XSV+고/EC+,/SP
2단계로	2/SN+단계/NNG+로/JKB
2011년에	2011/SN+년/NNB+에/JKB
단독,	단독/NNG+,/SP
비주거용	비/XPN+주거/NNG+용/XSN
건축물,	건축물/NNG+,/SP
토지의	토지/NNG+의/JKG
실거래가로	실거래/NNG+가/XSN+로/JKB
공개	공개/NNG
범위를	범위/NNG+를/JKO
넓히기로	넓히/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.437.4.2
3단계인 2012년까지 모든 주택의 전·월세 정보를 추가로 공개하는 방안도 추진한다.

3단계인	3/SN+단계/NNG+이/VCP+ㄴ/ETM
2012년까지	2012/SN+년/NNB+까지/JX
모든	모든/MMN
주택의	주택/NNG+의/JKG
전·월세	전·월세/NNG
정보를	정보/NNG+를/JKO
추가로	추가/NNG+로/JKB
공개하는	공개/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.437.5.1
전·월세 실거래가 공개를 위해서는 주택임대차보호법상 확정일자 제도를 이용해 읍·면·동 사무소에서 직접 전·월세 가격을 입력하거나 공인중개사가 거래 정보를 입력하도록 법률을 개정하는 방안을 검토중이다.

전·월세	전·월세/NNG
실거래가	실거래/NNG+가/XSN
공개를	공개/NNG+를/JKO
위해서는	위하/VV+아서/EC+는/JX
주택임대차보호법상	주택/NNG+임대차/NNG+보호법/NNG+상/XSN
확정일자	확정/NNG+일자/NNG
제도를	제도/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
읍·면·동	읍·면·동/NNG
사무소에서	사무소/NNG+에서/JKB
직접	직접/MAG
가격을	가격/NNG+을/JKO
입력하거나	입력/NNG+하/XSV+거나/EC
공인중개사가	공인/NNG+중개사/NNG+가/JKS
거래	거래/NNG
정보를	정보/NNG+를/JKO
입력하도록	입력/NNG+하/XSV+도록/EC
법률을	법률/NNG+을/JKO
개정하는	개정/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토중이다.	검토/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.437.6.1
국토부는 또 수집한 실거래가 정보를 정부와 공공업무, 공익목적의 연구기관, 민간기업 연구기관, 부동산정보업체 등 민간기업 등 4개 그룹으로 분류해 이용 목적 등에 따라 제공하는 방안도 마련하고 있다.

국토부는	국토부/NNG+는/JX
또	또/MAG
수집한	수집/NNG+하/XSV+ㄴ/ETM
실거래가	실거래/NNG+가/XSN
정보를	정보/NNG+를/JKO
정부와	정부/NNG+와/JC
공공업무,	공공/NNG+업무/NNG+,/SP
공익목적의	공익/NNG+목적/NNG+의/JKG
연구기관,	연구/NNG+기관/NNG+,/SP
민간기업	민간/NNG+기업/NNG
부동산정보업체	부동산/NNG+정보업체/NNG
등	등/NNB
4개	4/SN+개/NNB
그룹으로	그룹/NNG+으로/JKB
분류해	분류/NNG+하/XSV+아/EC
이용	이용/NNG
목적	목적/NNG
등에	등/NNB+에/JKB
따라	따르/VV+아/EC
제공하는	제공/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
마련하고	마련/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.437.7.1
정부는 또 부동산 거래 신고제와 검인제를 하나로 통합할 방침이다.

정부는	정부/NNG+는/JX
또	또/MAG
부동산	부동산/NNG
거래	거래/NNG
신고제와	신고/NNG+제/XSN+와/JC
검인제를	검인/NNG+제/XSN+를/JKO
하나로	하나/NR+로/JKB
통합할	통합/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.437.7.2
현재 부동산 거래에서 매매계약은 실거래가 신고 대상인 반면 교환, 증여, 신탁, 해지, 준공 전 분양 등은 기초자치단체의 검인 대상으로 이원화돼 있다.

현재	현재/MAG
부동산	부동산/NNG
거래에서	거래/NNG+에서/JKB
매매계약은	매매/NNG+계약/NNG+은/JX
실거래가	실거래/NNG+가/JKS
신고	신고/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
반면	반면/NNG
교환,	교환/NNG+,/SP
증여,	증여/NNG+,/SP
신탁,	신탁/NNG+,/SP
해지,	해지/NNG+,/SP
준공	준공/NNG
전	전/MMD
분양	분양/NNG
등은	등/NNB+은/JX
기초자치단체의	기초/NNG+자치/NNG+단체/NNG+의/JKG
검인	검인/NNG
대상으로	대상/NNG+으로/JKB
이원화돼	이원/NNG+화/XSN+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.437.7.3
국토부는 25일 한국토지주택공사 분당 정자동 사옥에서 ‘부동산거래관리시스템 미래발전전략’ 공개토론회를 열어 전문가들의 의견을 모은 뒤 내년부터 본격적인 제도 개선에 착수하기로 했다.

국토부는	국토부/NNG+는/JX
25일	25/SN+일/NNB
한국토지주택공사	한국토지주택공사/NNP
분당	분당/NNP
정자동	정자동/NNP
사옥에서	사옥/NNG+에서/JKB
‘부동산거래관리시스템	‘/SS+부동산/NNG+거래/NNG+관리/NNG+시스템/NNG
미래발전전략’	미래/NNG+발전/NNG+전략/NNG+’/SS
공개토론회를	공개/NNG+토론회/NNG+를/JKO
열어	열/VV+어/EC
전문가들의	전문가/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
모은	모으/VV+ㄴ/ETM
뒤	뒤/NNG
내년부터	내년/NNG+부터/JX
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
제도	제도/NNG
개선에	개선/NNG+에/JKB
착수하기로	착수/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


