# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.182
metadata : {}


# id : NWRW1800000048.182.1.1
‘현존 가장 오래된 먹조각’ 보물 됐다

‘현존	‘/SS+현존/NNG
도구인	도구/NNG+이/VCP+ㄴ/ETM
먹이	먹/NNG+이/JKS
국가지정문화재가	국가/NNG+지정/NNG+문화재/NNG+가/JKC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.182.6.1
8월 보물로 지정 예고됐던 이 먹조각은 길이 11.2㎝, 너비 4㎝, 두께 0.9㎝다.

8월	8/SN+월/NNB
보물로	보물/NNG+로/JKB
지정	지정/NNG
예고됐던	예고/NNG+되/XSV+었/EP+던/ETM
이	이/MMD
먹조각은	먹/NNG+조각/NNG+은/JX
길이	길이/NNG
11.2㎝,	11/SN+./SP+2/SN+㎝/SW+,/SP
너비	너비/NNG
4㎝,	4/SN+㎝/SW+,/SP
두께	두께/NNG
0.9㎝다.	0/SN+./SP+9/SN+㎝/SW+이/VCP+다/EF+./SF


# id : NWRW1800000048.182.6.2
앞면에는 직사각형 안에 ‘단산오옥(丹山烏玉)’으로 판독되는 명칭을 쓰고 주위에 물결무늬를 새겼다.

앞면에는	앞면/NNG+에/JKB+는/JX
직사각형	직사각형/NNG
안에	안/NNG+에/JKB
‘단산오옥(丹山烏玉)’으로	‘/SS+단산오옥/NNG+(/SS+丹山烏玉/SH+)/SS+’/SS+으로/JKB
판독되는	판독/NNG+되/XSV+는/ETM
명칭을	명칭/NNG+을/JKO
쓰고	쓰/VV+고/EC
주위에	주위/NNG+에/JKB
물결무늬를	물결/NNG+무늬/NNG+를/JKO
새겼다.	새기/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.182.6.3
뒷면에는 용이 날아오르는 모습을 표현한 비룡문(飛龍文)을 볼 수 있다.

뒷면에는	뒷면/NNG+에/JKB+는/JX
용이	용/NNG+이/JKS
날아오르는	날아오르/VV+는/ETM
모습을	모습/NNG+을/JKO
표현한	표현/NNG+하/XSV+ㄴ/ETM
비룡문(飛龍文)을	비룡문/NNG+(/SS+飛龍文/SH+)/SS+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.182.6.4
1998년 청주 명암동 동부우회도로 건설공사 때 드러난 고려시대 목관묘 안에서 발견됐다.

1998년	1998/SN+년/NNB
청주	청주/NNP
명암동	명암동/NNP
동부우회도로	동부우회도로/NNP
건설공사	건설/NNG+공사/NNG
때	때/NNG
드러난	드러나/VV+ㄴ/ETM
고려시대	고려/NNP+시대/NNG
목관묘	목관묘/NNG
안에서	안/NNG+에서/JKB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.182.6.5
출토 당시 무덤 주인의 머리맡 부근 철제가위 위에 조각난 채 놓여 있었다고 한다.

출토	출토/NNG
당시	당시/NNG
무덤	무덤/NNG
주인의	주인/NNG+의/JKG
머리맡	머리맡/NNG
부근	부근/NNG
철제가위	철제/NNG+가위/NNG
위에	위/NNG+에/JKB
조각난	조각나/VV+ㄴ/ETM
채	채/NNB
놓여	놓이/VV+어/EC
있었다고	있/VX+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.182.6.6
먹에 새긴 글자 가운데 ‘단산’은 11세기 중반부터 14세기 중반까지 쓰인 충북 단양의 옛 지명이다.

먹에	먹/NNG+에/JKB
새긴	새기/VV+ㄴ/ETM
글자	글자/NNG
가운데	가운데/NNG
‘단산’은	‘/SS+단산/NNG+’/SS+은/JX
11세기	11/SN+세기/NNG
중반부터	중반/NNG+부터/JX
14세기	14/SN+세기/NNG
중반까지	중반/NNG+까지/JX
쓰인	쓰이/VV+ㄴ/ETM
충북	충북/NNP
단양의	단양/NNP+의/JKG
옛	옛/MMA
지명이다.	지명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.182.6.7
<세종실록><동국여지승람>을 보면 “먹 중에서 가장 좋은 먹을 단산오옥이라고 한다”고 기록할 만큼 단양에서 생산된 먹은 유명했다.

<세종실록><동국여지승람>을	</SS+세종실록/NNP+>/SS+</SS+동국여지승람/NNP+>/SS+을/JKO
보면	보/VV+면/EC
“먹	“/SS+먹/NNG
중에서	중/NNB+에서/JKB
가장	가장/MAG
좋은	좋/VA+은/ETM
먹을	먹/NNG+을/JKO
단산오옥이라고	단산오옥/NNG+이/VCP+라고/EC
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
기록할	기록/NNG+하/XSV+ㄹ/ETM
만큼	만큼/NNB
단양에서	단양/NNP+에서/JKB
생산된	생산/NNG+되/XSV+ㄴ/ETM
먹은	먹/NNG+은/JX
유명했다.	유명/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000048.182.7.1
문화재청은 “고려 먹의 변화 양상은 물론, 단절된 전통먹 제조법 연구에도 중요한 단서가 될 수 있어 문화재적 가치가 높다”고 평가했다.

문화재청은	문화재청/NNG+은/JX
“고려	“/SS+고려/NNP
먹의	먹/NNG+의/JKG
변화	변화/NNG
양상은	양상/NNG+은/JX
물론,	물론/MAG+,/SP
단절된	단절/NNG+되/XSV+ㄴ/ETM
전통먹	전통/NNG+먹/NNG
제조법	제조법/NNG
연구에도	연구/NNG+에/JKB+도/JX
중요한	중요/NNG+하/XSA+ㄴ/ETM
단서가	단서/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
문화재적	문화재/NNG+적/XSN
가치가	가치/NNG+가/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


