# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.392
metadata : {}


# id : NWRW1800000036.392.1.1
새누리 지도부 “현행 경선룰로 8·20 전대”

새누리	새누리/NNP
하지만 그는 “아직 경선 규칙은 논의를 시작하지도 않았다”고 말했다.

하지만	하지만/MAJ
그는	그/NP+는/JX
“아직	“/SS+아직/MAG
경선	경선/NNG
규칙은	규칙/NNG+은/JX
논의를	논의/NNG+를/JKO
시작하지도	시작/NNG+하/XSV+지/EC+도/JX
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.392.9.1
완전국민경선 도입과 경선 시기 연기를 주장하는 비박 주자들은 반발했다.

완전국민경선	완전/NNG+국민/NNG+경선/NNG
도입과	도입/NNG+과/JC
경선	경선/NNG
시기	시기/NNG
연기를	연기/NNG+를/JKO
주장하는	주장/NNG+하/XSV+는/ETM
비박	비/XPN+박/NNP
주자들은	주자/NNG+들/XSN+은/JX
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.392.9.2
정몽준 전 대표는 이날 여의도 당사에서 기자회견을 열어 ‘경선 규칙 논의 기구가 무산돼도 경선에 참여할 수 있느냐’는 물음에 “그건 어렵다”고 말했다.

정몽준	정몽준/NNP
전	전/MMD
대표는	대표/NNG+는/JX
이날	이날/NNG
여의도	여의도/NNP
당사에서	당사/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
‘경선	‘/SS+경선/NNG
규칙	규칙/NNG
논의	논의/NNG
기구가	기구/NNG+가/JKS
무산돼도	무산/NNG+되/XSV+어도/EC
경선에	경선/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있느냐’는	있/VA+느냐/EF+’/SS+는/ETM
물음에	물음/NNG+에/JKB
“그건	“/SS+그거/NP+ㄴ/JX
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.392.10.1
김문수 경기지사도 완전국민경선제가 안 되면 경선에 불참하겠다는 뜻을 거듭 확인했다.

김문수	김문수/NNP
경기지사도	경기/NNP+지사/NNG+도/JX
완전국민경선제가	완전/NNG+국민/NNG+경선/NNG+제/XSN+가/JKS
안	안/MAG
되면	되/VV+면/EC
경선에	경선/NNG+에/JKB
불참하겠다는	불참/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
거듭	거듭/MAG
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.392.11.1
이재오 의원도 23일 자신의 트위터에 “완전국민경선제 관련 법안의 처리를 위한 ‘원포인트 개원’을 여야 지도부에 제안한다”는 글을 올렸다.

이재오	이재오/NNP
의원도	의원/NNG+도/JX
23일	23/SN+일/NNB
자신의	자신/NNG+의/JKG
트위터에	트위터/NNP+에/JKB
“완전국민경선제	“/SS+완전/NNG+국민/NNG+경선/NNG+제/XSN
관련	관련/NNG
법안의	법안/NNG+의/JKG
처리를	처리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
‘원포인트	‘/SS+원포인트/NNG
개원’을	개원/NNG+’/SS+을/JKO
여야	여야/NNG
지도부에	지도부/NNG+에/JKB
제안한다”는	제안/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
글을	글/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.392.11.2
이 의원의 한 측근은 “요구가 아무것도 받아들여지지 않은 상황에서 무슨 명분으로 경선에 참여하겠느냐”며 “이 의원이 민생투어가 끝나는 7월4일께 참여 여부에 관한 결심을 밝힐 수도 있을 것”이라고 말했다.

이	이/NNP
의원의	의원/NNG+의/JKG
한	한/MMN
측근은	측근/NNG+은/JX
“요구가	“/SS+요구/NNG+가/JKS
아무것도	아무것/NNG+도/JX
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
무슨	무슨/MMD
명분으로	명분/NNG+으로/JKB
경선에	경선/NNG+에/JKB
참여하겠느냐”며	참여/NNG+하/XSV+겠/EP+느냐/EF+”/SS+며/EC
“이	“/SS+이/NNP
의원이	의원/NNG+이/JKS
민생투어가	민생/NNG+투어/NNG+가/JKS
끝나는	끝나/VV+는/ETM
7월4일께	7/SN+월/NNB+4/SN+일/NNB+께/XSN
참여	참여/NNG
여부에	여부/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
결심을	결심/NNG+을/JKO
밝힐	밝히/VV+ㄹ/ETM
수도	수/NNB+도/JX
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


