# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.338
metadata : {}


# id : NWRW1800000049.338.1.1
[단독]5시 넘으면 ‘눈치’… 말뿐인 종일보육

[단독]5시	[/SS+단독/NNG+]/SS+5/SN+시/NNB
전국	전국/NNG
어린이집은	어린이집/NNG+은/JX
설문을	설문/NNG+을/JKO
통해	통하/VV+아/EC
학부모들이	학부모/NNG+들/XSN+이/JKS
원하는	원/NNG+하/XSV+는/ETM
종일반,	종일반/NNG+,/SP
맞춤반	맞춤/NNG+반/NNG
운영	운영/NNG
시간을	시간/NNG+을/JKO
조사해	조사/NNG+하/XSV+아/EC
학부모	학부모/NNG
의견을	의견/NNG+을/JKO
토대로	토대/NNG+로/JKB
어린이집	어린이집/NNG
이용	이용/NNG
시간이	시간/NNG+이/JKS
탄력적으로	탄력/NNG+적/XSN+으로/JKB
적용된	적용/NNG+되/XSV+ㄴ/ETM
운영계획서를	운영/NNG+계획서/NNG+를/JKO
만들고	만들/VV+고/EC
이를	이/NP+를/JKO
시행해야	시행/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.338.4.3
복지부 관계자는 “지침 형식으로 전달한 것이기 때문에 어린이집도 따라야 한다”라며 “이를 어기면 어떤 행정처분을 내릴 수 있는지 검토 중”이라고 말했다.

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
“지침	“/SS+지침/NNG
형식으로	형식/NNG+으로/JKB
전달한	전달/NNG+하/XSV+ㄴ/ETM
것이기	것/NNB+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
어린이집도	어린이집/NNG+도/JX
따라야	따르/VV+아야/EC
한다”라며	하/VX+ㄴ다/EF+”/SS+이/VCP+라며/EC
“이를	“/SS+이/NP+를/JKO
어기면	어기/VV+면/EC
어떤	어떤/MMD
행정처분을	행정/NNG+처분/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EC
검토	검토/NNG
중”이라고	중/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.338.5.1
○ 종일반 아동도 오후 4∼5시 모두 귀가

○	○/SW
종일반	종일반/NNG
아동도	아동/NNG+도/JX
오후	오후/NNG
4∼5시	4/SN+∼/SO+5/SN+시/NNB
모두	모두/MAG
귀가	귀가/NNG


# id : NWRW1800000049.338.6.1
“기대가 많았는데 모든 게 그대로예요.

“기대가	“/SS+기대/NNG+가/JKS
많았는데	많/VA+았/EP+는데/EC
모든	모든/MMN
게	거/NNB+이/JKS
그대로예요.	그대로/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000049.338.6.2
어휴, 이게 누구를 위한 제도인가요?”

어휴,	어휴/IC+,/SP
이게	이거/NP+이/JKS
누구를	누구/NP+를/JKO
위한	위하/VV+ㄴ/ETM
제도인가요?”	제도/NNG+이/VCP+ㄴ가/EF+요/JX+?/SF+”/SS


# id : NWRW1800000049.338.7.1
서울 마포구에 사는 직장인 김모 씨(32·여)의 말이다.

서울	서울/NNP
마포구에	마포구/NNP+에/JKB
사는	살/VV+는/ETM
직장인	직장인/NNG
김모	김/NNP+모/NP
씨(32·여)의	씨/NNB+(/SS+32/SN+·/SP+여/NNG+)/SS+의/JKG
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.338.7.2
오후 5시만 넘으면 김 씨 마음은 다급해진다.

오후	오후/NNG
5시만	5/SN+시/NNB+만/JX
넘으면	넘/VV+으면/EC
김	김/NNP
씨	씨/NNB
마음은	마음/NNG+은/JX
다급해진다.	다급하/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.338.7.3
15개월 된 아들이 어린이집에 혼자 남겨져 있다는 불안감 때문.

15개월	15/SN+개월/NNB
된	되/VV+ㄴ/ETM
아들이	아들/NNG+이/JKS
어린이집에	어린이집/NNG+에/JKB
혼자	혼자/NNG
남겨져	남기/VV+어/EC+지/VX+어/EC
있다는	있/VX+다는/ETM
불안감	불안감/NNG
때문.	때문/NNB+./SF


# id : NWRW1800000049.338.7.4
당초 김 씨는 ‘맞춤형 보육’을 누구보다 반겼다.

당초	당초/NNG
김	김/NNP
씨는	씨/NNB+는/JX
‘맞춤형	‘/SS+맞춤/NNG+형/XSN
보육’을	보육/NNG+’/SS+을/JKO
누구보다	누구/NP+보다/JKB
반겼다.	반기/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.338.7.5
하지만 기대는 곧 실망으로 바뀌었다.

하지만	하지만/MAJ
기대는	기대/NNG+는/JX
곧	곧/MAG
실망으로	실망/NNG+으로/JKB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.338.7.6
김 씨는 “말이 종일반이지 여전히 오후 4, 5시만 되면 아이들을 하원시키고 있다”며 “우리 아이만 7시 반까지 있다 보니, 어린이집 눈치가 보여 다시 이모(보육 여성)를 고용해 오후 5시면 데려오려고 한다”고 말했다.

김	김/NNP
씨는	씨/NNB+는/JX
“말이	“/SS+말/NNG+이/JKS
종일반이지	종일반/NNG+이/VCP+지/EC
여전히	여전히/MAG
오후	오후/NNG
4,	4/SN+,/SP
5시만	5/SN+시/NNB+만/JX
되면	되/VV+면/EC
아이들을	아이/NNG+들/XSN+을/JKO
하원시키고	하원/NNG+시키/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“우리	“/SS+우리/NP
아이만	아이/NNG+만/JX
7시	7/SN+시/NNB
반까지	반/NNG+까지/JX
있다	있/VV+다/EC
보니,	보/VX+니/EC+,/SP
어린이집	어린이집/NNG
눈치가	눈치/NNG+가/JKS
보여	보이/VV+어/EC
다시	다시/MAG
이모(보육	이모/NNG+(/SS+보육/NNG
여성)를	여성/NNG+)/SS+를/JKO
고용해	고용/NNG+하/XSV+아/EC
5시면	5/SN+시/NNB+이/VCP+면/EC
데려오려고	데려오/VV+려고/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.338.7.7
맞춤형 보육 도입 후 취재팀이 찾은 서울 강남의 한 가정어린이집은 종일반 아동이 90%이지만 오후 3시부터 1시간 동안 모든 아이가 귀가했다.

맞춤형	맞춤/NNG+형/XSN
보육	보육/NNG
도입	도입/NNG
후	후/NNG
취재팀이	취재/NNG+팀/NNG+이/JKS
찾은	찾/VV+은/ETM
서울	서울/NNP
강남의	강남/NNP+의/JKG
한	한/MMN
가정어린이집은	가정/NNG+어린이집/NNG+은/JX
종일반	종일반/NNG
아동이	아동/NNG+이/JKS
90%이지만	90/SN+%/SW+이/VCP+지만/EC
오후	오후/NNG
3시부터	3/SN+시/NNB+부터/JX
1시간	1/SN+시간/NNB
동안	동안/NNG
모든	모든/MMN
아이가	아이/NNG+가/JKS
귀가했다.	귀가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.338.8.1
맞춤반을 이용하는 전업주부도 불편함을 호소했다.

맞춤반을	맞춤/NNG+반/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
전업주부도	전업주부/NNG+도/JX
불편함을	불편/NNG+하/XSA+ㅁ/ETN+을/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.338.8.2
2세 딸을 어린이집에 맡기는 전업주부 이모 씨(37)는 “원래는 오전 10시에 아이를 등원시키고 오후 4시에 데려왔다.

2세	2/SN+세/NNB
딸을	딸/NNG+을/JKO
어린이집에	어린이집/NNG+에/JKB
맡기는	맡기/VV+는/ETM
전업주부	전업주부/NNG
이모	이/NNP+모/NP
씨(37)는	씨/NNB+(/SS+37/SN+)/SS+는/JX
“원래는	“/SS+원래/NNG+는/JX
오전	오전/NNG
10시에	10/SN+시/NNB+에/JKB
아이를	아이/NNG+를/JKO
등원시키고	등원/NNG+시키/XSV+고/EC
오후	오후/NNG
4시에	4/SN+시/NNB+에/JKB
데려왔다.	데려오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.338.8.3
어린이집 측에서 ‘불편하지 않으려면 바우처를 써서 오전 9시부터 오후 4시까지 이용하라’고 강요했다”고 말했다.

어린이집	어린이집/NNG
측에서	측/NNB+에서/JKB
‘불편하지	‘/SS+불편/NNG+하/XSA+지/EC
않으려면	않/VX+으려면/EC
바우처를	바우처/NNG+를/JKO
써서	쓰/VV+어서/EC
오전	오전/NNG
9시부터	9/SN+시/NNB+부터/JX
오후	오후/NNG
4시까지	4/SN+시/NNB+까지/JX
이용하라’고	이용/NNG+하/XSV+라/EF+’/SS+고/JKQ
강요했다”고	강요/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.338.9.1
복지부에 따르면 맞춤반은 오전 9시∼오후 3시 등의 기준 시간이 있지만 학부모와 협의 후 앞뒤로 1시간은 탄력적으로 운영할 수 있다.

복지부에	복지부/NNG+에/JKB
따르면	따르/VV+면/EC
맞춤반은	맞춤/NNG+반/NNG+은/JX
오전	오전/NNG
9시∼오후	9/SN+시/NNB+∼/SO+오후/NNG
3시	3/SN+시/NNB
등의	등/NNB+의/JKG
기준	기준/NNG
시간이	시간/NNG+이/JKS
있지만	있/VA+지만/EC
학부모와	학부모/NNG+와/JKB
협의	협의/NNG
후	후/NNG
앞뒤로	앞뒤/NNG+로/JKB
1시간은	1/SN+시간/NNB+은/JX
탄력적으로	탄력/NNG+적/XSN+으로/JKB
운영할	운영/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.338.9.2
그럼에도 기준 시간을 고수하면서 부족한 시간은 바우처를 사용하도록 종용하는 어린이집이 적지 않다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
기준	기준/NNG
시간을	시간/NNG+을/JKO
고수하면서	고수/NNG+하/XSV+면서/EC
부족한	부족/NNG+하/XSA+ㄴ/ETM
시간은	시간/NNG+은/JX
바우처를	바우처/NNG+를/JKO
사용하도록	사용/NNG+하/XSV+도록/EC
종용하는	종용/NNG+하/XSV+는/ETM
어린이집이	어린이집/NNG+이/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.338.9.3
15시간의 바우처를 다 사용하면 보육료가 종일반의 97∼99% 수준으로 차이가 나지 않기 때문이다.

15시간의	15/SN+시간/NNB+의/JKG
바우처를	바우처/NNG+를/JKO
다	다/MAG
사용하면	사용/NNG+하/XSV+면/EC
보육료가	보육료/NNG+가/JKS
종일반의	종일반/NNG+의/JKG
97∼99%	97/SN+∼/SO+99/SN+%/SW
수준으로	수준/NNG+으로/JKB
차이가	차이/NNG+가/JKS
나지	나/VV+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.338.9.4
또 복지부가 기본 보육료를 종일반 수준으로 맞춰 주면서 맞춤반 아동에게도 오후 간식을 제공해야 한다고 했지만 일부 어린이집에선 바우처를 사용해야 오후 간식을 주겠다며 횡포를 부리고 있다.

또	또/MAG
복지부가	복지부/NNG+가/JKS
기본	기본/NNG
보육료를	보육료/NNG+를/JKO
종일반	종일반/NNG
수준으로	수준/NNG+으로/JKB
맞춰	맞추/VV+어/EC
주면서	주/VX+면서/EC
맞춤반	맞춤/NNG+반/NNG
아동에게도	아동/NNG+에게/JKB+도/JX
오후	오후/NNG
간식을	간식/NNG+을/JKO
제공해야	제공/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
했지만	하/VV+았/EP+지만/EC
일부	일부/NNG
어린이집에선	어린이집/NNG+에서/JKB+ㄴ/JX
바우처를	바우처/NNG+를/JKO
사용해야	사용/NNG+하/XSV+아야/EC
주겠다며	주/VX+겠/EP+다며/EC
횡포를	횡포/NNG+를/JKO
부리고	부리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.338.10.1
○ 관행 안 바꾸는 어린이집의 횡포

○	○/SW
관행	관행/NNG
안	안/MAG
바꾸는	바꾸/VV+는/ETM
어린이집의	어린이집/NNG+의/JKG
횡포	횡포/NNG


# id : NWRW1800000049.338.11.1
정부는 이런 혼란 중 상당 부분은 시간을 탄력적으로 운영할 수 있는데도 어린이집들이 ‘관행적’으로 부모들에게 고정된 시간을 강요하는 것에서 비롯된다고 판단했다.

정부는	정부/NNG+는/JX
이런	이런/MMD
혼란	혼란/NNG
중	중/NNB
상당	상당/NNG
부분은	부분/NNG+은/JX
시간을	시간/NNG+을/JKO
탄력적으로	탄력/NNG+적/XSN+으로/JKB
운영할	운영/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는데도	있/VA+는데/EC+도/JX
어린이집들이	어린이집/NNG+들/XSN+이/JKS
‘관행적’으로	‘/SS+관행/NNG+적/XSN+’/SS+으로/JKB
부모들에게	부모/NNG+들/XSN+에게/JKB
고정된	고정/NNG+되/XSV+ㄴ/ETM
강요하는	강요/NNG+하/XSV+는/ETM
것에서	것/NNB+에서/JKB
비롯된다고	비롯되/VV+ㄴ다고/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.338.11.2
복지부 관계자는 “학부모에게 원하는 이용 시간을 물어 만든 운영계획서를 잘 시행하는지 지방자치단체 등과 협조해 정기적으로 모니터링 할 방침”이라고 밝혔다.

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
“학부모에게	“/SS+학부모/NNG+에게/JKB
원하는	원/NNG+하/XSV+는/ETM
이용	이용/NNG
시간을	시간/NNG+을/JKO
물어	묻/VV+어/EC
만든	만들/VV+ㄴ/ETM
운영계획서를	운영/NNG+계획서/NNG+를/JKO
잘	잘/MAG
시행하는지	시행/NNG+하/XSV+는지/EC
지방자치단체	지방/NNG+자치/NNG+단체/NNG
등과	등/NNB+과/JKB
협조해	협조/NNG+하/XSV+아/EC
정기적으로	정기/NNG+적/XSN+으로/JKB
모니터링	모니터링/NNG
할	하/VV+ㄹ/ETM
방침”이라고	방침/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.338.11.3
그러나 학부모 온라인 커뮤니티나 카페 게시판에는 “많은 어린이집이 ‘원래처럼 해도 아무 문제가 없다’는 인식하에 정부의 맞춤형 보육 정책을 사실상 무시하고 있고, 정부 역시 수수방관하고 있다”는 비판이 쏟아지고 있다.

그러나	그러나/MAJ
학부모	학부모/NNG
온라인	온라인/NNG
커뮤니티나	커뮤니티/NNG+나/JC
카페	카페/NNG
게시판에는	게시판/NNG+에/JKB+는/JX
“많은	“/SS+많/VA+은/ETM
어린이집이	어린이집/NNG+이/JKS
‘원래처럼	‘/SS+원래/NNG+처럼/JKB
해도	하/VV+아도/EC
아무	아무/MMD
문제가	문제/NNG+가/JKS
없다’는	없/VA+다/EF+’/SS+는/ETM
인식하에	인식/NNG+하/XSN+에/JKB
정부의	정부/NNG+의/JKG
맞춤형	맞춤/NNG+형/XSN
보육	보육/NNG
정책을	정책/NNG+을/JKO
사실상	사실/NNG+상/XSN
무시하고	무시/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
정부	정부/NNG
역시	역시/MAG
수수방관하고	수수방관/NNG+하/XSV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
비판이	비판/NNG+이/JKS
쏟아지고	쏟아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.338.12.1
또 복지부는 맞춤반의 기본 보육료를 종일반 수준과 같게 유지해 주는 대신에 이 돈을 보육교사 처우 개선에 사용하도록 했지만 현장 분위기는 다르다.

또	또/MAG
복지부는	복지부/NNG+는/JX
맞춤반의	맞춤/NNG+반/NNG+의/JKG
기본	기본/NNG
보육료를	보육료/NNG+를/JKO
종일반	종일반/NNG
수준과	수준/NNG+과/JKB
같게	같/VA+게/EC
유지해	유지/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
대신에	대신/NNG+에/JKB
이	이/MMD
돈을	돈/NNG+을/JKO
보육교사	보육/NNG+교사/NNG
처우	처우/NNG
개선에	개선/NNG+에/JKB
사용하도록	사용/NNG+하/XSV+도록/EC
했지만	하/VX+았/EP+지만/EC
현장	현장/NNG
분위기는	분위기/NNG+는/JX
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000049.338.12.2
익명을 요구한 한 보육교사는 “올해는 첫해라 부모들이 종일반으로 등록하려고 했지만, 맞춤반이 자리를 잡고 비중이 높아져 보육료가 줄면 어린이집에서 교사 월급부터 줄일 게 뻔한데 대책이 없다”고 말했다.

익명을	익명/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
한	한/MMN
보육교사는	보육/NNG+교사/NNG+는/JX
“올해는	“/SS+올해/NNG+는/JX
첫해라	첫해/NNG+이/VCP+라/EC
부모들이	부모/NNG+들/XSN+이/JKS
종일반으로	종일반/NNG+으로/JKB
등록하려고	등록/NNG+하/XSV+려고/EC
했지만,	하/VX+았/EP+지만/EC+,/SP
맞춤반이	맞춤/NNG+반/NNG+이/JKS
자리를	자리/NNG+를/JKO
잡고	잡/VV+고/EC
비중이	비중/NNG+이/JKS
높아져	높아지/VV+어/EC
보육료가	보육료/NNG+가/JKS
줄면	줄/VV+면/EC
어린이집에서	어린이집/NNG+에서/JKB
교사	교사/NNG
월급부터	월급/NNG+부터/JX
줄일	줄이/VV+ㄹ/ETM
게	거/NNB+이/JKS
뻔한데	뻔하/VA+ㄴ데/EC
대책이	대책/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


