# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.206
metadata : {}


# id : NWRW1800000054.206.1.1
건보적용 대상서 빠진 탈모인들 "500만 모욕… 촛불 들어야 하나"

건보적용	건보/NNG+적용/NNG
미용·성형과	미용/NNG+·/SP+성형/NNG+과/JKB
같이	같이/MAG
명백하게	명백하/VA+게/EC
보험	보험/NNG
대상에서	대상/NNG+에서/JKB
제외할	제외/NNG+하/XSV+ㄹ/ETM
것	것/NNB
이외에는	이외/NNG+에/JKB+는/JX
모든	모든/MMN
(건강보험	(/SS+건강/NNG+보험/NNG
혜택을	혜택/NNG+을/JKO
받지	받/VV+지/EC
못하는)	못하/VX+는/ETM+)/SS
비급여에	비/XPN+급여/NNG+에/JKB
건강보험을	건강/NNG+보험/NNG+을/JKO
적용하겠다"고	적용/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.206.4.2
보건복지부도 이날 향후 5년간 30조6000억원을 들여 건보 보장성을 확대한다는 방침을 발표했다.

보건복지부도	보건/NNG+복지부/NNG+도/JX
이날	이날/NNG
향후	향후/NNG
5년간	5/SN+년/NNB+간/XSN
30조6000억원을	30/SN+조/NR+6000/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
건보	건보/NNG
보장성을	보장/NNG+성/XSN+을/JKO
확대한다는	확대/NNG+하/XSV+ㄴ다는/ETM
방침을	방침/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.206.4.3
그러자 탈모인들이 발끈하고 나섰다.

그러자	그러/VV+자/EC
탈모인들이	탈모인/NNG+들/XSN+이/JKS
발끈하고	발끈/MAG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.206.4.4
건보 혜택 대상에 탈모가 제외됐다는 이유에서다.

건보	건보/NNG
혜택	혜택/NNG
대상에	대상/NNG+에/JKB
탈모가	탈모/NNG+가/JKS
제외됐다는	제외/NNG+되/XSV+었/EP+다는/ETM
이유에서다.	이유/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000054.206.4.5
디시인사이드 탈모갤러리 등 탈모인 커뮤니티에선 "500만 탈모인에 대한 모욕" "촛불집회라도 해야 하는 것 아니야"라는 강경 발언이 쏟아지고 있다.

디시인사이드	디시인사이드/NNP
탈모갤러리	탈모/NNG+갤러리/NNG
등	등/NNB
탈모인	탈모인/NNG
커뮤니티에선	커뮤니티/NNG+에서/JKB+ㄴ/JX
"500만	"/SS+500/SN+만/NR
탈모인에	탈모인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모욕"	모욕/NNG+"/SS
"촛불집회라도	"/SS+촛불/NNG+집회/NNG+라도/JX
해야	하/VV+아야/EC
하는	하/VX+는/ETM
것	것/NNB
아니야"라는	아니/VCN+야/EF+"/SS+이/VCP+라는/ETM
강경	강경/NNG
발언이	발언/NNG+이/JKS
쏟아지고	쏟아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.206.5.1
현행 건강보험법 시행령상 노화 현상으로 인한 탈모는 '업무·일상 생활에 지장이 없다'는 이유로 건보 적용 대상이 아니다.

현행	현행/NNG
건강보험법	건강/NNG+보험법/NNG
시행령상	시행령/NNG+상/XSN
노화	노화/NNG
현상으로	현상/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
탈모는	탈모/NNG+는/JX
'업무·일상	'/SS+업무/NNG+·/SP+일상/NNG
생활에	생활/NNG+에/JKB
지장이	지장/NNG+이/JKS
없다'는	없/VA+다/EF+'/SS+는/ETM
이유로	이유/NNG+로/JKB
건보	건보/NNG
적용	적용/NNG
대상이	대상/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000054.206.5.2
탈모뿐 아니라 다모(多毛), 무모(無毛), 권태, 발기부전, 단순 코골이 등도 마찬가지다.

탈모뿐	탈모/NNG+뿐/JX
아니라	아니/VCN+라/EC
다모(多毛),	다모/XR+(/SS+多毛/SH+)/SS+,/SP
무모(無毛),	무모/NNG+(/SS+無毛/SH+)/SS+,/SP
권태,	권태/NNG+,/SP
발기부전,	발기/NNG+부전/NNG+,/SP
단순	단순/NNG
코골이	코골이/NNG
등도	등/NNB+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.206.5.3
외모 개선 목적인 쌍꺼풀 수술이나 코 성형, 유방 확대·축소술, 주름살 제거, 라식·라섹 같은 시력교정술은 '신체의 필수 기능 개선 목적이 아닌 경우'에 해당돼 역시 건보 혜택을 받지 못한다.

외모	외모/NNG
개선	개선/NNG
목적인	목적/NNG+이/VCP+ㄴ/ETM
쌍꺼풀	쌍꺼풀/NNG
수술이나	수술/NNG+이나/JC
코	코/NNG
성형,	성형/NNG+,/SP
유방	유방/NNG
확대·축소술,	확대·축소술/NNG+,/SP
주름살	주름살/NNG
제거,	제거/NNG+,/SP
라식·라섹	라식/NNG+·/SP+라섹/NNG
같은	같/VA+은/ETM
시력교정술은	시력/NNG+교정술/NNG+은/JX
'신체의	'/SS+신체/NNG+의/JKG
필수	필수/NNG
기능	기능/NNG
목적이	목적/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
경우'에	경우/NNG+'/SS+에/JKB
해당돼	해당/NNG+되/XSV+어/EC
역시	역시/MAG
건보	건보/NNG
혜택을	혜택/NNG+을/JKO
받지	받/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.206.5.4
이 밖에 ▲예방 목적의 건강검진과 예방접종 ▲비용 효과 등 진료의 경제성이 불분명한 것 ▲건강보험제도 여건상 ▲약사법에 따라 허가 범위를 벗어난 약제 등도 건보 급여 대상에서 제외돼 있다.

이	이/NP
밖에	밖/NNG+에/JKB
▲예방	▲/SW+예방/NNG
목적의	목적/NNG+의/JKG
건강검진과	건강/NNG+검진/NNG+과/JC
예방접종	예방/NNG+접종/NNG
▲비용	▲/SW+비용/NNG
효과	효과/NNG
등	등/NNB
진료의	진료/NNG+의/JKG
경제성이	경제/NNG+성/XSN+이/JKS
불분명한	불분명하/VA+ㄴ/ETM
것	것/NNB
▲건강보험제도	▲/SW+건강/NNG+보험/NNG+제도/NNG
여건상	여건/NNG+상/XSN
▲약사법에	▲/SW+약사법/NNG+에/JKB
따라	따르/VV+아/EC
허가	허가/NNG
범위를	범위/NNG+를/JKO
벗어난	벗어나/VV+ㄴ/ETM
약제	약제/NNG
등도	등/NNB+도/JX
건보	건보/NNG
급여	급여/NNG
대상에서	대상/NNG+에서/JKB
제외돼	제외/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.206.6.1
탈모에 대해서도 건보 적용을 해달라는 탈모인들의 주장에 대해 보건복지부 정통령 보험급여과장은 "탈모 중 스트레스성 원형탈모증처럼 질병과 연관된 병적 탈모는 이미 급여 대상"이라며 "탈모는 미용 목적도 있어 모두 건보를 적용하기는 어렵지만, 질병 관련 탈모는 검토할 수 있을 것"이라고 말했다.

탈모에	탈모/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
건보	건보/NNG
적용을	적용/NNG+을/JKO
해달라는	하/VV+아/EC+달/VX+라는/ETM
탈모인들의	탈모인/NNG+들/XSN+의/JKG
주장에	주장/NNG+에/JKB
대해	대하/VV+아/EC
보건복지부	보건/NNG+복지부/NNG
정통령	정통령/NNP
보험급여과장은	보험/NNG+급여과장/NNG+은/JX
"탈모	"/SS+탈모/NNG
중	중/NNB
스트레스성	스트레스/NNG+성/XSN
원형탈모증처럼	원형/NNG+탈모증/NNG+처럼/JKB
질병과	질병/NNG+과/JKB
연관된	연관/NNG+되/XSV+ㄴ/ETM
병적	병/NNG+적/XSN
탈모는	탈모/NNG+는/JX
이미	이미/MAG
급여	급여/NNG
대상"이라며	대상/NNG+"/SS+이/VCP+라며/EC
"탈모는	"/SS+탈모/NNG+는/JX
미용	미용/NNG
목적도	목적/NNG+도/JX
있어	있/VA+어/EC
모두	모두/MAG
건보를	건보/NNG+를/JKO
적용하기는	적용/NNG+하/XSV+기/ETN+는/JX
어렵지만,	어렵/VA+지만/EC+,/SP
질병	질병/NNG
관련	관련/NNG
검토할	검토/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.206.6.2
'건강보험 재정 부담'과 '건강보험 급여 원리에 부합하지 않는다'는 등 이유로 비급여 대상이었던 초음파나 MRI(자기공명영상장치)처럼 질병 관련 탈모에 대해서도 건보 적용을 고려해 보겠다는 것이다.

'건강보험	'/SS+건강/NNG+보험/NNG
재정	재정/NNG
부담'과	부담/NNG+'/SS+과/JC
급여	급여/NNG
원리에	원리/NNG+에/JKB
부합하지	부합/NNG+하/XSV+지/EC
않는다'는	않/VX+는다/EF+'/SS+는/ETM
등	등/NNB
이유로	이유/NNG+로/JKB
비급여	비/XPN+급여/NNG
대상이었던	대상/NNG+이/VCP+었/EP+던/ETM
초음파나	초/XPN+음파/NNG+나/JC
MRI(자기공명영상장치)처럼	MRI/SL+(/SS+자기/NNG+공명/NNG+영상/NNG+장치/NNG+)/SS+처럼/JKB
질병	질병/NNG
관련	관련/NNG
탈모에	탈모/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
건보	건보/NNG
적용을	적용/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
보겠다는	보/VX+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


