# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.28
metadata : {}


# id : NWRW1800000026.28.1.1
[새 영화] 500일의 썸머_멕 라이언 닮은 그녀, 그리고 연애의 법칙

[새	[/SS+새/MMA
좋아한다고	좋아하/VV+ㄴ다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.28.3.3
34일째엔 그녀로부터 기습 키스를 받는다.

34일째엔	34/SN+일/NNB+째/XSN+에/JKB+ㄴ/JX
그녀로부터	그녀/NP+로부터/JKB
기습	기습/NNG
키스를	키스/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000026.28.3.4
그러나 그녀를 사랑하는 톰과 달리 썸머는 좀처럼 마음을 열지 않는다.

그러나	그러나/MAJ
그녀를	그녀/NP+를/JKO
사랑하는	사랑/NNG+하/XSV+는/ETM
톰과	톰/NNP+과/JKB
달리	달리/MAG
썸머는	썸머/NNP+는/JX
좀처럼	좀처럼/MAG
마음을	마음/NNG+을/JKO
열지	열/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000026.28.4.1
영화 첫 장면은 톰과 썸머가 만난 지 488일째 공원에서 손을 잡고 있는 장면이다.

영화	영화/NNG
첫	첫/MMN
장면은	장면/NNG+은/JX
톰과	톰/NNP+과/JKB
썸머가	썸머/NNP+가/JKS
만난	만나/VV+ㄴ/ETM
지	지/NNB
488일째	488/SN+일/NNB+째/XSN
공원에서	공원/NNG+에서/JKB
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
있는	있/VX+는/ETM
장면이다.	장면/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.28.4.2
그리고 바로 1일째로 돌아간다.

그리고	그리고/MAJ
바로	바로/MAG
1일째로	1/SN+일/NNB+째/XSN+로/JKB
돌아간다.	돌아가/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.28.4.3
영화는 계속 두 사람의 500일을 앞뒤로 오가며 연애의 법칙을 보여준다.

영화는	영화/NNG+는/JX
계속	계속/MAG
두	두/MMN
사람의	사람/NNG+의/JKG
500일을	500/SN+일/NNB+을/JKO
앞뒤로	앞뒤/NNG+로/JKB
오가며	오가/VV+며/EC
연애의	연애/NNG+의/JKG
법칙을	법칙/NNG+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.28.4.4
만난 지 34일째 두 사람은 쇼핑몰에서 부엌놀이 침대놀이를 하며 재미있게 논다.

만난	만나/VV+ㄴ/ETM
지	지/NNB
34일째	34/SN+일/NNB+째/XSN
두	두/MMN
사람은	사람/NNG+은/JX
쇼핑몰에서	쇼핑몰/NNG+에서/JKB
부엌놀이	부엌/NNG+놀이/NNG
침대놀이를	침대/NNG+놀이/NNG+를/JKO
하며	하/VV+며/EC
재미있게	재미있/VA+게/EC
논다.	놀/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.28.4.5
282일째 같은 쇼핑몰에 갔을 땐 소 닭 보듯 한다.

282일째	282/SN+일/NNB+째/XSN
같은	같/VA+은/ETM
쇼핑몰에	쇼핑몰/NNG+에/JKB
갔을	가/VV+았/EP+을/ETM
땐	때/NNG+ㄴ/JX
소	소/NNG
닭	닭/NNG
보듯	보/VV+듯/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.28.4.6
처녀 총각들은 대오각성(大悟覺醒)할진저, 282일째 매일같이 깔깔낄낄 하는 연애란 적어도 지구에는 없다.

처녀	처녀/NNG
총각들은	총각/NNG+들/XSN+은/JX
대오각성(大悟覺醒)할진저,	대오각성/NNG+(/SS+大悟覺醒/SH+)/SS+하/VV+ㄹ진저/EF+,/SP
282일째	282/SN+일/NNB+째/XSN
매일같이	매일/NNG+같이/JKB
깔깔낄낄	깔깔/MAG+낄낄/MAG
하는	하/VV+는/ETM
연애란	연애/NNG+란/JX
적어도	적어도/MAG
지구에는	지구/NNG+에/JKB+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.28.5.1
10대 때 뉴저지에서 일렉트릭 기타를 갖고 놀던 남자애와 미시간에서 종이학 접기를 하던 여자애가 나중에 LA 직장에서 만나 사랑에 빠지는 것은 얼마나 경이로운 일인가.

10대	10/SN+대/NNB
때	때/NNG
뉴저지에서	뉴저지/NNP+에서/JKB
일렉트릭	일렉트릭/NNG
기타를	기타/NNG+를/JKO
갖고	갖/VV+고/EC
놀던	놀/VV+던/ETM
남자애와	남자애/NNG+와/JKB
미시간에서	미시간/NNP+에서/JKB
종이학	종이학/NNG
접기를	접/VV+기/ETN+를/JKO
하던	하/VV+던/ETM
여자애가	여자애/NNG+가/JKS
나중에	나중/NNG+에/JKB
LA	LA/SL
직장에서	직장/NNG+에서/JKB
만나	만나/VV+아/EC
사랑에	사랑/NNG+에/JKB
빠지는	빠지/VV+는/ETM
것은	것/NNB+은/JX
얼마나	얼마나/MAG
경이로운	경이/NNG+롭/XSA+ㄴ/ETM
일인가.	일/NNG+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000026.28.5.2
첫눈에 반한 모든 남녀의 불타는 눈동자는 최고급 휘발유를 들이붓는 축복을 받을 자격이 있다.

첫눈에	첫눈/NNG+에/JKB
반한	반하/VV+ㄴ/ETM
모든	모든/MMN
남녀의	남녀/NNG+의/JKG
불타는	불타/VV+는/ETM
눈동자는	눈동자/NNG+는/JX
최고급	최/XPN+고급/NNG
휘발유를	휘발유/NNG+를/JKO
들이붓는	들이붓/VV+는/ETM
축복을	축복/NNG+을/JKO
받을	받/VV+을/ETM
자격이	자격/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.28.6.1
알게 된 지 22일째, 남자는 엘리베이터에서 여자에게 "주말 잘 보냈어요?" 하고 묻는다.

알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
지	지/NNB
22일째,	22/SN+일/NNB+째/XSN+,/SP
남자는	남자/NNG+는/JX
엘리베이터에서	엘리베이터/NNG+에서/JKB
여자에게	여자/NNG+에게/JKB
"주말	"/SS+주말/NNG
잘	잘/MAG
보냈어요?"	보내/VV+었/EP+어요/EF+?/SF+"/SS
하고	하고/JKQ
묻는다.	묻/VV+는다/EF+./SF


# id : NWRW1800000026.28.6.2
그녀는 "아―주 좋았어요(It was gooood)"라고 답한다.

그녀는	그녀/NP+는/JX
"아―주	"/SS+아―주/MAG
좋았어요(It	좋/VA+았/EP+어요/EF+(/SS+It/SL
was	was/SL
gooood)"라고	gooood/SL+)/SS+"/SS+라고/JKQ
답한다.	답/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.28.6.3
남자는 머리를 싸맨다.

남자는	남자/NNG+는/JX
머리를	머리/NNG+를/JKO
싸맨다.	싸매/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.28.6.4
어떤 놈과 뒹굴었기에 아―주 좋았다는 것일까.

어떤	어떤/MMD
놈과	놈/NNB+과/JKB
뒹굴었기에	뒹굴/VV+었/EP+기에/EC
아―주	아―주/MAG
좋았다는	좋/VA+았/EP+다는/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000026.28.6.5
그런 것이다.

그런	그런/MMD
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.28.6.6
연애는 상대의 일상을 오해하는 것이며 괴팍함을 양해하는 것이다.

연애는	연애/NNG+는/JX
상대의	상대/NNG+의/JKG
일상을	일상/NNG+을/JKO
오해하는	오해/NNG+하/XSV+는/ETM
것이며	것/NNB+이/VCP+며/EC
괴팍함을	괴팍/NNG+하/XSA+ㅁ/ETN+을/JKO
양해하는	양해/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.28.6.7
상대를 장미꽃잎으로 곱게 싸서 호주머니에 넣어 다니고 싶은 것인 동시에, 발가벗긴 채 불지옥에 떨어지라고 저주하는 것이다.

상대를	상대/NNG+를/JKO
장미꽃잎으로	장미/NNG+꽃잎/NNG+으로/JKB
곱게	곱/VA+게/EC
싸서	싸/VV+아서/EC
호주머니에	호주머니/NNG+에/JKB
넣어	넣/VV+어/EC
다니고	다니/VV+고/EC
싶은	싶/VX+은/ETM
것인	것/NNB+이/VCP+ㄴ/ETM
동시에,	동시/NNG+에/JKB+,/SP
발가벗긴	발가벗기/VV+ㄴ/ETM
채	채/NNB
불지옥에	불지옥/NNG+에/JKB
떨어지라고	떨어지/VV+라고/EC
저주하는	저주/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.28.7.1
그녀의 키스를 받은 다음 날 남자의 출근길 장면이 인상적이다.

그녀의	그녀/NP+의/JKG
키스를	키스/NNG+를/JKO
받은	받/VV+은/ETM
다음	다음/NNG
날	날/NNG
남자의	남자/NNG+의/JKG
출근길	출근길/NNG
장면이	장면/NNG+이/JKS
인상적이다.	인상/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.28.7.2
거리의 분수가 그를 기다렸다가 물을 뿜고 행인들의 표정은 모두 그의 성취를 축하하는 메시지다.

거리의	거리/NNG+의/JKG
분수가	분수/NNG+가/JKS
그를	그/NP+를/JKO
기다렸다가	기다리/VV+었/EP+다가/EC
물을	물/NNG+을/JKO
뿜고	뿜/VV+고/EC
행인들의	행인/NNG+들/XSN+의/JKG
표정은	표정/NNG+은/JX
모두	모두/MAG
그의	그/NP+의/JKG
성취를	성취/NNG+를/JKO
축하하는	축하/NNG+하/XSV+는/ETM
메시지다.	메시지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.28.7.3
그때 남자가 양희은의 가사 "사랑이 끝나고 난 뒤에는/ 이 세상도 끝나고/ 날 위해 빛나던 모든 것도/ 그 빛을 잃어버려"의 뜻을 알 턱이 없다.

그때	그때/NNG
남자가	남자/NNG+가/JKS
양희은의	양희은/NNP+의/JKG
가사	가사/NNG
"사랑이	"/SS+사랑/NNG+이/JKS
끝나고	끝나/VV+고/EC
난	나/VX+ㄴ/ETM
뒤에는/	뒤/NNG+에/JKB+는/JX+//SP
이	이/MMD
세상도	세상/NNG+도/JX
끝나고/	끝나/VV+고/EC+//SP
날	나/NP+ㄹ/JKO
위해	위하/VV+아/EC
빛나던	빛나/VV+던/ETM
모든	모든/MMN
것도/	것/NNB+도/JX+//SP
그	그/MMD
빛을	빛/NNG+을/JKO
잃어버려"의	잃/VV+어/EC+버리/VX+어/EC+"/SS+의/JKG
뜻을	뜻/NNG+을/JKO
알	알/VV+ㄹ/ETM
턱이	턱/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.28.8.1
주이 디샤넬은 이 영화의 필요조건이다.

주이	주이/NNP
디샤넬은	디샤넬/NNP+은/JX
이	이/MMD
영화의	영화/NNG+의/JKG
필요조건이다.	필요조건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.28.8.2
전성기 멕 라이언을 연상케 하는 그녀는 앞으로도 비슷한 영화에 자주 등장할 것 같다.

전성기	전성기/NNG
멕	멕/NNP
라이언을	라이언/NNP+을/JKO
연상케	연상/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
그녀는	그녀/NP+는/JX
앞으로도	앞/NNG+으로/JKB+도/JX
비슷한	비슷하/VA+ㄴ/ETM
영화에	영화/NNG+에/JKB
자주	자주/MAG
등장할	등장/NNG+하/XSV+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000026.28.8.3
조셉 고든 레빗 역시 귀엽고 매력적이다(특히 그가 정장에 푸마 스니커즈를 신고 나온 장면).

조셉	조셉/NNP
고든	고든/NNP
레빗	레빗/NNP
역시	역시/MAG
귀엽고	귀엽/VA+고/EC
매력적이다(특히	매력/NNG+적/XSN+이/VCP+다/EF+(/SS+특히/MAG
그가	그/NP+가/JKS
정장에	정장/NNG+에/JKB
푸마	푸마/NNP
스니커즈를	스니커즈/NNG+를/JKO
신고	신/VV+고/EC
나온	나오/VV+ㄴ/ETM
장면).	장면/NNG+)/SS+./SF


# id : NWRW1800000026.28.8.4
놀라운 건 스콧 뉴스타터와 마이클 웨버라는 두 남자가 각본을 썼다는 사실.

놀라운	놀랍/VA+ㄴ/ETM
건	거/NNB+ㄴ/JX
스콧	스콧/NNP
뉴스타터와	뉴스타터/NNP+와/JC
마이클	마이클/NNP
웨버라는	웨버/NNP+이/VCP+라는/ETM
두	두/MMN
남자가	남자/NNG+가/JKS
각본을	각본/NNG+을/JKO
썼다는	쓰/VV+었/EP+다는/ETM
사실.	사실/NNG+./SF


# id : NWRW1800000026.28.8.5
이 영화로 장편 데뷔한 마크 웹 감독은 록밴드 뮤직 비디오를 주로 찍었던 사람이다.

이	이/MMD
영화로	영화/NNG+로/JKB
장편	장편/NNG
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
마크	마크/NNP
웹	웹/NNP
감독은	감독/NNG+은/JX
록밴드	록/NNG+밴드/NNG
뮤직	뮤직/NNG
비디오를	비디오/NNG+를/JKO
주로	주로/MAG
찍었던	찍/VV+었/EP+던/ETM
사람이다.	사람/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.28.8.6
영화 속 남녀가 친해지는 계기가 된 영국밴드 스미스(The Smith)를 비롯해, 음악들도 무척 좋다.

영화	영화/NNG
속	속/NNG
남녀가	남녀/NNG+가/JKS
친해지는	친하/VA+아/EC+지/VX+는/ETM
계기가	계기/NNG+가/JKC
된	되/VV+ㄴ/ETM
영국밴드	영국/NNP+밴드/NNG
스미스(The	스미스/NNP+(/SS+The/SL
Smith)를	Smith/SL+)/SS+를/JKO
비롯해,	비롯하/VV+아/EC+,/SP
음악들도	음악/NNG+들/XSN+도/JX
무척	무척/MAG
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000026.28.9.1
작년 7월 미국서 개봉한 뒤 이 영화에 대한 관객들의 가장 큰 궁금증은 첫 자막에 나오는 '제니 벡맨(Jenny Beckman)'의 실체다.

작년	작년/NNG
7월	7/SN+월/NNB
미국서	미국/NNP+서/JKB
개봉한	개봉/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이	이/MMD
영화에	영화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관객들의	관객/NNG+들/XSN+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
궁금증은	궁금증/NNG+은/JX
첫	첫/MMN
자막에	자막/NNG+에/JKB
나오는	나오/VV+는/ETM
'제니	'/SS+제니/NNP
벡맨(Jenny	벡맨/NNP+(/SS+Jenny/SL
Beckman)'의	Beckman/SL+)/SS+'/SS+의/JKG
실체다.	실체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.28.9.2
제작진은 결국 "제니는 작가인 스콧의 옛 여자친구이고 미니홈피(facebook)도 있다"고 공개했다.

제작진은	제작진/NNG+은/JX
결국	결국/MAG
"제니는	"/SS+제니/NNP+는/JX
작가인	작가/NNG+이/VCP+ㄴ/ETM
스콧의	스콧/NNP+의/JKG
옛	옛/MMA
여자친구이고	여자/NNG+친구/NNG+이/VCP+고/EC
미니홈피(facebook)도	미니/NNG+홈피/NNG+(/SS+facebook/SL+)/SS+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.28.9.3
그러나 의문은 계속된다.

그러나	그러나/MAJ
의문은	의문/NNG+은/JX
계속된다.	계속/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.28.9.4
인터넷엔 "그 모든 게 다 마케팅 수작"이란 주장이 올라와 있다.

인터넷엔	인터넷/NNG+에/JKB+ㄴ/JX
"그	"/SS+그/MMD
모든	모든/MMN
게	거/NNB+이/JKS
다	다/MAG
마케팅	마케팅/NNG
수작"이란	수작/NNG+"/SS+이/VCP+란/ETM
주장이	주장/NNG+이/JKS
올라와	올라오/VV+아/EC
있다.	있/VX+다/EF+./SF


