# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.210
metadata : {}


# id : NWRW1800000041.210.1.1
설익은 한가위… ‘과일 물가’ 비상

설익은	설익/VV+은/ETM
7500원에서	7500/SN+원/NNB+에서/JKB
1만	1/SN+만/NR
원으로	원/NNB+으로/JKB
33.3%	33/SN+./SP+3/SN+%/SW
오를	오르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.210.5.1
기획재정부와 관계 부처는 이날 국무회의를 거쳐 추석 성수품을 안정적으로 공급하고 서민과 중소기업을 지원하는 내용의 ‘추석 민생안정대책’을 확정해 발표했다.

기획재정부와	기획/NNG+재정부/NNG+와/JC
관계	관계/NNG
부처는	부처/NNG+는/JX
이날	이날/NNG
국무회의를	국무/NNG+회의/NNG+를/JKO
거쳐	거치/VV+어/EC
추석	추석/NNG
성수품을	성수품/NNG+을/JKO
안정적으로	안정/NNG+적/XSN+으로/JKB
공급하고	공급/NNG+하/XSV+고/EC
서민과	서민/NNG+과/JC
중소기업을	중소기업/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
‘추석	‘/SS+추석/NNG
민생안정대책’을	민생/NNG+안정/NNG+대책/NNG+’/SS+을/JKO
확정해	확정/NNG+하/XSV+아/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.210.6.1
민생대책에 따르면 정부는 올 추석이 9월 8일로 본격적인 수확 철이 아닌 데다 태풍 피해가 생길 수 있는 점을 고려해 특별점검 기간인 20일부터 다음 달 5일까지 추석 차례상에 주로 올라가는 15개 품목의 하루 공급량을 평소(7800t)보다 53.8% 늘어난 1만2000t으로 확대하기로 했다.

민생대책에	민생/NNG+대책/NNG+에/JKB
따르면	따르/VV+면/EC
정부는	정부/NNG+는/JX
올	올/NNG
추석이	추석/NNG+이/JKS
9월	9/SN+월/NNB
8일로	8/SN+일/NNB+로/JKB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
수확	수확/NNG
철이	철/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
데다	데/NNB+다/JX
태풍	태풍/NNG
피해가	피해/NNG+가/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
점을	점/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
특별점검	특별/NNG+점검/NNG
기간인	기간/NNG+이/VCP+ㄴ/ETM
20일부터	20/SN+일/NNB+부터/JX
다음	다음/NNG
달	달/NNG
5일까지	5/SN+일/NNB+까지/JX
추석	추석/NNG
차례상에	차례상/NNG+에/JKB
주로	주로/MAG
올라가는	올라가/VV+는/ETM
15개	15/SN+개/NNB
품목의	품목/NNG+의/JKG
하루	하루/NNG
공급량을	공급량/NNG+을/JKO
평소(7800t)보다	평소/NNG+(/SS+7800/SN+t/SW+)/SS+보다/JKB
53.8%	53/SN+./SP+8/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
1만2000t으로	1/SN+만/NR+2000/SN+t/SW+으로/JKB
확대하기로	확대/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.210.6.2
또 농축산물뿐만 아니라 휘발유 경유 등유 등 생필품과 찜질방 이용료 등 개인서비스를 포함한 28개 품목을 특별점검 항목으로 선정해 특별점검 기간에 매일 가격 동향을 조사하기로 했다.

또	또/MAG
농축산물뿐만	농축산물/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
휘발유	휘발유/NNG
경유	경유/NNG
등유	등유/NNG
등	등/NNB
생필품과	생필품/NNG+과/JC
찜질방	찜질방/NNG
이용료	이용료/NNG
개인서비스를	개인/NNG+서비스/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
28개	28/SN+개/NNB
품목을	품목/NNG+을/JKO
특별점검	특별/NNG+점검/NNG
항목으로	항목/NNG+으로/JKB
선정해	선정/NNG+하/XSV+아/EC
기간에	기간/NNG+에/JKB
매일	매일/MAG
가격	가격/NNG
동향을	동향/NNG+을/JKO
조사하기로	조사/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.210.7.1
한편 정부는 물가대책과 별도로 중소기업에 20조9000억 원의 자금을 신규 공급하기로 했다.

한편	한편/MAG
정부는	정부/NNG+는/JX
물가대책과	물가/NNG+대책/NNG+과/JKB
별도로	별도/NNG+로/JKB
중소기업에	중소기업/NNG+에/JKB
20조9000억	20/SN+조/NR+9000/SN+억/NR
원의	원/NNB+의/JKG
자금을	자금/NNG+을/JKO
신규	신규/NNG
공급하기로	공급/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.210.7.2
이는 지난해 추석 때 중소기업에 지원한 자금 규모보다 4조3000억 원 늘어난 것이다.

이는	이/NP+는/JX
지난해	지난해/NNG
추석	추석/NNG
때	때/NNG
중소기업에	중소기업/NNG+에/JKB
지원한	지원/NNG+하/XSV+ㄴ/ETM
자금	자금/NNG
규모보다	규모/NNG+보다/JKB
4조3000억	4/SN+조/NR+3000/SN+억/NR
원	원/NNB
늘어난	늘어나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.210.7.3
경영 여건이 힘든 중소기업에는 근로장려금, 소득세, 부가가치세를 추석 전에 환급해주는 한편 법인세와 소득세 납부 기한을 연장해줄 예정이다.

경영	경영/NNG
여건이	여건/NNG+이/JKS
힘든	힘들/VA+ㄴ/ETM
중소기업에는	중소기업/NNG+에/JKB+는/JX
근로장려금,	근로/NNG+장려금/NNG+,/SP
소득세,	소득세/NNG+,/SP
부가가치세를	부가/NNG+가치세/NNG+를/JKO
추석	추석/NNG
전에	전/NNG+에/JKB
환급해주는	환급/NNG+하/XSV+아/EC+주/VX+는/ETM
한편	한편/NNG
법인세와	법인세/NNG+와/JC
소득세	소득세/NNG
납부	납부/NNG
기한을	기한/NNG+을/JKO
연장해줄	연장/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


