# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.289
metadata : {}


# id : NWRW1800000028.289.1.1
라다크 잔스카르 순례기를 시작하며 /‘산타클로스 스님’ 따라 /잃어버린 얼굴 찾아

라다크	라다크/NNP
‘하늘이	‘/SS+하늘/NNG+이/JKS
감춘	감추/VV+ㄴ/ETM
땅’과	땅/NNG+’/SS+과/JC
‘인도오지순례’	‘/SS+인도/NNP+오지/NNG+순례/NNG+’/SS
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
세파에	세파/NNG+에/JKB
물들지	물들/VV+지/EC
않은	않/VX+은/ETM
숨은	숨/VV+은/ETM
땅을	땅/NNG+을/JKO
찾아갔습니다.	찾아가/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000028.289.7.3
라다크와 잔스카르는 ‘하늘이 감춘 땅’과 ‘인도 오지 순례’보다 훨씬 강도 높은 고행이 요구되는 곳이었습니다.

라다크와	라다크/NNP+와/JC
잔스카르는	잔스카르/NNP+는/JX
‘하늘이	‘/SS+하늘/NNG+이/JKS
감춘	감추/VV+ㄴ/ETM
땅’과	땅/NNG+’/SS+과/JC
‘인도	‘/SS+인도/NNP
오지	오지/NNG
순례’보다	순례/NNG+’/SS+보다/JKB
훨씬	훨씬/MAG
강도	강도/NNG
높은	높/VA+은/ETM
고행이	고행/NNG+이/JKS
요구되는	요구/NNG+되/XSV+는/ETM
곳이었습니다.	곳/NNG+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000028.289.8.1
몸 상태가 좋지 않아 오지 취재는 무리라는 주위의 만류에도 불구하고 이번 순례를 강행한 것은 이번 기회가 아니면 그런 오지를 홀로 찾기는 어렵다는 판단에서였습니다.

몸	몸/NNG
상태가	상태/NNG+가/JKS
좋지	좋/VA+지/EC
않아	않/VX+아/EC
오지	오지/NNG
취재는	취재/NNG+는/JX
무리라는	무리/NNG+이/VCP+라는/ETM
주위의	주위/NNG+의/JKG
만류에도	만류/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
이번	이번/NNG
순례를	순례/NNG+를/JKO
강행한	강행/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
기회가	기회/NNG+가/JKC
아니면	아니/VCN+면/EC
그런	그런/MMD
오지를	오지/NNG+를/JKO
홀로	홀로/MAG
찾기는	찾/VV+기/ETN+는/JX
어렵다는	어렵/VA+다는/ETM
판단에서였습니다.	판단/NNG+에서/JKB+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000028.289.8.2
이번 순례는 <나는 걷는다 붓다와 함께>의 저자인 청전 스님과 함께 했습니다.

이번	이번/NNG
순례는	순례/NNG+는/JX
<나는	</SS+나/NP+는/JX
걷는다	걷/VV+는다/EF
붓다와	붓다/NNP+와/JKB
함께>의	함께/MAG+>/SS+의/JKG
저자인	저자/NNG+이/VCP+ㄴ/ETM
청전	청전/NNP
스님과	스님/NNG+과/JKB
함께	함께/MAG
했습니다.	하/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000028.289.9.1
히말라야의 산간도시 다람살라에서 달라이 라마의 지도 아래 20여년째 수행중인 청전 스님은 해마다 한달 가량씩 라다크와 잔스카르 일대를 순례해왔습니다.

히말라야의	히말라야/NNP+의/JKG
산간도시	산간/NNG+도시/NNG
다람살라에서	다람살라/NNP+에서/JKB
달라이	달라이/NNP
라마의	라마/NNP+의/JKG
지도	지도/NNG
아래	아래/NNG
20여년째	20/SN+여/XSN+년/NNB+째/XSN
수행중인	수행/NNG+중/NNB+이/VCP+ㄴ/ETM
청전	청전/NNP
스님은	스님/NNG+은/JX
해마다	해마다/MAG
한달	한/MMN+달/NNB
가량씩	가량/XSN+씩/XSN
라다크와	라다크/NNP+와/JC
잔스카르	잔스카르/NNP
일대를	일대/NNG+를/JKO
순례해왔습니다.	순례/NNG+하/XSV+아/EC+오/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000028.289.9.2
그는 한국에서 보시 받은 의약품을 가득 싣고 문명의 혜택을 받지 못하는 고찰의 스님들과 오지마을 사람들에게 의약품과 생필품을 나눠주어 ‘산타 몽크’(산타클로스 스님)로 불립니다.

그는	그/NP+는/JX
한국에서	한국/NNP+에서/JKB
보시	보시/NNG
받은	받/VV+은/ETM
의약품을	의약품/NNG+을/JKO
가득	가득/MAG
싣고	싣/VV+고/EC
문명의	문명/NNG+의/JKG
혜택을	혜택/NNG+을/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
고찰의	고찰/NNG+의/JKG
스님들과	스님/NNG+들/XSN+과/JC
오지마을	오지/NNG+마을/NNG
사람들에게	사람/NNG+들/XSN+에게/JKB
의약품과	의약품/NNG+과/JC
생필품을	생필품/NNG+을/JKO
나눠주어	나누/VV+어/EC+주/VV+어/EC
‘산타	‘/SS+산타/NNP
몽크’(산타클로스	몽크/NNG+’/SS+(/SS+산타클로스/NNP
스님)로	스님/NNG+)/SS+로/JKB
불립니다.	불리/VV+ㅂ니다/EF+./SF


# id : NWRW1800000028.289.9.3
30대부터 그 일을 시작했던 그는 “이제 체력의 저하로 그런 고행을 더 이상 계속할 수 없기에 그 순례를 그만 두기 전에 마지막으로 조 기자에게 라다크·잔스카르의 진면목을 보여주고 싶다”고 순례에 초청해주었습니다.

30대부터	30/SN+대/NNB+부터/JX
그	그/MMD
일을	일/NNG+을/JKO
시작했던	시작/NNG+하/XSV+았/EP+던/ETM
그는	그/NP+는/JX
“이제	“/SS+이제/MAG
체력의	체력/NNG+의/JKG
저하로	저하/NNG+로/JKB
그런	그런/MMD
고행을	고행/NNG+을/JKO
더	더/MAG
이상	이상/NNG
계속할	계속/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없기에	없/VA+기에/EC
순례를	순례/NNG+를/JKO
그만	그만/MAG
두기	두/VV+기/ETN
전에	전/NNG+에/JKB
마지막으로	마지막/NNG+으로/JKB
조	조/NNP
기자에게	기자/NNG+에게/JKB
라다크·잔스카르의	라다크/NNP+·/SP+잔스카르/NNP+의/JKG
진면목을	진면목/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
순례에	순례/NNG+에/JKB
초청해주었습니다.	초청/NNG+하/XSV+아/EC+주/VX+었/EP+습니다/EF+./SF


# id : NWRW1800000028.289.10.1
인류 문화의 마지막 보고

인류	인류/NNG
문화의	문화/NNG+의/JKG
마지막	마지막/NNG
보고	보고/NNG


# id : NWRW1800000028.289.11.1
이에 따라 지난 6월 말부터 25일 동안 라다크와 잔스카르 순례에 나섰습니다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
말부터	말/NNB+부터/JX
25일	25/SN+일/NNB
동안	동안/NNG
라다크와	라다크/NNP+와/JC
잔스카르	잔스카르/NNP
순례에	순례/NNG+에/JKB
나섰습니다.	나서/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000028.289.11.2
1959년 중국의 침공으로 인해 대부분 파괴되고 멸실된 티베트와 달리, 옛 티베트의 구게왕국이면서도 2차대전 이후 인도땅으로 남아 지금까지 티베트 불교의 원형이 그대로 보존돼 있는 라다크와 잔스카르는 인류 문화의 보고였습니다.

1959년	1959/SN+년/NNB
중국의	중국/NNP+의/JKG
침공으로	침공/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
대부분	대/XPN+부분/NNG
파괴되고	파괴/NNG+되/XSV+고/EC
멸실된	멸실/NNG+되/XSV+ㄴ/ETM
티베트와	티베트/NNP+와/JKB
달리,	달리/MAG+,/SP
옛	옛/MMA
티베트의	티베트/NNP+의/JKG
구게왕국이면서도	구게왕국/NNP+이/VCP+면서/EC+도/JX
2차대전	2/SN+차/NNB+대전/NNG
이후	이후/NNG
인도땅으로	인도/NNP+땅/NNG+으로/JKB
남아	남/VV+아/EC
지금까지	지금/NNG+까지/JX
티베트	티베트/NNP
불교의	불교/NNG+의/JKG
원형이	원형/NNG+이/JKS
그대로	그대로/MAG
보존돼	보존/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
라다크와	라다크/NNP+와/JC
잔스카르는	잔스카르/NNP+는/JX
인류	인류/NNG
문화의	문화/NNG+의/JKG
보고였습니다.	보고/NNG+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000028.289.11.3
특히 아직도 문명에 찌들지 않은 채 천연의 얼굴을 간직하고 있는 오지인들의 표정은 깊은 울림을 전해주었습니다.

특히	특히/MAG
아직도	아직/MAG+도/JX
문명에	문명/NNG+에/JKB
찌들지	찌들/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
천연의	천연/NNG+의/JKG
얼굴을	얼굴/NNG+을/JKO
간직하고	간직/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
오지인들의	오지인/NNG+들/XSN+의/JKG
표정은	표정/NNG+은/JX
깊은	깊/VA+은/ETM
울림을	울림/NNG+을/JKO
전해주었습니다.	전하/VV+아/EC+주/VX+었/EP+습니다/EF+./SF


# id : NWRW1800000028.289.12.1
5박6일 동안 지상 최고의 설산 고갯길 중 하나인 싱고라를 넘는 등 험한 순례길에서 휴심정 독자들에게 보여줄 동영상을 위한 비디오와 카메라를 손에서 놓지 않았습니다.

5박6일	5/SN+박/NNB+6/SN+일/NNB
동안	동안/NNG
지상	지상/NNG
최고의	최고/NNG+의/JKG
설산	설산/NNG
고갯길	고갯길/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
싱고라를	싱고라/NNP+를/JKO
넘는	넘/VV+는/ETM
등	등/NNB
험한	험하/VA+ㄴ/ETM
순례길에서	순례길/NNG+에서/JKB
휴심정	휴심정/NNG
독자들에게	독자/NNG+들/XSN+에게/JKB
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
동영상을	동영상/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
비디오와	비디오/NNG+와/JC
카메라를	카메라/NNG+를/JKO
손에서	손/NNG+에서/JKB
놓지	놓/VV+지/EC
않았습니다.	않/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000028.289.12.2
숟가락 하나 들 힘이 없었던 때에도 젖먹던 힘까지 써가며 촬영한 동영상과 사진을 곁들인 ‘라다크·잔스카르 순례기’는 우선 1차적으로 11회에 걸쳐 선을 보이고, 계속 이어서 30~40회 휴심정 독자들을 찾아갈 것입니다.

숟가락	숟가락/NNG
하나	하나/NR
들	들/VV+ㄹ/ETM
힘이	힘/NNG+이/JKS
없었던	없/VA+었/EP+던/ETM
때에도	때/NNG+에/JKB+도/JX
젖먹던	젖/NNG+먹/VV+던/ETM
힘까지	힘/NNG+까지/JX
써가며	쓰/VV+어/EC+가/VX+며/EC
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
동영상과	동영상/NNG+과/JC
사진을	사진/NNG+을/JKO
곁들인	곁들이/VV+ㄴ/ETM
‘라다크·잔스카르	‘/SS+라다크/NNP+·/SP+잔스카르/NNP
순례기’는	순례기/NNG+’/SS+는/JX
우선	우선/MAG
1차적으로	1/SN+차/NNB+적/XSN+으로/JKB
11회에	11/SN+회/NNB+에/JKB
걸쳐	걸치/VV+어/EC
선을	선/NNG+을/JKO
보이고,	보이/VV+고/EC+,/SP
계속	계속/MAG
이어서	잇/VV+어서/EC
30~40회	30/SN+~/SO+40/SN+회/NNB
휴심정	휴심정/NNG
독자들을	독자/NNG+들/XSN+을/JKO
찾아갈	찾아가/VV+ㄹ/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


