# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.372
metadata : {}


# id : NWRW1800000041.372.1.1
北김정은, 南에 친서 2장… 대화공세 신호탄?

北김정은,	北/SH+김정은/NNP+,/SP
반갑게	반갑/VA+게/EC
맞이할	맞이하/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
내용”이라고	내용/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.372.6.5
현 회장은 “내년에는 반드시 금강산관광 재개 등 좋은 결실을 보자는 데 (북측과) 의견을 같이했다”고 말했다.

현	현/NNP
회장은	회장/NNG+은/JX
“내년에는	“/SS+내년/NNG+에/JKB+는/JX
반드시	반드시/MAG
금강산관광	금강산/NNP+관광/NNG
재개	재개/NNG
등	등/NNB
좋은	좋/VA+은/ETM
결실을	결실/NNG+을/JKO
보자는	보/VV+자는/ETM
데	데/NNB
(북측과)	(/SS+북측/NNG+과/JKB+)/SS
의견을	의견/NNG+을/JKO
같이했다”고	같이/MAG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.372.7.1
현 회장이 받은 친서에 금강산관광 재개에 대한 명시적인 언급은 없었다.

현	현/NNP
회장이	회장/NNG+이/JKS
받은	받/VV+은/ETM
친서에	친서/NNG+에/JKB
금강산관광	금강산/NNP+관광/NNG
재개에	재개/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
명시적인	명시/NNG+적/XSN+이/VCP+ㄴ/ETM
언급은	언급/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.372.7.2
하지만 현 회장의 방북이 잦아졌기 때문에 곧 관광이 재개되는 것이 아니냐는 관측도 나온다.

하지만	하지만/MAJ
현	현/NNP
회장의	회장/NNG+의/JKG
방북이	방북/NNG+이/JKS
잦아졌기	잦아지/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
곧	곧/MAG
관광이	관광/NNG+이/JKS
재개되는	재개/NNG+되/XSV+는/ETM
것이	것/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
관측도	관측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.372.7.3
현 회장은 올해 세 번 방북했다.

현	현/NNP
회장은	회장/NNG+은/JX
올해	올해/NNG
세	세/MMN
번	번/NNB
방북했다.	방북/NNG+하/XSV+았/EP+다/EF+./SF


