# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.89
metadata : {}


# id : NWRW1800000046.89.1.1
"가장 아픈 상처를 치료했습니다"

"가장	"/SS+가장/MAG
20년간	20/SN+년/NNB+간/XSN
홀트아동복지회에서	홀트아동복지회/NNP+에서/JKB
58명의	58/SN+명/NNB+의/JKG
어린이가	어린이/NNG+가/JKS
새	새/MMA
가족을	가족/NNG+을/JKO
찾을	찾/VV+을/ETM
때까지	때/NNG+까지/JX
위탁모	위탁모/NNG
역할을	역할/NNG+을/JKO
맡아준	맡/VV+아/EC+주/VX+ㄴ/ETM
이순임(58)씨가	이순임/NNP+(/SS+58/SN+)/SS+씨/NNB+가/JKS
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.89.5.4
선행상 수상 이후에도 꾸준히 봉사 활동을 하는 사람이나 단체에 주는 특별상(상금 500만원)은 제6회 때 본상을 받은 사랑봉사회가 수상했다.

선행상	선행상/NNG
수상	수상/NNG
이후에도	이후/NNG+에/JKB+도/JX
꾸준히	꾸준히/MAG
봉사	봉사/NNG
활동을	활동/NNG+을/JKO
하는	하/VV+는/ETM
사람이나	사람/NNG+이나/JC
단체에	단체/NNG+에/JKB
주는	주/VV+는/ETM
특별상(상금	특별상/NNG+(/SS+상금/NNG
500만원)은	500/SN+만/NR+원/NNB+)/SS+은/JX
제6회	제/XPN+6/SN+회/NNB
때	때/NNG
본상을	본상/NNG+을/JKO
받은	받/VV+은/ETM
사랑봉사회가	사랑/NNG+봉사회/NNG+가/JKS
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.89.6.1
고(故) 이동찬 코오롱 명예회장의 호를 딴 우정선행상은 선행과 미담을 널리 알리기 위해 2001년 제정됐다.

고(故)	고/MMA+(/SS+故/SH+)/SS
이동찬	이동찬/NNP
코오롱	코오롱/NNP
명예회장의	명예/NNG+회장/NNG+의/JKG
호를	호/NNG+를/JKO
딴	따/VV+ㄴ/ETM
우정선행상은	우정/NNP+선행상/NNG+은/JX
선행과	선행/NNG+과/JC
미담을	미담/NNG+을/JKO
널리	널리/MAG
알리기	알리/VV+기/ETN
위해	위하/VV+아/EC
2001년	2001/SN+년/NNB
제정됐다.	제정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.89.6.2
당시 자식이 부모를 살해하는 패륜 범죄가 속출하자 미담 사례를 발굴해 널리 알리자는 취지에서 만들어진 상이다.

당시	당시/NNG
자식이	자식/NNG+이/JKS
부모를	부모/NNG+를/JKO
살해하는	살해/NNG+하/XSV+는/ETM
패륜	패륜/NNG
범죄가	범죄/NNG+가/JKS
속출하자	속출/NNG+하/XSV+자/EC
미담	미담/NNG
사례를	사례/NNG+를/JKO
발굴해	발굴/NNG+하/XSV+아/EC
널리	널리/MAG
알리자는	알리/VV+자는/ETM
취지에서	취지/NNG+에서/JKB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
상이다.	상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.89.6.3
강영훈 전 국무총리와 김재순 전 국회의장, 정의숙 전 이화학당 이사장 등이 심사위원으로 참여하고 있다.

강영훈	강영훈/NNP
전	전/MMD
국무총리와	국무총리/NNG+와/JC
김재순	김재순/NNP
국회의장,	국회/NNG+의장/NNG+,/SP
정의숙	정의숙/NNP
이화학당	이화학당/NNP
이사장	이사장/NNG
등이	등/NNB+이/JKS
심사위원으로	심사/NNG+위원/NNG+으로/JKB
참여하고	참여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.89.7.1
이 명예회장은 지난해 11월 작고하기 전까지 한 해도 빠짐없이 시상식을 찾았다.

이	이/NNP
명예회장은	명예/NNG+회장/NNG+은/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
작고하기	작고/NNG+하/XSV+기/ETN
전까지	전/NNG+까지/JX
한	한/MMN
해도	해/NNB+도/JX
빠짐없이	빠짐없이/MAG
시상식을	시상식/NNG+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.89.7.2
올해 시상식에는 아버지에 이어 오운재단 이사장을 맡은 이웅열 코오롱 회장이 처음으로 시상자로 나섰다.

올해	올해/NNG
시상식에는	시상식/NNG+에/JKB+는/JX
아버지에	아버지/NNG+에/JKB
이어	잇/VV+어/EC
오운재단	오운재단/NNP
이사장을	이사장/NNG+을/JKO
맡은	맡/VV+은/ETM
이웅열	이웅열/NNP
코오롱	코오롱/NNP
회장이	회장/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
시상자로	시상자/NNG+로/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.89.7.3
이 회장은 "우정선행상은 아버지가 생전에 가장 챙기시던 사업"이라며 "아버지의 뜻을 이어받아 더 많은 사람이 선행의 가치를 공유하며 더불어 사는 사회를 만들어 가도록 노력하겠다"고 했다.

이	이/NNP
회장은	회장/NNG+은/JX
"우정선행상은	"/SS+우정/NNP+선행상/NNG+은/JX
아버지가	아버지/NNG+가/JKS
생전에	생전/NNG+에/JKB
가장	가장/MAG
챙기시던	챙기/VV+시/EP+던/ETM
사업"이라며	사업/NNG+"/SS+이/VCP+라며/EC
"아버지의	"/SS+아버지/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
이어받아	이어받/VV+아/EC
더	더/MAG
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
선행의	선행/NNG+의/JKG
가치를	가치/NNG+를/JKO
공유하며	공유/NNG+하/XSV+며/EC
더불어	더불/VV+어/EC
사는	살/VV+는/ETM
사회를	사회/NNG+를/JKO
만들어	만들/VV+어/EC
가도록	가/VX+도록/EC
노력하겠다"고	노력/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


