# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.257
metadata : {}


# id : NWRW1800000026.257.1.1
양희영 3언더 공동선두… 신지애도 1언더 순조;브리티시 여자오픈 1라운드

양희영	양희영/NNP
# id : NWRW1800000026.257.4.1
2010년 브리티시여자오픈은 신지애에게 세계 1위와 미 LPGA투어 상금 랭킹 1위 자리를 굳건하게 할 기회다.

2010년	2010/SN+년/NNB
브리티시여자오픈은	브리티시/NNP+여자/NNG+오픈/NNG+은/JX
신지애에게	신지애/NNP+에게/JKB
세계	세계/NNG
1위와	1/SN+위/NNB+와/JC
미	미/NNP
LPGA투어	LPGA/SL+투어/NNG
상금	상금/NNG
랭킹	랭킹/NNG
1위	1/SN+위/NNB
자리를	자리/NNG+를/JKO
굳건하게	굳건하/VA+게/EC
할	하/VX+ㄹ/ETM
기회다.	기회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.257.5.1
신지애는 지난 25일 에비앙마스터스에서 우승하며 세계 랭킹 1위에 복귀했고, 미 LPGA투어 상금 랭킹 1위를 달리고 있다.

신지애는	신지애/NNP+는/JX
지난	지나/VV+ㄴ/ETM
25일	25/SN+일/NNB
에비앙마스터스에서	에비앙마스터스/NNP+에서/JKB
우승하며	우승/NNG+하/XSV+며/EC
세계	세계/NNG
랭킹	랭킹/NNG
1위에	1/SN+위/NNB+에/JKB
복귀했고,	복귀/NNG+하/XSV+았/EP+고/EC+,/SP
미	미/NNP
LPGA투어	LPGA/SL+투어/NNG
상금	상금/NNG
1위를	1/SN+위/NNB+를/JKO
달리고	달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.257.5.2
하지만 미야자토 아이(일본)와 크리스티 커(미국), 수잔 페테르센(노르웨이) 등 상위권 선수들과 차이가 크지 않아 메이저 대회인 브리티시오픈 우승이 절실한 상황이다.

하지만	하지만/MAJ
미야자토	미야자토/NNP
아이(일본)와	아이/NNP+(/SS+일본/NNP+)/SS+와/JC
크리스티	크리스티/NNP
커(미국),	커/NNP+(/SS+미국/NNP+)/SS+,/SP
수잔	수잔/NNP
페테르센(노르웨이)	페테르센/NNP+(/SS+노르웨이/NNP+)/SS
등	등/NNB
상위권	상위/NNG+권/XSN
선수들과	선수/NNG+들/XSN+과/JKB
차이가	차이/NNG+가/JKS
크지	크/VA+지/EC
않아	않/VX+아/EC
메이저	메이저/NNG
대회인	대회/NNG+이/VCP+ㄴ/ETM
브리티시오픈	브리티시/NNP+오픈/NNG
우승이	우승/NNG+이/JKS
절실한	절실하/VA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.257.6.1
신지애는 29일(한국 시각) 잉글랜드 사우스포트의 로열 버크데일 골프 링크스에서 열린 브리티시여자오픈 1라운드에서 버디 2개, 보기 1개로 1언더파 71타를 기록해 선두권에 올랐다.

신지애는	신지애/NNP+는/JX
29일(한국	29/SN+일/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
잉글랜드	잉글랜드/NNP
사우스포트의	사우스포트/NNP+의/JKG
로열	로열/NNP
버크데일	버크데일/NNP
골프	골프/NNG
링크스에서	링크스/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
브리티시여자오픈	브리티시/NNP+여자/NNG+오픈/NNG
1라운드에서	1/SN+라운드/NNG+에서/JKB
버디	버디/NNG
2개,	2/SN+개/NNB+,/SP
보기	보기/NNG
1개로	1/SN+개/NNB+로/JKB
1언더파	1/SN+언더/NNG+파/NNG
71타를	71/SN+타/NNG+를/JKO
기록해	기록/NNG+하/XSV+아/EC
선두권에	선두/NNG+권/XSN+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.257.6.2
신지애는 2번 홀(파4)에서 보기를 기록했으나, 곧바로 3번 홀(파4)에서 버디로 만회했고, 18번 홀(파5)에서 버디를 추가했다.

신지애는	신지애/NNP+는/JX
2번	2/SN+번/NNB
홀(파4)에서	홀/NNG+(/SS+파/NNG+4/SN+)/SS+에서/JKB
보기를	보기/NNG+를/JKO
기록했으나,	기록/NNG+하/XSV+았/EP+으나/EC+,/SP
곧바로	곧바로/MAG
3번	3/SN+번/NNB
버디로	버디/NNG+로/JKB
만회했고,	만회/NNG+하/XSV+았/EP+고/EC+,/SP
18번	18/SN+번/NNB
홀(파5)에서	홀/NNG+(/SS+파/NNG+5/SN+)/SS+에서/JKB
버디를	버디/NNG+를/JKO
추가했다.	추가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.257.7.1
신지애는 30일 오전 0시30분 현재 줄리 잉스터, 브리타니 랑(이상 미국) 등과 함께 공동 5위를 달렸다.

신지애는	신지애/NNP+는/JX
30일	30/SN+일/NNB
오전	오전/NNG
0시30분	0/SN+시/NNB+30/SN+분/NNB
현재	현재/MAG
줄리	줄리/NNP
잉스터,	잉스터/NNP+,/SP
브리타니	브리타니/NNP
랑(이상	랑/NNP+(/SS+이상/NNG
미국)	미국/NNP+)/SS
등과	등/NNB+과/JKB
함께	함께/MAG
공동	공동/NNG
5위를	5/SN+위/NNB+를/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.257.7.2
양희영이 3언더파로 안느 리스 카우달(프랑스)과 함께 공동 선두에 올랐다.

양희영이	양희영/NNP+이/JKS
3언더파로	3/SN+언더/NNG+파/NNG+로/JKB
안느	안느/NNP
리스	리스/NNP
카우달(프랑스)과	카우달/NNP+(/SS+프랑스/NNP+)/SS+과/JC
함께	함께/MAG
공동	공동/NNG
선두에	선두/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.257.7.3
김인경은 2언더파로 공동 3위였다.

김인경은	김인경/NNP+은/JX
2언더파로	2/SN+언더/NNG+파/NNG+로/JKB
공동	공동/NNG
3위였다.	3/SN+위/NNB+이/VCP+었/EP+다/EF+./SF


