# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.208
metadata : {}


# id : NWRW1800000029.208.1.1
“타이레놀 장기복용, 혈액암 위험 높인다”

“타이레놀	“/SS+타이레놀/NNP
연구에 참여한 프레드 허친슨 암연구센터 소속 에밀리 화이트 박사는 “50세 이상 성인은 10년간 혈액암에 걸릴 확률이 약 1%인데 아세트아미노펜을 장기간 복용하면 이러한 위험이 2%로 높아진다는 뜻”이라고 말했다.

연구에	연구/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
프레드	프레드/NNP
허친슨	허친슨/NNP
암연구센터	암/NNG+연구/NNG+센터/NNG
소속	소속/NNG
에밀리	에밀리/NNP
화이트	화이트/NNP
박사는	박사/NNG+는/JX
“50세	“/SS+50/SN+세/NNB
이상	이상/NNG
성인은	성인/NNG+은/JX
10년간	10/SN+년/NNB+간/XSN
혈액암에	혈액암/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
확률이	확률/NNG+이/JKS
약	약/MMA
1%인데	1/SN+%/SW+이/VCP+ㄴ데/EC
아세트아미노펜을	아세트아미노펜/NNG+을/JKO
장기간	장기간/NNG
복용하면	복용/NNG+하/XSV+면/EC
이러한	이러하/VA+ㄴ/ETM
위험이	위험/NNG+이/JKS
2%로	2/SN+%/SW+로/JKB
높아진다는	높아지/VV+ㄴ다는/ETM
뜻”이라고	뜻/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.208.7.1
연구팀은 아스피린과 이부프로펜 등 다른 진통제의 경우 과다 복용으로 인해 혈액암 발병 위험이 높아지지는 않았다고 덧붙였다.

연구팀은	연구/NNG+팀/NNG+은/JX
아스피린과	아스피린/NNP+과/JC
이부프로펜	이부프로펜/NNG
등	등/NNB
다른	다른/MMD
진통제의	진통제/NNG+의/JKG
경우	경우/NNG
과다	과다/NNG
복용으로	복용/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
혈액암	혈액암/NNG
발병	발병/NNG
위험이	위험/NNG+이/JKS
높아지지는	높아지/VV+지/EC+는/JX
않았다고	않/VX+았/EP+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.208.7.2
연구결과는 9일 공개된 ‘임상종양학 저널’ 온라인판에 소개됐다.

연구결과는	연구/NNG+결과/NNG+는/JX
9일	9/SN+일/NNB
공개된	공개/NNG+되/XSV+ㄴ/ETM
‘임상종양학	‘/SS+임상/NNG+종양학/NNG
저널’	저널/NNG+’/SS
온라인판에	온라인판/NNG+에/JKB
소개됐다.	소개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.208.8.1
타이레놀 제조사인 맥닐컨슈머헬스케어 측은 “타이레놀은 50년 이상 임상실험 역사를 갖고 있다”며 “아세트아미노펜 복용에 대한 어떤 결론을 내리기 전에 추가적인 연구가 필요하다”고 밝혔다.

타이레놀	타이레놀/NNP
제조사인	제조사/NNG+이/VCP+ㄴ/ETM
맥닐컨슈머헬스케어	맥닐컨슈머헬스케어/NNP
측은	측/NNB+은/JX
“타이레놀은	“/SS+타이레놀/NNP+은/JX
50년	50/SN+년/NNB
이상	이상/NNG
임상실험	임상/NNG+실험/NNG
역사를	역사/NNG+를/JKO
갖고	갖/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“아세트아미노펜	“/SS+아세트아미노펜/NNG
복용에	복용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
어떤	어떤/MMD
결론을	결론/NNG+을/JKO
내리기	내리/VV+기/ETN
전에	전/NNG+에/JKB
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
연구가	연구/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.208.9.1
한편 식품의약품안전청은 이 같은 연구결과에 대해 “연구의 출처와 목적을 파악하고 대책을 마련하겠다”고 말했다.

한편	한편/MAG
식품의약품안전청은	식품/NNG+의약품/NNG+안전청/NNG+은/JX
이	이/NP
같은	같/VA+은/ETM
연구결과에	연구/NNG+결과/NNG+에/JKB
대해	대하/VV+아/EC
“연구의	“/SS+연구/NNG+의/JKG
출처와	출처/NNG+와/JC
목적을	목적/NNG+을/JKO
파악하고	파악/NNG+하/XSV+고/EC
대책을	대책/NNG+을/JKO
마련하겠다”고	마련/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.208.9.2
만약 연구결과가 신빙성이 있고 미국 식품의약국(FDA)의 검증을 거친다면 아세트아미노펜의 용량을 제한하는 등의 조치가 예상된다.

만약	만약/NNG
연구결과가	연구/NNG+결과/NNG+가/JKS
신빙성이	신빙/NNG+성/XSN+이/JKS
있고	있/VA+고/EC
미국	미국/NNP
식품의약국(FDA)의	식품/NNG+의약국/NNG+(/SS+FDA/SL+)/SS+의/JKG
검증을	검증/NNG+을/JKO
거친다면	거치/VV+ㄴ다면/EC
아세트아미노펜의	아세트아미노펜/NNG+의/JKG
용량을	용량/NNG+을/JKO
제한하는	제한/NNG+하/XSV+는/ETM
등의	등/NNB+의/JKG
조치가	조치/NNG+가/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


