# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.148
metadata : {}


# id : NWRW1800000026.148.1.1
[46용사들, 국민 가슴에 잠들다] "아들아! 여보! 아침 먹고 가야지"… 어머니·부인들이 차린 마지막 밥상

[46용사들,	[/SS+46/SN+용사/NNG+들/XSN+,/SP
# id : NWRW1800000026.148.4.1
고(故) 장진선 중사 어머니는 "우리 강아지 어떡해"라며 오열했다.

고(故)	고/MMA+(/SS+故/SH+)/SS
장진선	장진선/NNP
중사	중사/NNG
어머니는	어머니/NNG+는/JX
"우리	"/SS+우리/NP
강아지	강아지/NNG
어떡해"라며	어떡하/VV+아/EF+"/SS+이/VCP+라며/EC
오열했다.	오열/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.148.4.2
고 박보람 중사 어머니 박영이(48)씨는 "보람아, 반찬도 없이 이렇게 초라한 밥상을 차려줘서 정말 미안하다"며 영정 속 아들 얼굴을 쓰다듬었다.

고	고/MMA
박보람	박보람/NNP
중사	중사/NNG
어머니	어머니/NNG
박영이(48)씨는	박영이/NNP+(/SS+48/SN+)/SS+씨/NNB+는/JX
"보람아,	"/SS+보람/NNP+아/JKV+,/SP
반찬도	반찬/NNG+도/JX
없이	없이/MAG
이렇게	이렇/VA+게/EC
초라한	초라하/VA+ㄴ/ETM
밥상을	밥상/NNG+을/JKO
차려줘서	차리/VV+어/EC+주/VX+어서/EC
정말	정말/MAG
미안하다"며	미안/NNG+하/XSA+다/EF+"/SS+며/EC
영정	영정/NNG
속	속/NNG
아들	아들/NNG
얼굴을	얼굴/NNG+을/JKO
쓰다듬었다.	쓰다듬/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.148.4.3
고 강준 상사 어머니는 아들 사진을 보며 "막둥아, 미안해. 평생 널 지키지 못한 짐을 지고 살거야, 막둥아"라며 한없이 막둥이를 불렀다.

고	고/MMA
강준	강준/NNP
상사	상사/NNG
어머니는	어머니/NNG+는/JX
아들	아들/NNG
사진을	사진/NNG+을/JKO
보며	보/VV+며/EC
"막둥아,	"/SS+막둥이/NNG+아/JKV+,/SP
미안해.	미안/NNG+하/XSA+아/EF+./SF
평생	평생/NNG
널	너/NP+ㄹ/JKO
지키지	지키/VV+지/EC
못한	못하/VX+ㄴ/ETM
짐을	짐/NNG+을/JKO
지고	지/VV+고/EC
살거야,	살/VV+ㄹ/ETM+거/NNB+이/VCP+야/EF+,/SP
막둥아"라며	막둥이/NNG+아/JKV+"/SS+이/VCP+라며/EC
한없이	한없이/MAG
막둥이를	막둥이/NNG+를/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.148.4.4
한바탕 눈물을 쏟아낸 어머니들은 영정 앞에 일렬로 서서 분향과 묵념을 한 뒤 아들들이 먹지 못한 밥을 먹었다.

한바탕	한바탕/MAG
눈물을	눈물/NNG+을/JKO
쏟아낸	쏟/VV+아/EC+내/VX+ㄴ/ETM
어머니들은	어머니/NNG+들/XSN+은/JX
영정	영정/NNG
앞에	앞/NNG+에/JKB
일렬로	일렬/NNG+로/JKB
서서	서/VV+어서/EC
분향과	분향/NNG+과/JC
묵념을	묵념/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
아들들이	아들/NNG+들/XSN+이/JKS
먹지	먹/VV+지/EC
못한	못하/VX+ㄴ/ETM
밥을	밥/NNG+을/JKO
먹었다.	먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.148.4.5
눈물이 섞인 밥을 억지로 삼키는 모습은 주변 사람들까지 애잔하게 했다.

눈물이	눈물/NNG+이/JKS
섞인	섞이/VV+ㄴ/ETM
밥을	밥/NNG+을/JKO
억지로	억지로/MAG
삼키는	삼키/VV+는/ETM
모습은	모습/NNG+은/JX
주변	주변/NNG
사람들까지	사람/NNG+들/XSN+까지/JX
애잔하게	애잔하/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.148.5.1
40여분 아침 식사 시간이 지난 오전 7시 30분쯤, 해군 의장대 병사 46명이 영정앞에 놓였던 위패를 두 손으로 들고 영결식장으로 가는 버스에 올랐다.

40여분	40/SN+여/XSN+분/NNB
아침	아침/NNG
식사	식사/NNG
시간이	시간/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
오전	오전/NNG
7시	7/SN+시/NNB
30분쯤,	30/SN+분/NNB+쯤/XSN+,/SP
해군	해군/NNG
의장대	의장대/NNG
병사	병사/NNG
46명이	46/SN+명/NNB+이/JKS
영정앞에	영정/NNG+앞/NNG+에/JKB
놓였던	놓이/VV+었/EP+던/ETM
위패를	위패/NNG+를/JKO
두	두/MMN
손으로	손/NNG+으로/JKB
들고	들/VV+고/EC
영결식장으로	영결식장/NNG+으로/JKB
가는	가/VV+는/ETM
버스에	버스/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.148.5.2
30분쯤 뒤에는 천안함 생존 장병 46명이 영정을 조심스레 들고 영결식장으로 향했다.

30분쯤	30/SN+분/NNB+쯤/XSN
뒤에는	뒤/NNG+에/JKB+는/JX
천안함	천안함/NNP
생존	생존/NNG
장병	장병/NNG
46명이	46/SN+명/NNB+이/JKS
영정을	영정/NNG+을/JKO
조심스레	조심스레/MAG
들고	들/VV+고/EC
영결식장으로	영결식장/NNG+으로/JKB
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.148.5.3
어머니가 마지막으로 차려준 아침 밥상을 아들·남편들은 그렇게 받아들고 떠났다.

어머니가	어머니/NNG+가/JKS
마지막으로	마지막/NNG+으로/JKB
차려준	차리/VV+어/EC+주/VX+ㄴ/ETM
아침	아침/NNG
밥상을	밥상/NNG+을/JKO
아들·남편들은	아들/NNG+·/SP+남편/NNG+들/XSN+은/JX
그렇게	그렇/VA+게/EC
받아들고	받/VV+아/EC+들/VV+고/EC
떠났다.	떠나/VV+았/EP+다/EF+./SF


