# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.372
metadata : {}


# id : NWRW1800000044.372.1.1
다시 손잡은 ‘풍우동주’

다시	다시/MAG
김 대표 등 새누리당 지도부는 당장 7·30 재보선 승리를 위해 박 대통령과의 친밀감을 과시할 필요가 있다.

김	김/NNP
대표	대표/NNG
등	등/NNB
새누리당	새누리당/NNP
지도부는	지도부/NNG+는/JX
당장	당장/NNG
7·30	7/SN+·/SP+30/SN
재보선	재보선/NNG
승리를	승리/NNG+를/JKO
위해	위하/VV+아/EC
박	박/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
친밀감을	친밀감/NNG+을/JKO
과시할	과시/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.372.7.1
당에서 김무성 대표, 김태호·이인제·김을동 최고위원, 이완구 원내대표, 주호영 정책위의장, 윤상현 사무총장이 참석했다.

당에서	당/NNG+에서/JKB
김무성	김무성/NNP
대표,	대표/NNG+,/SP
김태호·이인제·김을동	김태호/NNP+·/SP+이인제/NNP+·/SP+김을동/NNP
최고위원,	최고/NNG+위원/NNG+,/SP
이완구	이완구/NNP
원내대표,	원내/NNG+대표/NNG+,/SP
주호영	주호영/NNP
정책위의장,	정책위/NNG+의장/NNG+,/SP
윤상현	윤상현/NNP
사무총장이	사무총장/NNG+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.372.7.2
서청원 최고위원은 건강을 이유로 참석하지 않았다.

서청원	서청원/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
건강을	건강/NNG+을/JKO
이유로	이유/NNG+로/JKB
참석하지	참석/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.372.8.1
박 대통령은 환한 표정으로 “축하한다.

박	박/NNP
대통령은	대통령/NNG+은/JX
환한	환하/VA+ㄴ/ETM
표정으로	표정/NNG+으로/JKB
“축하한다.	“/SS+축하/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.372.8.2
고생 많으셨다”며 참석자들과 악수했다.

고생	고생/NNG
많으셨다”며	많/VA+으시/EP+었/EP+다/EF+”/SS+며/EC
참석자들과	참석자/NNG+들/XSN+과/JKB
악수했다.	악수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.372.8.3
박 대통령은 “내각 2기가 이제 시작된다.

박	박/NNP
대통령은	대통령/NNG+은/JX
“내각	“/SS+내각/NNG
2기가	2/SN+기/NNG+가/JKS
이제	이제/MAG
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.372.8.4
경제 살리기, 비정상의 정상화, 국가 적폐 해소를 위해 여당의 도움이 절실하다.

경제	경제/NNG
살리기,	살리/VV+기/ETN+,/SP
비정상의	비/XPN+정상/NNG+의/JKG
정상화,	정상/NNG+화/XSN+,/SP
국가	국가/NNG
적폐	적폐/NNG
해소를	해소/NNG+를/JKO
위해	위하/VV+아/EC
여당의	여당/NNG+의/JKG
도움이	도움/NNG+이/JKS
절실하다.	절실하/VA+다/EF+./SF


# id : NWRW1800000044.372.8.5
여당이 앞장서달라”고 말했다.

여당이	여당/NNG+이/JKS
앞장서달라”고	앞장서/VV+어/EC+달/VX+라/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.372.9.1
김 대표는 “대통령께서 빨리 이렇게 저희를 축하해 주셔서 감사한다”며 “수락연설에서 말씀드렸지만 우리 모두는 ‘풍우동주’(風雨同舟)다.

김	김/NNP
대표는	대표/NNG+는/JX
“대통령께서	“/SS+대통령/NNG+께서/JKS
빨리	빨리/MAG
이렇게	이렇/VA+게/EC
저희를	저희/NP+를/JKO
축하해	축하/NNG+하/XSV+아/EC
주셔서	주/VX+시/EP+어서/EC
감사한다”며	감사/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“수락연설에서	“/SS+수락/NNG+연설/NNG+에서/JKB
말씀드렸지만	말씀/NNG+드리/VV+었/EP+지만/EC
우리	우리/NP
모두는	모두/NNG+는/JX
‘풍우동주’(風雨同舟)다.	‘/SS+풍우동주/NNG+’/SS+(/SS+風雨同舟/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000044.372.9.2
어떤 비바람 속에서도 한배를 탄 공동운명체다.

어떤	어떤/MMD
비바람	비바람/NNG
속에서도	속/NNG+에서/JKB+도/JX
한배를	한배/NNG+를/JKO
탄	타/VV+ㄴ/ETM
공동운명체다.	공동/NNG+운명체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.372.9.3
대통령 잘 모시고 잘 하겠다”고 다짐했다.

대통령	대통령/NNG
잘	잘/MAG
모시고	모시/VV+고/EC
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.372.9.4
그는 또 “어떻게 만든 정권인데 대통령을 잘못되게 할 수 있느냐.

그는	그/NP+는/JX
또	또/MAG
“어떻게	“/SS+어떻/VA+게/EC
만든	만들/VV+ㄴ/ETM
정권인데	정권/NNG+이/VCP+ㄴ데/EC
대통령을	대통령/NNG+을/JKO
잘못되게	잘못/MAG+되/XSV+게/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있느냐.	있/VA+느냐/EF+./SF


# id : NWRW1800000044.372.9.5
잘 모시겠다”고 했다고 참석자들이 전했다.

잘	잘/MAG
모시겠다”고	모시/VV+겠/EP+다/EF+”/SS+고/JKQ
했다고	하/VV+았/EP+다고/EC
참석자들이	참석자/NNG+들/XSN+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.372.9.6
박 대통령과 김 대표는 오찬 말미에 별도로 독대해 정국 현안과 관련한 의견을 주고받기도 했다.

박	박/NNP
대통령과	대통령/NNG+과/JC
김	김/NNP
대표는	대표/NNG+는/JX
오찬	오찬/NNG
말미에	말미/NNG+에/JKB
별도로	별도/NNG+로/JKB
독대해	독대/NNG+하/XSV+아/EC
정국	정국/NNG
현안과	현안/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
의견을	의견/NNG+을/JKO
주고받기도	주고받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.372.10.1
비공개 오찬에서 나눈 대화 내용에 대해 김 대표는 기자들에게 “의례적인 덕담 수준이었고 특별한 내용은 없었다.

비공개	비/XPN+공개/NNG
오찬에서	오찬/NNG+에서/JKB
나눈	나누/VV+ㄴ/ETM
대화	대화/NNG
내용에	내용/NNG+에/JKB
대해	대하/VV+아/EC
김	김/NNP
대표는	대표/NNG+는/JX
기자들에게	기자/NNG+들/XSN+에게/JKB
“의례적인	“/SS+의례/NNG+적/XSN+이/VCP+ㄴ/ETM
덕담	덕담/NNG
수준이었고	수준/NNG+이/VCP+었/EP+고/EC
특별한	특별/NNG+하/XSA+ㄴ/ETM
내용은	내용/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000044.372.10.2
(대통령이) 경제가 상당히 어려우니 잘 협조해줄 것과 일자리 창출을 위해 서비스산업 규제 철폐를 같이 좀 잘해 나가자는 얘기를 했다”고 말했다.

(대통령이)	(/SS+대통령/NNG+이/JKS+)/SS
경제가	경제/NNG+가/JKS
상당히	상당히/MAG
어려우니	어렵/VA+으니/EC
잘	잘/MAG
협조해줄	협조/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것과	것/NNB+과/JC
일자리	일자리/NNG
창출을	창출/NNG+을/JKO
위해	위하/VV+아/EC
서비스산업	서비스/NNG+산업/NNG
규제	규제/NNG
철폐를	철폐/NNG+를/JKO
같이	같이/MAG
좀	좀/MAG
잘해	잘/MAG+하/XSV+아/EC
나가자는	나가/VX+자는/ETM
얘기를	얘기/NNG+를/JKO
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.372.10.3
또 회동을 정례화하자는 얘기는 하지 못했고 자주 만나자는 얘기는 있었다고 김 대표는 전했다.

또	또/MAG
회동을	회동/NNG+을/JKO
정례화하자는	정례/NNG+화/XSN+하/XSV+자는/ETM
얘기는	얘기/NNG+는/JX
하지	하/VV+지/EC
못했고	못하/VX+았/EP+고/EC
자주	자주/MAG
만나자는	만나/VV+자는/ETM
있었다고	있/VA+었/EP+다고/EC
김	김/NNP
대표는	대표/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.372.10.4
일부 최고위원들은 당·청 소통, 인사 문제 등에 직언을 한 것으로 알려졌다.

일부	일부/NNG
최고위원들은	최고/NNG+위원/NNG+들/XSN+은/JX
당·청	당·청/NNG
소통,	소통/NNG+,/SP
인사	인사/NNG
문제	문제/NNG
등에	등/NNB+에/JKB
직언을	직언/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.372.11.1
풍우동주는 춘추시대에 사이가 나빴던 오나라와 월나라 사람들이 같은 배를 타게 됐는데 폭풍우가 몰아치자 난관을 벗어나기 위해 서로 힘을 합쳤다는 뜻의 고사성어다.

풍우동주는	풍우동주/NNG+는/JX
춘추시대에	춘추/NNG+시대/NNG+에/JKB
사이가	사이/NNG+가/JKS
나빴던	나쁘/VA+았/EP+던/ETM
오나라와	오나라/NNP+와/JC
월나라	월나라/NNG
사람들이	사람/NNG+들/XSN+이/JKS
같은	같/VA+은/ETM
배를	배/NNG+를/JKO
타게	타/VV+게/EC
됐는데	되/VV+었/EP+는데/EC
폭풍우가	폭풍우/NNG+가/JKS
몰아치자	몰아치/VV+자/EC
난관을	난관/NNG+을/JKO
벗어나기	벗어나/VV+기/ETN
위해	위하/VV+아/EC
서로	서로/MAG
힘을	힘/NNG+을/JKO
합쳤다는	합치/VV+었/EP+다는/ETM
뜻의	뜻/NNG+의/JKG
고사성어다.	고사성어/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.372.11.2
오월동주(吳越同舟)와 같은 뜻이다.

오월동주(吳越同舟)와	오월동주/NNG+(/SS+吳越同舟/SH+)/SS+와/JKB
같은	같/VA+은/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


