# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.237
metadata : {}


# id : NWRW1800000033.237.1.1
드디어 터졌다, 장성호 2000안타… 양준혁-전준호 이어 3번째

드디어	드디어/MAG
벌렸고	벌리/VV+었/EP+고/EC
2년	2/SN+년/NNB
연속	연속/NNG
한국시리즈	한국/NNP+시리즈/NNG
직행을	직행/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
매직넘버를	매직넘버/NNG+를/JKO
‘10’으로	‘/SS+10/SN+’/SS+으로/JKB
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.237.5.1
류현진의 구위에 눌려 5회까지 점수를 뽑지 못했던 삼성은 0-2로 뒤진 6회 대타 강봉규의 2타점 2루타를 포함해 안타 3개와 상대 실책을 묶어 3득점하며 승부를 뒤집었다.

류현진의	류현진/NNP+의/JKG
구위에	구위/NNG+에/JKB
눌려	눌리/VV+어/EC
5회까지	5/SN+회/NNB+까지/JX
점수를	점수/NNG+를/JKO
뽑지	뽑/VV+지/EC
못했던	못하/VX+았/EP+던/ETM
삼성은	삼성/NNP+은/JX
0-2로	0/SN+-/SO+2/SN+로/JKB
뒤진	뒤지/VV+ㄴ/ETM
6회	6/SN+회/NNB
대타	대타/NNG
강봉규의	강봉규/NNP+의/JKG
2타점	2/SN+타점/NNG
2루타를	2루타/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
안타	안타/NNG
3개와	3/SN+개/NNB+와/JC
상대	상대/NNG
실책을	실책/NNG+을/JKO
묶어	묶/VV+어/EC
3득점하며	3/SN+득점/NNG+하/XSV+며/EC
승부를	승부/NNG+를/JKO
뒤집었다.	뒤집/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.237.5.2
삼성 선발 고든은 6이닝을 2실점으로 막고 8연승을 질주했다.

삼성	삼성/NNP
선발	선발/NNG
고든은	고든/NNP+은/JX
6이닝을	6/SN+이닝/NNG+을/JKO
2실점으로	2/SN+실점/NNG+으로/JKB
막고	막/VV+고/EC
8연승을	8/SN+연승/NNG+을/JKO
질주했다.	질주/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.237.5.3
9회 마운드에 올라 3명의 타자를 완벽하게 틀어막은 삼성 오승환은 시즌 33세이브를 기록하며 롯데 김사율과 이 부문 공동 1위가 됐다.

9회	9/SN+회/NNB
마운드에	마운드/NNG+에/JKB
올라	오르/VV+아/EC
3명의	3/SN+명/NNB+의/JKG
타자를	타자/NNG+를/JKO
완벽하게	완벽/NNG+하/XSA+게/EC
틀어막은	틀어막/VV+은/ETM
삼성	삼성/NNP
오승환은	오승환/NNP+은/JX
시즌	시즌/NNG
33세이브를	33/SN+세이브/NNG+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
롯데	롯데/NNP
김사율과	김사율/NNP+과/JKB
이	이/MMD
부문	부문/NNG
공동	공동/NNG
1위가	1/SN+위/NNB+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.237.5.4
최근 3연승을 기록했던 류현진은 6이닝 7안타 3실점하며 9패(8승)째를 당했다.

최근	최근/MAG
3연승을	3/SN+연승/NNG+을/JKO
기록했던	기록/NNG+하/XSV+았/EP+던/ETM
류현진은	류현진/NNP+은/JX
6이닝	6/SN+이닝/NNG
7안타	7/SN+안타/NNG
3실점하며	3/SN+실점/NNG+하/XSV+며/EC
9패(8승)째를	9/SN+패/NNB+(/SS+8/SN+승/NNB+)/SS+째/XSN+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.237.6.1
한편 한화 장성호는 5회 오른쪽 안타를 날리며 1915경기 만에 통산 2000안타를 채웠다.

한편	한편/MAG
한화	한화/NNP
장성호는	장성호/NNP+는/JX
5회	5/SN+회/NNB
오른쪽	오른쪽/NNG
안타를	안타/NNG+를/JKO
날리며	날리/VV+며/EC
1915경기	1915/SN+경기/NNG
만에	만/NNB+에/JKB
통산	통산/NNG
2000안타를	2000/SN+안타/NNG+를/JKO
채웠다.	채우/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.237.6.2
양준혁 전준호(이상 은퇴)에 이어 역대 3번째이자 최연소(34세 11개월)의 대기록.

양준혁	양준혁/NNP
전준호(이상	전준호/NNP+(/SS+이상/NNG
은퇴)에	은퇴/NNG+)/SS+에/JKB
이어	잇/VV+어/EC
역대	역대/NNG
3번째이자	3/SN+번/NNB+째/XSN+이/VCP+자/EC
최연소(34세	최/XPN+연소/NNG+(/SS+34/SN+세/NNB
11개월)의	11/SN+개월/NNB+)/SS+의/JKG
대기록.	대/XPN+기록/NNG+./SF


# id : NWRW1800000033.237.6.3
충암고를 졸업하고 1996년 해태(현 KIA)에 입단한 장성호는 1998년부터 2006년까지 9년 연속 3할 타율을 기록하며 차곡차곡 안타 수를 늘려 왔다.

충암고를	충암고/NNP+를/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
1996년	1996/SN+년/NNB
해태(현	해태/NNP+(/SS+현/MMD
KIA)에	KIA/SL+)/SS+에/JKB
입단한	입단/NNG+하/XSV+ㄴ/ETM
장성호는	장성호/NNP+는/JX
1998년부터	1998/SN+년/NNB+부터/JX
2006년까지	2006/SN+년/NNB+까지/JX
9년	9/SN+년/NNB
연속	연속/NNG
3할	3/SN+할/NNB
타율을	타율/NNG+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
차곡차곡	차곡차곡/MAG
안타	안타/NNG
수를	수/NNG+를/JKO
늘려	늘리/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.237.6.4
KIA에서 한화로 옮긴 2010년 타율 0.245, 지난해 0.244로 부진했던 그는 올 시즌 5년 만에 세 자릿수 안타를 때려내며 ‘스나이퍼’의 부활을 알렸다.

KIA에서	KIA/SL+에서/JKB
한화로	한화/NNP+로/JKB
옮긴	옮기/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
타율	타율/NNG
0.245,	0/SN+./SP+245/SN+,/SP
지난해	지난해/NNG
0.244로	0/SN+./SP+244/SN+로/JKB
부진했던	부진/NNG+하/XSA+았/EP+던/ETM
그는	그/NP+는/JX
올	올/NNG
시즌	시즌/NNG
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
세	세/MMN
자릿수	자릿수/NNG
안타를	안타/NNG+를/JKO
때려내며	때리/VV+어/EC+내/VX+며/EC
‘스나이퍼’의	‘/SS+스나이퍼/NNG+’/SS+의/JKG
부활을	부활/NNG+을/JKO
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.237.6.5
장성호가 올해와 같은 페이스로 3, 4년을 더 뛴다면 양준혁(2318안타)의 기록도 넘을 것으로 보인다.

장성호가	장성호/NNP+가/JKS
올해와	올해/NNG+와/JKB
같은	같/VA+은/ETM
페이스로	페이스/NNG+로/JKB
3,	3/SN+,/SP
4년을	4/SN+년/NNB+을/JKO
더	더/MAG
뛴다면	뛰/VV+ㄴ다면/EC
양준혁(2318안타)의	양준혁/NNP+(/SS+2318/SN+안타/NNG+)/SS+의/JKG
기록도	기록/NNG+도/JX
넘을	넘/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.237.6.6
양준혁은 38세이던 2007년 2000안타 고지를 밟았다.

양준혁은	양준혁/NNP+은/JX
38세이던	38/SN+세/NNB+이/VCP+던/ETM
2007년	2007/SN+년/NNB
2000안타	2000/SN+안타/NNG
고지를	고지/NNG+를/JKO
밟았다.	밟/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.237.7.1
3위 SK는 사직에서 2위 롯데를 3-1로 누르고 두 팀 간의 승차를 0.5경기로 좁혔다.

3위	3/SN+위/NNB
SK는	SK/SL+는/JX
사직에서	사직/NNP+에서/JKB
2위	2/SN+위/NNB
롯데를	롯데/NNP+를/JKO
3-1로	3/SN+-/SO+1/SN+로/JKB
누르고	누르/VV+고/EC
두	두/MMN
팀	팀/NNG
간의	간/NNB+의/JKG
승차를	승차/NNG+를/JKO
0.5경기로	0/SN+./SP+5/SN+경기/NNG+로/JKB
좁혔다.	좁히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.237.7.2
전날 김시진 감독을 해임한 넥센은 잠실에서 LG를 1-0으로 꺾었다.

전날	전날/NNG
김시진	김시진/NNP
감독을	감독/NNG+을/JKO
해임한	해임/NNG+하/XSV+ㄴ/ETM
넥센은	넥센/NNP+은/JX
잠실에서	잠실/NNP+에서/JKB
LG를	LG/SL+를/JKO
1-0으로	1/SN+-/SO+0/SN+으로/JKB
꺾었다.	꺾/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.237.7.3
넥센 강정호는 6회 적시타로 출루한 뒤 2루와 3루를 잇달아 훔치며 호타준족의 상징인 ‘20홈런-20도루’ 클럽에 통산 34번째로 가입했다.

넥센	넥센/NNP
강정호는	강정호/NNP+는/JX
6회	6/SN+회/NNB
적시타로	적시타/NNG+로/JKB
출루한	출루/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
2루와	2루/NNG+와/JC
3루를	3루/NNG+를/JKO
잇달아	잇달/VV+아/EC
훔치며	훔치/VV+며/EC
호타준족의	호타준족/NNG+의/JKG
상징인	상징/NNG+이/VCP+ㄴ/ETM
‘20홈런-20도루’	‘/SS+20/SN+홈런/NNG+-/SO+20/SN+도루/NNG+’/SS
클럽에	클럽/NNG+에/JKB
통산	통산/NNG
34번째로	34/SN+번/NNB+째/XSN+로/JKB
가입했다.	가입/NNG+하/XSV+았/EP+다/EF+./SF


