# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.117
metadata : {}


# id : NWRW1800000032.117.1.1
나토군, 아프간서 BBC 기자 ‘오인 사살’ 인정

나토군,	나토군/NNG+,/SP
나토군은	나토군/NNG+은/JX
크흐풀와크가	크흐풀와크/NNP+가/JKS
탈레반군에	탈레반군/NNG+에/JKB
의해	의하/VV+아/EC
살해됐다고	살해/NNG+되/XSV+었/EP+다고/EC
밝혔으나,	밝히/VV+었/EP+으나/EC+,/SP
이에	이/NP+에/JKB
대해	대하/VV+아/EC
의문이	의문/NNG+이/JKS
제기되자	제기/NNG+되/XSV+자/EC
이번	이번/NNG
조사를	조사/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.117.6.2
이에 대해 <비비시> 방송은 “이번 조사 결과로 그동안의 불확실성이 해소됐으나, 전체 보고서를 받아서 구체적 내용들을 살펴보겠다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
<비비시>	</SS+비비시/NNP+>/SS
방송은	방송/NNG+은/JX
“이번	“/SS+이번/NNG
조사	조사/NNG
결과로	결과/NNG+로/JKB
그동안의	그동안/NNG+의/JKG
불확실성이	불확실/NNG+성/XSN+이/JKS
해소됐으나,	해소/NNG+되/XSV+었/EP+으나/EC+,/SP
전체	전체/NNG
보고서를	보고서/NNG+를/JKO
받아서	받/VV+아서/EC
구체적	구체/NNG+적/XSN
내용들을	내용/NNG+들/XSN+을/JKO
살펴보겠다”고	살펴보/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.117.7.1
나토군의 보고서를 보면, 당시 나토군은 아프간 국영방송 <아르티에이>(RTA) 사무실을 공격한 탈레반군에 반격하던 중이었다.

나토군의	나토군/NNG+의/JKG
보고서를	보고서/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
당시	당시/NNG
나토군은	나토군/NNG+은/JX
아프간	아프간/NNP
국영방송	국영/NNG+방송/NNG
<아르티에이>(RTA)	</SS+아르티에이/NNP+>/SS+(/SS+RTA/SL+)/SS
사무실을	사무실/NNG+을/JKO
공격한	공격/NNG+하/XSV+ㄴ/ETM
탈레반군에	탈레반군/NNG+에/JKB
반격하던	반격/NNG+하/XSV+던/ETM
중이었다.	중/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.117.7.2
2건의 자살폭탄 공격 뒤 이 건물을 수색중이던 나토군 소속 한 미군은 한 손은 주먹을 쥐고 있고, 다른 손을 뻗고 있던 크흐풀와크를 발견했다.

2건의	2/SN+건/NNB+의/JKG
자살폭탄	자살/NNG+폭탄/NNG
공격	공격/NNG
뒤	뒤/NNG
이	이/MMD
건물을	건물/NNG+을/JKO
수색중이던	수색/NNG+중/NNB+이/VCP+던/ETM
나토군	나토군/NNG
소속	소속/NNG
한	한/MMN
미군은	미군/NNG+은/JX
손은	손/NNG+은/JX
주먹을	주먹/NNG+을/JKO
쥐고	쥐/VV+고/EC
있고,	있/VX+고/EC+,/SP
다른	다른/MMD
손을	손/NNG+을/JKO
뻗고	뻗/VV+고/EC
있던	있/VX+던/ETM
크흐풀와크를	크흐풀와크/NNP+를/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.117.7.3
그가 자살폭탄 공격자며 폭탄 장치를 점화하려는 것으로 판단한 미군 병사는 M-4 소총 11발을 발사했다.

그가	그/NP+가/JKS
자살폭탄	자살/NNG+폭탄/NNG
공격자며	공격자/NNG+이/VCP+며/EC
폭탄	폭탄/NNG
장치를	장치/NNG+를/JKO
점화하려는	점화/NNG+하/XSV+려는/ETM
것으로	것/NNB+으로/JKB
판단한	판단/NNG+하/XSV+ㄴ/ETM
미군	미군/NNG
병사는	병사/NNG+는/JX
M-4	M/SL+-/SO+4/SN
소총	소총/NNG
11발을	11/SN+발/NNB+을/JKO
발사했다.	발사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.117.8.1
이 보고서는 이 미군 병사는 무력 충돌법과 교전 규칙에 따랐으며, 이 행동은 분명히 합리적이었다고 덧붙였다.

이	이/MMD
보고서는	보고서/NNG+는/JX
미군	미군/NNG
병사는	병사/NNG+는/JX
무력	무력/NNG
충돌법과	충돌/NNG+법/NNG+과/JC
교전	교전/NNG
규칙에	규칙/NNG+에/JKB
따랐으며,	따르/VV+았/EP+으며/EC+,/SP
행동은	행동/NNG+은/JX
분명히	분명히/MAG
합리적이었다고	합리/NNG+적/XSN+이/VCP+었/EP+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.117.9.1
이와 관련해 <비비시>의 데이비드 로인은 “크흐풀와크가 목욕탕에 숨어 있었고, 아마도 그가 손에 들고 있었던 것은 프레스카드였을 것”이라고 밝혔다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
<비비시>의	</SS+비비시/NNP+>/SS+의/JKG
데이비드	데이비드/NNP
로인은	로인/NNP+은/JX
“크흐풀와크가	“/SS+크흐풀와크/NNP+가/JKS
목욕탕에	목욕탕/NNG+에/JKB
숨어	숨/VV+어/EC
있었고,	있/VX+었/EP+고/EC+,/SP
아마도	아마도/MAG
그가	그/NP+가/JKS
손에	손/NNG+에/JKB
들고	들/VV+고/EC
있었던	있/VX+었/EP+던/ETM
것은	것/NNB+은/JX
프레스카드였을	프레스/NNG+카드/NNG+이/VCP+었/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.117.9.2
그의 형제인 자위드는 “그는 영어로 말하고 프레스카드를 보여줬을 텐데, 어떻게 자살 폭탄 공격자로 오인할 수 있느냐”고 분통을 터뜨렸다.

그의	그/NP+의/JKG
형제인	형제/NNG+이/VCP+ㄴ/ETM
자위드는	자위드/NNP+는/JX
“그는	“/SS+그/NP+는/JX
영어로	영어/NNP+로/JKB
말하고	말/NNG+하/XSV+고/EC
프레스카드를	프레스/NNG+카드/NNG+를/JKO
보여줬을	보이/VV+어/EC+주/VX+었/EP+을/ETM
텐데,	터/NNB+이/VCP+ㄴ데/EC+,/SP
어떻게	어떻/VA+게/EC
자살	자살/NNG
폭탄	폭탄/NNG
공격자로	공격자/NNG+로/JKB
오인할	오인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있느냐”고	있/VA+느냐/EF+”/SS+고/JKQ
분통을	분통/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.117.10.1
아프간 현지통신 기자였던 크흐풀와크는 2008년부터 <비비시> 방송에서 일해왔다.

아프간	아프간/NNP
현지통신	현지/NNG+통신/NNG
기자였던	기자/NNG+이/VCP+었/EP+던/ETM
크흐풀와크는	크흐풀와크/NNP+는/JX
2008년부터	2008/SN+년/NNB+부터/JX
<비비시>	</SS+비비시/NNP+>/SS
방송에서	방송/NNG+에서/JKB
일해왔다.	일/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.117.10.2
그는 미국의 아프간 침공 뒤 아프간에서 죽음을 당한 20번째 언론인이다.

그는	그/NP+는/JX
미국의	미국/NNP+의/JKG
아프간	아프간/NNP
침공	침공/NNG
뒤	뒤/NNG
아프간에서	아프간/NNP+에서/JKB
죽음을	죽음/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
20번째	20/SN+번/NNB+째/XSN
언론인이다.	언론인/NNG+이/VCP+다/EF+./SF


