# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.10
metadata : {}


# id : NWRW1800000022.10.1.1
"해머가 대한민국 민주주의를 때렸다";● 李대통령 라디오 연설서 정치권 비판

"해머가	"/SS+해머/NNG+가/JKS
되지는	되/VV+지/EC+는/JX
않겠다"고	않/VX+겠/EP+다/EF+"/SS+고/JKQ
자신의	자신/NNG+의/JKG
각오와	각오/NNG+와/JC
심경을	심경/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.10.5.4
청와대 관계자는 "이 대통령의 발언에는 국회도 법치의 예외일 수 없으며 정치선진화 없이 나라 선진화를 이룰 수 없다는 인식이 바탕에 깔려 있다"고 했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
"이	"/SS+이/MMD
대통령의	대통령/NNG+의/JKG
발언에는	발언/NNG+에/JKB+는/JX
국회도	국회/NNG+도/JX
법치의	법치/NNG+의/JKG
예외일	예외/NNG+이/VCP+ㄹ/ETM
수	수/NNB
없으며	없/VA+으며/EC
정치선진화	정치/NNG+선진/NNG+화/XSN
없이	없이/MAG
나라	나라/NNG
선진화를	선진/NNG+화/XSN+를/JKO
이룰	이루/VV+ㄹ/ETM
없다는	없/VA+다는/ETM
인식이	인식/NNG+이/JKS
바탕에	바탕/NNG+에/JKB
깔려	깔리/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.10.6.1
이 대통령이 '국회' '정치'라고 표현했을 뿐 여야를 특정하지는 않았지만, 민주당은 격렬하게 반발했다.

이	이/NNP
대통령이	대통령/NNG+이/JKS
'국회'	'/SS+국회/NNG+'/SS
'정치'라고	'/SS+정치/NNG+'/SS+라고/JKQ
표현했을	표현/NNG+하/XSV+았/EP+을/ETM
뿐	뿐/NNB
여야를	여야/NNG+를/JKO
특정하지는	특정/NNG+하/XSV+지/EC+는/JX
않았지만,	않/VX+았/EP+지만/EC+,/SP
민주당은	민주당/NNP+은/JX
격렬하게	격렬하/VA+게/EC
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.10.6.2
정세균 민주당 대표는 "대통령까지 가세해 야당을 비난하고 비판하는 것은 참으로 안타깝다"며 "이성을 잃어버린 태도"라고 했다.

정세균	정세균/NNP
민주당	민주당/NNP
대표는	대표/NNG+는/JX
"대통령까지	"/SS+대통령/NNG+까지/JX
가세해	가세/NNG+하/XSV+아/EC
야당을	야당/NNG+을/JKO
비난하고	비난/NNG+하/XSV+고/EC
비판하는	비판/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
참으로	참으로/MAG
안타깝다"며	안타깝/VA+다/EF+"/SS+며/EC
"이성을	"/SS+이성/NNG+을/JKO
잃어버린	잃어버리/VV+ㄴ/ETM
태도"라고	태도/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.10.6.3
그는 "자신들이 경제를 살릴 생각은 하지 않고 수십 건의 악법을 일거에 들고 와서 밀어붙이려고 해 이번 일이 유발된 것"이라며 "왜 특정세력과 야합해 이런 사실을 호도하려는 것인가"라고 했다.

그는	그/NP+는/JX
"자신들이	"/SS+자신/NNG+들/XSN+이/JKS
경제를	경제/NNG+를/JKO
살릴	살리/VV+ㄹ/ETM
생각은	생각/NNG+은/JX
하지	하/VV+지/EC
않고	않/VX+고/EC
수십	수십/NR
건의	건/NNB+의/JKG
악법을	악법/NNG+을/JKO
일거에	일거/NNG+에/JKB
들고	들/VV+고/EC
와서	오/VV+아서/EC
밀어붙이려고	밀어붙이/VV+려고/EC
해	하/VX+아/EC
이번	이번/NNG
일이	일/NNG+이/JKS
유발된	유발/NNG+되/XSV+ㄴ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"왜	"/SS+왜/MAG
특정세력과	특정/NNG+세력/NNG+과/JKB
야합해	야합/NNG+하/XSV+아/EC
이런	이런/MMD
사실을	사실/NNG+을/JKO
호도하려는	호도/NNG+하/XSV+려는/ETM
것인가"라고	것/NNB+이/VCP+ㄴ가/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.10.6.4
자유선진당 박선영 대변인도 "국회 파행의 가장 큰 원인 제공자는 무리하게 쟁점법안을 연말까지 강행 처리하겠다고 나섰던 한나라당과 정부"라면서 "언제까지 파행국회 책임을 '네 탓 공방'으로 끌고 갈 셈인지, 정말 염치도 분별도 없는 대통령"이라고 했다.

자유선진당	자유선진당/NNP
박선영	박선영/NNP
대변인도	대변인/NNG+도/JX
"국회	"/SS+국회/NNG
파행의	파행/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
원인	원인/NNG
제공자는	제공자/NNG+는/JX
무리하게	무리/NNG+하/XSA+게/EC
쟁점법안을	쟁점/NNG+법안/NNG+을/JKO
연말까지	연말/NNG+까지/JX
강행	강행/NNG
처리하겠다고	처리/NNG+하/XSV+겠/EP+다고/EC
나섰던	나서/VV+었/EP+던/ETM
한나라당과	한나라당/NNP+과/JC
정부"라면서	정부/NNG+"/SS+이/VCP+라면서/EC
"언제까지	"/SS+언제/NP+까지/JX
파행국회	파행/NNG+국회/NNG
책임을	책임/NNG+을/JKO
'네	'/SS+너/NP+의/JKG
탓	탓/NNG
공방'으로	공방/NNG+'/SS+으로/JKB
끌고	끌/VV+고/EC
갈	가/VX+ㄹ/ETM
셈인지,	셈/NNB+이/VCP+ㄴ지/EC+,/SP
정말	정말/MAG
염치도	염치/NNG+도/JX
분별도	분별/NNG+도/JX
없는	없/VA+는/ETM
대통령"이라고	대통령/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


