# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.319
metadata : {}


# id : NWRW1800000046.319.1.1
새누리 당협위원장 물갈이 착수… 親朴 긴장

새누리	새누리/NNP
교체	교체/NNG
방안을	방안/NNG+을/JKO
논의한	논의/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.319.4.2
당협위원장직 선정은 총선 공천의 예비 단계라고 할 수 있다.

당협위원장직	당협/NNG+위원장직/NNG
선정은	선정/NNG+은/JX
총선	총선/NNG
공천의	공천/NNG+의/JKG
예비	예비/NNG
단계라고	단계/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.319.4.3
강석호 사무부총장은 이날 보고에서 "전혀 활동을 하지 않거나 총선 출마 의지가 없는 당협위원장은 교체가 필요하다"고 했다.

강석호	강석호/NNP
사무부총장은	사무/NNG+부총장/NNG+은/JX
이날	이날/NNG
보고에서	보고/NNG+에서/JKB
"전혀	"/SS+전혀/MAG
활동을	활동/NNG+을/JKO
하지	하/VV+지/EC
않거나	않/VX+거나/EC
총선	총선/NNG
출마	출마/NNG
의지가	의지/NNG+가/JKS
없는	없/VA+는/ETM
당협위원장은	당협/NNG+위원장/NNG+은/JX
교체가	교체/NNG+가/JKS
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.319.4.4
김무성 대표도 "내년 총선 승리를 위해 경쟁력 있는 당협위원장을 뽑아야 한다"고 말한 것으로 알려졌다.

김무성	김무성/NNP
대표도	대표/NNG+도/JX
"내년	"/SS+내년/NNG
총선	총선/NNG
승리를	승리/NNG+를/JKO
위해	위하/VV+아/EC
경쟁력	경쟁력/NNG
있는	있/VA+는/ETM
당협위원장을	당협/NNG+위원장/NNG+을/JKO
뽑아야	뽑/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.319.4.5
이날 최고위원회에 보고된 당협위원장 교체 대상 지역은 최근 내년 총선 불출마를 선언한 이한구 의원의 지역구인 대구 수성갑을 포함해 11곳이었다고 한다.

이날	이날/NNG
최고위원회에	최고/NNG+위원회/NNG+에/JKB
보고된	보고/NNG+되/XSV+ㄴ/ETM
당협위원장	당협/NNG+위원장/NNG
교체	교체/NNG
대상	대상/NNG
지역은	지역/NNG+은/JX
최근	최근/NNG
내년	내년/NNG
총선	총선/NNG
불출마를	불/XPN+출마/NNG+를/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
이한구	이한구/NNP
의원의	의원/NNG+의/JKG
지역구인	지역구/NNG+이/VCP+ㄴ/ETM
대구	대구/NNP
수성갑을	수성갑/NNP+을/JKO
포함해	포함/NNG+하/XSV+아/EC
11곳이었다고	11/SN+곳/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.319.4.6
일단은 국회의원이 위원장이 아닌 원외(院外) 당협이 대부분이었다.

일단은	일단/MAG+은/JX
국회의원이	국회/NNG+의원/NNG+이/JKS
위원장이	위원장/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
원외(院外)	원외/NNG+(/SS+院外/SH+)/SS
당협이	당협/NNG+이/JKS
대부분이었다.	대/XPN+부분/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.319.5.1
새누리당은 지난해 10월 조직강화특위를 구성해 당협위원장 교체에 착수했지만, 지금까지는 위원장 자리가 비어 있던 10여곳만 교체했을 뿐이다.

새누리당은	새누리당/NNP+은/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
조직강화특위를	조직/NNG+강화/NNG+특위/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
당협위원장	당협/NNG+위원장/NNG
교체에	교체/NNG+에/JKB
착수했지만,	착수/NNG+하/XSV+았/EP+지만/EC+,/SP
지금까지는	지금/NNG+까지/JX+는/JX
위원장	위원장/NNG
자리가	자리/NNG+가/JKS
비어	비/VV+어/EC
있던	있/VX+던/ETM
10여곳만	10/SN+여/XSN+곳/NNG+만/JX
교체했을	교체/NNG+하/XSV+았/EP+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.319.5.2
그러나 이젠 위원장이 있더라도 부실 당협으로 지정해 본격적인 물갈이를 하겠다는 것이다.

그러나	그러나/MAJ
이젠	이제/NNG+ㄴ/JX
위원장이	위원장/NNG+이/JKS
있더라도	있/VA+더라도/EC
부실	부실/NNG
당협으로	당협/NNG+으로/JKB
지정해	지정/NNG+하/XSV+아/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
물갈이를	물갈이/NNG+를/JKO
하겠다는	하/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.319.6.1
문제는 원외 당협위원장의 대다수가 친박(親朴)계라는 점이다.

문제는	문제/NNG+는/JX
원외	원외/NNG
당협위원장의	당협/NNG+위원장/NNG+의/JKG
대다수가	대/XPN+다수/NNG+가/JKS
친박(親朴)계라는	친/XPN+박/NNP+(/SS+親朴/SH+)/SS+계/XSN+이/VCP+라는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.319.6.2
작년 말 당무감사 때도 친박계에선 "비박(非朴)계인 김무성 대표 체제가 들어선 뒤 편향된 감사 결과로 친박 죽이기를 하고 있다"고 반발했었다.

작년	작년/NNG
말	말/NNB
당무감사	당무/NNG+감사/NNG
때도	때/NNG+도/JX
친박계에선	친/XPN+박/NNP+계/XSN+에서/JKB+ㄴ/JX
"비박(非朴)계인	"/SS+비/XPN+박/NNP+(/SS+非朴/SH+)/SS+계/XSN+이/VCP+ㄴ/ETM
김무성	김무성/NNP
대표	대표/NNG
체제가	체제/NNG+가/JKS
들어선	들어서/VV+ㄴ/ETM
뒤	뒤/NNG
편향된	편향/NNG+되/XSV+ㄴ/ETM
감사	감사/NNG
결과로	결과/NNG+로/JKB
친박	친/XPN+박/NNP
죽이기를	죽이/VV+기/ETN+를/JKO
하고	하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
반발했었다.	반발/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000046.319.7.1
새정치연합도 당 수석사무부총장 임명을 놓고 친노(親盧)와 비노(非盧) 간 갈등이 다시 벌어지는 것으로 알려졌다.

새정치연합도	새정치연합/NNP+도/JX
당	당/NNG
수석사무부총장	수석/NNG+사무/NNG+부총장/NNG
임명을	임명/NNG+을/JKO
놓고	놓/VV+고/EC
친노(親盧)와	친/XPN+노/NNP+(/SS+親盧/SH+)/SS+와/JC
비노(非盧)	비/XPN+노/NNP+(/SS+非盧/SH+)/SS
간	간/NNB
갈등이	갈등/NNG+이/JKS
다시	다시/MAG
벌어지는	벌어지/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.319.7.2
문재인 대표가 수석사무부총장에 친노계 김경협 의원을 임명하려다 일부 최고위원들 반대로 두 차례나 보류했다는 것이다.

문재인	문재인/NNP
대표가	대표/NNG+가/JKS
수석사무부총장에	수석/NNG+사무/NNG+부총장/NNG+에/JKB
친노계	친/XPN+노/NNP+계/XSN
김경협	김경협/NNP
의원을	의원/NNG+을/JKO
임명하려다	임명/NNG+하/XSV+려다/EC
일부	일부/NNG
최고위원들	최고/NNG+위원/NNG+들/XSN
반대로	반대/NNG+로/JKB
두	두/MMN
차례나	차례/NNG+나/JX
보류했다는	보류/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.319.7.3
사무부총장은 선거 때 공천 실무 작업을 하는 자리다.

사무부총장은	사무/NNG+부총장/NNG+은/JX
선거	선거/NNG
때	때/NNG
공천	공천/NNG
실무	실무/NNG
작업을	작업/NNG+을/JKO
하는	하/VV+는/ETM
자리다.	자리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.319.8.1
문 대표는 지난 16일 최고위원회의 때 김 의원을 처음 추천했다고 한다.

문	문/NNP
대표는	대표/NNG+는/JX
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
최고위원회의	최고/NNG+위원/NNG+회의/NNG
때	때/NNG
김	김/NNP
의원을	의원/NNG+을/JKO
처음	처음/NNG
추천했다고	추천/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.319.8.2
그러나 비노계인 주승용 최고위원은 "관행상 1등 최고위원이 수석사무부총장을 추천해 왔고, 그래야 공평하다"며 반대한 것으로 전해졌다.

그러나	그러나/MAJ
비노계인	비/XPN+노/NNP+계/XSN+이/VCP+ㄴ/ETM
주승용	주승용/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
"관행상	"/SS+관행/NNG+상/XSN
1등	1/SN+등/NNB
최고위원이	최고/NNG+위원/NNG+이/JKS
수석사무부총장을	수석/NNG+사무/NNG+부총장/NNG+을/JKO
추천해	추천/NNG+하/XSV+아/EC
왔고,	오/VX+았/EP+고/EC+,/SP
그래야	그렇/VA+어야/EC
공평하다"며	공평/NNG+하/XSA+다/EF+"/SS+며/EC
반대한	반대/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.319.8.3
최고위원 중 1등 득표자는 주 최고위원이다.

최고위원	최고/NNG+위원/NNG
중	중/NNB
1등	1/SN+등/NNB
득표자는	득표자/NNG+는/JX
주	주/NNP
최고위원이다.	최고/NNG+위원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.319.9.1
하지만 문 대표는 23일에도 "제가 친노에게 당직을 준 적이 있느냐. 딱 한 명인데 협조해달라"며 뜻을 굽히지 않았다고 한다.

하지만	하지만/MAJ
문	문/NNP
대표는	대표/NNG+는/JX
23일에도	23/SN+일/NNB+에/JKB+도/JX
"제가	"/SS+제/NP+가/JKS
친노에게	친/XPN+노/NNP+에게/JKB
당직을	당직/NNG+을/JKO
준	주/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있느냐.	있/VA+느냐/EF+./SF
딱	딱/MAG
한	한/MMN
명인데	명/NNB+이/VCP+ㄴ데/EC
협조해달라"며	협조/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+며/EC
뜻을	뜻/NNG+을/JKO
굽히지	굽히/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.319.9.2
이번에도 주 최고위원은 반대했고, 인사는 한 차례 더 미뤄졌다.

이번에도	이번/NNG+에/JKB+도/JX
주	주/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
반대했고,	반대/NNG+하/XSV+았/EP+고/EC+,/SP
인사는	인사/NNG+는/JX
한	한/MMN
차례	차례/NNG
더	더/MAG
미뤄졌다.	미루/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.319.10.1
그동안 문 대표는 당 대표 당선 이후 사무총장(양승조), 정책위의장(강기정), 비서실장(김현미), 대변인(유은혜)에 측근이 아닌 의원들을 임명해 '탕평 인사'라는 평가를 받아왔다.

그동안	그동안/NNG
문	문/NNP
대표는	대표/NNG+는/JX
당	당/NNG
대표	대표/NNG
당선	당선/NNG
이후	이후/NNG
사무총장(양승조),	사무총장/NNG+(/SS+양승조/NNP+)/SS+,/SP
정책위의장(강기정),	정책위/NNG+의장/NNG+(/SS+강기정/NNP+)/SS+,/SP
비서실장(김현미),	비서실장/NNG+(/SS+김현미/NNP+)/SS+,/SP
대변인(유은혜)에	대변인/NNG+(/SS+유은혜/NNP+)/SS+에/JKB
측근이	측근/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
의원들을	의원/NNG+들/XSN+을/JKO
임명해	임명/NNG+하/XSV+아/EC
'탕평	'/SS+탕평/NNG
인사'라는	인사/NNG+'/SS+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.319.10.2
그러나 비노 쪽에서는 막후에서 "진짜 탕평 인사가 맞느냐"는 말을 하고 있다.

그러나	그러나/MAJ
비노	비/XPN+노/NNP
쪽에서는	쪽/NNB+에서/JKB+는/JX
막후에서	막후/NNG+에서/JKB
"진짜	"/SS+진짜/NNG
탕평	탕평/NNG
인사가	인사/NNG+가/JKS
맞느냐"는	맞/VV+느냐/EF+"/SS+는/ETM
말을	말/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.319.10.3
박지원 의원은 최근 "문 대표가 인사 등에서 상의한다고 해놓고 정작 협의하지 않았다"고도 했다.

박지원	박지원/NNP
의원은	의원/NNG+은/JX
최근	최근/NNG
"문	"/SS+문/NNP
대표가	대표/NNG+가/JKS
인사	인사/NNG
등에서	등/NNB+에서/JKB
상의한다고	상의/NNG+하/XSV+ㄴ다고/EC
해놓고	하/VV+아/EC+놓/VX+고/EC
정작	정작/MAG
협의하지	협의/NNG+하/XSV+지/EC
않았다"고도	않/VX+았/EP+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


