# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.73
metadata : {}


# id : NWRW1800000037.73.1.1
[반가워 또만나/반또 칼럼]연예인 사건사고에 왜 이리 난리인지…

[반가워	[/SS+반갑/VA+어/EC
# id : NWRW1800000037.73.3.6
그런 소동이 22일 오전 4시까지 이어졌다.

그런	그런/MMD
소동이	소동/NNG+이/JKS
22일	22/SN+일/NNB
오전	오전/NNG
4시까지	4/SN+시/NNB+까지/JX
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.73.4.1
사회부 경찰팀 소속으로, 다른 경찰서를 담당하다 강남서를 맡은 지 열흘도 채 되지 않았던 기자에겐 몹시 당황스러운 광경이었다.

사회부	사회부/NNG
경찰팀	경찰/NNG+팀/NNG
소속으로,	소속/NNG+으로/JKB+,/SP
다른	다른/MMD
경찰서를	경찰서/NNG+를/JKO
담당하다	담당/NNG+하/XSV+다/EC
강남서를	강남서/NNP+를/JKO
맡은	맡/VV+은/ETM
지	지/NNB
열흘도	열흘/NNG+도/JX
채	채/MAG
되지	되/VV+지/EC
않았던	않/VX+았/EP+던/ETM
기자에겐	기자/NNG+에게/JKB+ㄴ/JX
몹시	몹시/MAG
당황스러운	당황/NNG+스럽/XSA+ㄴ/ETM
광경이었다.	광경/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.73.4.2
연예매체 기자들이 로비에서 손 씨를 기다리고 있을 때 당사자는 이미 귀가한 뒤였다.

연예매체	연예/NNG+매체/NNG
기자들이	기자/NNG+들/XSN+이/JKS
로비에서	로비/NNG+에서/JKB
손	손/NNP
씨를	씨/NNB+를/JKO
기다리고	기다리/VV+고/EC
있을	있/VX+을/ETM
때	때/NNG
당사자는	당사자/NNG+는/JX
이미	이미/MAG
귀가한	귀가/NNG+하/XSV+ㄴ/ETM
뒤였다.	뒤/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.73.4.3
손 씨는 21일 오후 8∼10시 강남서 별관 수사과에서 따로 조사를 받았다.

손	손/NNP
씨는	씨/NNB+는/JX
21일	21/SN+일/NNB
오후	오후/NNG
8∼10시	8/SN+∼/SO+10/SN+시/NNB
강남서	강남서/NNP
별관	별관/NNG
수사과에서	수사과/NNG+에서/JKB
따로	따로/MAG
조사를	조사/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.73.5.1
이후에도 강남서에는 연예인 관련 사건이 잇따라 접수됐다.

이후에도	이후/NNG+에/JKB+도/JX
강남서에는	강남서/NNP+에/JKB+는/JX
연예인	연예인/NNG
관련	관련/NNG
사건이	사건/NNG+이/JKS
잇따라	잇따르/VV+아/EC
접수됐다.	접수/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.73.5.2
배우 A 씨 성폭행(5월 23일), 가수 김상혁 씨의 성추행(5월 29일), 배우 류시원 씨의 아내 고소(6월 3일), 가수 가비앤제이 노시현 씨의 의류 절도(6월 10일)….

배우	배우/NNG
A	A/SL
씨	씨/NNB
성폭행(5월	성폭행/NNG+(/SS+5/SN+월/NNB
23일),	23/SN+일/NNB+)/SS+,/SP
가수	가수/NNG
김상혁	김상혁/NNP
씨의	씨/NNB+의/JKG
성추행(5월	성추행/NNG+(/SS+5/SN+월/NNB
29일),	29/SN+일/NNB+)/SS+,/SP
류시원	류시원/NNP
아내	아내/NNG
고소(6월	고소/NNG+(/SS+6/SN+월/NNB
3일),	3/SN+일/NNB+)/SS+,/SP
가비앤제이	가비앤제이/NNP
노시현	노시현/NNP
의류	의류/NNG
절도(6월	절도/NNG+(/SS+6/SN+월/NNB
10일)….	10/SN+일/NNB+)/SS+…/SE+./SF


# id : NWRW1800000037.73.5.3
그때마다 인터넷엔 ‘충격’ ‘이럴 수가’ 등의 자극적인 제목이 붙은 기사들이 범람했다.

그때마다	그때/NNG+마다/JX
인터넷엔	인터넷/NNG+에/JKB+ㄴ/JX
‘충격’	‘/SS+충격/NNG+’/SS
‘이럴	‘/SS+이렇/VA+ㄹ/ETM
수가’	수/NNB+가/JKS+’/SS
등의	등/NNB+의/JKG
자극적인	자극/NNG+적/XSN+이/VCP+ㄴ/ETM
제목이	제목/NNG+이/JKS
붙은	붙/VV+은/ETM
기사들이	기사/NNG+들/XSN+이/JKS
범람했다.	범람/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.73.6.1
연예매체가 경찰의 기본적인 생리에 대해서 잘 모르면서 무리하게 취재하는 걸 보고 환멸이 들 때도 있었다.

연예매체가	연예/NNG+매체/NNG+가/JKS
경찰의	경찰/NNG+의/JKG
기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
생리에	생리/NNG+에/JKB
대해서	대하/VV+아서/EC
잘	잘/MAG
모르면서	모르/VV+면서/EC
무리하게	무리/NNG+하/XSA+게/EC
취재하는	취재/NNG+하/XSV+는/ETM
걸	거/NNB+ㄹ/JKO
보고	보/VV+고/EC
환멸이	환멸/NNG+이/JKS
들	들/VV+ㄹ/ETM
때도	때/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.73.6.2
하지만 나 역시도 고위공직자 비리나 정치인 스캔들이 터지면 징글징글하게 취재원에게 달라붙고 주변 신상을 캐지 않았던가.

하지만	하지만/MAJ
나	나/NP
역시도	역시/MAG+도/JX
고위공직자	고위/NNG+공직자/NNG
비리나	비리/NNG+나/JC
정치인	정치인/NNG
스캔들이	스캔들/NNG+이/JKS
터지면	터지/VV+면/EC
징글징글하게	징글징글/MAG+하/XSA+게/EC
취재원에게	취재원/NNG+에게/JKB
달라붙고	달라붙/VV+고/EC
주변	주변/NNG
신상을	신상/NNG+을/JKO
캐지	캐/VV+지/EC
않았던가.	않/VX+았/EP+던가/EF+./SF


# id : NWRW1800000037.73.6.3
대상과 영역이 다를 뿐 그들과 나는 각자의 영역에서 최선을 다하고 있다는 생각에 묘한 기분이 들기도 했다.

대상과	대상/NNG+과/JC
영역이	영역/NNG+이/JKS
다를	다르/VA+ㄹ/ETM
뿐	뿐/NNB
그들과	그/NP+들/XSN+과/JKB
나는	나/NP+는/JX
각자의	각자/NNG+의/JKG
영역에서	영역/NNG+에서/JKB
최선을	최선/NNG+을/JKO
다하고	다/MAG+하/XSV+고/EC
있다는	있/VX+다는/ETM
생각에	생각/NNG+에/JKB
묘한	묘하/VA+ㄴ/ETM
기분이	기분/NNG+이/JKS
들기도	들/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.73.7.1
연예인 관련 사건을 어디까지 보도해야 하느냐 하는 문제는 강남서에 오면서 새로 얻은 고민거리다.

연예인	연예인/NNG
관련	관련/NNG
사건을	사건/NNG+을/JKO
어디까지	어디/NP+까지/JX
보도해야	보도/NNG+하/XSV+아야/EC
하느냐	하/VX+느냐/EF
하는	하/VV+는/ETM
문제는	문제/NNG+는/JX
강남서에	강남서/NNP+에/JKB
오면서	오/VV+면서/EC
새로	새로/MAG
얻은	얻/VV+은/ETM
고민거리다.	고민거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.73.7.2
사안 자체는 경미해도 대중의 관심이 워낙 높다 보니 강남서 출입기자들은 “연예인 사건 정말 싫다”면서도 관련 기사들을 쓰게 된다.

사안	사안/NNG
자체는	자체/NNG+는/JX
경미해도	경미하/VA+아도/EC
대중의	대중/NNG+의/JKG
관심이	관심/NNG+이/JKS
워낙	워낙/MAG
높다	높/VA+다/EF
보니	보/VX+니/EC
강남서	강남서/NNP
출입기자들은	출입/NNG+기자/NNG+들/XSN+은/JX
“연예인	“/SS+연예인/NNG
사건	사건/NNG
정말	정말/MAG
싫다”면서도	싫/VA+다/EF+”/SS+면서/EC+도/JX
관련	관련/NNG
기사들을	기사/NNG+들/XSN+을/JKO
쓰게	쓰/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.73.8.1
하지만 연예인이 저지른 범죄면 몰라도 그들의 사생활까지 ‘국민의 알 권리’ 영역에 속하는 걸까.

하지만	하지만/MAJ
연예인이	연예인/NNG+이/JKS
저지른	저지르/VV+ㄴ/ETM
범죄면	범죄/NNG+이/VCP+면/EC
몰라도	모르/VV+아도/EC
그들의	그/NP+들/XSN+의/JKG
사생활까지	사생활/NNG+까지/JX
‘국민의	‘/SS+국민/NNG+의/JKG
알	알/VV+ㄹ/ETM
권리’	권리/NNG+’/SS
영역에	영역/NNG+에/JKB
속하는	속하/VV+는/ETM
걸까.	거/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000037.73.8.2
대부분의 연예인 사건을 다루는 강남서의 이병국 형사과장은 “사건의 개요와 범죄 혐의는 취재가 들어오면 확인해주지만 사건과 관계없는 사생활에 대해서는 일절 언급하지 않는다”는 취재 대응 원칙을 세웠다.

대부분의	대/XPN+부분/NNG+의/JKG
연예인	연예인/NNG
사건을	사건/NNG+을/JKO
다루는	다루/VV+는/ETM
강남서의	강남서/NNP+의/JKG
이병국	이병국/NNP
형사과장은	형사과장/NNG+은/JX
“사건의	“/SS+사건/NNG+의/JKG
개요와	개요/NNG+와/JC
범죄	범죄/NNG
혐의는	혐의/NNG+는/JX
취재가	취재/NNG+가/JKS
들어오면	들어오/VV+면/EC
확인해주지만	확인/NNG+하/XSV+아/EC+주/VX+지만/EC
사건과	사건/NNG+과/JKB
관계없는	관계없/VA+는/ETM
사생활에	사생활/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
일절	일절/MAG
언급하지	언급/NNG+하/XSV+지/EC
않는다”는	않/VX+는다/EF+”/SS+는/ETM
취재	취재/NNG
대응	대응/NNG
원칙을	원칙/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.73.9.1
일부 기자는 “재밌는 정보는 말해주지 않는다”며 불만을 토로하지만 개인적으로는 옳은 원칙이라고 본다.

일부	일부/NNG
기자는	기자/NNG+는/JX
“재밌는	“/SS+재밌/VA+는/ETM
정보는	정보/NNG+는/JX
말해주지	말/NNG+하/XSV+아/EC+주/VX+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
불만을	불만/NNG+을/JKO
토로하지만	토로/NNG+하/XSV+지만/EC
개인적으로는	개인/NNG+적/XSN+으로/JKB+는/JX
옳은	옳/VA+은/ETM
원칙이라고	원칙/NNG+이/VCP+라고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.73.10.1
만약 누군가가 경범죄를 저지른 나에 대해 애인 가족 직장 등 모든 걸 샅샅이 파헤쳐 세상에 까발리면 어떤 기분이 들까.

만약	만약/MAG
누군가가	누구/NP+이/VCP+ㄴ가/EF+가/JKS
경범죄를	경범죄/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
나에	나/NP+에/JKB
대해	대하/VV+아/EC
애인	애인/NNG
가족	가족/NNG
직장	직장/NNG
등	등/NNB
모든	모든/MMN
걸	거/NNB+ㄹ/JKO
샅샅이	샅샅이/MAG
파헤쳐	파헤치/VV+어/EC
세상에	세상/NNG+에/JKB
까발리면	까발리/VV+면/EC
어떤	어떤/MMD
기분이	기분/NNG+이/JKS
들까.	들/VV+ㄹ까/EF+./SF


