# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.5
metadata : {}


# id : NWRW1800000025.5.1.1
[이 의원, 이 법안]민주당 박선숙의원 ‘보험업법-상법 개정안’

[이	[/SS+이/MMD
대신	대신/NNG
부작용을	부작용/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
보험	보험/NNG
가입자의	가입자/NNG+의/JKG
보험금과	보험금/NNG+과/JC
기대	기대/NNG
수명을	수명/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
금융위원회가	금융/NNG+위원회/NNG+가/JKS
산정한	산정/NNG+하/XSV+ㄴ/ETM
최저가격	최저/NNG+가격/NNG
이하로는	이하/NNG+로/JKB+는/JX
전매를	전매/NNG+를/JKO
금지하는	금지/NNG+하/XSV+는/ETM
‘안전장치’도	‘/SS+안전장치/NNG+’/SS+도/JX
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.5.4.4
또 체결된 지 5년 이내의 보험계약은 전매를 허용하지 않기로 했다.

또	또/MAG
체결된	체결/NNG+되/XSV+ㄴ/ETM
지	지/NNB
5년	5/SN+년/NNB
이내의	이내/NNG+의/JKG
보험계약은	보험/NNG+계약/NNG+은/JX
전매를	전매/NNG+를/JKO
허용하지	허용/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.5.5.1
박 의원은 “생명보험 가입자가 부득이한 사정으로 보험계약을 해지할 경우 그동안 납입한 금액에 훨씬 못 미치는 환급액으로 인해 경제적 손실을 감수해야만 했던 현실을 개선할 수 있을 것”이라고 말했다.

박	박/NNP
의원은	의원/NNG+은/JX
“생명보험	“/SS+생명/NNG+보험/NNG
가입자가	가입자/NNG+가/JKS
부득이한	부득이/MAG+하/XSA+ㄴ/ETM
사정으로	사정/NNG+으로/JKB
보험계약을	보험/NNG+계약/NNG+을/JKO
해지할	해지/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
그동안	그동안/NNG
납입한	납입/NNG+하/XSV+ㄴ/ETM
금액에	금액/NNG+에/JKB
훨씬	훨씬/MAG
못	못/MAG
미치는	미치/VV+는/ETM
환급액으로	환급액/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
경제적	경제/NNG+적/XSN
손실을	손실/NNG+을/JKO
감수해야만	감수/NNG+하/XSV+아야/EC+만/JX
했던	하/VX+았/EP+던/ETM
현실을	현실/NNG+을/JKO
개선할	개선/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


