# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.320
metadata : {}


# id : NWRW1800000024.320.1.1
유명아파트 공사중단 잇따라 계약자 발동동

유명아파트	유명/NNG+아파트/NNG
상태에서	상태/NNG+에서/JKB
공사가	공사/NNG+가/JKS
중단됐다.	중단/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.320.4.2
자금난을 겪던 시공사 ㈜현진이 지난 1일 결국 최종 부도 처리됐기 때문이다.

자금난을	자금난/NNG+을/JKO
겪던	겪/VV+던/ETM
시공사	시공사/NNG
㈜현진이	㈜/SW+현진/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
결국	결국/MAG
최종	최종/NNG
부도	부도/NNG
처리됐기	처리/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.320.4.3
이에 따라 이 아파트는 사실상 기한 내 준공이 어려워져 계약자들의 입주 차질이 불가피해졌다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이	이/MMD
아파트는	아파트/NNG+는/JX
사실상	사실/NNG+상/XSN
기한	기한/NNG
내	내/NNB
준공이	준공/NNG+이/JKS
어려워져	어렵/VA+어/EC+지/VX+어/EC
계약자들의	계약자/NNG+들/XSN+의/JKG
입주	입주/NNG
차질이	차질/NNG+이/JKS
불가피해졌다.	불가피하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.320.4.4
분양가가 부풀려졌다며 중도금과 잔금 납부를 거부하며 시행사와 시공사를 상대로 소송을 벌이고 있는 400여 가구는 분양 보증을 선 대한주택보증에서 분양원금을 되돌려받을 수가 있지만 환급을 받기까지 많은 시간이 걸릴 것으로 예상된다.

분양가가	분양/NNG+가/XSN+가/JKS
부풀려졌다며	부풀리/VV+어/EC+지/VX+었/EP+다며/EC
중도금과	중도금/NNG+과/JC
잔금	잔금/NNG
납부를	납부/NNG+를/JKO
거부하며	거부/NNG+하/XSV+며/EC
시행사와	시행사/NNG+와/JC
시공사를	시공사/NNG+를/JKO
상대로	상대/NNG+로/JKB
소송을	소송/NNG+을/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
400여	400/SN+여/XSN
가구는	가구/NNG+는/JX
분양	분양/NNG
보증을	보증/NNG+을/JKO
선	서/VV+ㄴ/ETM
대한주택보증에서	대한주택보증/NNP+에서/JKB
분양원금을	분양/NNG+원금/NNG+을/JKO
되돌려받을	되돌려받/VV+을/ETM
수가	수/NNB+가/JKS
있지만	있/VA+지만/EC
환급을	환급/NNG+을/JKO
받기까지	받/VV+기/ETN+까지/JX
많은	많/VA+은/ETM
시간이	시간/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.320.5.1
지난해 6월 완공 예정이던 남구 삼산동 성원상떼빌 주상아파트는 1년이 지나도록 완공이 되지 않고 있다.

지난해	지난해/NNG
6월	6/SN+월/NNB
완공	완공/NNG
예정이던	예정/NNG+이/VCP+던/ETM
남구	남구/NNP
삼산동	삼산동/NNP
성원상떼빌	성원상떼빌/NNP
주상아파트는	주상/NNG+아파트/NNG+는/JX
1년이	1/SN+년/NNB+이/JKS
지나도록	지나/VV+도록/EC
완공이	완공/NNG+이/JKS
되지	되/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.320.5.2
이 아파트는 2005년 6월 전체 188가구를 분양하면서 분양가가 당시 울산에서 가장 높은 3.3㎡당 1200만원이었는데도 80%대의 비교적 높은 분양률을 기록했으나 시공사인 성원건설이 유동성 위기를 겪어 찔끔공사가 계속되고 있다.

이	이/MMD
아파트는	아파트/NNG+는/JX
2005년	2005/SN+년/NNB
6월	6/SN+월/NNB
전체	전체/NNG
188가구를	188/SN+가구/NNG+를/JKO
분양하면서	분양/NNG+하/XSV+면서/EC
분양가가	분양/NNG+가/XSN+가/JKS
당시	당시/NNG
울산에서	울산/NNP+에서/JKB
가장	가장/MAG
높은	높/VA+은/ETM
3.3㎡당	3/SN+./SP+3/SN+㎡/SW+당/XSN
1200만원이었는데도	1200/SN+만/NR+원/NNB+이/VCP+었/EP+는데/EC+도/JX
80%대의	80/SN+%/SW+대/XSN+의/JKG
비교적	비교/NNG+적/XSN
분양률을	분양/NNG+률/XSN+을/JKO
기록했으나	기록/NNG+하/XSV+았/EP+으나/EC
시공사인	시공사/NNG+이/VCP+ㄴ/ETM
성원건설이	성원건설/NNP+이/JKS
유동성	유동/NNG+성/XSN
위기를	위기/NNG+를/JKO
겪어	겪/VV+어/EC
찔끔공사가	찔끔/MAG+공사/NNG+가/JKS
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.320.5.3
이에 계약자들이 계약 해지와 피해 보상 등을 요구하며 시행사와 시공사를 상대로 소송을 벌이고 있다.

이에	이/NP+에/JKB
계약자들이	계약자/NNG+들/XSN+이/JKS
계약	계약/NNG
해지와	해지/NNG+와/JC
피해	피해/NNG
보상	보상/NNG
등을	등/NNB+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
시행사와	시행사/NNG+와/JC
시공사를	시공사/NNG+를/JKO
상대로	상대/NNG+로/JKB
소송을	소송/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.320.6.1
앞서 1월에는 남구 야음동 번영로 두산위브아파트가, 6월에는 달동 지에스센트럴자이 주상아파트도 높은 분양가로 분양에 실패해 계약자에게 분양계약금을 돌려주고 울산시에 사업계획 변경 신청을 했다.

앞서	앞서/MAG
1월에는	1/SN+월/NNB+에/JKB+는/JX
남구	남구/NNP
야음동	야음동/NNP
번영로	번영로/NNP
두산위브아파트가,	두산위브아파트/NNP+가/JKS+,/SP
6월에는	6/SN+월/NNB+에/JKB+는/JX
달동	달동/NNP
지에스센트럴자이	지에스센트럴자이/NNP
주상아파트도	주상/NNG+아파트/NNG+도/JX
높은	높/VA+은/ETM
분양가로	분양/NNG+가/XSN+로/JKB
분양에	분양/NNG+에/JKB
실패해	실패/NNG+하/XSV+아/EC
계약자에게	계약자/NNG+에게/JKB
분양계약금을	분양/NNG+계약금/NNG+을/JKO
돌려주고	돌려주/VV+고/EC
울산시에	울산시/NNP+에/JKB
사업계획	사업/NNG+계획/NNG
변경	변경/NNG
신청을	신청/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.320.7.1
지역 건설업체 관계자는 “수도권의 1군 건설업체들이 지역 여건을 고려하지 않은 채 자사의 브랜드만 믿고 분양가를 지나치게 높게 책정한데다, 시가 공급을 늘려 분양가 상승을 막자는 주택정책을 펴면서 허가를 남발한 후유증이 나타나고 있다”고 지적했다.

지역	지역/NNG
건설업체	건설업체/NNG
관계자는	관계자/NNG+는/JX
“수도권의	“/SS+수도/NNG+권/XSN+의/JKG
1군	1/SN+군/NNG
건설업체들이	건설업체/NNG+들/XSN+이/JKS
여건을	여건/NNG+을/JKO
고려하지	고려/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
자사의	자사/NNG+의/JKG
브랜드만	브랜드/NNG+만/JX
믿고	믿/VV+고/EC
분양가를	분양/NNG+가/XSN+를/JKO
지나치게	지나치/VA+게/EC
높게	높/VA+게/EC
책정한데다,	책정/NNG+하/XSV+ㄴ/ETM+데/NNB+다/JX+,/SP
시가	시/NNG+가/JKS
공급을	공급/NNG+을/JKO
늘려	늘리/VV+어/EC
분양가	분양/NNG+가/XSN
상승을	상승/NNG+을/JKO
막자는	막/VV+자는/ETM
주택정책을	주택/NNG+정책/NNG+을/JKO
펴면서	펴/VV+면서/EC
허가를	허가/NNG+를/JKO
남발한	남발/NNG+하/XSV+ㄴ/ETM
후유증이	후유증/NNG+이/JKS
나타나고	나타나/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


