# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.389
metadata : {}


# id : NWRW1800000036.389.1.1
고해성사 없인 진보운동 전체 부정시련을 민주정당 거듭나는 기회로

고해성사	고해/NNG+성사/NNG
거듭나기를	거듭나/VV+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.389.11.1
조국 서울대 교수는 “진보당이 과거 운동권 시절의 문화를 탈피해 대중민주주의에 적합한 모델을 구현해야 한다”며 “이번에 과거의 병폐를 철저하게 청산한다면 희망이 있다”고 말했다.

조국	조국/NNP
서울대	서울대/NNP
교수는	교수/NNG+는/JX
“진보당이	“/SS+진보당/NNP+이/JKS
과거	과거/NNG
운동권	운동/NNG+권/XSN
시절의	시절/NNG+의/JKG
문화를	문화/NNG+를/JKO
탈피해	탈피/NNG+하/XSV+아/EC
대중민주주의에	대중/NNG+민주주의/NNG+에/JKB
적합한	적합/NNG+하/XSA+ㄴ/ETM
모델을	모델/NNG+을/JKO
구현해야	구현/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“이번에	“/SS+이번/NNG+에/JKB
과거의	과거/NNG+의/JKG
병폐를	병폐/NNG+를/JKO
철저하게	철저/NNG+하/XSA+게/EC
청산한다면	청산/NNG+하/XSV+ㄴ다면/EC
희망이	희망/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.389.11.2
조 교수는 이날 트위터에 “진보당 사태에도 불구하고 한국 사회에서 노동과 복지가 더 중시되어야 한다는 점은 변함이 없다.

조	조/NNP
교수는	교수/NNG+는/JX
이날	이날/NNG
트위터에	트위터/NNP+에/JKB
“진보당	“/SS+진보당/NNP
사태에도	사태/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
한국	한국/NNP
사회에서	사회/NNG+에서/JKB
노동과	노동/NNG+과/JC
복지가	복지/NNG+가/JKS
더	더/MAG
중시되어야	중시/NNG+되/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
점은	점/NNG+은/JX
변함이	변하/VV+ㅁ/ETN+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000036.389.11.3
저도 많이 안타깝다”며 “정당 바깥 진보적 대중의 눈을 외면하는 것은 망하는 지름길”이라고 적었다.

저도	저/NP+도/JX
많이	많이/MAG
안타깝다”며	안타깝/VA+다/EF+”/SS+며/EC
“정당	“/SS+정당/NNG
바깥	바깥/NNG
진보적	진보/NNG+적/XSN
대중의	대중/NNG+의/JKG
눈을	눈/NNG+을/JKO
외면하는	외면/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
망하는	망하/VV+는/ETM
지름길”이라고	지름길/NNG+”/SS+이라고/JKQ
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.389.12.1
이준한 인천대 교수는 “모든 것을 스스로 고해성사하고 참회하지 않는다면 한국의 진보정당과 진보세력, 나아가 진보운동 전체가 부정될 수 있다”며 “진보당이 이번 위기를 새출발의 계기로 삼으면 국민 신뢰를 되찾을 수 있을 것”이라고 말했다.

이준한	이준한/NNP
인천대	인천대/NNP
교수는	교수/NNG+는/JX
“모든	“/SS+모든/MMN
것을	것/NNB+을/JKO
스스로	스스로/MAG
고해성사하고	고해/NNG+성사/NNG+하/XSV+고/EC
참회하지	참회/NNG+하/XSV+지/EC
않는다면	않/VX+는다면/EC
한국의	한국/NNP+의/JKG
진보정당과	진보/NNG+정당/NNG+과/JC
진보세력,	진보/NNG+세력/NNG+,/SP
나아가	나아가/VV+아/EC
진보운동	진보/NNG+운동/NNG
전체가	전체/NNG+가/JKS
부정될	부정/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“진보당이	“/SS+진보당/NNP+이/JKS
이번	이번/NNG
위기를	위기/NNG+를/JKO
새출발의	새/MMA+출발/NNG+의/JKG
계기로	계기/NNG+로/JKB
삼으면	삼/VV+으면/EC
국민	국민/NNG
신뢰를	신뢰/NNG+를/JKO
되찾을	되찾/VV+을/ETM
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


