# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.324
metadata : {}


# id : NWRW1800000030.324.1.1
오세훈의 승부수… 이기면 대선주자 탄력, 지면 시장 사퇴압력

오세훈의	오세훈/NNP+의/JKG
도움을	도움/NNG+을/JKO
받아야	받/VV+아야/EC
할	하/VX+ㄹ/ETM
한나라당이	한나라당/NNP+이/JKS
반값	반값/NNG
등록금을	등록금/NNG+을/JKO
들고	들/VV+고/EC
나오고	나오/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
여야가	여야/NNG+가/JKS
경쟁하듯	경쟁/NNG+하/XSV+듯/EC
선심성	선심/NNG+성/XSN
복지	복지/NNG
정책을	정책/NNG+을/JKO
내놓고	내놓/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.324.4.3
주민투표가 실시될 8월 20~25일은 여름휴가 끝 무렵이어서 유권자의 관심을 끄는 것도 쉽지 않을 것으로 보인다.

주민투표가	주민/NNG+투표/NNG+가/JKS
실시될	실시/NNG+되/XSV+ㄹ/ETM
8월	8/SN+월/NNB
20~25일은	20/SN+~/SO+25/SN+일/NNB+은/JX
여름휴가	여름휴가/NNG
끝	끝/NNG
무렵이어서	무렵/NNB+이/VCP+어서/EC
유권자의	유권자/NNG+의/JKG
관심을	관심/NNG+을/JKO
끄는	끌/VV+는/ETM
것도	것/NNB+도/JX
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.324.5.1
오 시장은 주민투표 결과에 정치 생명이 달린 만큼 "이기는 길밖에 없다"며 배수진을 치고 있다.

오	오/NNP
시장은	시장/NNG+은/JX
주민투표	주민/NNG+투표/NNG
결과에	결과/NNG+에/JKB
정치	정치/NNG
생명이	생명/NNG+이/JKS
달린	달리/VV+ㄴ/ETM
만큼	만큼/NNB
"이기는	"/SS+이기/VV+는/ETM
길밖에	길/NNG+밖에/JX
없다"며	없/VA+다/EF+"/SS+며/EC
배수진을	배수진/NNG+을/JKO
치고	치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.324.5.2
주민투표가 가결되면 오 시장의 정치적 입지는 수직상승할 것으로 보이며, 내년 총선과 대선을 앞두고 비상한 관심을 모으게 될 것으로 전망된다.

주민투표가	주민/NNG+투표/NNG+가/JKS
가결되면	가결/NNG+되/XSV+면/EC
오	오/NNP
시장의	시장/NNG+의/JKG
정치적	정치/NNG+적/XSN
입지는	입지/NNG+는/JX
수직상승할	수직/NNG+상승/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보이며,	보이/VV+며/EC+,/SP
내년	내년/NNG
총선과	총선/NNG+과/JC
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
비상한	비상/NNG+하/XSA+ㄴ/ETM
관심을	관심/NNG+을/JKO
모으게	모으/VV+게/EC
될	되/VV+ㄹ/ETM
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.324.5.3
여소야대 구도인 서울시의회와의 관계에서도 승기를 잡아 시정(市政) 운영에 힘을 얻을 것으로 보인다.

여소야대	여소/NNG+야대/NNG
구도인	구도/NNG+이/VCP+ㄴ/ETM
서울시의회와의	서울시의회/NNP+와/JKB+의/JKG
관계에서도	관계/NNG+에서/JKB+도/JX
승기를	승기/NNG+를/JKO
잡아	잡/VV+아/EC
시정(市政)	시정/NNG+(/SS+市政/SH+)/SS
운영에	운영/NNG+에/JKB
힘을	힘/NNG+을/JKO
얻을	얻/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.324.6.1
주민투표에서 유권자 3분의 1 이상이 참여하지 않아 투표함 자체를 열지 못하거나, 찬성이 과반을 넘기지 못할 경우 오 시장의 패배로 돌아간다.

주민투표에서	주민/NNG+투표/NNG+에서/JKB
유권자	유권자/NNG
3분의	3/SN+분/XSN+의/JKG
1	1/SN
이상이	이상/NNG+이/JKS
참여하지	참여/NNG+하/XSV+지/EC
않아	않/VX+아/EC
투표함	투표함/NNG
자체를	자체/NNG+를/JKO
열지	열/VV+지/EC
못하거나,	못하/VX+거나/EC+,/SP
찬성이	찬성/NNG+이/JKS
과반을	과반/NNG+을/JKO
넘기지	넘기/VV+지/EC
못할	못하/VX+ㄹ/ETM
경우	경우/NNG
오	오/NNP
시장의	시장/NNG+의/JKG
패배로	패배/NNG+로/JKB
돌아간다.	돌아가/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.324.6.2
서울시장으로서 사퇴 압력을 받을 수 있고, 임기를 채우더라도 다수당인 민주당에 목소리를 내기 어려워질 전망이다.

서울시장으로서	서울시장/NNG+으로서/JKB
사퇴	사퇴/NNG
압력을	압력/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
임기를	임기/NNG+를/JKO
채우더라도	채우/VV+더라도/EC
다수당인	다수당/NNG+이/VCP+ㄴ/ETM
민주당에	민주당/NNP+에/JKB
목소리를	목소리/NNG+를/JKO
내기	내/VV+기/ETN
어려워질	어렵/VA+어/EC+지/VX+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.324.6.3
오 시장은 '전면 무상급식에 대한 찬성의견이 우세할 때 정치적 책임을 질 것이냐'는 질문에 "어떤 정치적 책임을 질 것인지 숙고하겠다"고 답했다.

오	오/NNP
시장은	시장/NNG+은/JX
'전면	'/SS+전면/NNG
무상급식에	무상/NNG+급식/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
찬성의견이	찬성/NNG+의견/NNG+이/JKS
우세할	우세/NNG+하/XSA+ㄹ/ETM
때	때/NNG
정치적	정치/NNG+적/XSN
책임을	책임/NNG+을/JKO
질	지/VV+ㄹ/ETM
것이냐'는	것/NNB+이/VCP+냐/EF+'/SS+는/ETM
질문에	질문/NNG+에/JKB
"어떤	"/SS+어떤/MMD
것인지	것/NNB+이/VCP+ㄴ지/EC
숙고하겠다"고	숙고/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


