# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.90
metadata : {}


# id : NWRW1800000022.90.1.1
[Interview in Depth]'브랜드 자산' 데이비드 아커 인터뷰_"제네시스, 공격적 마케팅은 홈런"

[Interview	[/SS+Interview/SL
"홈런으로 본다.

"홈런으로	"/SS+홈런/NNG+으로/JKB
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.90.4.2
내가 언급한 '불황에 돈 더 쓰려는 기업의 전제 조건'도 몇 가지 충족시켰다.

내가	내/NP+가/JKS
언급한	언급/NNG+하/XSV+ㄴ/ETM
'불황에	'/SS+불황/NNG+에/JKB
돈	돈/NNG
더	더/MAG
쓰려는	쓰/VV+려는/ETM
기업의	기업/NNG+의/JKG
전제	전제/NNG
조건'도	조건/NNG+'/SS+도/JX
몇	몇/NR
가지	가지/NNB
충족시켰다.	충족/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.90.4.3
우선 훌륭한 마케팅 전략이 있었다.

우선	우선/MAG
훌륭한	훌륭하/VA+ㄴ/ETM
마케팅	마케팅/NNG
전략이	전략/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.90.4.4
차를 새로 산 고객이 1년 내에 실직하면 차를 되사가겠다는 제안은 미국민들에게 크게 호소했다.

차를	차/NNG+를/JKO
새로	새로/MAG
산	사/VV+ㄴ/ETM
고객이	고객/NNG+이/JKS
1년	1/SN+년/NNB
내에	내/NNB+에/JKB
실직하면	실직/NNG+하/XSV+면/EC
되사가겠다는	되사/VV+아/EC+가/VX+겠/EP+다는/ETM
제안은	제안/NNG+은/JX
미국민들에게	미/NNP+국민/NNG+들/XSN+에게/JKB
크게	크/VA+게/EC
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.90.4.5
또 제네시스라는, 비교적 혁신적인 신제품이 있었다.

또	또/MAG
제네시스라는,	제네시스/NNP+이/VCP+라는/ETM+,/SP
비교적	비교/NNG+적/XSN
혁신적인	혁신/NNG+적/XSN+이/VCP+ㄴ/ETM
신제품이	신/XPN+제품/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.90.4.6
또한 다른 미국 자동차 기업들이 대응할 여력이 없는 상황이었다.

또한	또한/MAG
다른	다른/MMD
미국	미국/NNP
자동차	자동차/NNG
기업들이	기업/NNG+들/XSN+이/JKS
대응할	대응/NNG+하/XSV+ㄹ/ETM
여력이	여력/NNG+이/JKS
없는	없/VA+는/ETM
상황이었다.	상황/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.90.4.7
결국 이 불황에 매출이 증가하는, 매우 놀랄 만한 결과를 낳았다."

결국	결국/MAG
이	이/MMD
불황에	불황/NNG+에/JKB
매출이	매출/NNG+이/JKS
증가하는,	증가/NNG+하/XSV+는/ETM+,/SP
매우	매우/MAG
놀랄	놀라/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
결과를	결과/NNG+를/JKO
낳았다."	낳/VV+았/EP+다/EF+./SF+"/SS


# id : NWRW1800000022.90.5.1
―어떤 전문가들은 도요타에서 완전 분리해 만든 렉서스 브랜드처럼, 제네시스도 값싼 차란 이미지의 현대차에서 완전 분리해 브랜드를 론칭했어야 한다는 지적을 한다.

―어떤	―/SS+어떤/MMD
전문가들은	전문가/NNG+들/XSN+은/JX
도요타에서	도요타/NNP+에서/JKB
완전	완전/NNG
분리해	분리/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
렉서스	렉서스/NNP
브랜드처럼,	브랜드/NNG+처럼/JKB+,/SP
제네시스도	제네시스/NNP+도/JX
값싼	값싸/VA+ㄴ/ETM
차란	차/NNG+이/VCP+란/ETM
이미지의	이미지/NNG+의/JKG
현대차에서	현대차/NNP+에서/JKB
브랜드를	브랜드/NNG+를/JKO
론칭했어야	론칭/NNG+하/XSV+았/EP+어야/EC
한다는	하/VX+ㄴ다는/ETM
지적을	지적/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.90.6.1
"음…

"음…	"/SS+음/IC+…/SE


# id : NWRW1800000022.90.6.2
나는 현대차가 잘했다고 생각한다.

나는	나/NP+는/JX
현대차가	현대차/NNP+가/JKS
잘했다고	잘/MAG+하/XSV+았/EP+다고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.90.6.3
우선 도요타는 당시 너무나 고물차 이미지였다.

우선	우선/MAG
도요타는	도요타/NNP+는/JX
당시	당시/NNG
너무나	너무나/MAG
고물차	고물/NNG+차/NNG
이미지였다.	이미지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.90.6.4
그 이미지를 바꾸는 데 10~15년은 걸릴 정도였다.

그	그/MMD
이미지를	이미지/NNG+를/JKO
바꾸는	바꾸/VV+는/ETM
데	데/NNB
10~15년은	10/SN+~/SO+15/SN+년/NNB+은/JX
걸릴	걸리/VV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.90.6.5
현대차는 그 정도는 아니다.

현대차는	현대차/NNP+는/JX
그	그/MMD
정도는	정도/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.90.6.6
약 7~8년이면 이미지를 바꿀 수 있을 것이다.

약	약/MMA
7~8년이면	7/SN+~/SO+8/SN+년/NNB+이/VCP+면/EC
이미지를	이미지/NNG+를/JKO
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.90.6.7
현대차는 이제 꽤 훌륭한 수준에 왔다.

현대차는	현대차/NNP+는/JX
이제	이제/MAG
꽤	꽤/MAG
훌륭한	훌륭하/VA+ㄴ/ETM
수준에	수준/NNG+에/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.90.6.8
다만 여전히 적당한 품질을 원하는 사람들 사이에서만 인기가 있는 것은 사실이다.

다만	다만/MAG
여전히	여전히/MAG
적당한	적당하/VA+ㄴ/ETM
품질을	품질/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
사람들	사람/NNG+들/XSN
사이에서만	사이/NNG+에서/JKB+만/JX
인기가	인기/NNG+가/JKS
있는	있/VA+는/ETM
것은	것/NNB+은/JX
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.90.7.1
둘째, 이제 누구나 렉서스를 도요타가 만들었다는 것을 안다.

둘째,	둘째/NR+,/SP
이제	이제/MAG
누구나	누구/NP+나/JX
렉서스를	렉서스/NNP+를/JKO
도요타가	도요타/NNP+가/JKS
만들었다는	만들/VV+었/EP+다는/ETM
것을	것/NNB+을/JKO
안다.	알/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.90.7.2
마찬가지로 만약 현대차가 렉서스처럼 완전히 분리된 판매망을 구축해 제네시스를 출시했더라도 사람들은 제네시스가 현대차 제품이란 걸 알았을 것이다.

마찬가지로	마찬가지/NNG+로/JKB
만약	만약/MAG
현대차가	현대차/NNP+가/JKS
렉서스처럼	렉서스/NNP+처럼/JKB
완전히	완전히/MAG
분리된	분리/NNG+되/XSV+ㄴ/ETM
판매망을	판매망/NNG+을/JKO
구축해	구축/NNG+하/XSV+아/EC
제네시스를	제네시스/NNP+를/JKO
출시했더라도	출시/NNG+하/XSV+았/EP+더라도/EC
사람들은	사람/NNG+들/XSN+은/JX
제네시스가	제네시스/NNP+가/JKS
현대차	현대차/NNP
제품이란	제품/NNG+이/VCP+란/ETM
걸	거/NNB+ㄹ/JKO
알았을	알/VV+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.90.7.3
어차피 현대차라는 본체가 우수한 품질과 이미지를 갖는 게 중요한 것이다.

어차피	어차피/MAG
현대차라는	현대차/NNP+이/VCP+라는/ETM
본체가	본체/NNG+가/JKS
우수한	우수/NNG+하/XSA+ㄴ/ETM
품질과	품질/NNG+과/JC
이미지를	이미지/NNG+를/JKO
갖는	갖/VV+는/ETM
게	거/NNB+이/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.90.8.1
셋째, 새로운 판매망과 완전히 분리된 브랜드를 론칭하려면 참으로 어마어마한 비용이 들어갔을 것이다.

셋째,	셋째/NR+,/SP
새로운	새롭/VA+ㄴ/ETM
판매망과	판매망/NNG+과/JKB
완전히	완전히/MAG
분리된	분리/NNG+되/XSV+ㄴ/ETM
브랜드를	브랜드/NNG+를/JKO
론칭하려면	론칭/NNG+하/XSV+려면/EC
참으로	참으로/MAG
어마어마한	어마어마하/VA+ㄴ/ETM
비용이	비용/NNG+이/JKS
들어갔을	들어가/VV+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.90.8.2
실질적으로 실현 가능성이 거의 없었을 것이다."

실질적으로	실질/NNG+적/XSN+으로/JKB
실현	실현/NNG
가능성이	가능/NNG+성/XSN+이/JKS
거의	거의/MAG
없었을	없/VA+었/EP+을/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


