# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.458
metadata : {}


# id : NWRW1800000028.458.1.1
복지후퇴의 시대

복지후퇴의	복지/NNG+후퇴/NNG+의/JKG
정책을	정책/NNG+을/JKO
펴야	펴/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.458.2.5
그는 빈민구제는 가난한 사람들의 출산을 유도하므로 지원액을 줄여야 한다고 역설했다.

그는	그/NP+는/JX
빈민구제는	빈민/NNG+구제/NNG+는/JX
가난한	가난/NNG+하/XSA+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
출산을	출산/NNG+을/JKO
유도하므로	유도/NNG+하/XSV+므로/EC
지원액을	지원액/NNG+을/JKO
줄여야	줄이/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
역설했다.	역설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.458.2.6
맬서스의 예언은 나중에 잘못된 것으로 판명났지만, 당시 이런 주장이 먹혀들어 영국 의회는 1834년 구빈법을 개정해 지원액을 삭감했다.

맬서스의	맬서스/NNP+의/JKG
예언은	예언/NNG+은/JX
나중에	나중/NNG+에/JKB
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
판명났지만,	판명/NNG+나/VV+았/EP+지만/EC+,/SP
당시	당시/NNG
이런	이런/MMD
주장이	주장/NNG+이/JKS
먹혀들어	먹혀들/VV+어/EC
영국	영국/NNP
의회는	의회/NNG+는/JX
1834년	1834/SN+년/NNB
구빈법을	구빈법/NNG+을/JKO
개정해	개정/NNG+하/XSV+아/EC
지원액을	지원액/NNG+을/JKO
삭감했다.	삭감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.458.2.7
이런 분위기에 격분한 디킨스는 구두쇠 영감 스크루지를 통해 맬서스를 풍자했다.

이런	이런/MMD
분위기에	분위기/NNG+에/JKB
격분한	격분/NNG+하/XSV+ㄴ/ETM
디킨스는	디킨스/NNP+는/JX
구두쇠	구두쇠/NNG
영감	영감/NNG
스크루지를	스크루지/NNP+를/JKO
통해	통하/VV+아/EC
맬서스를	맬서스/NNP+를/JKO
풍자했다.	풍자/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.458.2.8
“게으름뱅이들을 즐겁게 해줄 만큼 넉넉하지 않다”거나 “가난한 사람들이 차라리 죽겠다면 남아도는 인구를 줄일 수도 있을 테니 그게 나을 것”이라는 스크루지의 말은 단적인 예다.

“게으름뱅이들을	“/SS+게으름뱅이/NNG+들/XSN+을/JKO
즐겁게	즐겁/VA+게/EC
해줄	하/VX+아/EC+주/VX+ㄹ/ETM
만큼	만큼/NNB
넉넉하지	넉넉하/VA+지/EC
않다”거나	않/VX+다/EF+”/SS+거나/EC
“가난한	“/SS+가난/NNG+하/XSA+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
차라리	차라리/MAG
죽겠다면	죽/VV+겠/EP+다면/EC
남아도는	남아돌/VV+는/ETM
인구를	인구/NNG+를/JKO
줄일	줄이/VV+ㄹ/ETM
수도	수/NNB+도/JX
있을	있/VA+을/ETM
테니	터/NNB+이/VCP+니/EC
그게	그거/NP+이/JKS
나을	낫/VA+을/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
스크루지의	스크루지/NNP+의/JKG
말은	말/NNG+은/JX
단적인	단적/NNG+이/VCP+ㄴ/ETM
예다.	예/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.458.3.1
분배 정책을 둘러싼 논란은 200년도 넘는 역사를 갖고 있다.

분배	분배/NNG
정책을	정책/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
논란은	논란/NNG+은/JX
200년도	200/SN+년/NNB+도/JX
넘는	넘/VV+는/ETM
역사를	역사/NNG+를/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.458.3.2
19세기 초 이 논쟁에 불이 붙은 것은 영국 정부의 빈민구제 지원액이 국내총생산(GDP)의 1%를 넘어설 정도로 늘기 시작했기 때문이다.

19세기	19/SN+세기/NNG
초	초/NNB
이	이/MMD
논쟁에	논쟁/NNG+에/JKB
불이	불/NNG+이/JKS
붙은	붙/VV+은/ETM
것은	것/NNB+은/JX
영국	영국/NNP
정부의	정부/NNG+의/JKG
빈민구제	빈민/NNG+구제/NNG
지원액이	지원액/NNG+이/JKS
국내총생산(GDP)의	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS+의/JKG
1%를	1/SN+%/SW+를/JKO
넘어설	넘어서/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
늘기	늘/VV+기/ETN
시작했기	시작/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.458.3.3
이는 부자한테서 세금을 거둬 가난한 사람을 돕는 것이었기 때문에 보수파들의 반발이 거셌다.

이는	이/NP+는/JX
부자한테서	부자/NNG+한테서/JKB
세금을	세금/NNG+을/JKO
거둬	거두/VV+어/EC
가난한	가난/NNG+하/XSA+ㄴ/ETM
사람을	사람/NNG+을/JKO
돕는	돕/VV+는/ETM
것이었기	것/NNB+이/VCP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
보수파들의	보수파/NNG+들/XSN+의/JKG
반발이	반발/NNG+이/JKS
거셌다.	거세/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.458.3.4
지원액은 2.5%까지 늘었다가 법 개정 여파로 1% 이하로 추락했다.

지원액은	지원액/NNG+은/JX
2.5%까지	2/SN+./SP+5/SN+%/SW+까지/JX
늘었다가	늘/VV+었/EP+다가/EC
법	법/NNG
개정	개정/NNG
여파로	여파/NNG+로/JKB
1%	1/SN+%/SW
이하로	이하/NNG+로/JKB
추락했다.	추락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.458.4.1
이런 부침에도 복지지출 증가의 흐름은 도도히 이어졌다.

이런	이런/MMD
부침에도	부침/NNG+에/JKB+도/JX
복지지출	복지/NNG+지출/NNG
증가의	증가/NNG+의/JKG
흐름은	흐름/NNG+은/JX
도도히	도도히/MAG
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.458.4.2
서구의 복지지출은 19세기 말부터 재개됐다.

서구의	서구/NNG+의/JKG
복지지출은	복지/NNG+지출/NNG+은/JX
19세기	19/SN+세기/NNG
말부터	말/NNB+부터/JX
재개됐다.	재개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.458.4.3
실업, 연금, 의료, 주거 등으로 범위도 확장됐다.

실업,	실업/NNG+,/SP
연금,	연금/NNG+,/SP
의료,	의료/NNG+,/SP
주거	주거/NNG
등으로	등/NNB+으로/JKB
범위도	범위/NNG+도/JX
확장됐다.	확장/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.458.4.4
경제사가인 피터 린더트 미국 캘리포니아대 교수에 따르면, 서구의 공공복지지출은 1880년부터 2차 대전 사이에 점진적으로, 그리고 1950~1980년에 비약적으로 늘었다.

경제사가인	경제/NNG+사가/NNG+이/VCP+ㄴ/ETM
피터	피터/NNP
린더트	린더트/NNP
미국	미국/NNP
캘리포니아대	캘리포니아대/NNP
교수에	교수/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
서구의	서구/NNG+의/JKG
공공복지지출은	공공복지/NNG+지출/NNG+은/JX
1880년부터	1880/SN+년/NNB+부터/JX
2차	2/SN+차/NNB
대전	대전/NNG
사이에	사이/NNG+에/JKB
점진적으로,	점진/NNG+적/XSN+으로/JKB+,/SP
그리고	그리고/MAJ
1950~1980년에	1950/SN+~/SO+1980/SN+년/NNB+에/JKB
비약적으로	비약/NNG+적/XSN+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.458.4.5
1980년 이후 보수파의 반격이 시작돼 복지국가 위기 논쟁이 붙으면서 증가에 제동이 걸렸지만 지출이 줄지는 않았다.

1980년	1980/SN+년/NNB
이후	이후/NNG
보수파의	보수파/NNG+의/JKG
반격이	반격/NNG+이/JKS
시작돼	시작/NNG+되/XSV+어/EC
복지국가	복지/NNG+국가/NNG
위기	위기/NNG
논쟁이	논쟁/NNG+이/JKS
붙으면서	붙/VV+으면서/EC
증가에	증가/NNG+에/JKB
제동이	제동/NNG+이/JKS
걸렸지만	걸리/VV+었/EP+지만/EC
지출이	지출/NNG+이/JKS
줄지는	주/VV+ㄹ지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.458.5.1
경제협력개발기구(OECD) 자료를 보면, 21개 회원국의 공공복지지출 비중(국내총생산 대비)은 1960년 평균 10%를 넘어섰고, 1980년에 20%대를 뚫었다.

경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
21개	21/SN+개/NNB
회원국의	회원국/NNG+의/JKG
공공복지지출	공공복지/NNG+지출/NNG
비중(국내총생산	비중/NNG+(/SS+국내/NNG+총생산/NNG
대비)은	대비/NNG+)/SS+은/JX
1960년	1960/SN+년/NNB
평균	평균/NNG
10%를	10/SN+%/SW+를/JKO
넘어섰고,	넘어서/VV+었/EP+고/EC+,/SP
1980년에	1980/SN+년/NNB+에/JKB
20%대를	20/SN+%/SW+대/XSN+를/JKO
뚫었다.	뚫/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.458.5.2
동유럽 등 신규 가입국을 제외하면 지금도 20% 수준이다.

동유럽	동유럽/NNP
등	등/NNB
신규	신규/NNG
가입국을	가입국/NNG+을/JKO
제외하면	제외/NNG+하/XSV+면/EC
지금도	지금/NNG+도/JX
20%	20/SN+%/SW
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.458.6.1
우리나라의 공공복지지출 수준은 어디쯤일까.

우리나라의	우리나라/NNG+의/JKG
공공복지지출	공공복지/NNG+지출/NNG
수준은	수준/NNG+은/JX
어디쯤일까.	어디/NP+쯤/XSN+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000028.458.6.2
오이시디 통계로 1990년에 2.8%였고 2000년 4.8%, 2007년 7.5%다.

오이시디	오이시디/NNP
통계로	통계/NNG+로/JKB
1990년에	1990/SN+년/NNB+에/JKB
2.8%였고	2/SN+./SP+8/SN+%/SW+이/VCP+었/EP+고/EC
2000년	2000/SN+년/NNB
4.8%,	4/SN+./SP+8/SN+%/SW+,/SP
2007년	2007/SN+년/NNB
7.5%다.	7/SN+./SP+5/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000028.458.6.3
회원국 평균과 비교하면 1950년대 중반 수준으로 추정된다.

회원국	회원국/NNG
평균과	평균/NNG+과/JKB
비교하면	비교/NNG+하/XSV+면/EC
1950년대	1950/SN+년대/NNB
중반	중반/NNG
수준으로	수준/NNG+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.458.6.4
이런 추세가 이어졌다면 몇 년 내 ‘10%’라는 상징적인 숫자를 돌파해 복지국가의 태동을 거론할 수도 있었을 것이다.

이런	이런/MMD
추세가	추세/NNG+가/JKS
이어졌다면	이어지/VV+었/EP+다면/EC
몇	몇/NR
년	년/NNB
내	내/NNB
‘10%’라는	‘/SS+10/SN+%/SW+’/SS+이/VCP+라는/ETM
상징적인	상징/NNG+적/XSN+이/VCP+ㄴ/ETM
숫자를	숫자/NNG+를/JKO
돌파해	돌파/NNG+하/XSV+아/EC
복지국가의	복지/NNG+국가/NNG+의/JKG
태동을	태동/NNG+을/JKO
거론할	거론/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있었을	있/VA+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.458.6.5
그러나 현 정부는 경제성장 속도에 견줘 복지지출 증가 속도를 낮게 유지하는 내용으로 중장기 재정운용계획을 짜 2014년까지 오히려 그 비중이 뒷걸음질할 것으로 예상된다.

그러나	그러나/MAJ
현	현/MMD
정부는	정부/NNG+는/JX
경제성장	경제/NNG+성장/NNG
속도에	속도/NNG+에/JKB
견줘	견주/VV+어/EC
복지지출	복지/NNG+지출/NNG
증가	증가/NNG
속도를	속도/NNG+를/JKO
낮게	낮/VA+게/EC
유지하는	유지/NNG+하/XSV+는/ETM
내용으로	내용/NNG+으로/JKB
중장기	중장기/NNG
재정운용계획을	재정/NNG+운용/NNG+계획/NNG+을/JKO
짜	짜/VV+아/EC
2014년까지	2014/SN+년/NNB+까지/JX
오히려	오히려/MAG
그	그/MMD
비중이	비중/NNG+이/JKS
뒷걸음질할	뒷걸음/NNG+질/XSN+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.458.7.1
이런 ‘복지 후퇴’는 집권세력 핵심부의 잘못된 현실인식과 편향된 가치관 탓이 크다.

이런	이런/MMD
‘복지	‘/SS+복지/NNG
후퇴’는	후퇴/NNG+’/SS+는/JX
집권세력	집권/NNG+세력/NNG
핵심부의	핵심부/NNG+의/JKG
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
현실인식과	현실/NNG+인식/NNG+과/JC
편향된	편향/NNG+되/XSV+ㄴ/ETM
가치관	가치관/NNG
탓이	탓/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000028.458.7.2
최근 대통령은 우리가 “복지국가라고 해도 과언이 아닐 정도”라 했고, 기획재정부 수장은 ‘복지는 즐기는 것’이라 했다.

최근	최근/NNG
대통령은	대통령/NNG+은/JX
우리가	우리/NP+가/JKS
“복지국가라고	“/SS+복지/NNG+국가/NNG+이/VCP+라고/EC
해도	하/VV+아도/EC
과언이	과언/NNG+이/JKC
아닐	아니/VCN+ㄹ/ETM
정도”라	정도/NNG+”/SS+라/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
기획재정부	기획/NNG+재정부/NNG
수장은	수장/NNG+은/JX
‘복지는	‘/SS+복지/NNG+는/JX
즐기는	즐기/VV+는/ETM
것’이라	것/NNB+’/SS+이/VCP+라/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.458.8.1
린더트 교수는 복지국가의 태동 동력을 세 가지로 꼽는다.

린더트	린더트/NNP
교수는	교수/NNG+는/JX
복지국가의	복지/NNG+국가/NNG+의/JKG
태동	태동/NNG
동력을	동력/NNG+을/JKO
세	세/MMN
가지로	가지/NNB+로/JKB
꼽는다.	꼽/VV+는다/EF+./SF


# id : NWRW1800000028.458.8.2
소득 증가와 고령화, 그리고 약자들의 정치적 목소리 확대가 그것이다.

소득	소득/NNG
증가와	증가/NNG+와/JC
고령화,	고령/NNG+화/XSN+,/SP
그리고	그리고/MAJ
약자들의	약자/NNG+들/XSN+의/JKG
정치적	정치/NNG+적/XSN
목소리	목소리/NNG
확대가	확대/NNG+가/JKS
그것이다.	그것/NP+이/VCP+다/EF+./SF


# id : NWRW1800000028.458.8.3
이는 19세기 말 이후 발전한 자본주의 국가의 공통된 현상이다.

이는	이/NP+는/JX
19세기	19/SN+세기/NNG
말	말/NNB
이후	이후/NNG
발전한	발전/NNG+하/XSV+ㄴ/ETM
자본주의	자본주의/NNG
국가의	국가/NNG+의/JKG
공통된	공통/NNG+되/XSV+ㄴ/ETM
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.458.8.4
그런데 우리에게는 빠진 게 하나 있다.

그런데	그런데/MAJ
우리에게는	우리/NP+에게/JKB+는/JX
빠진	빠지/VV+ㄴ/ETM
게	거/NNB+이/JKS
하나	하나/NR
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.458.8.5
약자들의 목소리가 제대로 대변되지 못한다는 점이다.

약자들의	약자/NNG+들/XSN+의/JKG
목소리가	목소리/NNG+가/JKS
제대로	제대로/MAG
대변되지	대변/NNG+되/XSV+지/EC
못한다는	못하/VX+ㄴ다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.458.8.6
이런 현실에서는 복지국가 진입은 더뎌질 수밖에 없고, 가난한 사람들의 우울한 크리스마스는 계속될 수밖에 없다.

이런	이런/MMD
현실에서는	현실/NNG+에서/JKB+는/JX
복지국가	복지/NNG+국가/NNG
진입은	진입/NNG+은/JX
더뎌질	더디/VA+어/EC+지/VX+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없고,	없/VA+고/EC+,/SP
가난한	가난/NNG+하/XSA+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
우울한	우울/NNG+하/XSA+ㄴ/ETM
크리스마스는	크리스마스/NNG+는/JX
계속될	계속/NNG+되/XSV+ㄹ/ETM
없다.	없/VA+다/EF+./SF


