# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.37
metadata : {}


# id : NWRW1800000033.37.1.1
모건스탠리 “한국 부동산 6∼12개월간 침체”

모건스탠리	모건스탠리/NNP
모건스탠리는	모건스탠리/NNP+는/JX
“이런	“/SS+이런/MMD
조치가	조치/NNG+가/JKS
주택	주택/NNG
구매자들의	구매자/NNG+들/XSN+의/JKG
자금조달	자금/NNG+조달/NNG
여건	여건/NNG
개선에	개선/NNG+에/JKB
도움을	도움/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다”라면서도	기대/NNG+하/XSV+ㄴ다/EF+”/SS+라면서/EC+도/JX
“하반기	“/SS+하반기/NNG
주택담보대출이	주택/NNG+담보/NNG+대출/NNG+이/JKS
크게	크/VA+게/EC
늘어나지는	늘어나/VV+지/EC+는/JX
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.37.6.1
경제전망 및 정책방향에 대한 불확실성, 사회 인구학적 변화, 소득 수준 대비 높은 부동산 가격 등을 감안할 때 DTI 규제 완화가 부동산 시장에 미치는 효과는 제한적일 것이라고 분석했다.

경제전망	경제/NNG+전망/NNG
및	및/MAG
정책방향에	정책/NNG+방향/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불확실성,	불확실/NNG+성/XSN+,/SP
사회	사회/NNG
인구학적	인구학/NNG+적/XSN
변화,	변화/NNG+,/SP
소득	소득/NNG
수준	수준/NNG
대비	대비/NNG
높은	높/VA+은/ETM
부동산	부동산/NNG
가격	가격/NNG
등을	등/NNB+을/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
때	때/NNG
DTI	DTI/SL
규제	규제/NNG
완화가	완화/NNG+가/JKS
시장에	시장/NNG+에/JKB
미치는	미치/VV+는/ETM
효과는	효과/NNG+는/JX
제한적일	제한/NNG+적/XSN+이/VCP+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.37.7.1
모건스탠리는 “한두 명으로 구성된 20, 30대 가구가 늘고 있고 30, 40대 가구는 주택 매입에 부정적이다”라며 “향후 주택 구매 수요는 줄어들 것”이라고 예상했다.

모건스탠리는	모건스탠리/NNP+는/JX
“한두	“/SS+한두/MMN
명으로	명/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
20,	20/SN+,/SP
30대	30/SN+대/NNB
가구가	가구/NNG+가/JKS
늘고	늘/VV+고/EC
있고	있/VX+고/EC
30,	30/SN+,/SP
40대	40/SN+대/NNB
가구는	가구/NNG+는/JX
주택	주택/NNG
매입에	매입/NNG+에/JKB
부정적이다”라며	부정/NNG+적/XSN+이/VCP+다/EF+”/SS+이/VCP+라며/EC
“향후	“/SS+향후/NNG
구매	구매/NNG
수요는	수요/NNG+는/JX
줄어들	줄어들/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.37.8.1
반면 DTI 규제 완화를 긍정적으로 평가하는 IB도 있었다.

반면	반면/NNG
DTI	DTI/SL
규제	규제/NNG
완화를	완화/NNG+를/JKO
긍정적으로	긍정/NNG+적/XSN+으로/JKB
평가하는	평가/NNG+하/XSV+는/ETM
IB도	IB/SL+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.37.8.2
씨티그룹은 “젊은층과 자산을 보유한 은퇴자에 대한 DTI 규제 완화는 주택 구매자들의 현재 자산과 미래의 소득을 감안했다는 점에서 합리적인 조치”라고 평가했다.

씨티그룹은	씨티그룹/NNP+은/JX
“젊은층과	“/SS+젊/VA+은/ETM+층/NNG+과/JC
자산을	자산/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
은퇴자에	은퇴자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
DTI	DTI/SL
규제	규제/NNG
완화는	완화/NNG+는/JX
주택	주택/NNG
구매자들의	구매자/NNG+들/XSN+의/JKG
현재	현재/MAG
자산과	자산/NNG+과/JC
미래의	미래/NNG+의/JKG
소득을	소득/NNG+을/JKO
감안했다는	감안/NNG+하/XSV+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
합리적인	합리/NNG+적/XSN+이/VCP+ㄴ/ETM
조치”라고	조치/NNG+”/SS+라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


