# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.443
metadata : {}


# id : NWRW1800000024.443.1.1
출구 없는 ‘패권 중독증’…미국의 화근

출구	출구/NNG
세계화와 ‘워싱턴 컨센서스’를 무기로 한 신자유주의정책은 미국 등 강국들의 자본이 파생금융상품 등을 앞세워 경제적 약자들로부터 일시적으로 막대한 이윤을 뽑아올릴 수 있게 만들어주었지만 탈규제와 자유화가 통제불능 상태로 치달아 자본주의 자체를 자살로 이끌고 있다는 게 콜코의 생각이다.

세계화와	세계/NNG+화/XSN+와/JKB
‘워싱턴	‘/SS+워싱턴/NNP
컨센서스’를	컨센서스/NNG+’/SS+를/JKO
무기로	무기/NNG+로/JKB
한	하/VV+ㄴ/ETM
신자유주의정책은	신/XPN+자유주의/NNG+정책/NNG+은/JX
미국	미국/NNP
등	등/NNB
강국들의	강국/NNG+들/XSN+의/JKG
자본이	자본/NNG+이/JKS
파생금융상품	파생/NNG+금융/NNG+상품/NNG
등을	등/NNB+을/JKO
앞세워	앞세우/VV+어/EC
경제적	경제/NNG+적/XSN
약자들로부터	약자/NNG+들/XSN+로부터/JKB
일시적으로	일시/NNG+적/XSN+으로/JKB
막대한	막대하/VA+ㄴ/ETM
이윤을	이윤/NNG+을/JKO
뽑아올릴	뽑/VV+아/EC+올리/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
만들어주었지만	만들/VV+어/EC+주/VX+었/EP+지만/EC
탈규제와	탈/XPN+규제/NNG+와/JC
자유화가	자유/NNG+화/XSN+가/JKS
통제불능	통제/NNG+불능/NNG
상태로	상태/NNG+로/JKB
치달아	치닫/VV+아/EC
자본주의	자본주의/NNG
자체를	자체/NNG+를/JKO
자살로	자살/NNG+로/JKB
이끌고	이끌/VV+고/EC
있다는	있/VX+다는/ETM
게	거/NNB+이/JKS
콜코의	콜코/NNP+의/JKG
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.443.5.1
또 하나는 신무기 개발에 집착하는 군사주의.

또	또/MAG
하나는	하나/NR+는/JX
신무기	신/XPN+무기/NNG
개발에	개발/NNG+에/JKB
집착하는	집착/NNG+하/XSV+는/ETM
군사주의.	군사주의/NNG+./SF


# id : NWRW1800000024.443.5.2
원래 소련과 바르샤바조약기구 동맹국들과의 전면전에 대비해 집중화된 목표물을 파괴할 목적으로 개발된 미국의 무기체계는 미군이 처음으로 승리할 수 없었던 한국전쟁 때부터 문제를 드러내기 시작했다.

원래	원래/MAG
소련과	소련/NNP+과/JC
바르샤바조약기구	바르샤바조약기구/NNP
동맹국들과의	동맹국/NNG+들/XSN+과/JKB+의/JKG
전면전에	전면전/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
집중화된	집중/NNG+화/XSN+되/XSV+ㄴ/ETM
목표물을	목표물/NNG+을/JKO
파괴할	파괴/NNG+하/XSV+ㄹ/ETM
목적으로	목적/NNG+으로/JKB
개발된	개발/NNG+되/XSV+ㄴ/ETM
미국의	미국/NNP+의/JKG
무기체계는	무기/NNG+체계/NNG+는/JX
미군이	미군/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
승리할	승리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었던	없/VA+었/EP+던/ETM
한국전쟁	한국/NNP+전쟁/NNG
때부터	때/NNG+부터/JX
문제를	문제/NNG+를/JKO
드러내기	드러내/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.443.5.3
그리고 베트남전, 최근의 아프간·이라크 침공에 이르기까지 게릴라전에서 모조리 미국에 패배를 안겼다.

그리고	그리고/MAJ
베트남전,	베트남전/NNG+,/SP
최근의	최근/NNG+의/JKG
아프간·이라크	아프간/NNP+·/SP+이라크/NNP
침공에	침공/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
게릴라전에서	게릴라전/NNG+에서/JKB
모조리	모조리/MAG
미국에	미국/NNP+에/JKB
패배를	패배/NNG+를/JKO
안겼다.	안기/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.443.6.1
뿐만 아니라 핵무기를 비롯해 크루즈 미사일, 견착식 대공미사일 등 최첨단 무기들에 대한 미국의 독점적 우위는 최근의 급속한 기술발전에 따라 급속히 무너지고 있다.

뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
핵무기를	핵무기/NNG+를/JKO
비롯해	비롯하/VV+아/EC
크루즈	크루즈/NNG
미사일,	미사일/NNG+,/SP
견착식	견착식/NNG
대공미사일	대공/NNG+미사일/NNG
등	등/NNB
최첨단	최/XPN+첨단/NNG
무기들에	무기/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
독점적	독점/NNG+적/XSN
우위는	우위/NNG+는/JX
최근의	최근/NNG+의/JKG
급속한	급속/NNG+하/XSA+ㄴ/ETM
기술발전에	기술/NNG+발전/NNG+에/JKB
따라	따르/VV+아/EC
급속히	급속히/MAG
무너지고	무너지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.443.6.2
예컨대 2006년 이스라엘이 기습작전을 펼친 제2차 레바논전쟁에서 미국제 첨단무기와 통신망으로 무장한 이스라엘군은 사상 처음으로 헤즈볼라 저항군에게 사실상 패배했다.

예컨대	예컨대/MAG
2006년	2006/SN+년/NNB
이스라엘이	이스라엘/NNP+이/JKS
기습작전을	기습/NNG+작전/NNG+을/JKO
펼친	펼치/VV+ㄴ/ETM
제2차	제/XPN+2/SN+차/NNB
레바논전쟁에서	레바논/NNP+전쟁/NNG+에서/JKB
미국제	미국제/NNG
첨단무기와	첨단/NNG+무기/NNG+와/JC
통신망으로	통신망/NNG+으로/JKB
무장한	무장/NNG+하/XSV+ㄴ/ETM
이스라엘군은	이스라엘군/NNG+은/JX
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
헤즈볼라	헤즈볼라/NNP
저항군에게	저항군/NNG+에게/JKB
사실상	사실/NNG+상/XSN
패배했다.	패배/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.443.6.3
헤즈볼라 쪽도 러시아와 중국제 첨단무기로 무장했을 뿐 아니라 통신감청 기술은 부패와 오직, 사기저하로 휘청거리는 이스라엘군을 오히려 능가했다.

헤즈볼라	헤즈볼라/NNP
쪽도	쪽/NNB+도/JX
러시아와	러시아/NNP+와/JC
중국제	중국제/NNG
첨단무기로	첨단/NNG+무기/NNG+로/JKB
무장했을	무장/NNG+하/XSV+았/EP+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
통신감청	통신/NNG+감청/NNG
기술은	기술/NNG+은/JX
부패와	부패/NNG+와/JC
오직,	오직/MAG+,/SP
사기저하로	사기/NNG+저하/NNG+로/JKB
휘청거리는	휘청거리/VV+는/ETM
이스라엘군을	이스라엘군/NNG+을/JKO
오히려	오히려/MAG
능가했다.	능가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.443.6.4
이스라엘 첨단 메르카바 탱크 20여대가 헤즈볼라의 대전차 로켓에 당했다.

이스라엘	이스라엘/NNP
첨단	첨단/NNG
메르카바	메르카바/NNP
탱크	탱크/NNG
20여대가	20/SN+여/XSN+대/NNB+가/JKS
헤즈볼라의	헤즈볼라/NNP+의/JKG
대전차	대전차/NNG
로켓에	로켓/NNG+에/JKB
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.443.6.5
콜코가 보기에 미국이 이란을 공격할 경우 미국의 항공모함을 비롯한 함정과 전투기들은 안전을 보장받지 못한다.

콜코가	콜코/NNP+가/JKS
보기에	보/VV+기/ETN+에/JKB
미국이	미국/NNP+이/JKS
이란을	이란/NNP+을/JKO
공격할	공격/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
미국의	미국/NNP+의/JKG
항공모함을	항공/NNG+모함/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
함정과	함정/NNG+과/JC
전투기들은	전투기/NNG+들/XSN+은/JX
안전을	안전/NNG+을/JKO
보장받지	보장/NNG+받/XSV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.443.6.6
이는 일시적 현상이 아니라 항상적 현상이다.

이는	이/NP+는/JX
일시적	일시/NNG+적/XSN
현상이	현상/NNG+이/JKC
아니라	아니/VCN+라/EC
항상적	항상/MAG+적/XSN
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.443.6.7
이젠 누구나 쉽고 싸게 첨단무기들, 심지어 핵무기까지 입수해 활용할 수 있다.

이젠	이제/NNG+ㄴ/JX
누구나	누구/NP+나/JX
쉽고	쉽/VA+고/EC
싸게	싸/VA+게/EC
첨단무기들,	첨단/NNG+무기/NNG+들/XSN+,/SP
심지어	심지어/MAG
핵무기까지	핵무기/NNG+까지/JX
입수해	입수/NNG+하/XSV+아/EC
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.443.6.8
파괴력의 ‘민주화’ ‘평준화’다.

파괴력의	파괴력/NNG+의/JKG
‘민주화’	‘/SS+민주/NNG+화/XSN+’/SS
‘평준화’다.	‘/SS+평준/NNG+화/XSN+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000024.443.6.9
미국은 장차 첨단무기로 무장한 정체불명의 적들과 미국 영토내에서 싸워야 할지 모른다.

미국은	미국/NNP+은/JX
장차	장차/MAG
첨단무기로	첨단/NNG+무기/NNG+로/JKB
무장한	무장/NNG+하/XSV+ㄴ/ETM
정체불명의	정체불명/NNG+의/JKG
적들과	적/NNG+들/XSN+과/JC
미국	미국/NNP
영토내에서	영토/NNG+내/NNB+에서/JKB
싸워야	싸우/VV+어야/EC
할지	하/VX+ㄹ지/EC
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.443.7.1
하지만 콜코는 미국의 실패를 부시와 공화당, 네오콘 탓으로만 돌려선 안 된다고 말한다.

하지만	하지만/MAJ
콜코는	콜코/NNP+는/JX
미국의	미국/NNP+의/JKG
실패를	실패/NNG+를/JKO
부시와	부시/NNP+와/JC
공화당,	공화당/NNP+,/SP
네오콘	네오콘/NNG
탓으로만	탓/NNG+으로/JKB+만/JX
돌려선	돌리/VV+어서/EC+ㄴ/JX
안	안/MAG
된다고	되/VV+ㄴ다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.443.7.2
미국의 실패는 2차 세계대전 직후인 1947년 3월, 그리스와 터키의 ‘좌파’혁명 위기를 과장하면서 냉전의 깃발을 올리고 미국의 패권을 위해 제3세계 등 외부세계에 깊숙이 관여하기 시작한 트루먼 독트린 때부터 본격화했다.

미국의	미국/NNP+의/JKG
실패는	실패/NNG+는/JX
2차	2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
1947년	1947/SN+년/NNB
3월,	3/SN+월/NNB+,/SP
그리스와	그리스/NNP+와/JC
터키의	터키/NNP+의/JKG
‘좌파’혁명	‘/SS+좌파/NNG+’/SS+혁명/NNG
위기를	위기/NNG+를/JKO
과장하면서	과장/NNG+하/XSV+면서/EC
냉전의	냉전/NNG+의/JKG
깃발을	깃발/NNG+을/JKO
올리고	올리/VV+고/EC
패권을	패권/NNG+을/JKO
위해	위하/VV+아/EC
제3세계	제/XPN+3/SN+세계/NNG
등	등/NNB
외부세계에	외부/NNG+세계/NNG+에/JKB
깊숙이	깊숙이/MAG
관여하기	관여/NNG+하/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
트루먼	트루먼/NNP
독트린	독트린/NNG
때부터	때/NNG+부터/JX
본격화했다.	본격/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.443.7.3
미국은 그때부터 이미 방향을 잘못 잡았고 그러지 않았다면 도래했을지도 모를 신세계 창출 역량을 소진하고 말았다.

미국은	미국/NNP+은/JX
그때부터	그때/NNG+부터/JX
이미	이미/MAG
방향을	방향/NNG+을/JKO
잘못	잘못/MAG
잡았고	잡/VV+았/EP+고/EC
그러지	그러/VV+지/EC
않았다면	않/VX+았/EP+다면/EC
도래했을지도	도래/NNG+하/XSV+았/EP+을지/EC+도/JX
모를	모르/VV+ㄹ/ETM
신세계	신/XPN+세계/NNG
창출	창출/NNG
역량을	역량/NNG+을/JKO
소진하고	소진/NNG+하/XSV+고/EC
말았다.	말/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.443.7.4
“1947년 미국이 은밀하게, 때로는 공개적으로 그 많은 정권들(미국은 위협적이라고 생각했지만 사실 대부분이 중립적이고 개혁적이고 합법적이었다을 전복하려 하지 않았다면 오늘날 미국이 그토록 걱정스러워하는 극단주의자들은 훨씬 적었을 것이다.”

“1947년	“/SS+1947/SN+년/NNB
미국이	미국/NNP+이/JKS
은밀하게,	은밀하/VA+게/EC+,/SP
때로는	때로/MAG+는/JX
공개적으로	공개/NNG+적/XSN+으로/JKB
그	그/MMD
많은	많/VA+은/ETM
정권들(미국은	정권/NNG+들/XSN+(/SS+미국/NNP+은/JX
위협적이라고	위협/NNG+적/XSN+이/VCP+라고/EC
생각했지만	생각/NNG+하/XSV+았/EP+지만/EC
사실	사실/MAG
대부분이	대/XPN+부분/NNG+이/JKS
중립적이고	중립/NNG+적/XSN+이/VCP+고/EC
개혁적이고	개혁/NNG+적/XSN+이/VCP+고/EC
합법적이었다을	합법/NNG+적/XSN+이/VCP+었/EP+다/EF+을/JKO
전복하려	전복/NNG+하/XSV+려/EC
하지	하/VX+지/EC
않았다면	않/VX+았/EP+다면/EC
오늘날	오늘날/NNG
그토록	그토록/MAG
걱정스러워하는	걱정/NNG+스럽/XSA+어/EC+하/VX+는/ETM
극단주의자들은	극단주의자/NNG+들/XSN+은/JX
훨씬	훨씬/MAG
적었을	적/VA+었/EP+을/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000024.443.7.5
트루먼이 민주당이었지만 이런 공세적 대외정책을 펴는 데 공화당과 민주당이 다르지 않았다.

트루먼이	트루먼/NNP+이/JKS
민주당이었지만	민주당/NNP+이/VCP+었/EP+지만/EC
이런	이런/MMD
공세적	공세/NNG+적/XSN
대외정책을	대외/NNG+정책/NNG+을/JKO
펴는	펴/VV+는/ETM
데	데/NNB
공화당과	공화당/NNP+과/JKB
민주당이	민주당/NNP+이/JKS
다르지	다르/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.443.7.6
그리고 부드러움으로 위장한 조지프 나이류의 민주당식 소프트파워가 실은 더 위험할 수도 있다고 콜코는 지적한다.

그리고	그리고/MAJ
부드러움으로	부드럽/VA+ㅁ/ETN+으로/JKB
위장한	위장/NNG+하/XSV+ㄴ/ETM
조지프	조지프/NNP
나이류의	나이/NNP+류/XSN+의/JKG
민주당식	민주당식/NNG
소프트파워가	소프트파워/NNG+가/JKS
실은	실은/MAG
더	더/MAG
위험할	위험/NNG+하/XSA+ㄹ/ETM
수도	수/NNB+도/JX
있다고	있/VA+다고/EC
콜코는	콜코/NNP+는/JX
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.443.8.1
이런 대외 개입주의가 콜코의 세번째 접근 포인트.

이런	이런/MMD
대외	대외/NNG
개입주의가	개입/NNG+주의/NNG+가/JKS
콜코의	콜코/NNP+의/JKG
세번째	세/MMN+번/NNB+째/XSN
접근	접근/NNG
포인트.	포인트/NNG+./SF


# id : NWRW1800000024.443.8.2
지금 미국이 당면한 대외문제 가운데 가장 중대한 문제는 이슬람세계와의 갈등이다.

지금	지금/MAG
미국이	미국/NNP+이/JKS
당면한	당면/NNG+하/XSV+ㄴ/ETM
대외문제	대외/NNG+문제/NNG
가운데	가운데/NNG
가장	가장/MAG
중대한	중대/NNG+하/XSA+ㄴ/ETM
문제는	문제/NNG+는/JX
이슬람세계와의	이슬람/NNG+세계/NNG+와/JKB+의/JKG
갈등이다.	갈등/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.443.8.3
이 문제는 1차 세계대전 뒤 해체된 오스만터키를 유럽 제국주의국가들이 자신들에게 유리하게 마음대로 갈라놓고 그 한복판에 자신들의 헤게모니를 관철하기 위한 일종의 유럽 위성국 이스라엘을 만들어놓은 게 화근이다.

이	이/MMD
문제는	문제/NNG+는/JX
1차	1/SN+차/NNB
세계대전	세계/NNG+대전/NNG
뒤	뒤/NNG
해체된	해체/NNG+되/XSV+ㄴ/ETM
오스만터키를	오스만/NNP+터키/NNP+를/JKO
유럽	유럽/NNP
제국주의국가들이	제국주의/NNG+국가/NNG+들/XSN+이/JKS
자신들에게	자신/NNG+들/XSN+에게/JKB
유리하게	유리/NNG+하/XSA+게/EC
마음대로	마음대로/MAG
갈라놓고	갈라놓/VV+고/EC
그	그/MMD
한복판에	한/XPN+복판/NNG+에/JKB
자신들의	자신/NNG+들/XSN+의/JKG
헤게모니를	헤게모니/NNG+를/JKO
관철하기	관철/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
일종의	일종/NNG+의/JKG
위성국	위성국/NNG
이스라엘을	이스라엘/NNP+을/JKO
만들어놓은	만들/VV+어/EC+놓/VX+은/ETM
게	거/NNB+이/JKS
화근이다.	화근/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.443.9.1
콜코가 볼 때 이스라엘이 아랍국들과의 대결정책을 고수하는 한 출구가 없다.

콜코가	콜코/NNP+가/JKS
볼	보/VV+ㄹ/ETM
때	때/NNG
이스라엘이	이스라엘/NNP+이/JKS
아랍국들과의	아랍국/NNG+들/XSN+과/JKB+의/JKG
대결정책을	대결/NNG+정책/NNG+을/JKO
고수하는	고수/NNG+하/XSV+는/ETM
한	한/NNG
출구가	출구/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.443.9.2
이스라엘은 앞으로 무력 우위를 급속히 상실해갈 것이며 전쟁 스트레스 속에 고급 인력들 중심으로 해외이민이 급증하면서 인구학적으로도 불리해질 수밖에 없어 화해 없는 대결은 이스라엘 쪽의 비극으로 끝나게 될 공산이 크다.

이스라엘은	이스라엘/NNP+은/JX
앞으로	앞/NNG+으로/JKB
무력	무력/NNG
우위를	우위/NNG+를/JKO
급속히	급속히/MAG
상실해갈	상실/NNG+하/XSV+아/EC+가/VX+ㄹ/ETM
것이며	것/NNB+이/VCP+며/EC
전쟁	전쟁/NNG
스트레스	스트레스/NNG
속에	속/NNG+에/JKB
고급	고급/NNG
