# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.268
metadata : {}


# id : NWRW1800000032.268.1.1
‘원폭피해 대물림 고통 덜자’…지원조례 만든다

‘원폭피해	‘/SS+원폭/NNG+피해/NNG
되는	되/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.268.8.1
그러나 아직 국내 원폭 직접피해자의 자손에 대해서는 지금까지 단 한 차례의 건강실태 조사도 이뤄지지 않았으며, 전체 인원수조차 파악되지 않고 있다.

그러나	그러나/MAJ
아직	아직/MAG
국내	국내/NNG
원폭	원폭/NNG
직접피해자의	직접/NNG+피해자/NNG+의/JKG
자손에	자손/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
지금까지	지금/NNG+까지/JX
단	단/MMA
한	한/MMN
차례의	차례/NNG+의/JKG
건강실태	건강/NNG+실태/NNG
조사도	조사/NNG+도/JX
이뤄지지	이뤄지/VV+지/EC
않았으며,	않/VX+았/EP+으며/EC+,/SP
전체	전체/NNG
인원수조차	인원수/NNG+조차/JX
파악되지	파악/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.268.8.2
‘한국 원폭2세 환우회’가 현재 국내에 원폭 피해 2세와 3세가 1만여명에 이르며, 이 가운데 2300여명이 선천성 피폭 후유증에 시달리는 것으로 추산하고 있을 뿐이다.

‘한국	‘/SS+한국/NNP
원폭2세	원폭/NNG+2/SN+세/NNB
환우회’가	환우회/NNG+’/SS+가/JKS
현재	현재/MAG
국내에	국내/NNG+에/JKB
원폭	원폭/NNG
피해	피해/NNG
2세와	2/SN+세/NNB+와/JC
3세가	3/SN+세/NNB+가/JKS
1만여명에	1/SN+만/NR+여/XSN+명/NNB+에/JKB
이르며,	이르/VV+며/EC+,/SP
이	이/MMD
가운데	가운데/NNG
2300여명이	2300/SN+여/XSN+명/NNB+이/JKS
선천성	선천/NNG+성/XSN
피폭	피폭/NNG
후유증에	후유증/NNG+에/JKB
시달리는	시달리/VV+는/ETM
것으로	것/NNB+으로/JKB
추산하고	추산/NNG+하/XSV+고/EC
있을	있/VX+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.268.9.1
이에 따라 경남도의회 조례안은 ‘원자폭탄 피해자’를 ‘1945년 일본 히로시마와 나가사키에 투하된 원자폭탄에 피폭되어 피해를 입은 사람’과 ‘그 피해자 후손인 2대 및 3대를 포함한다’고 명시하고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
경남도의회	경남도의회/NNP
조례안은	조례안/NNG+은/JX
‘원자폭탄	‘/SS+원자/NNG+폭탄/NNG
피해자’를	피해자/NNG+’/SS+를/JKO
‘1945년	‘/SS+1945/SN+년/NNB
일본	일본/NNP
히로시마와	히로시마/NNP+와/JC
나가사키에	나가사키/NNP+에/JKB
투하된	투하/NNG+되/XSV+ㄴ/ETM
원자폭탄에	원자/NNG+폭탄/NNG+에/JKB
피폭되어	피폭/NNG+되/XSV+어/EC
피해를	피해/NNG+를/JKO
입은	입/VV+은/ETM
사람’과	사람/NNG+’/SS+과/JC
‘그	‘/SS+그/MMD
피해자	피해자/NNG
후손인	후손/NNG+이/VCP+ㄴ/ETM
2대	2/SN+대/NNB
및	및/MAG
3대를	3/SN+대/NNB+를/JKO
포함한다’고	포함/NNG+하/XSV+ㄴ다/EF+’/SS+고/JKQ
명시하고	명시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.268.9.2
조례안은 원폭 피해자 지원을 위한 종합적 시책 마련과 추진, 정기적인 실태조사를 도지사의 책무로 정해, 해마다 원폭 피해자의 복지·건강에 관한 체계적 지원을 위한 지원계획을 수립·시행하도록 했다.

조례안은	조례안/NNG+은/JX
원폭	원폭/NNG
피해자	피해자/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
종합적	종합/NNG+적/XSN
시책	시책/NNG
마련과	마련/NNG+과/JC
추진,	추진/NNG+,/SP
정기적인	정기/NNG+적/XSN+이/VCP+ㄴ/ETM
실태조사를	실태/NNG+조사/NNG+를/JKO
도지사의	도지사/NNG+의/JKG
책무로	책무/NNG+로/JKB
정해,	정하/VV+아/EC+,/SP
해마다	해마다/MAG
피해자의	피해자/NNG+의/JKG
복지·건강에	복지/NNG+·/SP+건강/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
체계적	체계/NNG+적/XSN
지원계획을	지원/NNG+계획/NNG+을/JKO
수립·시행하도록	수립/NNG+·/SP+시행/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.268.10.1
조례안을 대표 발의한 문준희 경남도의원(합천·한나라당)은 “경남지역 원폭 피해자들이 피해 후유증에서 벗어나 사회의 일원으로서 건강하고 행복한 삶을 누릴 수 있도록 하기 위해 조례안을 발의했다”며 “경남을 시작으로 전국의 지자체가 같은 내용의 조례를 만들고, 궁극적으로 우리 정부가 원폭 직접피해자와 그 자손들을 지원할 법적 근거를 마련하기를 바란다”고 말했다.

조례안을	조례안/NNG+을/JKO
대표	대표/NNG
발의한	발의/NNG+하/XSV+ㄴ/ETM
문준희	문준희/NNP
경남도의원(합천·한나라당)은	경남도/NNP+의원/NNG+(/SS+합천/NNP+·/SP+한나라당/NNP+)/SS+은/JX
“경남지역	“/SS+경남지역/NNP
원폭	원폭/NNG
피해자들이	피해자/NNG+들/XSN+이/JKS
피해	피해/NNG
후유증에서	후유증/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
사회의	사회/NNG+의/JKG
일원으로서	일원/NNG+으로서/JKB
건강하고	건강/NNG+하/XSA+고/EC
행복한	행복/NNG+하/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하기	하/VX+기/ETN
위해	위하/VV+아/EC
발의했다”며	발의/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“경남을	“/SS+경남/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
전국의	전국/NNG+의/JKG
지자체가	지자체/NNG+가/JKS
같은	같/VA+은/ETM
내용의	내용/NNG+의/JKG
조례를	조례/NNG+를/JKO
만들고,	만들/VV+고/EC+,/SP
궁극적으로	궁극/NNG+적/XSN+으로/JKB
우리	우리/NP
정부가	정부/NNG+가/JKS
직접피해자와	직접/NNG+피해자/NNG+와/JC
그	그/MMD
자손들을	자손/NNG+들/XSN+을/JKO
지원할	지원/NNG+하/XSV+ㄹ/ETM
법적	법/NNG+적/XSN
근거를	근거/NNG+를/JKO
마련하기를	마련/NNG+하/XSV+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.268.10.2
원폭 피해자 자손들의 쉼터인 ‘합천 평화의 집’ 석혜진 운영위원장은 “원폭 피해자를 지원하기 위해 가장 먼저 해야 할 일은 이들에 대한 정확한 실태조사”라며 “이번에 경남도의회가 자손까지 원폭 피해자의 범위에 포함시킨 조례를 만들면서 정기적 실태조사를 내용에 포함시킨 것은 매우 뜻깊은 일”이라고 밝혔다.

원폭	원폭/NNG
피해자	피해자/NNG
자손들의	자손/NNG+들/XSN+의/JKG
쉼터인	쉼터/NNG+이/VCP+ㄴ/ETM
‘합천	‘/SS+합천/NNP
평화의	평화/NNG+의/JKG
집’	집/NNG+’/SS
석혜진	석혜진/NNP
운영위원장은	운영/NNG+위원장/NNG+은/JX
“원폭	“/SS+원폭/NNG
피해자를	피해자/NNG+를/JKO
지원하기	지원/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
가장	가장/MAG
먼저	먼저/MAG
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
일은	일/NNG+은/JX
이들에	이/NP+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
정확한	정확/NNG+하/XSA+ㄴ/ETM
실태조사”라며	실태/NNG+조사/NNG+”/SS+이/VCP+라며/EC
“이번에	“/SS+이번/NNG+에/JKB
경남도의회가	경남도의회/NNP+가/JKS
자손까지	자손/NNG+까지/JX
피해자의	피해자/NNG+의/JKG
범위에	범위/NNG+에/JKB
포함시킨	포함/NNG+시키/XSV+ㄴ/ETM
조례를	조례/NNG+를/JKO
만들면서	만들/VV+면서/EC
정기적	정기/NNG+적/XSN
실태조사를	실태/NNG+조사/NNG+를/JKO
내용에	내용/NNG+에/JKB
것은	것/NNB+은/JX
매우	매우/MAG
뜻깊은	뜻깊/VA+은/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


