# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.167
metadata : {}


# id : NWRW1800000053.167.1.1
‘인턴채용 압력 의혹’ 최경환 직권남용혐의 기소

‘인턴채용	‘/SS+인턴/NNG+채용/NNG
이사장은	이사장/NNG+은/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
공판에서	공판/NNG+에서/JKB
최	최/NNP
의원으로부터	의원/NNG+으로부터/JKB
채용	채용/NNG
압력을	압력/NNG+을/JKO
받았다고	받/VV+았/EP+다고/EC
진술을	진술/NNG+을/JKO
번복했다.	번복/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.167.5.3
박 전 이사장은 법정에서 “2013년 8월 1일 국회 원내대표실에서 만난 최 의원이 황 씨를 채용하라고 말했다”며 “최 의원이 ‘내가 결혼도 시킨 아이인데 성실하고 괜찮으니 믿고 써보라’고 말했다”고 진술했다.

박	박/NNP
전	전/MMD
이사장은	이사장/NNG+은/JX
법정에서	법정/NNG+에서/JKB
“2013년	“/SS+2013/SN+년/NNB
8월	8/SN+월/NNB
1일	1/SN+일/NNB
국회	국회/NNG
원내대표실에서	원내/NNG+대표실/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
최	최/NNP
의원이	의원/NNG+이/JKS
황	황/NNP
씨를	씨/NNB+를/JKO
채용하라고	채용/NNG+하/XSV+라고/EC
말했다”며	말/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“최	“/SS+최/NNP
‘내가	‘/SS+내/NP+가/JKS
결혼도	결혼/NNG+도/JX
시킨	시키/VV+ㄴ/ETM
아이인데	아이/NNG+이/VCP+ㄴ데/EC
성실하고	성실/NNG+하/XSA+고/EC
괜찮으니	괜찮/VA+으니/EC
믿고	믿/VV+고/EC
써보라’고	쓰/VV+어/EC+보/VX+라/EF+’/SS+고/JKQ
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.167.5.4
검찰은 이후 재수사를 벌였고 3일 최 의원을 피의자 신분으로 소환해 19시간 넘게 특혜채용 의혹을 집중 조사했다.

검찰은	검찰/NNG+은/JX
이후	이후/NNG
재수사를	재/XPN+수사/NNG+를/JKO
벌였고	벌이/VV+었/EP+고/EC
3일	3/SN+일/NNB
최	최/NNP
의원을	의원/NNG+을/JKO
피의자	피의자/NNG
신분으로	신분/NNG+으로/JKB
소환해	소환/NNG+하/XSV+아/EC
19시간	19/SN+시간/NNB
넘게	넘/VV+게/EC
특혜채용	특혜/NNG+채용/NNG
의혹을	의혹/NNG+을/JKO
집중	집중/NNG
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.167.5.5
최 의원은 관련 혐의를 전면 부인하고 있다.

최	최/NNP
의원은	의원/NNG+은/JX
관련	관련/NNG
혐의를	혐의/NNG+를/JKO
전면	전면/NNG
부인하고	부인/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


