# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.119
metadata : {}


# id : NWRW1800000054.119.1.1
"백성 생각해… 황실 옷에 사치 못 부리게 했죠"

"백성	"/SS+백성/NNG
생각해…	생각/NNG+하/XSV+아/EC+…/SE
# id : NWRW1800000054.119.5.4
대한제국 선포 120주년을 맞아 고종·순종·순정효황후·의친왕 등이 입었던 복식과 유품을 전시하는 '대한제국, 복식에 깃든 위엄'전이 내년 2월까지 열린다.

대한제국	대한제국/NNP
선포	선포/NNG
120주년을	120/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
고종·순종·순정효황후·의친왕	고종/NNP+·/SP+순종/NNP+·/SP+순정효황후/NNP+·/SP+의친왕/NNP
등이	등/NNB+이/JKS
입었던	입/VV+었/EP+던/ETM
복식과	복식/NNG+과/JC
유품을	유품/NNG+을/JKO
전시하는	전시/NNG+하/XSV+는/ETM
'대한제국,	'/SS+대한제국/NNP+,/SP
복식에	복식/NNG+에/JKB
깃든	깃들/VV+ㄴ/ETM
위엄'전이	위엄/NNG+'/SS+전/NA+이/JKS
내년	내년/NNG
2월까지	2/SN+월/NNB+까지/JX
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.119.6.1
"한국에 간다고 하니 미국 지인들이 북핵 때문에 위험하다고 말려요.

"한국에	"/SS+한국/NNP+에/JKB
간다고	가/VV+ㄴ다고/EC
하니	하/VV+니/EC
미국	미국/NNP
지인들이	지인/NNG+들/XSN+이/JKS
북핵	북핵/NNG
때문에	때문/NNB+에/JKB
위험하다고	위험/NNG+하/XSA+다고/EC
말려요.	말리/VV+어요/EF+./SF


# id : NWRW1800000054.119.6.2
건강이 좋지 않아 저도 망설였지만, 남은 생에 조국을 방문할 마지막 기회일지 몰라 용기를 냈습니다."

건강이	건강/NNG+이/JKS
좋지	좋/VA+지/EC
않아	않/VX+아/EC
저도	저/NP+도/JX
망설였지만,	망설이/VV+었/EP+지만/EC+,/SP
남은	남/VV+은/ETM
생에	생/NNG+에/JKB
조국을	조국/NNG+을/JKO
방문할	방문/NNG+하/XSV+ㄹ/ETM
마지막	마지막/NNG
기회일지	기회/NNG+이/VCP+ㄹ지/EC
몰라	모르/VV+아/EC
용기를	용기/NNG+를/JKO
냈습니다."	내/VV+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000054.119.7.1
이 여사는 의친왕 사저인 서울 종로구 사동궁에 살다, 1955년 의친왕이 폐렴으로 서거하자 미국으로 혼자 떠났다.

이	이/NNP
여사는	여사/NNG+는/JX
의친왕	의친왕/NNP
사저인	사저/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
종로구	종로구/NNP
사동궁에	사동궁/NNP+에/JKB
살다,	살/VV+다/EC+,/SP
1955년	1955/SN+년/NNB
의친왕이	의친왕/NNP+이/JKS
폐렴으로	폐렴/NNG+으로/JKB
서거하자	서거/NNG+하/XSV+자/EC
미국으로	미국/NNP+으로/JKB
혼자	혼자/MAG
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.119.7.2
손에 쥔 돈은 피아노 팔아 비행기표 사고 남은 돈 80달러뿐이었다.

손에	손/NNG+에/JKB
쥔	쥐/VV+ㄴ/ETM
돈은	돈/NNG+은/JX
피아노	피아노/NNG
팔아	팔/VV+아/EC
비행기표	비행기표/NNG
사고	사/VV+고/EC
남은	남/VV+은/ETM
돈	돈/NNG
80달러뿐이었다.	80/SN+달러/NNB+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.119.7.3
식당 종업원, 유아원 보모 등으로 일하던 그는 1969년 도서관 사서로 취직했다.

식당	식당/NNG
종업원,	종업원/NNG+,/SP
유아원	유아원/NNG
보모	보모/NNG
등으로	등/NNB+으로/JKB
일하던	일/NNG+하/XSV+던/ETM
그는	그/NP+는/JX
1969년	1969/SN+년/NNB
도서관	도서관/NNG
사서로	사서/NNG+로/JKB
취직했다.	취직/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.119.7.4
대한제국 주미 공사관 건물을 되찾는 운동과 의친왕 명예 회복 운동 등에 힘썼다.

대한제국	대한제국/NNP
주미	주미/NNG
공사관	공사관/NNG
건물을	건물/NNG+을/JKO
되찾는	되찾/VV+는/ETM
운동과	운동/NNG+과/JC
의친왕	의친왕/NNP
명예	명예/NNG
회복	회복/NNG
운동	운동/NNG
등에	등/NNB+에/JKB
힘썼다.	힘쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.119.8.1
경기여고 동창회인 경운회가 세운 박물관에서 특별전이 열린다는 소식을 듣고, 이 학교 36회 졸업생인 이 여사도 녹원삼과 당의를 기증했다.

경기여고	경기여고/NNP
동창회인	동창회/NNG+이/VCP+ㄴ/ETM
경운회가	경운회/NNG+가/JKS
세운	세우/VV+ㄴ/ETM
박물관에서	박물관/NNG+에서/JKB
특별전이	특별전/NNG+이/JKS
열린다는	열리/VV+ㄴ다는/ETM
소식을	소식/NNG+을/JKO
듣고,	듣/VV+고/EC+,/SP
이	이/NNP
학교	학교/NNG
36회	36/SN+회/NNB
졸업생인	졸업/NNG+생/XSN+이/VCP+ㄴ/ETM
여사도	여사/NNG+도/JX
녹원삼과	녹원삼/NNG+과/JC
당의를	당의/NNG+를/JKO
기증했다.	기증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.119.8.2
"6·25전쟁이 터져 부산 피란 갈 때 의친왕비께서 '시집갈 때 꼭 입으라'며 주신 옷이에요." 누렇게 변한 소매와 치마 끝 금박 장식을 가리키며 "백성을 생각해 옷에 사치 부리지 않도록 순금을 쓰지 못하게 했다"고 전했다.

"6·25전쟁이	"/SS+6/SN+·/SP+25/SN+전쟁/NNG+이/JKS
터져	터지/VV+어/EC
부산	부산/NNP
피란	피란/NNG
갈	가/VV+ㄹ/ETM
때	때/NNG
의친왕비께서	의친왕/NNP+비/NNG+께서/JKS
'시집갈	'/SS+시집가/VV+ㄹ/ETM
꼭	꼭/MAG
입으라'며	입/VV+으라/EF+'/SS+며/EC
주신	주/VV+시/EP+ㄴ/ETM
옷이에요."	옷/NNG+이/VCP+에요/EF+./SF+"/SS
누렇게	누렇/VA+게/EC
변한	변하/VV+ㄴ/ETM
소매와	소매/NNG+와/JC
치마	치마/NNG
끝	끝/NNG
금박	금박/NNG
장식을	장식/NNG+을/JKO
가리키며	가리키/VV+며/EC
"백성을	"/SS+백성/NNG+을/JKO
생각해	생각/NNG+하/XSV+아/EC
옷에	옷/NNG+에/JKB
사치	사치/NNG
부리지	부리/VV+지/EC
않도록	않/VX+도록/EC
순금을	순금/NNG+을/JKO
쓰지	쓰/VV+지/EC
못하게	못하/VX+게/EC
했다"고	하/VX+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.119.9.1
18일엔 같은 장소에서 '대한제국, 왕실 세미나' 강연자로 나섰다.

18일엔	18/SN+일/NNB+에/JKB+ㄴ/JX
같은	같/VA+은/ETM
장소에서	장소/NNG+에서/JKB
'대한제국,	'/SS+대한제국/NNP+,/SP
왕실	왕실/NNG
세미나'	세미나/NNG+'/SS
강연자로	강연자/NNG+로/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.119.9.2
지난 7월 출간한 회고록 '마지막 황실의 추억'(유아이북스)에 담긴 이야기를 풀어냈다.

지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
출간한	출간/NNG+하/XSV+ㄴ/ETM
회고록	회고록/NNG
'마지막	'/SS+마지막/NNG
황실의	황실/NNG+의/JKG
추억'(유아이북스)에	추억/NNG+'/SS+(/SS+유아이북스/NNP+)/SS+에/JKB
담긴	담기/VV+ㄴ/ETM
이야기를	이야기/NNG+를/JKO
풀어냈다.	풀어내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.119.9.3
"왕가에선 기가 막히게 아름다운 옷만 입는다고 생각하지만 그렇지 않았어요.

"왕가에선	"/SS+왕가/NNG+에서/JKB+ㄴ/JX
기가	기/NNG+가/JKS
막히게	막히/VV+게/EC
아름다운	아름답/VA+ㄴ/ETM
옷만	옷/NNG+만/JX
입는다고	입/VV+는다고/EC
생각하지만	생각/NNG+하/XSV+지만/EC
그렇지	그렇/VA+지/EC
않았어요.	않/VX+았/EP+어요/EF+./SF


# id : NWRW1800000054.119.9.4
음식도 간소했어요.

음식도	음식/NNG+도/JX
간소했어요.	간소하/VA+았/EP+어요/EF+./SF


# id : NWRW1800000054.119.9.5
전쟁 통엔 비단을 시장에 내다 팔아 쌀 한 말 사서 궁궐 식구들과 나눠 먹었어요."

전쟁	전쟁/NNG
통엔	통/NNB+에/JKB+ㄴ/JX
비단을	비단/NNG+을/JKO
시장에	시장/NNG+에/JKB
내다	내/VV+어다/EC
팔아	팔/VV+아/EC
쌀	쌀/NNG
한	한/MMN
말	말/NNB
사서	사/VV+아서/EC
궁궐	궁궐/NNG
식구들과	식구/NNG+들/XSN+과/JKB
나눠	나누/VV+어/EC
먹었어요."	먹/VV+었/EP+어요/EF+./SF+"/SS


# id : NWRW1800000054.119.10.1
이 여사는 "덕혜옹주처럼 사라진 황실 사람들에 대한 기록을 남기려고 회고록을 썼다"고 했다.

이	이/NNP
여사는	여사/NNG+는/JX
"덕혜옹주처럼	"/SS+덕혜/NNP+옹주/NNG+처럼/JKB
사라진	사라지/VV+ㄴ/ETM
황실	황실/NNG
사람들에	사람/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
기록을	기록/NNG+을/JKO
남기려고	남기/VV+려고/EC
회고록을	회고록/NNG+을/JKO
썼다"고	쓰/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.119.10.2
"마흔 살 되어 사서로 일하고 나서야 대한제국의 역사, 우리 집안 이야기도 제대로 모른다는 걸 깨달았습니다.

"마흔	"/SS+마흔/NR
살	살/NNB
되어	되/VV+어/EC
사서로	사서/NNG+로/JKB
일하고	일/NNG+하/XSV+고/EC
나서야	나/VX+아서/EC+야/JX
대한제국의	대한제국/NNP+의/JKG
역사,	역사/NNG+,/SP
우리	우리/NP
집안	집안/NNG
이야기도	이야기/NNG+도/JX
제대로	제대로/MAG
모른다는	모르/VV+ㄴ다는/ETM
걸	거/NNB+ㄹ/JKO
깨달았습니다.	깨닫/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000054.119.10.3
이래선 안 되겠다는 생각으로 책을 찾고 공부를 했습니다."

이래선	이렇/VA+어서/EC+ㄴ/JX
안	안/MAG
되겠다는	되/VV+겠/EP+다는/ETM
생각으로	생각/NNG+으로/JKB
책을	책/NNG+을/JKO
찾고	찾/VV+고/EC
공부를	공부/NNG+를/JKO
했습니다."	하/VV+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000054.119.11.1
최근 덕수궁과 정동 일대를 대한제국 관광로로 정하고, 대한제국을 주제로 국제 학술 심포지엄이 열리는 등 대한제국 재조명 움직임이 활발해지고 있다.

최근	최근/NNG
덕수궁과	덕수궁/NNP+과/JC
정동	정동/NNP
일대를	일대/NNG+를/JKO
대한제국	대한제국/NNP
관광로로	관광로/NNG+로/JKB
정하고,	정하/VV+고/EC+,/SP
대한제국을	대한제국/NNP+을/JKO
주제로	주제/NNG+로/JKB
국제	국제/NNG
학술	학술/NNG
심포지엄이	심포지엄/NNG+이/JKS
열리는	열리/VV+는/ETM
등	등/NNB
재조명	재/XPN+조명/NNG
움직임이	움직임/NNG+이/JKS
활발해지고	활발하/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.119.11.2
이 여사도 지난 14일 서울광장에서 열린 대한제국 선포 120주년 재현 행사를 현장에서 지켜봤다.

이	이/NNP
여사도	여사/NNG+도/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
서울광장에서	서울광장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
대한제국	대한제국/NNP
선포	선포/NNG
120주년	120/SN+주년/NNB
재현	재현/NNG
행사를	행사/NNG+를/JKO
현장에서	현장/NNG+에서/JKB
지켜봤다.	지켜보/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.119.11.3
"후손들에게 치열한 애국의 역사로 기억됐으면 합니다."

"후손들에게	"/SS+후손/NNG+들/XSN+에게/JKB
치열한	치열/NNG+하/XSA+ㄴ/ETM
애국의	애국/NNG+의/JKG
역사로	역사/NNG+로/JKB
기억됐으면	기억/NNG+되/XSV+었/EP+으면/EC
합니다."	하/VX+ㅂ니다/EF+./SF+"/SS


