# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.399
metadata : {}


# id : NWRW1800000033.399.1.1
[수도권]서울시, 뉴타운 출구전략 마찰 시작되나

[수도권]서울시,	[/SS+수도/NNG+권/XSN+]/SS+서울시/NNP+,/SP
사업이	사업/NNG+이/JKS
거의	거의/MAG
진척되지	진척/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.399.3.3
하지만 다음 달부터는 추진위원회, 조합 등 추진 주체가 있고 상대적으로 사업이 많이 진척된 뉴타운·재개발 구역에 대해 실태조사를 벌인다.

하지만	하지만/MAJ
다음	다음/NNG
달부터는	달/NNG+부터/JX+는/JX
추진위원회,	추진/NNG+위원회/NNG+,/SP
조합	조합/NNG
등	등/NNB
추진	추진/NNG
주체가	주체/NNG+가/JKS
있고	있/VA+고/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
사업이	사업/NNG+이/JKS
많이	많이/MAG
진척된	진척/NNG+되/XSV+ㄴ/ETM
뉴타운·재개발	뉴타운/NNG+·/SP+재/XPN+개발/NNG
구역에	구역/NNG+에/JKB
대해	대하/VV+아/EC
실태조사를	실태/NNG+조사/NNG+를/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.399.3.4
이곳은 이미 수억 원에서 수십억 원까지 돈이 들어간 지역이어서 찬성 반대 주민들 사이에 심각한 대립이 벌어지고 있다.

이곳은	이곳/NP+은/JX
이미	이미/MAG
수억	수억/NR
원에서	원/NNB+에서/JKB
수십억	수십억/NR
원까지	원/NNB+까지/JX
돈이	돈/NNG+이/JKS
들어간	들어가/VV+ㄴ/ETM
지역이어서	지역/NNG+이/VCP+어서/EC
찬성	찬성/NNG
반대	반대/NNG
주민들	주민/NNG+들/XSN
사이에	사이/NNG+에/JKB
심각한	심각하/VA+ㄴ/ETM
대립이	대립/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.399.4.1
시는 21일 “추진 주체가 있는 305개 구역 가운데 15개 구 70곳을 대상으로 다음 달부터 실태조사를 시작한다”라며 “이르면 내년 2월, 늦어도 4월에는 결과가 나올 예정”이라고 밝혔다.

시는	시/NNG+는/JX
21일	21/SN+일/NNB
“추진	“/SS+추진/NNG
주체가	주체/NNG+가/JKS
있는	있/VA+는/ETM
305개	305/SN+개/NNB
구역	구역/NNG
가운데	가운데/NNG
15개	15/SN+개/NNB
구	구/NNG
70곳을	70/SN+곳/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
다음	다음/NNG
달부터	달/NNG+부터/JX
실태조사를	실태/NNG+조사/NNG+를/JKO
시작한다”라며	시작/NNG+하/XSV+ㄴ다/EF+”/SS+이/VCP+라며/EC
“이르면	“/SS+이르/VA+면/EC
내년	내년/NNG
2월,	2/SN+월/NNB+,/SP
늦어도	늦/VA+어도/EC
4월에는	4/SN+월/NNB+에/JKB+는/JX
결과가	결과/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.399.5.1
하지만 실태조사를 두고 해당 사업장에서는 벌써부터 찬반 논란이 분분하다.

하지만	하지만/MAJ
실태조사를	실태/NNG+조사/NNG+를/JKO
두고	두/VV+고/EC
해당	해당/NNG
사업장에서는	사업장/NNG+에서/JKB+는/JX
벌써부터	벌써/MAG+부터/JX
찬반	찬반/NNG
논란이	논란/NNG+이/JKS
분분하다.	분분하/VA+다/EF+./SF


# id : NWRW1800000033.399.5.2
조합 측은 반대파가 실태조사를 내세워 사업에 발목을 잡고 있다고 주장한다.

조합	조합/NNG
측은	측/NNB+은/JX
반대파가	반대파/NNG+가/JKS
실태조사를	실태/NNG+조사/NNG+를/JKO
내세워	내세우/VV+어/EC
사업에	사업/NNG+에/JKB
발목을	발목/NNG+을/JKO
잡고	잡/VV+고/EC
있다고	있/VX+다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.399.5.3
반대 진영에서는 실태조사를 통해 사업성이 있는지 따져 보자고 벼르는 형국이다.

반대	반대/NNG
진영에서는	진영/NNG+에서/JKB+는/JX
실태조사를	실태/NNG+조사/NNG+를/JKO
통해	통하/VV+아/EC
사업성이	사업/NNG+성/XSN+이/JKS
있는지	있/VV+는지/EF
따져	따지/VV+어/EC
보자고	보/VX+자고/EC
벼르는	벼르/VV+는/ETM
형국이다.	형국/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.399.6.1
성북구 길음1재정비촉진구역도 2010년 조합을 설립하고 시공사까지 선정해 사업이 많이 진척된 상태지만 반대 측이 조합 설립 무효소송을 내는 등 갈등이 끊이지 않고 있다.

성북구	성북구/NNP
길음1재정비촉진구역도	길음/NNP+1/SN+재/XPN+정비/NNG+촉진/NNG+구역/NNG+도/JX
2010년	2010/SN+년/NNB
조합을	조합/NNG+을/JKO
설립하고	설립/NNG+하/XSV+고/EC
시공사까지	시공사/NNG+까지/JX
선정해	선정/NNG+하/XSV+아/EC
사업이	사업/NNG+이/JKS
많이	많이/MAG
진척된	진척/NNG+되/XSV+ㄴ/ETM
상태지만	상태/NNG+이/VCP+지만/EC
반대	반대/NNG
측이	측/NNB+이/JKS
조합	조합/NNG
설립	설립/NNG
무효소송을	무효/NNG+소송/NNG+을/JKO
내는	내/VV+는/ETM
등	등/NNB
갈등이	갈등/NNG+이/JKS
끊이지	끊이/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.399.6.2
조합 관계자는 “조합원 1400명 가운데 3분의 2 이상이 사업에 찬성하고 있는데 쓸데없이 세금을 써 가며 실태조사를 할 필요가 있느냐”라며 “사업 추진에 이미 사용한 비용(매몰비용)도 60억∼70억 원이나 돼 대책 없이 사업을 접는다면 주민들이 각각 500만∼600만 원을 물어내야 하는 상황”이라고 주장했다.

조합	조합/NNG
관계자는	관계자/NNG+는/JX
“조합원	“/SS+조합원/NNG
1400명	1400/SN+명/NNB
가운데	가운데/NNG
3분의	3/SN+분/XSN+의/JKG
2	2/SN
이상이	이상/NNG+이/JKS
사업에	사업/NNG+에/JKB
찬성하고	찬성/NNG+하/XSV+고/EC
있는데	있/VX+는데/EC
쓸데없이	쓸데없이/MAG
세금을	세금/NNG+을/JKO
써	쓰/VV+어/EC
가며	가/VX+며/EC
실태조사를	실태/NNG+조사/NNG+를/JKO
할	하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있느냐”라며	있/VA+느냐/EF+”/SS+이/VCP+라며/EC
“사업	“/SS+사업/NNG
추진에	추진/NNG+에/JKB
이미	이미/MAG
사용한	사용/NNG+하/XSV+ㄴ/ETM
비용(매몰비용)도	비용/NNG+(/SS+매몰/NNG+비용/NNG+)/SS+도/JX
60억∼70억	60/SN+억/NR+∼/SO+70/SN+억/NR
원이나	원/NNB+이나/JX
돼	되/VV+어/EC
대책	대책/NNG
없이	없이/MAG
사업을	사업/NNG+을/JKO
접는다면	접/VV+는다면/EC
주민들이	주민/NNG+들/XSN+이/JKS
각각	각각/MAG
500만∼600만	500/SN+만/NR+∼/SO+600/SN+만/NR
원을	원/NNB+을/JKO
물어내야	물어내/VV+어야/EC
하는	하/VX+는/ETM
상황”이라고	상황/NNG+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.399.7.1
이에 대해 사업을 반대하는 비상대책위원회 측은 “부동산경기도 안 좋은데 2억 원씩 부담금을 더 내면서 아파트를 지을 수 있겠느냐”라며 “조합이 사업성을 부풀려 주민들을 속이고 있다”라고 맞섰다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
사업을	사업/NNG+을/JKO
반대하는	반대/NNG+하/XSV+는/ETM
비상대책위원회	비상/NNG+대책/NNG+위원회/NNG
측은	측/NNB+은/JX
“부동산경기도	“/SS+부동산/NNG+경기/NNG+도/JX
안	안/MAG
좋은데	좋/VA+은데/EC
2억	2/SN+억/NR
원씩	원/NNB+씩/XSN
부담금을	부담금/NNG+을/JKO
더	더/MAG
내면서	내/VV+면서/EC
아파트를	아파트/NNG+를/JKO
지을	짓/VV+을/ETM
수	수/NNB
있겠느냐”라며	있/VA+겠/EP+느냐/EF+”/SS+이/VCP+라며/EC
“조합이	“/SS+조합/NNG+이/JKS
사업성을	사업/NNG+성/XSN+을/JKO
부풀려	부풀리/VV+어/EC
주민들을	주민/NNG+들/XSN+을/JKO
속이고	속이/VV+고/EC
있다”라고	있/VX+다/EF+”/SS+라고/JKQ
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.399.8.1
실태조사 결과가 나와도 문제다.

실태조사	실태/NNG+조사/NNG
결과가	결과/NNG+가/JKS
나와도	나오/VV+아도/EC
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.399.8.2
성북1구역의 한 조합원은 “7000만 원 정도로 이 일대 서너 군데 사업장에 대해 실태조사를 한다면 감정평가도 제대로 하지 못하고 수박 겉핥기에 그칠 것”이라며 “조합이든 비대위든 자신들에게 불리한 결과가 나오면 수긍하지 않을 것”이라고 말했다.

성북1구역의	성북/NNP+1/SN+구역/NNG+의/JKG
한	한/MMN
조합원은	조합원/NNG+은/JX
“7000만	“/SS+7000/SN+만/NR
원	원/NNB
정도로	정도/NNG+로/JKB
이	이/MMD
일대	일대/NNG
서너	서너/MMN
군데	군데/NNB
사업장에	사업장/NNG+에/JKB
대해	대하/VV+아/EC
실태조사를	실태/NNG+조사/NNG+를/JKO
한다면	하/VV+ㄴ다면/EC
감정평가도	감정/NNG+평가/NNG+도/JX
제대로	제대로/MAG
하지	하/VV+지/EC
못하고	못하/VX+고/EC
수박	수박/NNG
겉핥기에	겉핥기/NNG+에/JKB
그칠	그치/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“조합이든	“/SS+조합/NNG+이든/JX
비대위든	비대위/NNG+든/JX
자신들에게	자신/NNG+들/XSN+에게/JKB
불리한	불리/NNG+하/XSA+ㄴ/ETM
결과가	결과/NNG+가/JKS
나오면	나오/VV+면/EC
수긍하지	수긍/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.399.9.1
실태조사를 통해 사업성이 없다는 결론이 날 경우 매몰비용 부담을 놓고도 심각한 갈등이 우려된다.

실태조사를	실태/NNG+조사/NNG+를/JKO
통해	통하/VV+아/EC
사업성이	사업/NNG+성/XSN+이/JKS
없다는	없/VA+다는/ETM
결론이	결론/NNG+이/JKS
날	나/VV+ㄹ/ETM
경우	경우/NNG
매몰비용	매몰/NNG+비용/NNG
부담을	부담/NNG+을/JKO
놓고도	놓/VV+고/EC+도/JX
심각한	심각하/VA+ㄴ/ETM
갈등이	갈등/NNG+이/JKS
우려된다.	우려/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.399.9.2
내년부터 실태조사 결과가 계속 나올 예정이어서 서울시는 반 년 안에 매몰비용 지원에 필요한 재원을 마련해야 하지만 내년 예산에 39억 원만 반영한 상태다.

내년부터	내년/NNG+부터/JX
실태조사	실태/NNG+조사/NNG
결과가	결과/NNG+가/JKS
계속	계속/MAG
나올	나오/VV+ㄹ/ETM
예정이어서	예정/NNG+이/VCP+어서/EC
서울시는	서울시/NNP+는/JX
반	반/NNG
년	년/NNB
안에	안/NNG+에/JKB
매몰비용	매몰/NNG+비용/NNG
지원에	지원/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
재원을	재원/NNG+을/JKO
마련해야	마련/NNG+하/XSV+아야/EC
하지만	하/VX+지만/EC
내년	내년/NNG
예산에	예산/NNG+에/JKB
39억	39/SN+억/NR
원만	원/NNB+만/JX
반영한	반영/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.399.9.3
시는 매몰비용 일부를 국가에서도 부담할 것을 원하고 있지만 법률 개정은 불투명하다.

시는	시/NNG+는/JX
매몰비용	매몰/NNG+비용/NNG
일부를	일부/NNG+를/JKO
국가에서도	국가/NNG+에서/JKB+도/JX
부담할	부담/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
원하고	원/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
법률	법률/NNG
개정은	개정/NNG+은/JX
불투명하다.	불/XPN+투명/NNG+하/XSA+다/EF+./SF


