# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.337
metadata : {}


# id : NWRW1800000044.337.1.1
개혁한다더니…군, 사이버심리전 포기 안해

개혁한다더니…군,	개혁/NNG+하/XSV+ㄴ다더니/EF+…/SE+군/NNG+,/SP
금지하지만,	금지/NNG+하/XSV+지만/EC+,/SP
그동안	그동안/NNG
개입의	개입/NNG+의/JKG
빌미가	빌미/NNG+가/JKC
돼온	되/VV+어/EC+오/VX+ㄴ/ETM
보필이나	보필/NNG+이나/JC
정부·국방	정부/NNG+·/SP+국방/NNG
정책	정책/NNG
홍보	홍보/NNG
등에	등/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
금지한다는	금지/NNG+하/XSV+ㄴ다는/ETM
언급이	언급/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.337.7.2
이 대목은 사이버사가 지난 2012년 대선·총선 때 정치 개입 활동을 하는 주요 근거가 돼왔다.

이	이/MMD
대목은	대목/NNG+은/JX
사이버사가	사이버사/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
2012년	2012/SN+년/NNB
대선·총선	대선/NNG+·/SP+총선/NNG
때	때/NNG
정치	정치/NNG
개입	개입/NNG
활동을	활동/NNG+을/JKO
하는	하/VV+는/ETM
주요	주요/NNG
근거가	근거/NNG+가/JKC
돼왔다.	되/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.337.7.3
(<한겨레> 2013년 11월20일치 1면) 이와 관련해 국방부 관계자는 “군 통수권자나 정부 정책 등에 대해 홍보와 옹호를 완전히 허용한 것은 아니고, 이런 문제와 관련해 사이버심리전이 필요할 때는 국방부의 지침에 따라서 할 예정”이라고 말했다.

(<한겨레>	(/SS+</SS+한겨레/NNP+>/SS
2013년	2013/SN+년/NNB
11월20일치	11/SN+월/NNB+20/SN+일/NNB+치/NNB
1면)	1/SN+면/NNG+)/SS
이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
국방부	국방부/NNG
관계자는	관계자/NNG+는/JX
“군	“/SS+군/NNG
통수권자나	통수권자/NNG+나/JC
정부	정부/NNG
정책	정책/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
홍보와	홍보/NNG+와/JC
옹호를	옹호/NNG+를/JKO
완전히	완전히/MAG
허용한	허용/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
아니고,	아니/VCN+고/EC+,/SP
이런	이런/MMD
문제와	문제/NNG+와/JKB
사이버심리전이	사이버/NNG+심리전/NNG+이/JKS
필요할	필요/NNG+하/XSA+ㄹ/ETM
때는	때/NNG+는/JX
국방부의	국방부/NNG+의/JKG
지침에	지침/NNG+에/JKB
따라서	따르/VV+아서/EC
할	하/VV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.337.8.1
또 국방부는 사이버사 요원들이 네이버·다음 등 포털사이트 게시판이나 트위터·페이스북 등 사회관계망서비스(SNS)에서 익명으로 사이버심리전을 펼치는 것도 예전처럼 허용할 방침이다.

또	또/MAG
국방부는	국방부/NNG+는/JX
사이버사	사이버사/NNG
요원들이	요원/NNG+들/XSN+이/JKS
네이버·다음	네이버/NNP+·/SP+다음/NNP
등	등/NNB
포털사이트	포털/NNG+사이트/NNG
게시판이나	게시판/NNG+이나/JC
트위터·페이스북	트위터/NNP+·/SP+페이스북/NNP
사회관계망서비스(SNS)에서	사회관계망/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+에서/JKB
익명으로	익명/NNG+으로/JKB
사이버심리전을	사이버/NNG+심리전/NNG+을/JKO
펼치는	펼치/VV+는/ETM
것도	것/NNB+도/JX
예전처럼	예전/NNG+처럼/JKB
허용할	허용/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.337.8.2
김 대변인은 “국민이 충분히 수긍할 수 있도록 (사이버심리전을) 하겠다”고 말했다.

김	김/NNP
대변인은	대변인/NNG+은/JX
“국민이	“/SS+국민/NNG+이/JKS
충분히	충분히/MAG
수긍할	수긍/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
(사이버심리전을)	(/SS+사이버/NNG+심리전/NNG+을/JKO+)/SS
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.337.8.3
이는 모든 군인에게 실명뿐 아니라, 익명으로도 정치 현안에 대한 인터넷 글의 게재를 금지한 ‘행동기준’의 내용과도 충돌한다.

이는	이/NP+는/JX
모든	모든/MMN
군인에게	군인/NNG+에게/JKB
실명뿐	실명/NNG+뿐/JX
아니라,	아니/VCN+라/EC+,/SP
익명으로도	익명/NNG+으로/JKB+도/JX
정치	정치/NNG
현안에	현안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인터넷	인터넷/NNG
글의	글/NNG+의/JKG
게재를	게재/NNG+를/JKO
금지한	금지/NNG+하/XSV+ㄴ/ETM
‘행동기준’의	‘/SS+행동/NNG+기준/NNG+’/SS+의/JKG
내용과도	내용/NNG+과/JKB+도/JX
충돌한다.	충돌/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.337.9.1
국방부는 사이버사 내부에 작전 내용의 사전 검토를 위한 사이버심리전심의위를 구성해 운영하고, 사후 감시 체계도 구축하기로 했다.

국방부는	국방부/NNG+는/JX
사이버사	사이버사/NNG
내부에	내부/NNG+에/JKB
작전	작전/NNG
내용의	내용/NNG+의/JKG
사전	사전/NNG
검토를	검토/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
사이버심리전심의위를	사이버/NNG+심리전/NNG+심의위/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
운영하고,	운영/NNG+하/XSV+고/EC+,/SP
사후	사후/NNG
감시	감시/NNG
체계도	체계/NNG+도/JX
구축하기로	구축/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.337.9.2
하지만 사전 검토나 사후 감시 모두 외부 참여 없이 내부에서 이뤄지는 것이어서 실효를 거둘 수 있을지 의문이다.

하지만	하지만/MAJ
사전	사전/NNG
검토나	검토/NNG+나/JC
사후	사후/NNG
감시	감시/NNG
모두	모두/MAG
외부	외부/NNG
참여	참여/NNG
없이	없이/MAG
내부에서	내부/NNG+에서/JKB
이뤄지는	이뤄지/VV+는/ETM
것이어서	것/NNB+이/VCP+어서/EC
실효를	실효/NNG+를/JKO
거둘	거두/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
의문이다.	의문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.337.9.3
특히 사령관(장성급)의 지휘를 받는 법무 참모(대위급)를 위원장으로 둔 심의위가 제대로 작동할지 우려가 나온다.

특히	특히/MAG
사령관(장성급)의	사령관/NNG+(/SS+장성급/NNG+)/SS+의/JKG
지휘를	지휘/NNG+를/JKO
받는	받/VV+는/ETM
법무	법무/NNG
참모(대위급)를	참모/NNG+(/SS+대위급/NNG+)/SS+를/JKO
위원장으로	위원장/NNG+으로/JKB
둔	두/VV+ㄴ/ETM
심의위가	심의위/NNG+가/JKS
제대로	제대로/MAG
작동할지	작동/NNG+하/XSV+ㄹ지/EF
우려가	우려/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.337.10.1
한편, 이날 김관진 국방부 장관은 국회 국방위 전체회의에서 “(사이버사의) 대남 심리전 작전 결과를 보고받았느냐”는 진성준 민주당 의원의 질의에 “북한의 여러 가지 사이버 동향이랄지 심리전 동향이랄지 이런 내용에 대해서는 보고를 받은 적이 있다.

한편,	한편/MAG+,/SP
이날	이날/NNG
김관진	김관진/NNP
국방부	국방부/NNG
장관은	장관/NNG+은/JX
국회	국회/NNG
국방위	국방위/NNG
전체회의에서	전체/NNG+회의/NNG+에서/JKB
“(사이버사의)	“/SS+(/SS+사이버사/NNG+의/JKG+)/SS
대남	대남/NNG
심리전	심리전/NNG
작전	작전/NNG
결과를	결과/NNG+를/JKO
보고받았느냐”는	보고/NNG+받/XSV+았/EP+느냐/EF+”/SS+는/ETM
진성준	진성준/NNP
민주당	민주당/NNP
의원의	의원/NNG+의/JKG
질의에	질의/NNG+에/JKB
“북한의	“/SS+북한/NNP+의/JKG
여러	여러/MMN
가지	가지/NNB
사이버	사이버/NNG
동향이랄지	동향/NNG+이/VCP+랄지/EF
이런	이런/MMD
내용에	내용/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
보고를	보고/NNG+를/JKO
받은	받/VV+은/ETM
적이	적/NNB+이/JKS
있다.	있/VV+다/EF+./SF


# id : NWRW1800000044.337.10.2
다만 정치 댓글이 어떻다는 내용은 보고받은 바 없다”고 답했다.

다만	다만/MAG
정치	정치/NNG
댓글이	댓글/NNG+이/JKS
어떻다는	어떻/VA+다는/ETM
내용은	내용/NNG+은/JX
보고받은	보고/NNG+받/XSV+은/ETM
바	바/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.337.10.3
이는 “북한 등의 사이버 동향만 보고받았다”는 그간의 답변과는 다른 것이다.

이는	이/NP+는/JX
“북한	“/SS+북한/NNP
등의	등/NNB+의/JKG
사이버	사이버/NNG
동향만	동향/NNG+만/JX
보고받았다”는	보고/NNG+받/XSV+았/EP+다/EF+”/SS+는/ETM
그간의	그/NP+간/XSN+의/JKG
답변과는	답변/NNG+과/JKB+는/JX
다른	다르/VA+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.337.10.4
정치 댓글 활동은 ‘대남 심리전 작전 결과’ 보고 속에 포함된 것으로 추정된다.

정치	정치/NNG
댓글	댓글/NNG
활동은	활동/NNG+은/JX
‘대남	‘/SS+대남/NNG
심리전	심리전/NNG
작전	작전/NNG
결과’	결과/NNG+’/SS
보고	보고/NNG
속에	속/NNG+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


