# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.24
metadata : {}


# id : NWRW1800000040.24.1.1
사회적 경제의 오래된 가치

사회적	사회/NNG+적/XSN
출발한다.	출발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.24.5.2
이탈리아 볼로냐 대학의 스테파노 차마니 교수는 “사람을 희생하는 생산이라는 이윤 동기의 원리가 확립된 것은 겨우 산업혁명 이후의 일”이고, “유사 이래 시장경제의 근간은 ‘인간이 만물의 척도’라는 고대 이래의 원리”였다고 주장한다.

이탈리아	이탈리아/NNP
볼로냐	볼로냐/NNP
대학의	대학/NNG+의/JKG
스테파노	스테파노/NNP
차마니	차마니/NNP
교수는	교수/NNG+는/JX
“사람을	“/SS+사람/NNG+을/JKO
희생하는	희생/NNG+하/XSV+는/ETM
생산이라는	생산/NNG+이/VCP+라는/ETM
이윤	이윤/NNG
동기의	동기/NNG+의/JKG
원리가	원리/NNG+가/JKS
확립된	확립/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
겨우	겨우/MAG
산업혁명	산업/NNG+혁명/NNG
이후의	이후/NNG+의/JKG
일”이고,	일/NNG+”/SS+이/VCP+고/EC+,/SP
“유사	“/SS+유사/NNG
이래	이래/NNB
시장경제의	시장/NNG+경제/NNG+의/JKG
근간은	근간/NNG+은/JX
‘인간이	‘/SS+인간/NNG+이/JKS
만물의	만물/NNG+의/JKG
척도’라는	척도/NNG+’/SS+이/VCP+라는/ETM
고대	고대/NNG
이래의	이래/NNB+의/JKG
원리”였다고	원리/NNG+”/SS+이/VCP+었/EP+다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.24.5.3
새로운사회를여는연구원의 정태인 원장은 최근 펴낸 <협동의 경제학>에서 “최근 300년 동안만 인간은 이기적이라고 주장하는 경제학이 세상을 지배했을 뿐”이고 “협동은 오랜 인간 진화의 산물”이라고 이야기한다.

새로운사회를여는연구원의	새로운사회를여는연구원/NNP+의/JKG
정태인	정태인/NNP
원장은	원장/NNG+은/JX
최근	최근/MAG
펴낸	펴내/VV+ㄴ/ETM
<협동의	</SS+협동/NNG+의/JKG
경제학>에서	경제학/NNG+>/SS+에서/JKB
“최근	“/SS+최근/NNG
300년	300/SN+년/NNB
동안만	동안/NNG+만/JX
인간은	인간/NNG+은/JX
이기적이라고	이기/NNG+적/XSN+이/VCP+라고/EC
주장하는	주장/NNG+하/XSV+는/ETM
경제학이	경제학/NNG+이/JKS
세상을	세상/NNG+을/JKO
지배했을	지배/NNG+하/XSV+았/EP+을/ETM
뿐”이고	뿐/NNB+”/SS+이/VCP+고/EC
“협동은	“/SS+협동/NNG+은/JX
오랜	오랜/MMA
인간	인간/NNG
진화의	진화/NNG+의/JKG
산물”이라고	산물/NNG+”/SS+이라고/JKQ
이야기한다.	이야기/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.24.5.4
“좋은 친구 없이는 (혼자서는) 행복할 수 없다”는 아리스토텔레스 <니코마코스 윤리학>의 귀결은 협동의 경제가 일시적이지 않음을 뒷받침하는 중요한 논거로 인용된다.

“좋은	“/SS+좋/VA+은/ETM
친구	친구/NNG
없이는	없이/MAG+는/JX
(혼자서는)	(/SS+혼자/NNG+서/JKB+는/JX+)/SS
행복할	행복/NNG+하/XSA+ㄹ/ETM
수	수/NNB
없다”는	없/VA+다/EF+”/SS+는/ETM
아리스토텔레스	아리스토텔레스/NNP
<니코마코스	</SS+니코마코스/NNP
윤리학>의	윤리학/NNG+>/SS+의/JKG
귀결은	귀결/NNG+은/JX
협동의	협동/NNG+의/JKG
경제가	경제/NNG+가/JKS
일시적이지	일시/NNG+적/XSN+이/VCP+지/EC
않음을	않/VX+음/ETN+을/JKO
뒷받침하는	뒷받침/NNG+하/XSV+는/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
논거로	논거/NNG+로/JKB
인용된다.	인용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.24.6.1
현실로 돌아와 보자.

현실로	현실/NNG+로/JKB
돌아와	돌아오/VV+아/EC
보자.	보/VX+자/EF+./SF


# id : NWRW1800000040.24.6.2
우리 경제는 근대화 이후 권위주의의 공공경제로 터를 다진 뒤, 외환위기를 맞아 시장만능경제로 훌쩍 건너뛰었다.

우리	우리/NP
경제는	경제/NNG+는/JX
근대화	근대/NNG+화/XSN
이후	이후/NNG
권위주의의	권위주의/NNG+의/JKG
공공경제로	공공경제/NNG+로/JKB
터를	터/NNG+를/JKO
다진	다지/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
외환위기를	외환/NNG+위기/NNG+를/JKO
맞아	맞/VV+아/EC
시장만능경제로	시장/NNG+만능/NNG+경제/NNG+로/JKB
훌쩍	훌쩍/MAG
건너뛰었다.	건너뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.24.6.3
양 극단 사이에서 사회적경제가 뿌리내릴만한 역사적·사회적인 틈이 없었다.

양	양/MMN
극단	극단/NNG
사이에서	사이/NNG+에서/JKB
사회적경제가	사회/NNG+적/XSN+경제/NNG+가/JKS
뿌리내릴만한	뿌리내리/VV+ㄹ/ETM+만/NNB+하/XSA+ㄴ/ETM
역사적·사회적인	역사/NNG+적/XSN+·/SP+사회/NNG+적/XSN+이/VCP+ㄴ/ETM
틈이	틈/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000040.24.6.4
하지만 시장경제와 공공경제만으로 돌아가는 선진국의 현실 경제는 존재하지 않는다.

하지만	하지만/MAJ
시장경제와	시장/NNG+경제/NNG+와/JC
공공경제만으로	공공경제/NNG+만/JX+으로/JKB
돌아가는	돌아가/VV+는/ETM
선진국의	선진국/NNG+의/JKG
현실	현실/NNG
경제는	경제/NNG+는/JX
존재하지	존재/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000040.24.6.5
건강한 경제란 예외없이 시장경제, 공공경제, 사회적경제가 적절한 균형을 이룬다.

건강한	건강/NNG+하/XSA+ㄴ/ETM
경제란	경제/NNG+란/JX
예외없이	예외/NNG+없이/MAG
시장경제,	시장/NNG+경제/NNG+,/SP
공공경제,	공공경제/NNG+,/SP
사회적경제가	사회/NNG+적/XSN+경제/NNG+가/JKS
적절한	적절하/VA+ㄴ/ETM
균형을	균형/NNG+을/JKO
이룬다.	이루/VV+ㄴ다/EF+./SF


