# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.353
metadata : {}


# id : NWRW1800000037.353.1.1
개인 빚 올해 최대 100만명 감면

개인	개인/NNG
외환위기 당시 10억 원 이하의 기업대출에 연대보증을 선 11만 명의 빚을 70%까지 탕감해주는 지원방안도 7월 시행을 앞두고 있다.

외환위기	외환/NNG+위기/NNG
당시	당시/NNG
10억	10/SN+억/NR
원	원/NNB
이하의	이하/NNG+의/JKG
기업대출에	기업/NNG+대출/NNG+에/JKB
연대보증을	연대/NNG+보증/NNG+을/JKO
선	서/VV+ㄴ/ETM
11만	11/SN+만/NR
명의	명/NNB+의/JKG
빚을	빚/NNG+을/JKO
70%까지	70/SN+%/SW+까지/JX
탕감해주는	탕감/NNG+하/XSV+아/EC+주/VX+는/ETM
지원방안도	지원/NNG+방안/NNG+도/JX
7월	7/SN+월/NNB
시행을	시행/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.353.6.1
신용회복위원회의 사전채무조정(프리워크아웃)과 개인워크아웃도 대상이 확대되면서 수혜자가 올해만 3만2000명 정도 될 것으로 보인다.

신용회복위원회의	신용/NNG+회복/NNG+위원회/NNG+의/JKG
사전채무조정(프리워크아웃)과	사전/NNG+채무/NNG+조정/NNG+(/SS+프리워크아웃/NNG+)/SS+과/JC
개인워크아웃도	개인/NNG+워크아웃/NNG+도/JX
대상이	대상/NNG+이/JKS
확대되면서	확대/NNG+되/XSV+면서/EC
수혜자가	수혜자/NNG+가/JKS
올해만	올해/NNG+만/JX
3만2000명	3/SN+만/NR+2000/SN+명/NNB
정도	정도/NNG
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.353.6.2
고금리 대출을 저금리 대출로 바꿔주는 ‘바꿔드림론’ 신청자는 연말까지 7만∼8만 명에 이르고, 채무자의 빚을 줄여주는 ‘희망모아’ 프로그램 수혜자도 수만 명은 될 것으로 예상된다.

고금리	고/XPN+금리/NNG
대출을	대출/NNG+을/JKO
저금리	저/XPN+금리/NNG
대출로	대출/NNG+로/JKB
바꿔주는	바꾸/VV+어/EC+주/VX+는/ETM
‘바꿔드림론’	‘/SS+바꿔드림론/NNP+’/SS
신청자는	신청자/NNG+는/JX
연말까지	연말/NNG+까지/JX
7만∼8만	7/SN+만/NR+∼/SO+8/SN+만/NR
명에	명/NNB+에/JKB
이르고,	이르/VV+고/EC+,/SP
채무자의	채무자/NNG+의/JKG
빚을	빚/NNG+을/JKO
줄여주는	줄이/VV+어/EC+주/VX+는/ETM
‘희망모아’	‘/SS+희망모아/NNP+’/SS
프로그램	프로그램/NNG
수혜자도	수혜자/NNG+도/JX
수만	수만/NR
명은	명/NNB+은/JX
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.353.6.3
금융회사들이 내집빈곤층(하우스푸어)을 구제하기 위해 자체 프리워크아웃과 경매유예제도를 활성화하면 2만2000가구 정도가 혜택을 보게 된다.

금융회사들이	금융/NNG+회사/NNG+들/XSN+이/JKS
내집빈곤층(하우스푸어)을	나/NP+의/JKG+집/NNG+빈곤/NNG+층/XSN+(/SS+하우스푸어/NNG+)/SS+을/JKO
구제하기	구제/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
자체	자체/NNG
프리워크아웃과	프리워크아웃/NNG+과/JC
경매유예제도를	경매/NNG+유예/NNG+제도/NNG+를/JKO
활성화하면	활성/NNG+화/XSN+하/XSV+면/EC
2만2000가구	2/SN+만/NR+2000/SN+가구/NNG
정도가	정도/NNG+가/JKS
혜택을	혜택/NNG+을/JKO
보게	보/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.353.7.1
이처럼 정부가 각종 빚 탕감 프로그램을 가동하면서 채무조정 대상이 아닌 사람들이 자신도 구제해 달라고 목소리를 높이고 있다.

이처럼	이/NP+처럼/JKB
정부가	정부/NNG+가/JKS
각종	각종/NNG
빚	빚/NNG
탕감	탕감/NNG
프로그램을	프로그램/NNG+을/JKO
가동하면서	가동/NNG+하/XSV+면서/EC
채무조정	채무/NNG+조정/NNG
대상이	대상/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
자신도	자신/NNG+도/JX
구제해	구제/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
목소리를	목소리/NNG+를/JKO
높이고	높이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.353.7.2
일부 소비자단체는 외환위기 때 연대보증 채무자뿐 아니라 2003년 카드사태와 2008년 글로벌 금융위기 때 피해를 본 사람도 구제해줘야 한다고 주장하고 나섰다.

일부	일부/NNG
소비자단체는	소비자/NNG+단체/NNG+는/JX
외환위기	외환/NNG+위기/NNG
때	때/NNG
연대보증	연대/NNG+보증/NNG
채무자뿐	채무자/NNG+뿐/JX
아니라	아니/VCN+라/EC
2003년	2003/SN+년/NNB
카드사태와	카드/NNG+사태/NNG+와/JC
2008년	2008/SN+년/NNB
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
피해를	피해/NNG+를/JKO
본	보/VV+ㄴ/ETM
사람도	사람/NNG+도/JX
구제해줘야	구제/NNG+하/XSV+아/EC+주/VX+어야/EC
한다고	하/VX+ㄴ다고/EC
주장하고	주장/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.353.7.3
일각에선 각종 채무조정 프로그램이 어려운 살림살이에도 성실하게 빚을 갚고 있는 대다수 채무자의 박탈감을 키우고 있다는 지적도 나온다.

일각에선	일각/NNG+에서/JKB+ㄴ/JX
각종	각종/NNG
채무조정	채무/NNG+조정/NNG
프로그램이	프로그램/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
살림살이에도	살림살이/NNG+에/JKB+도/JX
성실하게	성실/NNG+하/XSA+게/EC
빚을	빚/NNG+을/JKO
갚고	갚/VV+고/EC
있는	있/VX+는/ETM
대다수	대/XPN+다수/NNG
채무자의	채무자/NNG+의/JKG
박탈감을	박탈감/NNG+을/JKO
키우고	키우/VV+고/EC
있다는	있/VX+다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.353.8.1
금융당국의 한 고위 관계자는 “감당할 수 없는 빚에 허덕이는 사람을 방치하는 것보다 양지에서 정상적인 생활을 하도록 돕는 게 낫다고 판단했다”며 “지원기준을 명확히 해 도덕적 해이가 생기지 않도록 하겠다”고 말했다.

금융당국의	금융/NNG+당국/NNG+의/JKG
한	한/MMN
고위	고위/NNG
관계자는	관계자/NNG+는/JX
“감당할	“/SS+감당/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
빚에	빚/NNG+에/JKB
허덕이는	허덕이/VV+는/ETM
사람을	사람/NNG+을/JKO
방치하는	방치/NNG+하/XSV+는/ETM
것보다	것/NNB+보다/JKB
양지에서	양지/NNG+에서/JKB
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
생활을	생활/NNG+을/JKO
하도록	하/VV+도록/EC
돕는	돕/VV+는/ETM
게	거/NNB+이/JKS
낫다고	낫/VA+다고/EC
판단했다”며	판단/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“지원기준을	“/SS+지원/NNG+기준/NNG+을/JKO
명확히	명확히/MAG
해	하/VV+아/EC
도덕적	도덕/NNG+적/XSN
해이가	해이/NNG+가/JKS
생기지	생기/VV+지/EC
않도록	않/VX+도록/EC
하겠다”고	하/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


