# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.60
metadata : {}


# id : NWRW1800000048.60.1.1
KT “지능형 기가 인프라에 13조원 투자”

KT	KT/SL
황 회장은 23일 서울 세종로 사옥에서 기자간담회를 열어 “기존 산업의 가치를 높여주는 ‘인텔리전트 기가 인프라’ 구축 및 미래 성장사업 육성에 2020년까지 13조원을 투자하겠다.

황	황/NNP
회장은	회장/NNG+은/JX
23일	23/SN+일/NNB
서울	서울/NNP
세종로	세종로/NNP
사옥에서	사옥/NNG+에서/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열어	열/VV+어/EC
“기존	“/SS+기존/NNG
산업의	산업/NNG+의/JKG
가치를	가치/NNG+를/JKO
높여주는	높이/VV+어/EC+주/VX+는/ETM
‘인텔리전트	‘/SS+인텔리전트/NNG
기가	기가/NNG
인프라’	인프라/NNG+’/SS
구축	구축/NNG
및	및/MAG
미래	미래/NNG
성장사업	성장/NNG+사업/NNG
육성에	육성/NNG+에/JKB
2020년까지	2020/SN+년/NNB+까지/JX
13조원을	13/SN+조/NR+원/NNB+을/JKO
투자하겠다.	투자/NNG+하/XSV+겠/EP+다/EF+./SF


# id : NWRW1800000048.60.6.2
이를 통해 케이티는 ‘컨버전스 빌더’로서 전세계적으로 꿈틀대고 있는 4차 산업혁명을 주도할 것”이라고 말했다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
케이티는	케이티/NNP+는/JX
‘컨버전스	‘/SS+컨버전스/NNG
빌더’로서	빌더/NNG+’/SS+로서/JKB
전세계적으로	전/MMN+세계/NNG+적/XSN+으로/JKB
꿈틀대고	꿈틀대/VV+고/EC
있는	있/VX+는/ETM
4차	4/SN+차/NNB
산업혁명을	산업/NNG+혁명/NNG+을/JKO
주도할	주도/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.60.7.1
그는 “취임 뒤 지금까지는 망가진 회사를 추스르고, 케이티에 내재된 1등 디엔에이(DNA)를 건드리면서 현장경영을 중시해 체질을 변화시키는 데 힘써왔다.

그는	그/NP+는/JX
“취임	“/SS+취임/NNG
뒤	뒤/NNG
지금까지는	지금/NNG+까지/JX+는/JX
망가진	망가지/VV+ㄴ/ETM
회사를	회사/NNG+를/JKO
추스르고,	추스르/VV+고/EC+,/SP
케이티에	케이티/NNP+에/JKB
내재된	내재/NNG+되/XSV+ㄴ/ETM
1등	1/SN+등/NNB
디엔에이(DNA)를	디엔에이/NNG+(/SS+DNA/SL+)/SS+를/JKO
건드리면서	건드리/VV+면서/EC
현장경영을	현장/NNG+경영/NNG+을/JKO
중시해	중시/NNG+하/XSV+아/EC
체질을	체질/NNG+을/JKO
변화시키는	변화/NNG+시키/XSV+는/ETM
데	데/NNB
힘써왔다.	힘쓰/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.60.7.2
56개이던 자회사도 38개로 정비했다.

56개이던	56/SN+개/NNB+이/VCP+던/ETM
자회사도	자회사/NNG+도/JX
38개로	38/SN+개/NNB+로/JKB
정비했다.	정비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.60.7.3
이제부터는 성장동력 사업을 찾아 실적을 내는 데 주력할 것”이라고 덧붙였다.

이제부터는	이제/NNG+부터/JX+는/JX
성장동력	성장/NNG+동력/NNG
사업을	사업/NNG+을/JKO
찾아	찾/VV+아/EC
실적을	실적/NNG+을/JKO
내는	내/VV+는/ETM
데	데/NNB
주력할	주력/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.60.8.1
황 회장은 미래 성장사업으로 언제 어디서나 컴퓨터 유에스비(USB)꽂이에 꽂기만 하면 네트워크 차원에서 완벽한 보안을 제공하는 ‘휴대형 보안 플랫폼’(위즈스틱), 보안을 위한 별도 투자가 어려운 중소기업들을 위한 ‘기가오피스’, 문자를 암호화한 상태로 주고받게 하고 도청이 불가능한 비화통신 기능까지 제공하는 ‘전용 엘티이(LTE)’, 사물인터넷을 이용한 에너지 효율화와 무인자동차, 소아발달질환 관련 유전체 분석 솔루션 등을 꼽았다.

황	황/NNP
회장은	회장/NNG+은/JX
미래	미래/NNG
성장사업으로	성장/NNG+사업/NNG+으로/JKB
언제	언제/MAG
어디서나	어디/NP+서/JKB+나/JX
컴퓨터	컴퓨터/NNG
유에스비(USB)꽂이에	유에스비/NNG+(/SS+USB/SL+)/SS+꽂이/NNG+에/JKB
꽂기만	꽂/VV+기/ETN+만/JX
하면	하/VX+면/EC
네트워크	네트워크/NNG
차원에서	차원/NNG+에서/JKB
완벽한	완벽/NNG+하/XSA+ㄴ/ETM
보안을	보안/NNG+을/JKO
제공하는	제공/NNG+하/XSV+는/ETM
‘휴대형	‘/SS+휴대/NNG+형/XSN
보안	보안/NNG
플랫폼’(위즈스틱),	플랫폼/NNG+’/SS+(/SS+위즈스틱/NNP+)/SS+,/SP
위한	위하/VV+ㄴ/ETM
별도	별도/NNG
투자가	투자/NNG+가/JKS
어려운	어렵/VA+ㄴ/ETM
중소기업들을	중소기업/NNG+들/XSN+을/JKO
‘기가오피스’,	‘/SS+기가오피스/NNP+’/SS+,/SP
문자를	문자/NNG+를/JKO
암호화한	암호/NNG+화/XSN+하/XSV+ㄴ/ETM
상태로	상태/NNG+로/JKB
주고받게	주고받/VV+게/EC
하고	하/VX+고/EC
도청이	도청/NNG+이/JKS
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
비화통신	비화통신/NNG
기능까지	기능/NNG+까지/JX
‘전용	‘/SS+전용/NNG
엘티이(LTE)’,	엘티이/NNG+(/SS+LTE/SL+)/SS+’/SS+,/SP
사물인터넷을	사물/NNG+인터넷/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
에너지	에너지/NNG
효율화와	효율/NNG+화/XSN+와/JC
무인자동차,	무인/NNG+자동차/NNG+,/SP
소아발달질환	소아/NNG+발달/NNG+질환/NNG
관련	관련/NNG
유전체	유전체/NNG
분석	분석/NNG
솔루션	솔루션/NNG
등을	등/NNB+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.60.8.2
그는 “전용 엘티이와 기가오피스는 이미 출시해 고객을 늘려가고 있고, 위즈스틱 등은 올 하반기 출시가 가능하다.

그는	그/NP+는/JX
“전용	“/SS+전용/NNG
엘티이와	엘티이/NNG+와/JC
기가오피스는	기가오피스/NNP+는/JX
이미	이미/MAG
출시해	출시/NNG+하/XSV+아/EC
고객을	고객/NNG+을/JKO
늘려가고	늘리/VV+어/EC+가/VX+고/EC
있고,	있/VX+고/EC+,/SP
위즈스틱	위즈스틱/NNP
등은	등/NNB+은/JX
올	올/NNG
하반기	하반기/NNG
출시가	출시/NNG+가/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000048.60.8.3
2020년까지 각각 1조원 이상의 매출을 기대하고 있다”고 말했다.

2020년까지	2020/SN+년/NNB+까지/JX
각각	각각/MAG
1조원	1/SN+조/NR+원/NNB
이상의	이상/NNG+의/JKG
매출을	매출/NNG+을/JKO
기대하고	기대/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.60.9.1
앞서 황 회장은 주요 사업을 맡고 있는 임원들에게 5년 안에 1조원 이상의 매출을 올릴 수 있는 신성장동력 사업 아이템을 준비하라고 지시한 데 이어, 지난 8월에는 임무를 부여받은 임원들을 강원도 평창으로 불러 준비된 아이템에 대한 보고를 받았다.

앞서	앞서/MAG
황	황/NNP
회장은	회장/NNG+은/JX
주요	주요/NNG
사업을	사업/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VA+는/ETM
임원들에게	임원/NNG+들/XSN+에게/JKB
5년	5/SN+년/NNB
안에	안/NNG+에/JKB
1조원	1/SN+조/NR+원/NNB
이상의	이상/NNG+의/JKG
매출을	매출/NNG+을/JKO
올릴	올리/VV+ㄹ/ETM
수	수/NNB
신성장동력	신/XPN+성장/NNG+동력/NNG
사업	사업/NNG
아이템을	아이템/NNG+을/JKO
준비하라고	준비/NNG+하/XSV+라고/EC
지시한	지시/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
지난	지나/VV+ㄴ/ETM
8월에는	8/SN+월/NNB+에/JKB+는/JX
임무를	임무/NNG+를/JKO
부여받은	부여/NNG+받/XSV+은/ETM
임원들을	임원/NNG+들/XSN+을/JKO
강원도	강원도/NNP
평창으로	평창/NNP+으로/JKB
불러	부르/VV+어/EC
준비된	준비/NNG+되/XSV+ㄴ/ETM
아이템에	아이템/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보고를	보고/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.60.9.2
다만 케이티는 정권이 바뀔 때마다 최고경영자가 바뀌고 전에 마련된 사업계획이 취소된 사례가 있어, 황 회장이 꼽은 미래 성장사업이 장기에 걸쳐 지속 추진될 수 있느냐에 변수가 될 것으로 보인다.

다만	다만/MAG
케이티는	케이티/NNP+는/JX
정권이	정권/NNG+이/JKS
바뀔	바뀌/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
최고경영자가	최고/NNG+경영자/NNG+가/JKS
바뀌고	바뀌/VV+고/EC
전에	전/NNG+에/JKB
마련된	마련/NNG+되/XSV+ㄴ/ETM
사업계획이	사업/NNG+계획/NNG+이/JKS
취소된	취소/NNG+되/XSV+ㄴ/ETM
사례가	사례/NNG+가/JKS
있어,	있/VA+어/EC+,/SP
황	황/NNP
회장이	회장/NNG+이/JKS
꼽은	꼽/VV+은/ETM
미래	미래/NNG
성장사업이	성장/NNG+사업/NNG+이/JKS
장기에	장기/NNG+에/JKB
걸쳐	걸치/VV+어/EC
지속	지속/NNG
추진될	추진/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있느냐에	있/VA+느냐/EF+에/JKB
변수가	변수/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


