# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.211
metadata : {}


# id : NWRW1800000033.211.1.1
주택가 창살 벌려 머리 쏙… 미꾸라지 발바리

주택가	주택가/NNG
3시	3/SN+시/NNB
반경	반/NNG+경/XSN
울산	울산/NNP
동구의	동구/NNP+의/JKG
한	한/MMN
주택	주택/NNG
다락	다락/NNG
창문으로	창문/NNG+으로/JKB
들어가	들어가/VV+아/EC
잠자던	잠자/VV+던/ETM
A	A/SL
양(17)을	양/NNB+(/SS+17/SN+)/SS+을/JKO
흉기로	흉기/NNG+로/JKB
위협해	위협/NNG+하/XSV+아/EC
성폭행했다.	성폭행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.211.5.1
안 씨는 준비해간 디지털카메라로 중요 부위를 촬영하고 “신고하면 인터넷에 퍼뜨린다”고 협박했다.

안	안/NNP
씨는	씨/NNB+는/JX
준비해간	준비/NNG+하/XSV+아/EC+가/VV+ㄴ/ETM
디지털카메라로	디지털카메라/NNG+로/JKB
중요	중요/NNG
부위를	부위/NNG+를/JKO
촬영하고	촬영/NNG+하/XSV+고/EC
“신고하면	“/SS+신고/NNG+하/XSV+면/EC
인터넷에	인터넷/NNG+에/JKB
퍼뜨린다”고	퍼뜨리/VV+ㄴ다/EF+”/SS+고/JKQ
협박했다.	협박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.211.5.2
A 양의 집은 안 씨 집에서 불과 200여 m 떨어져 있다.

A	A/SL
양의	양/NNB+의/JKG
집은	집/NNG+은/JX
안	안/NNP
씨	씨/NNB
집에서	집/NNG+에서/JKB
불과	불과/MAG
200여	200/SN+여/XSN
m	m/SW
떨어져	떨어지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.211.5.3
피해자들의 집은 모두 안 씨 집에서 반경 1km 이내에 있었다.

피해자들의	피해자/NNG+들/XSN+의/JKG
집은	집/NNG+은/JX
모두	모두/MAG
안	안/NNP
씨	씨/NNB
집에서	집/NNG+에서/JKB
반경	반경/NNG
1km	1/SN+km/SW
이내에	이내/NNG+에/JKB
있었다.	있/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.211.5.4
안 씨는 폐쇄회로(CC)TV가 설치된 장소를 정확하게 파악하고 모두 피해 범행 때 이동하는 모습이 촬영되지 않았다.

안	안/NNP
씨는	씨/NNB+는/JX
폐쇄회로(CC)TV가	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS+TV/SL+가/JKS
설치된	설치/NNG+되/XSV+ㄴ/ETM
장소를	장소/NNG+를/JKO
정확하게	정확/NNG+하/XSA+게/EC
파악하고	파악/NNG+하/XSV+고/EC
모두	모두/MAG
피해	피하/VV+아/EC
범행	범행/NNG
때	때/NNG
이동하는	이동/NNG+하/XSV+는/ETM
모습이	모습/NNG+이/JKS
촬영되지	촬영/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.211.5.5
하지만 범행 현장 주변의 한 CCTV에 잡힌 안 씨의 오토바이가 결정적 단서가 됐다.

하지만	하지만/MAJ
범행	범행/NNG
현장	현장/NNG
주변의	주변/NNG+의/JKG
한	한/MMN
CCTV에	CCTV/SL+에/JKB
잡힌	잡히/VV+ㄴ/ETM
안	안/NNP
씨의	씨/NNB+의/JKG
오토바이가	오토바이/NNG+가/JKS
결정적	결정/NNG+적/XSN
단서가	단서/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.211.5.6
이후 경찰은 피해자 몸에서 채취한 체액의 유전자(DNA)와 범행 현장에서 용의자가 피우고 버린 담배꽁초에서 나온 유전자가 안 씨의 것과 일치해 검거했다.

이후	이후/NNG
경찰은	경찰/NNG+은/JX
피해자	피해자/NNG
몸에서	몸/NNG+에서/JKB
채취한	채취/NNG+하/XSV+ㄴ/ETM
체액의	체액/NNG+의/JKG
유전자(DNA)와	유전자/NNG+(/SS+DNA/SL+)/SS+와/JC
범행	범행/NNG
현장에서	현장/NNG+에서/JKB
용의자가	용의자/NNG+가/JKS
피우고	피우/VV+고/EC
버린	버리/VX+ㄴ/ETM
담배꽁초에서	담배꽁초/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
유전자가	유전자/NNG+가/JKS
안	안/NNP
씨의	씨/NNB+의/JKG
것과	것/NNB+과/JKB
일치해	일치/NNG+하/XSV+아/EC
검거했다.	검거/NNG+하/XSV+았/EP+다/EF+./SF


