# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.33
metadata : {}


# id : NWRW1800000053.33.1.1
“소통으로 ‘열린 과총’ 만들어 갈 것”

“소통으로	“/SS+소통/NNG+으로/JKB
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.33.5.1
과총은 한국 과학기술계 최대 단체로 과학기술 분야의 학회와 연구기관 등 700여 개 회원단체를 두고 있다.

과총은	과총/NNP+은/JX
한국	한국/NNP
과학기술계	과학/NNG+기술/NNG+계/XSN
최대	최대/NNG
단체로	단체/NNG+로/JKB
과학기술	과학/NNG+기술/NNG
분야의	분야/NNG+의/JKG
학회와	학회/NNG+와/JC
연구기관	연구/NNG+기관/NNG
등	등/NNB
700여	700/SN+여/XSN
개	개/NNB
회원단체를	회원/NNG+단체/NNG+를/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.33.5.2
또 13개 시도지역연합회, 해외 17개국 한인 과학기술자로 구성된 재외한국과학기술자협회, 부설 정책연구소 등을 이끌며 500만 과학기술인을 대변한다.

또	또/MAG
13개	13/SN+개/NNB
시도지역연합회,	시도/NNG+지역/NNG+연합회/NNG+,/SP
해외	해외/NNG
17개국	17/SN+개국/NNB
한인	한인/NNG
과학기술자로	과학/NNG+기술자/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
재외한국과학기술자협회,	재외한국과학기술자협회/NNP+,/SP
부설	부설/NNG
정책연구소	정책/NNG+연구소/NNG
등을	등/NNB+을/JKO
이끌며	이끌/VV+며/EC
500만	500/SN+만/NR
과학기술인을	과학/NNG+기술인/NNG+을/JKO
대변한다.	대변/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.33.5.3
올해 설립 51년을 맞는 과총에서 여성 과학자가 회장을 맡은 건 이번이 처음이다.

올해	올해/NNG
설립	설립/NNG
51년을	51/SN+년/NNB+을/JKO
맞는	맞/VV+는/ETM
과총에서	과총/NNP+에서/JKB
여성	여성/NNG
과학자가	과학자/NNG+가/JKS
회장을	회장/NNG+을/JKO
맡은	맡/VV+은/ETM
건	거/NNB+ㄴ/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.33.6.1
김 회장은 과총이 기초와 응용과학은 물론이고 산업 분야 연구단체를 아우르는 거대 조직인 만큼 내부 소통에 힘쓰겠다고 말했다.

김	김/NNP
회장은	회장/NNG+은/JX
과총이	과총/NNP+이/JKS
기초와	기초/NNG+와/JC
응용과학은	응용과학/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
산업	산업/NNG
분야	분야/NNG
연구단체를	연구/NNG+단체/NNG+를/JKO
아우르는	아우르/VV+는/ETM
거대	거대/NNG
조직인	조직/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
내부	내부/NNG
소통에	소통/NNG+에/JKB
힘쓰겠다고	힘쓰/VV+겠/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.33.6.2
사이버 이사회와 평의회를 상시 체제로 구축해 과총의 문을 활짝 열겠다는 의지도 밝혔다.

사이버	사이버/NNG
이사회와	이사회/NNG+와/JC
평의회를	평의회/NNG+를/JKO
상시	상시/NNG
체제로	체제/NNG+로/JKB
구축해	구축/NNG+하/XSV+아/EC
과총의	과총/NNP+의/JKG
문을	문/NNG+을/JKO
활짝	활짝/MAG
열겠다는	열/VV+겠/EP+다는/ETM
의지도	의지/NNG+도/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.33.7.1
그는 또 “과총부터 앞장서서 과학기술계의 창의성과 자율성을 살릴 수요자 중심 지원 방식으로 전환하고 학술 비전 로드맵 작성, 학술지 발간 지원 선진화, 학회 운영 매뉴얼 제작 배포 등 실질적 서비스를 대폭 강화하겠다”고 말했다.

그는	그/NP+는/JX
또	또/MAG
“과총부터	“/SS+과총/NNP+부터/JX
앞장서서	앞장서/VV+어서/EC
과학기술계의	과학/NNG+기술/NNG+계/XSN+의/JKG
창의성과	창의/NNG+성/XSN+과/JC
자율성을	자율/NNG+성/XSN+을/JKO
살릴	살리/VV+ㄹ/ETM
수요자	수요자/NNG
중심	중심/NNG
지원	지원/NNG
방식으로	방식/NNG+으로/JKB
전환하고	전환/NNG+하/XSV+고/EC
학술	학술/NNG
비전	비전/NNG
로드맵	로드맵/NNG
작성,	작성/NNG+,/SP
학술지	학술지/NNG
발간	발간/NNG
선진화,	선진/NNG+화/XSN+,/SP
학회	학회/NNG
운영	운영/NNG
매뉴얼	매뉴얼/NNG
제작	제작/NNG
배포	배포/NNG
등	등/NNB
실질적	실질/NNG+적/XSN
서비스를	서비스/NNG+를/JKO
대폭	대폭/MAG
강화하겠다”고	강화/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.33.8.1
아울러 과학기술이 사회적으로 중요한 역할을 하는 시대인 만큼 정부, 국회, 언론, 비정부기구(NGO)와도 긴밀하게 협력할 계획이다.

아울러	아울러/MAG
과학기술이	과학/NNG+기술/NNG+이/JKS
사회적으로	사회/NNG+적/XSN+으로/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
시대인	시대/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
정부,	정부/NNG+,/SP
국회,	국회/NNG+,/SP
언론,	언론/NNG+,/SP
비정부기구(NGO)와도	비/XPN+정부/NNG+기구/NNG+(/SS+NGO/SL+)/SS+와/JKB+도/JX
긴밀하게	긴밀하/VA+게/EC
협력할	협력/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.33.8.2
그는 “연구개발(R&D) 정책을 비롯한 국정 전반에 과학기술 마인드를 확산시키고, 국가 경영에 있어서 과학기술 리더십 강화에 진력하겠다”고 말했다.

그는	그/NP+는/JX
“연구개발(R&D)	“/SS+연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS
정책을	정책/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
국정	국정/NNG
전반에	전반/NNG+에/JKB
과학기술	과학/NNG+기술/NNG
마인드를	마인드/NNG+를/JKO
확산시키고,	확산/NNG+시키/XSV+고/EC+,/SP
국가	국가/NNG
경영에	경영/NNG+에/JKB
있어서	있/VA+어서/EC
리더십	리더십/NNG
강화에	강화/NNG+에/JKB
진력하겠다”고	진력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.33.9.1
지난달 28일 취임식을 가진 김 신임 회장은 3월 1일부터 3년간 과총을 이끈다.

지난달	지난달/NNG
28일	28/SN+일/NNB
취임식을	취임식/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
김	김/NNP
신임	신임/NNG
회장은	회장/NNG+은/JX
3월	3/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
3년간	3/SN+년/NNB+간/XSN
과총을	과총/NNP+을/JKO
이끈다.	이끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.33.9.2
그는 “과총 회장직이 생애 마지막 프로젝트라고 생각하고 모든 역량과 열정을 쏟겠다”고 말했다.

그는	그/NP+는/JX
“과총	“/SS+과총/NNP
회장직이	회장직/NNG+이/JKS
생애	생애/NNG
마지막	마지막/NNG
프로젝트라고	프로젝트/NNG+이/VCP+라고/EC
생각하고	생각/NNG+하/XSV+고/EC
모든	모든/MMN
역량과	역량/NNG+과/JC
열정을	열정/NNG+을/JKO
쏟겠다”고	쏟/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.33.10.1
김 회장은 숙명여대 교수를 거쳐 환경부 장관(1999∼2003년), 국회의원(17대)을 역임했으며, 현재 한국지속가능발전기업협의회(KBCSD) 회장과 그린코리아21포럼 이사장 등도 맡고 있다.

김	김/NNP
회장은	회장/NNG+은/JX
숙명여대	숙명여대/NNP
교수를	교수/NNG+를/JKO
거쳐	거치/VV+어/EC
환경부	환경부/NNG
장관(1999∼2003년),	장관/NNG+(/SS+1999/SN+∼/SO+2003/SN+년/NNB+)/SS+,/SP
국회의원(17대)을	국회/NNG+의원/NNG+(/SS+17/SN+대/NNB+)/SS+을/JKO
역임했으며,	역임/NNG+하/XSV+았/EP+으며/EC+,/SP
현재	현재/MAG
한국지속가능발전기업협의회(KBCSD)	한국지속가능발전기업협의회/NNP+(/SS+KBCSD/SL+)/SS
회장과	회장/NNG+과/JC
그린코리아21포럼	그린코리아21포럼/NNP
이사장	이사장/NNG
등도	등/NNB+도/JX
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


