# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.15
metadata : {}


# id : NWRW1800000038.15.1.1
아베만 "美·日동맹 부활" 자찬… 美언론은 냉담

아베만	아베/NNP+만/JX
냉정하게	냉정/NNG+하/XSA+게/EC
대처하겠다.	대처/NNG+하/XSV+겠/EP+다/EF+./SF
대립이	대립/NNG+이/JKS
있어도	있/VA+어도/EC
윈윈관계를	윈윈/NNG+관계/NNG+를/JKO
구축하고	구축/NNG+하/XSV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.15.10.2
오바마 대통령은 "미·일이 협력해서 대응하자"고 답했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
"미·일이	"/SS+미/NNP+·/SP+일/NNP+이/JKS
협력해서	협력/NNG+하/XSV+아서/EC
대응하자"고	대응/NNG+하/XSV+자/EF+"/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.15.10.3
하지만 일·중 간 영토 분쟁 대상인 센카쿠(尖閣, 댜오위다오) 문제에 관한 직접 언급은 없었다.

하지만	하지만/MAJ
일·중	일/NNP+·/SP+중/NNP
간	간/NNB
영토	영토/NNG
분쟁	분쟁/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
센카쿠(尖閣,	센카쿠/NNP+(/SS+尖閣/SH+,/SP
댜오위다오)	댜오위다오/NNP+)/SS
문제에	문제/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
직접	직접/MAG
언급은	언급/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.15.11.1
오바마 대통령은 정상회담 후 기자회견에서 센카쿠 문제와 관련해 일본 기자의 질문을 받았지만 이를 무시했다고 아사히(朝日)신문이 전했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
정상회담	정상/NNG+회담/NNG
후	후/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
센카쿠	센카쿠/NNP
문제와	문제/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
일본	일본/NNP
기자의	기자/NNG+의/JKG
질문을	질문/NNG+을/JKO
받았지만	받/VV+았/EP+지만/EC
이를	이/NP+를/JKO
무시했다고	무시/NNG+하/XSV+았/EP+다고/EC
아사히(朝日)신문이	아사히/NNP+(/SS+朝日/SH+)/SS+신문/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.15.11.2
대신 센카쿠 문제는 존 케리 미 국무장관이 기시다 후미오 외상과 가진 회담에서 "센카쿠가 미·일 안전보장조약의 적용 범위"라는 기존 의견을 재차 표명하는 데 그쳤다.

대신	대신/NNG
센카쿠	센카쿠/NNP
문제는	문제/NNG+는/JX
존	존/NNP
케리	케리/NNP
미	미/NNP
국무장관이	국무/NNG+장관/NNG+이/JKS
기시다	기시다/NNP
후미오	후미오/NNP
외상과	외상/NNG+과/JKB
가진	가지/VV+ㄴ/ETM
회담에서	회담/NNG+에서/JKB
"센카쿠가	"/SS+센카쿠/NNP+가/JKS
미·일	미/NNP+·/SP+일/NNP
안전보장조약의	안전/NNG+보장/NNG+조약/NNG+의/JKG
적용	적용/NNG
범위"라는	범위/NNG+"/SS+이/VCP+라는/ETM
기존	기존/NNG
의견을	의견/NNG+을/JKO
재차	재차/MAG
표명하는	표명/NNG+하/XSV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.15.12.1
아베 총리는 대신 워싱턴에서 가진 강연회에서 센카쿠 문제와 관련해 "미국에 무엇을 해달라고 하지 않고 우리 힘으로 지키겠다"고 말했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
대신	대신/NNG
워싱턴에서	워싱턴/NNP+에서/JKB
가진	가지/VV+ㄴ/ETM
강연회에서	강연회/NNG+에서/JKB
센카쿠	센카쿠/NNP
문제와	문제/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
"미국에	"/SS+미국/NNP+에/JKB
무엇을	무엇/NP+을/JKO
해달라고	하/VV+아/EC+달/VX+라고/EC
하지	하/VV+지/EC
않고	않/VX+고/EC
우리	우리/NP
힘으로	힘/NNG+으로/JKB
지키겠다"고	지키/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.15.12.2
이와 관련, 인민일보 등 중국 매체들은 아베 총리가 워싱턴에서 냉대를 받았다고 전했다.

이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
인민일보	인민일보/NNP
등	등/NNB
중국	중국/NNP
매체들은	매체/NNG+들/XSN+은/JX
아베	아베/NNP
총리가	총리/NNG+가/JKS
워싱턴에서	워싱턴/NNP+에서/JKB
냉대를	냉대/NNG+를/JKO
받았다고	받/VV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.15.12.3
국영 신화통신은 논평에서 "아베 총리가 공개적인 장에서 (오바마 대통령의) 일본 지지 표명을 원했으나, 이뤄지지 않았다"고 전했다.

국영	국영/NNG
신화통신은	신화통신/NNP+은/JX
논평에서	논평/NNG+에서/JKB
"아베	"/SS+아베/NNP
총리가	총리/NNG+가/JKS
공개적인	공개/NNG+적/XSN+이/VCP+ㄴ/ETM
장에서	장/NNG+에서/JKB
(오바마	(/SS+오바마/NNP
대통령의)	대통령/NNG+의/JKG+)/SS
일본	일본/NNP
지지	지지/NNG
표명을	표명/NNG+을/JKO
원했으나,	원/NNG+하/XSV+았/EP+으나/EC+,/SP
이뤄지지	이뤄지/VV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.15.13.1
◇미국 언론 "구체적 내용 없다"

◇미국	◇/SW+미국/NNP
언론	언론/NNG
"구체적	"/SS+구체/NNG+적/XSN
내용	내용/NNG
없다"	없/VA+다/EF+"/SS


# id : NWRW1800000038.15.14.1
일본 정부와 자민당은 아베 총리가 TPP 문제에서 큰 성과를 냈다고 평가하지만 미국 반응은 좀 다르다.

일본	일본/NNP
정부와	정부/NNG+와/JC
자민당은	자민당/NNP+은/JX
아베	아베/NNP
총리가	총리/NNG+가/JKS
TPP	TPP/SL
문제에서	문제/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
성과를	성과/NNG+를/JKO
냈다고	내/VV+었/EP+다고/EC
평가하지만	평가/NNG+하/XSV+지만/EC
미국	미국/NNP
반응은	반응/NNG+은/JX
좀	좀/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000038.15.14.2
뉴욕타임스는 "주요 정책 변화와 관련한 발표도 없었고, 후텐마 기지 이전 속도와 관련한 구체적인 내용도 공개적으로 밝히지 않았다"고 했다.

뉴욕타임스는	뉴욕타임스/NNP+는/JX
"주요	"/SS+주요/NNG
정책	정책/NNG
변화와	변화/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
발표도	발표/NNG+도/JX
없었고,	없/VA+었/EP+고/EC+,/SP
후텐마	후텐마/NNP
기지	기지/NNG
이전	이전/NNG
속도와	속도/NNG+와/JKB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
내용도	내용/NNG+도/JX
공개적으로	공개/NNG+적/XSN+으로/JKB
밝히지	밝히/VV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.15.14.3
이날 미셸 오바마는 아예 워싱턴에 있지도 않았다.

이날	이날/NNG
미셸	미셸/NNP
오바마는	오바마/NNP+는/JX
아예	아예/MAG
워싱턴에	워싱턴/NNP+에/JKB
있지도	있/VA+지/EC+도/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.15.14.4
월스트리트저널(WSJ)은 "아베 총리의 부인이 미셸 여사와의 만남을 요청했으나 미셸은 겨울방학을 맞은 두 딸과 스키 휴가를 떠났다"며 "이 때문에 아베 총리 부인의 미국 방문은 무산됐다"고 전했다.

월스트리트저널(WSJ)은	월스트리트저널/NNP+(/SS+WSJ/SL+)/SS+은/JX
"아베	"/SS+아베/NNP
총리의	총리/NNG+의/JKG
부인이	부인/NNG+이/JKS
미셸	미셸/NNP
여사와의	여사/NNG+와/JKB+의/JKG
만남을	만남/NNG+을/JKO
요청했으나	요청/NNG+하/XSV+았/EP+으나/EC
미셸은	미셸/NNP+은/JX
겨울방학을	겨울/NNG+방학/NNG+을/JKO
맞은	맞/VV+은/ETM
두	두/MMN
딸과	딸/NNG+과/JKB
스키	스키/NNG
휴가를	휴가/NNG+를/JKO
떠났다"며	떠나/VV+았/EP+다/EF+"/SS+며/EC
"이	"/SS+이/NP
때문에	때문/NNB+에/JKB
아베	아베/NNP
총리	총리/NNG
부인의	부인/NNG+의/JKG
미국	미국/NNP
방문은	방문/NNG+은/JX
무산됐다"고	무산/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


