# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.408
metadata : {}


# id : NWRW1800000036.408.1.1
새누리 “안철수 위선 드러났다”

새누리	새누리/NNP
후보자도	후보자/NNG+도/JX
다운계약서	다운/NNG+계약서/NNG
논란에	논란/NNG+에/JKB
휘말려	휘말리/VV+어/EC
낙마하기도	낙마/NNG+하/XSV+기/ETN+도/JX
했다”며	하/VX+았/EP+다/EF+”/SS+며/EC
“이	“/SS+이/MMD
사건은	사건/NNG+은/JX
안	안/NNP
후보의	후보/NNG+의/JKG
10초짜리	10/SN+초/NNB+짜리/XSN
사과로	사과/NNG+로/JKB
끝날	끝나/VV+ㄹ/ETM
문제가	문제/NNG+가/JKS
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000036.408.5.3
안 후보는 위선의 가림막을 걷어달라”고 말했다.

안	안/NNP
후보는	후보/NNG+는/JX
위선의	위선/NNG+의/JKG
가림막을	가림막/NNG+을/JKO
걷어달라”고	걷/VV+어/EC+달/VX+라/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.408.5.4
그는 민주통합당을 향해서도 “왜 민주당은 안 후보에 관해 꿀 먹은 벙어리인가”라며 “오로지 표에 눈이 멀어 (안 후보와의) 단일화를 위한 정치를 하지 말고 국민을 보고 큰 정치를 하길 바란다”고 비판했다.

그는	그/NP+는/JX
민주통합당을	민주통합당/NNP+을/JKO
향해서도	향하/VV+아서/EC+도/JX
“왜	“/SS+왜/MAG
민주당은	민주당/NNP+은/JX
안	안/NNP
후보에	후보/NNG+에/JKB
관해	관하/VV+아/EC
꿀	꿀/NNG
먹은	먹/VV+은/ETM
벙어리인가”라며	벙어리/NNG+이/VCP+ㄴ가/EF+”/SS+이/VCP+라며/EC
“오로지	“/SS+오로지/MAG
표에	표/NNG+에/JKB
눈이	눈/NNG+이/JKS
멀어	멀/VA+어/EC
(안	(/SS+안/NNP
후보와의)	후보/NNG+와/JKB+의/JKG+)/SS
단일화를	단일/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
정치를	정치/NNG+를/JKO
하지	하/VV+지/EC
말고	말/VX+고/EC
국민을	국민/NNG+을/JKO
보고	보/VV+고/EC
큰	크/VA+ㄴ/ETM
하길	하/VV+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.408.6.1
한 핵심 당직자도 “안 후보가 본인의 자서전에서 탈세는 일벌백계하고 가중처벌해야 한다고 했는데 스스로에게 이를 어찌 적용할지 지켜보겠다”고 말했다.

한	한/MMN
핵심	핵심/NNG
당직자도	당직자/NNG+도/JX
“안	“/SS+안/NNP
후보가	후보/NNG+가/JKS
본인의	본인/NNG+의/JKG
자서전에서	자서전/NNG+에서/JKB
탈세는	탈세/NNG+는/JX
일벌백계하고	일벌백계/NNG+하/XSV+고/EC
가중처벌해야	가중/NNG+처벌/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
했는데	하/VV+았/EP+는데/EC
스스로에게	스스로/NNG+에게/JKB
이를	이/NP+를/JKO
어찌	어찌/MAG
적용할지	적용/NNG+하/XSV+ㄹ지/EF
지켜보겠다”고	지켜보/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.408.6.2
정우택 최고위원도 “지난번 부모가 사준 집에서 살면서 전세 사는 사람들의 설움을 안다고 말한 게 드러나는 등 안 후보의 도덕적 흠결이 계속 나오고 있다”고 말했다.

정우택	정우택/NNP
최고위원도	최고/NNG+위원/NNG+도/JX
“지난번	“/SS+지난번/NNG
부모가	부모/NNG+가/JKS
사준	사/VV+아/EC+주/VV+ㄴ/ETM
집에서	집/NNG+에서/JKB
살면서	살/VV+면서/EC
전세	전세/NNG
사는	살/VV+는/ETM
사람들의	사람/NNG+들/XSN+의/JKG
설움을	설움/NNG+을/JKO
안다고	알/VV+ㄴ다고/EC
말한	말/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
드러나는	드러나/VV+는/ETM
등	등/NNB
안	안/NNP
후보의	후보/NNG+의/JKG
도덕적	도덕/NNG+적/XSN
흠결이	흠결/NNG+이/JKS
계속	계속/MAG
나오고	나오/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.408.7.1
하지만 일부에선 안 후보를 지나치게 공격하면 역풍이 불 수 있다는 의견도 있다.

하지만	하지만/MAJ
일부에선	일부/NNG+에서/JKB+ㄴ/JX
안	안/NNP
후보를	후보/NNG+를/JKO
지나치게	지나치/VA+게/EC
공격하면	공격/NNG+하/XSV+면/EC
역풍이	역풍/NNG+이/JKS
불	불/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
의견도	의견/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.408.7.2
한 당직자는 “새누리당도 과거 장차관 청문회 등에서 다운계약서 작성을 관행이라고 감싼 적이 있다”며 “본인이 사과를 했는데 계속 비판하면 자칫 그쪽을 도와주는 결과를 초래할 수 있다”고 말했다.

한	한/MMN
당직자는	당직자/NNG+는/JX
“새누리당도	“/SS+새누리당/NNP+도/JX
과거	과거/NNG
장차관	장차관/NNG
청문회	청문회/NNG
등에서	등/NNB+에서/JKB
다운계약서	다운/NNG+계약서/NNG
작성을	작성/NNG+을/JKO
관행이라고	관행/NNG+이/VCP+라고/EC
감싼	감싸/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“본인이	“/SS+본인/NNG+이/JKS
사과를	사과/NNG+를/JKO
했는데	하/VV+았/EP+는데/EC
계속	계속/MAG
비판하면	비판/NNG+하/XSV+면/EC
자칫	자칫/MAG
그쪽을	그쪽/NP+을/JKO
도와주는	도와주/VV+는/ETM
결과를	결과/NNG+를/JKO
초래할	초래/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.408.7.3
박근혜 새누리당 대선 후보가 임명한 이상일, 조윤선 대변인이 공식 논평을 내지 않은 것도 이런 점을 고려한 것으로 보인다.

박근혜	박근혜/NNP
새누리당	새누리당/NNP
대선	대선/NNG
후보가	후보/NNG+가/JKS
임명한	임명/NNG+하/XSV+ㄴ/ETM
이상일,	이상일/NNP+,/SP
조윤선	조윤선/NNP
대변인이	대변인/NNG+이/JKS
공식	공식/NNG
논평을	논평/NNG+을/JKO
내지	내/VV+지/EC
않은	않/VX+은/ETM
것도	것/NNB+도/JX
이런	이런/MMD
점을	점/NNG+을/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


