# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.398
metadata : {}


# id : NWRW1800000024.398.1.1
미국인이 뽑은 역대 최고스타 마이클 조든

미국인이	미국인/NNG+이/JKS
타이거	타이거/NNP
우즈(34·미국)와	우즈/NNP+(/SS+34/SN+·/SP+미국/NNP+)/SS+와/JC
메이저리그	메이저리그/NNG
‘전설의	‘/SS+전설/NNG+의/JKG
홈런왕’	홈런왕/NNG+’/SS
베이브	베이브/NNP
루스(사망·미국)가	루스/NNP+(/SS+사망/NNG+·/SP+미국/NNP+)/SS+가/JKS
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.398.4.2
권투의 무하마드 알리(67)와 미식축구 쿼터백인 브렛 파브(40·은퇴·이상 미국)가 4·5위.

권투의	권투/NNG+의/JKG
무하마드	무하마드/NNP
알리(67)와	알리/NNP+(/SS+67/SN+)/SS+와/JC
미식축구	미식축구/NNG
쿼터백인	쿼터백/NNG+이/VCP+ㄴ/ETM
브렛	브렛/NNP
파브(40·은퇴·이상	파브/NNP+(/SS+40/SN+·/SP+은퇴/NNG+·/SP+이상/NNG
미국)가	미국/NNP+)/SS+가/JKS
4·5위.	4/SN+·/SP+5/SN+위/NNB+./SF


# id : NWRW1800000024.398.4.3
북미아이스하키(NHL) 전설적 스타인 웨인 그레츠키(48·은퇴·캐나다)가 7위에 올랐다.

북미아이스하키(NHL)	북미/NNP+아이스하키/NNG+(/SS+NHL/SL+)/SS
전설적	전설/NNG+적/XSN
스타인	스타/NNG+이/VCP+ㄴ/ETM
웨인	웨인/NNP
그레츠키(48·은퇴·캐나다)가	그레츠키/NNP+(/SS+48/SN+·/SP+은퇴/NNG+·/SP+캐나다/NNP+)/SS+가/JKS
7위에	7/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.398.4.4
미식축구(NFL)의 페이턴 매닝(33·인디애나폴리스 콜츠)과 테드 윌리엄스(사망)가 공동 8위, 통산 755개의 홈런을 쳐낸 행크 에런(75)과 미국 프로농구(NBA) 지난 시즌 최우수선수 르브론 제임스(25·클리블랜드 캐벌리어스·이상 미국)가 나란히 공동 10위에 자리했다.

미식축구(NFL)의	미식축구/NNG+(/SS+NFL/SL+)/SS+의/JKG
페이턴	페이턴/NNP
매닝(33·인디애나폴리스	매닝/NNP+(/SS+33/SN+·/SP+인디애나폴리스/NNP
콜츠)과	콜츠/NNP+)/SS+과/JC
테드	테드/NNP
윌리엄스(사망)가	윌리엄스/NNP+(/SS+사망/NNG+)/SS+가/JKS
공동	공동/NNG
8위,	8/SN+위/NNB+,/SP
통산	통산/NNG
755개의	755/SN+개/NNB+의/JKG
홈런을	홈런/NNG+을/JKO
쳐낸	치/VV+어/EC+내/VX+ㄴ/ETM
행크	행크/NNP
에런(75)과	에런/NNP+(/SS+75/SN+)/SS+과/JC
미국	미국/NNP
프로농구(NBA)	프로/NNG+농구/NNG+(/SS+NBA/SL+)/SS
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
최우수선수	최/XPN+우수/NNG+선수/NNG
르브론	르브론/NNP
제임스(25·클리블랜드	제임스/NNP+(/SS+25/SN+·/SP+클리블랜드/NNP
캐벌리어스·이상	캐벌리어스/NNP+·/SP+이상/NNG
미국)가	미국/NNP+)/SS+가/JKS
나란히	나란히/MAG
10위에	10/SN+위/NNB+에/JKB
자리했다.	자리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.398.5.1
종목별 조사에서는 야구의 경우 베이브 루스, 행크 에런, 윌리 메이스(78), 테드 윌리엄스, 루 게릭(사망·이상 미국) 등 전설의 강타자들이 지지를 받았다.

종목별	종목/NNG+별/XSN
조사에서는	조사/NNG+에서/JKB+는/JX
야구의	야구/NNG+의/JKG
경우	경우/NNG
베이브	베이브/NNP
루스,	루스/NNP+,/SP
행크	행크/NNP
에런,	에런/NNP+,/SP
윌리	윌리/NNP
메이스(78),	메이스/NNP+(/SS+78/SN+)/SS+,/SP
테드	테드/NNP
윌리엄스,	윌리엄스/NNP+,/SP
루	루/NNP
게릭(사망·이상	게릭/NNP+(/SS+사망/NNG+·/SP+이상/NNG
미국)	미국/NNP+)/SS
등	등/NNB
전설의	전설/NNG+의/JKG
강타자들이	강타자/NNG+들/XSN+이/JKS
지지를	지지/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.398.5.2
골프는 타이거 우즈의 뒤를 이어 잭 니클라우스(69)와 아널드 파머(80), 필 미켈슨(39), 마스터스 대회의 창시자 보비 존스(사망·이상 미국)가 차례로 꼽혔다.

골프는	골프/NNG+는/JX
타이거	타이거/NNP
우즈의	우즈/NNP+의/JKG
뒤를	뒤/NNG+를/JKO
이어	잇/VV+어/EC
잭	잭/NNP
니클라우스(69)와	니클라우스/NNP+(/SS+69/SN+)/SS+와/JC
아널드	아널드/NNP
파머(80),	파머/NNP+(/SS+80/SN+)/SS+,/SP
필	필/NNP
미켈슨(39),	미켈슨/NNP+(/SS+39/SN+)/SS+,/SP
마스터스	마스터스/NNG
대회의	대회/NNG+의/JKG
창시자	창시자/NNG
보비	보비/NNP
존스(사망·이상	존스/NNP+(/SS+사망/NNG+·/SP+이상/NNG
미국)가	미국/NNP+)/SS+가/JKS
차례로	차례/NNG+로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.398.5.3
농구는 매직 존슨(50·은퇴), 래리 버드(53·은퇴), 윌트 체임벌린(사망), 빌 러셀(75·은퇴·이상 미국)이 올랐고, 테니스에서는 로저 페더러(28·스위스)가 피트 샘프러스(38·은퇴)를 제쳤다.

농구는	농구/NNG+는/JX
매직	매직/NNP
존슨(50·은퇴),	존슨/NNP+(/SS+50/SN+·/SP+은퇴/NNG+)/SS+,/SP
래리	래리/NNP
버드(53·은퇴),	버드/NNP+(/SS+53/SN+·/SP+은퇴/NNG+)/SS+,/SP
윌트	윌트/NNP
체임벌린(사망),	체임벌린/NNP+(/SS+사망/NNG+)/SS+,/SP
빌	빌/NNP
러셀(75·은퇴·이상	러셀/NNP+(/SS+75/SN+·/SP+은퇴/NNG+·/SP+이상/NNG
미국)이	미국/NNP+)/SS+이/JKS
올랐고,	오르/VV+았/EP+고/EC+,/SP
테니스에서는	테니스/NNG+에서/JKB+는/JX
로저	로저/NNP
페더러(28·스위스)가	페더러/NNP+(/SS+28/SN+·/SP+스위스/NNP+)/SS+가/JKS
피트	피트/NNP
샘프러스(38·은퇴)를	샘프러스/NNP+(/SS+38/SN+·/SP+은퇴/NNG+)/SS+를/JKO
제쳤다.	제치/VV+었/EP+다/EF+./SF


