# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.69
metadata : {}


# id : NWRW1800000029.69.1.1
줄어들던 연체자 다시 늘었다… 경기둔화에 대출 옥죄기 겹쳐 ‘연체대란’ 우려

줄어들던	줄어들/VV+던/ETM
최고조에	최/XPN+고조/NNG+에/JKB
달했다가	달하/VV+았/EP+다가/EC
지난해	지난해/NNG
0.47%까지	0/SN+./SP+47/SN+%/SW+까지/JX
낮아졌다.	낮/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.69.3.6
하지만 올 들어 급격하게 높아져 7월 말 연체율이 0.77%에 이르렀다.

하지만	하지만/MAJ
올	올/NNG
들어	들/VV+어/EC
급격하게	급격하/VA+게/EC
높아져	높아지/VV+어/EC
7월	7/SN+월/NNB
말	말/NNB
연체율이	연체/NNG+율/XSN+이/JKS
0.77%에	0/SN+./SP+77/SN+%/SW+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.69.3.7
하나은행도 신용대출 연체율이 금융위기 수준으로 높아졌다.

하나은행도	하나은행/NNP+도/JX
신용대출	신용/NNG+대출/NNG
연체율이	연체/NNG+율/XSN+이/JKS
금융위기	금융/NNG+위기/NNG
수준으로	수준/NNG+으로/JKB
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.69.3.8
올해 7월 말 신용대출 연체율이 0.88%로, 금융위기 후 최고치였던 2009년 6월 말(0.97%) 수준에 육박하고 있다.

올해	올해/NNG
7월	7/SN+월/NNB
말	말/NNB
신용대출	신용/NNG+대출/NNG
연체율이	연체/NNG+율/XSN+이/JKS
0.88%로,	0/SN+./SP+88/SN+%/SW+로/JKB+,/SP
금융위기	금융/NNG+위기/NNG
후	후/NNG
최고치였던	최고/NNG+치/XSN+이/VCP+었/EP+던/ETM
2009년	2009/SN+년/NNB
6월	6/SN+월/NNB
말(0.97%)	말/NNB+(/SS+0/SN+./SP+97/SN+%/SW+)/SS
수준에	수준/NNG+에/JKB
육박하고	육박/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.69.3.9
국민은행은 지난해 하반기부터 연체율이 본격적으로 높아졌다.

국민은행은	국민은행/NNP+은/JX
지난해	지난해/NNG
하반기부터	하반기/NNG+부터/JX
연체율이	연체/NNG+율/XSN+이/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.69.3.10
가계대출 연체율이 금융위기 이후 1%를 넘은 적이 없었으나 올해 6월 말 0.96%로 턱밑에 이르렀다.

가계대출	가계/NNG+대출/NNG
연체율이	연체/NNG+율/XSN+이/JKS
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
1%를	1/SN+%/SW+를/JKO
넘은	넘/VV+은/ETM
적이	적/NNB+이/JKS
없었으나	없/VA+었/EP+으나/EC
올해	올해/NNG
6월	6/SN+월/NNB
말	말/NNB
0.96%로	0/SN+./SP+96/SN+%/SW+로/JKB
턱밑에	턱밑/NNG+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


