# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.308
metadata : {}


# id : NWRW1800000041.308.1.1
무능력 또 드러낸 경제팀

무능력	무/XPN+능력/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
지	지/NNB
일주일	일주일/NNG
만에	만/NNB+에/JKB
보완조치를	보완/NNG+조치/NNG+를/JKO
내놓은	내놓/VV+은/ETM
것은	것/NNB+은/JX
당초	당초/NNG
과세	과세/NNG
기준에	기준/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
설명이	설명/NNG+이/JKS
부족했고	부족/NNG+하/XSA+았/EP+고/EC
‘임대인의	‘/SS+임대인/NNG+의/JKG
세	세/NNG
부담이	부담/NNG+이/JKS
너무	너무/MAG
커지는	커지/VV+는/ETM
것	것/NNB
아니냐’는	아니/VCN+냐/EF+’/SS+는/ETM
불안감이	불안감/NNG+이/JKS
커졌기	커지/VV+었/EP+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.308.5.1
이런 해명은 정책당국이 중요한 세제 개편을 하면서 준비가 부족했을 뿐 아니라 소비자에게 미치는 파장을 정밀하게 예측하지 못했음을 스스로 인정한 것이라는 분석이다.

이런	이런/MMD
해명은	해명/NNG+은/JX
정책당국이	정책/NNG+당국/NNG+이/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
세제	세제/NNG
개편을	개편/NNG+을/JKO
하면서	하/VV+면서/EC
준비가	준비/NNG+가/JKS
부족했을	부족/NNG+하/XSA+았/EP+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
소비자에게	소비자/NNG+에게/JKB
미치는	미치/VV+는/ETM
파장을	파장/NNG+을/JKO
정밀하게	정밀/NNG+하/XSA+게/EC
예측하지	예측/NNG+하/XSV+지/EC
못했음을	못하/VX+았/EP+음/ETN+을/JKO
스스로	스스로/MAG
인정한	인정/NNG+하/XSV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.308.5.2
일례로 기재부는 5일 2주택 보유자 가운데 연간 임대소득이 2000만 원 이하이면서 다른 소득이 없는 사람에게 400만 원의 임대소득공제를 준다는 내용을 발표하면서 다른 소득이 있는지의 기준을 가구주로만 할지, 부부 합산으로 할지도 정하지 않았다.

일례로	일례/NNG+로/JKB
기재부는	기재부/NNG+는/JX
5일	5/SN+일/NNB
2주택	2/SN+주택/NNG
보유자	보유자/NNG
가운데	가운데/NNG
연간	연간/NNG
임대소득이	임대/NNG+소득/NNG+이/JKS
2000만	2000/SN+만/NR
원	원/NNB
이하이면서	이하/NNG+이/VCP+면서/EC
다른	다른/MMD
소득이	소득/NNG+이/JKS
없는	없/VA+는/ETM
사람에게	사람/NNG+에게/JKB
400만	400/SN+만/NR
원의	원/NNB+의/JKG
임대소득공제를	임대/NNG+소득/NNG+공제/NNG+를/JKO
준다는	주/VV+ㄴ다는/ETM
내용을	내용/NNG+을/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
있는지의	있/VA+는지/EF+의/JKG
기준을	기준/NNG+을/JKO
가구주로만	가구주/NNG+로/JKB+만/JX
할지,	하/VV+ㄹ지/EF+,/SP
부부	부부/NNG
합산으로	합산/NNG+으로/JKB
할지도	하/VV+ㄹ지/EF+도/JX
정하지	정하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.308.6.1
박근혜 정부 들어 세금 정책이 갈지자(之) 행보를 한 것은 지난해 8월 세법 개정안 파동부터였다.

박근혜	박근혜/NNP
정부	정부/NNG
들어	들/VV+어/EC
세금	세금/NNG
정책이	정책/NNG+이/JKS
갈지자(之)	갈지자/NNG+(/SS+之/SH+)/SS
행보를	행보/NNG+를/JKO
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난해	지난해/NNG
8월	8/SN+월/NNB
세법	세법/NNG
개정안	개정안/NNG
파동부터였다.	파동/NNG+부터/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.308.6.2
연간 소득 3450만 원 이상인 근로자부터 증세를 하려다가 박 대통령이 원점에서 재검토하라고 지시한 지 하루 만에 증세 기준점을 5500만 원으로 높여 ‘고무줄 정책’이라는 지적을 받았다.

연간	연간/NNG
소득	소득/NNG
3450만	3450/SN+만/NR
원	원/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
근로자부터	근로자/NNG+부터/JX
증세를	증세/NNG+를/JKO
하려다가	하/VV+려다가/EC
박	박/NNP
대통령이	대통령/NNG+이/JKS
원점에서	원점/NNG+에서/JKB
재검토하라고	재/XPN+검토/NNG+하/XSV+라고/EC
지시한	지시/NNG+하/XSV+ㄴ/ETM
지	지/NNB
하루	하루/NNG
만에	만/NNB+에/JKB
증세	증세/NNG
기준점을	기준점/NNG+을/JKO
5500만	5500/SN+만/NR
원으로	원/NNB+으로/JKB
높여	높이/VV+어/EC
‘고무줄	‘/SS+고무줄/NNG
정책’이라는	정책/NNG+’/SS+이/VCP+라는/ETM
지적을	지적/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.308.6.3
이후 취득세 영구 인하, 신용카드 소득공제율 조정, 종교인 과세 등 적용 대상이 많아 민감한 세금 이슈에 대해 설익은 개편안을 내놓았다가 여론의 역풍을 맞는 일이 잇따랐다.

이후	이후/NNG
취득세	취득세/NNG
영구	영구/NNG
인하,	인하/NNG+,/SP
신용카드	신용/NNG+카드/NNG
소득공제율	소득/NNG+공제/NNG+율/XSN
조정,	조정/NNG+,/SP
종교인	종교인/NNG
과세	과세/NNG
등	등/NNB
적용	적용/NNG
대상이	대상/NNG+이/JKS
많아	많/VA+아/EC
민감한	민감/NNG+하/XSA+ㄴ/ETM
세금	세금/NNG
이슈에	이슈/NNG+에/JKB
대해	대하/VV+아/EC
설익은	설익/VV+은/ETM
개편안을	개편안/NNG+을/JKO
내놓았다가	내놓/VV+았/EP+다가/EC
여론의	여론/NNG+의/JKG
역풍을	역풍/NNG+을/JKO
맞는	맞/VV+는/ETM
일이	일/NNG+이/JKS
잇따랐다.	잇따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.308.7.1
특히 취득세 영구 인하 방침과 관련해 정부는 지난해 7월 말 발표 당시 “소급 적용이 어렵다”고 해놓고 11월 초에 가서야 소급 적용을 허용함에 따라 3개월 이상 주택 거래가 뜸한 ‘거래 절벽’을 자초하기도 했다.

특히	특히/MAG
취득세	취득세/NNG
영구	영구/NNG
인하	인하/NNG
방침과	방침/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
정부는	정부/NNG+는/JX
지난해	지난해/NNG
7월	7/SN+월/NNB
말	말/NNB
발표	발표/NNG
당시	당시/NNG
“소급	“/SS+소급/NNG
적용이	적용/NNG+이/JKS
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
해놓고	하/VV+아/EC+놓/VX+고/EC
11월	11/SN+월/NNB
초에	초/NNB+에/JKB
가서야	가/VV+아서/EC+야/JX
소급	소급/NNG
적용을	적용/NNG+을/JKO
허용함에	허용/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
3개월	3/SN+개월/NNB
이상	이상/NNG
주택	주택/NNG
거래가	거래/NNG+가/JKS
뜸한	뜸하/VA+ㄴ/ETM
‘거래	‘/SS+거래/NNG
절벽’을	절벽/NNG+’/SS+을/JKO
자초하기도	자초/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.308.8.1
세금 정책이 번번이 여론의 역풍을 맞는 것은 재정 확충이라는 목표에 집착해 제도를 너무 쉽게 뜯어고치기 때문이라는 지적이 나온다.

세금	세금/NNG
정책이	정책/NNG+이/JKS
번번이	번번이/MAG
여론의	여론/NNG+의/JKG
역풍을	역풍/NNG+을/JKO
맞는	맞/VV+는/ETM
것은	것/NNB+은/JX
재정	재정/NNG
확충이라는	확충/NNG+이/VCP+라는/ETM
목표에	목표/NNG+에/JKB
집착해	집착/NNG+하/XSV+아/EC
제도를	제도/NNG+를/JKO
너무	너무/MAG
쉽게	쉽/VA+게/EC
뜯어고치기	뜯어고치/VV+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


