# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.108
metadata : {}


# id : NWRW1800000038.108.1.1
"대화 매개체 와인문화, 한국에 소개하고 싶어"

"대화	"/SS+대화/NNG
보르도에서	보르도/NNP+에서/JKB
20일까지(현지	20/SN+일/NNB+까지/JX+(/SS+현지/NNG
시각)	시각/NNG+)/SS
닷새간	닷새/NNG+간/XSN
열린	열리/VV+ㄴ/ETM
빈엑스포에는	빈엑스포/NNP+에/JKB+는/JX
44개국	44/SN+개국/NNB
2400여개	2400/SN+여/XSN+개/NNB
와인	와인/NNG
생산업체가	생산업체/NNG+가/JKS
참여했는데,	참여/NNG+하/XSV+았/EP+는데/EC+,/SP
그중	그중/NNG
절반이	절반/NNG+이/JKS
비(非)프랑스	비/XPN+(/SS+非/SH+)/SS+프랑스/NNP
와인업체였다.	와인/NNG+업체/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.108.5.2
'바롱 필리프 드 로실드'는 세계 최대 와인 산지 프랑스 보르도를 대표하는 '5대 샤토' 중 '샤토 무통 로실드'를 만들고 있다.

'바롱	'/SS+바롱/NNP
필리프	필리프/NNP
드	드/NNP
로실드'는	로실드/NNP+'/SS+는/JX
세계	세계/NNG
최대	최대/NNG
와인	와인/NNG
산지	산지/NNG
프랑스	프랑스/NNP
보르도를	보르도/NNP+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
'5대	'/SS+5/SN+대/NNG
샤토'	샤토/NNG+'/SS
중	중/NNB
'샤토	'/SS+샤토/NNG
무통	무통/NNP
로실드'를	로실드/NNP+'/SS+를/JKO
만들고	만들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.108.6.1
르샤누안느 사장은 마케팅·해외판매 담당 임원을 거친 이력답게 '판촉'에 대한 고심을 숨기지 않았다.

르샤누안느	르샤누안느/NNP
사장은	사장/NNG+은/JX
마케팅·해외판매	마케팅/NNG+·/SP+해외/NNG+판매/NNG
담당	담당/NNG
임원을	임원/NNG+을/JKO
거친	거치/VV+ㄴ/ETM
이력답게	이력/NNG+답/XSA+게/EC
'판촉'에	'/SS+판촉/NNG+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
고심을	고심/NNG+을/JKO
숨기지	숨기/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.108.6.2
"프랑스 와인의 전통을 지키면서도 소비자들이 좀 더 쉽게 선택할 수 있는 방법을 모색 중입니다.

"프랑스	"/SS+프랑스/NNP
와인의	와인/NNG+의/JKG
전통을	전통/NNG+을/JKO
지키면서도	지키/VV+면서/EC+도/JX
소비자들이	소비자/NNG+들/XSN+이/JKS
좀	좀/MAG
더	더/MAG
쉽게	쉽/VA+게/EC
선택할	선택/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방법을	방법/NNG+을/JKO
모색	모색/NNG
중입니다.	중/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000038.108.6.3
'프랑스 와인은 어렵다'는 선입견을 깨는 게 프랑스 와인의 최대 과제입니다."

'프랑스	'/SS+프랑스/NNP
와인은	와인/NNG+은/JX
어렵다'는	어렵/VA+다/EF+'/SS+는/ETM
선입견을	선입견/NNG+을/JKO
깨는	깨/VV+는/ETM
게	거/NNB+이/JKS
프랑스	프랑스/NNP
와인의	와인/NNG+의/JKG
최대	최대/NNG
과제입니다."	과제/NNG+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000038.108.7.1
그는 "와인병에 붙은 라벨만으로도 와인에 대한 정보를 좀 더 쉽게 알 수 있도록 하는 작업을 진행 중"이라고 말했다.

그는	그/NP+는/JX
"와인병에	"/SS+와인병/NNG+에/JKB
붙은	붙/VV+은/ETM
라벨만으로도	라벨/NNG+만/JX+으로/JKB+도/JX
와인에	와인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
좀	좀/MAG
더	더/MAG
쉽게	쉽/VA+게/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
작업을	작업/NNG+을/JKO
진행	진행/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.108.7.2
"예를 들어 대중적 와인으로 만든 화이트 와인 라벨에 포도 품종인 '소비뇽 블랑' 이름을 크게 써 넣었어요.

"예를	"/SS+예/NNG+를/JKO
들어	들/VV+어/EC
대중적	대중/NNG+적/XSN
와인으로	와인/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
화이트	화이트/NNG
와인	와인/NNG
라벨에	라벨/NNG+에/JKB
포도	포도/NNG
품종인	품종/NNG+이/VCP+ㄴ/ETM
'소비뇽	'/SS+소비뇽/NNP
블랑'	블랑/NNP+'/SS
이름을	이름/NNG+을/JKO
크게	크/VA+게/EC
써	쓰/VV+어/EC
넣었어요.	넣/VV+었/EP+어요/EF+./SF


# id : NWRW1800000038.108.7.3
라벨 표기에도 나름의 규칙을 지켜온 프랑스 와인 업계로선 파격입니다."

라벨	라벨/NNG
표기에도	표기/NNG+에/JKB+도/JX
나름의	나름/NNB+의/JKG
규칙을	규칙/NNG+을/JKO
지켜온	지키/VV+어/EC+오/VX+ㄴ/ETM
프랑스	프랑스/NNP
와인	와인/NNG
업계로선	업계/NNG+로서/JKB+ㄴ/JX
파격입니다."	파격/NNG+이/VCP+ㅂ니다/EF+./SF+"/SS


