# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.351
metadata : {}


# id : NWRW1800000025.351.1.1
[오르락 내리락]3세 경영 기대감 반영… 삼성 관련주 동반 강세

[오르락	[/SS+오르/VV+락/EC
확대되고	확대/NNG+되/XSV+고/EC
변화의	변화/NNG+의/JKG
윤곽이	윤곽/NNG+이/JKS
가시화할	가시/NNG+화/XSN+하/XSV+ㄹ/ETM
것인	것/NNB+이/VCP+ㄴ/ETM
만큼	만큼/NNB
관련주에	관련주/NNG+에/JKB
관심을	관심/NNG+을/JKO
둘	두/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


