# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.28
metadata : {}


# id : NWRW1800000045.28.1.1
현대모비스, 글로벌 車부품업체 4위 올라

현대모비스,	현대모비스/NNP+,/SP
30일 일본 자동차 연구기관 포인의 조사에 따르면 현대모비스는 ‘2014년 글로벌 자동차부품 업체 톱100’에서 매출 333억5900만 달러(약 39조5000억 원)로 독일 보쉬(442억 달러) 일본 덴소(385억 달러) 캐나다 마그나(335억 달러)에 이어 4위에 올랐다.

30일	30/SN+일/NNB
일본	일본/NNP
자동차	자동차/NNG
연구기관	연구/NNG+기관/NNG
포인의	포인/NNP+의/JKG
조사에	조사/NNG+에/JKB
따르면	따르/VV+면/EC
현대모비스는	현대모비스/NNP+는/JX
‘2014년	‘/SS+2014/SN+년/NNB
글로벌	글로벌/NNG
자동차부품	자동차/NNG+부품/NNG
업체	업체/NNG
톱100’에서	톱/NNG+100/SN+’/SS+에서/JKB
매출	매출/NNG
333억5900만	333/SN+억/NR+5900/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
39조5000억	39/SN+조/NR+5000/SN+억/NR
원)로	원/NNB+)/SS+로/JKB
독일	독일/NNP
보쉬(442억	보쉬/NNP+(/SS+442/SN+억/NR
달러)	달러/NNB+)/SS
덴소(385억	덴소/NNP+(/SS+385/SN+억/NR
캐나다	캐나다/NNP
마그나(335억	마그나/NNP+(/SS+335/SN+억/NR
달러)에	달러/NNB+)/SS+에/JKB
이어	잇/VV+어/EC
4위에	4/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.28.4.2
2013년 5위에서 한 단계 올라섰다.

2013년	2013/SN+년/NNB
5위에서	5/SN+위/NNB+에서/JKB
한	한/MMN
단계	단계/NNG
올라섰다.	올라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.28.4.3
이전 4위던 독일의 콘티넨탈(329억 달러)은 5위로 밀렸다.

이전	이전/NNG
4위던	4/SN+위/NNB+이/VCP+던/ETM
독일의	독일/NNP+의/JKG
콘티넨탈(329억	콘티넨탈/NNP+(/SS+329/SN+억/NR
달러)은	달러/NNB+)/SS+은/JX
5위로	5/SN+위/NNB+로/JKB
밀렸다.	밀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.28.5.1
앞서 현대모비스는 6월 미국 자동차 전문 매체인 오토모티브뉴스가 선정하는 ‘글로벌 자동차 부품 업체 톱100’에서는 6위를 차지했다.

앞서	앞서/MAG
현대모비스는	현대모비스/NNP+는/JX
6월	6/SN+월/NNB
미국	미국/NNP
자동차	자동차/NNG
전문	전문/NNG
매체인	매체/NNG+이/VCP+ㄴ/ETM
오토모티브뉴스가	오토모티브/NNP+뉴스/NNG+가/JKS
선정하는	선정/NNG+하/XSV+는/ETM
‘글로벌	‘/SS+글로벌/NNG
부품	부품/NNG
업체	업체/NNG
톱100’에서는	톱/NNG+100/SN+’/SS+에서/JKB+는/JX
6위를	6/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.28.5.2
오토모티브뉴스는 2014년도 기준 완성차 업체 대상 매출(OEM 매출)만을 기준으로 집계한다.

오토모티브뉴스는	오토모티브/NNP+뉴스/NNG+는/JX
2014년도	2014/SN+년도/NNB
기준	기준/NNG
완성차	완성차/NNG
업체	업체/NNG
대상	대상/NNG
매출(OEM	매출/NNG+(/SS+OEM/SL
매출)만을	매출/NNG+)/SS+만/JX+을/JKO
기준으로	기준/NNG+으로/JKB
집계한다.	집계/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.28.5.3
반면 포인은 애프터서비스(AS) 부품 매출까지 집계해 AS 비중이 높은 현대모비스의 전체 순위가 올라갔다.

반면	반면/NNG
포인은	포인/NNP+은/JX
애프터서비스(AS)	애프터서비스/NNG+(/SS+AS/SL+)/SS
부품	부품/NNG
매출까지	매출/NNG+까지/JX
집계해	집계/NNG+하/XSV+아/EC
AS	AS/SL
비중이	비중/NNG+이/JKS
높은	높/VA+은/ETM
현대모비스의	현대모비스/NNP+의/JKG
전체	전체/NNG
순위가	순위/NNG+가/JKS
올라갔다.	올라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.28.6.1
포인 조사에서 현대모비스는 지난해 매출이 전년(303억 달러) 대비 9.9% 늘었다.

포인	포인/NNP
조사에서	조사/NNG+에서/JKB
현대모비스는	현대모비스/NNP+는/JX
지난해	지난해/NNG
매출이	매출/NNG+이/JKS
전년(303억	전년/NNG+(/SS+303/SN+억/NR
달러)	달러/NNB+)/SS
대비	대비/NNG
9.9%	9/SN+./SF+9/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.28.6.2
글로벌 빅5 부품 업체 가운데 성장 속도가 가장 빠르다.

글로벌	글로벌/NNG
빅5	빅/NNG+5/SN
부품	부품/NNG
업체	업체/NNG
가운데	가운데/NNG
성장	성장/NNG
속도가	속도/NNG+가/JKS
가장	가장/MAG
빠르다.	빠르/VA+다/EF+./SF


# id : NWRW1800000045.28.6.3
현대·기아차의 지난해 전 세계 판매량이 800만 대를 넘어서면서 현대모비스의 매출도 늘어났다.

현대·기아차의	현대/NNP+·/SP+기아차/NNP+의/JKG
지난해	지난해/NNG
전	전/MMN
세계	세계/NNG
판매량이	판매량/NNG+이/JKS
800만	800/SN+만/NR
대를	대/NNB+를/JKO
넘어서면서	넘어서/VV+면서/EC
현대모비스의	현대모비스/NNP+의/JKG
매출도	매출/NNG+도/JX
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.28.6.4
현대모비스는 최근 프랑스의 PSA(푸조·시트로엥)와 220억 원 규모의 통합형 스위치 모듈(ICS) 공급 계약을 체결하는 등 현대·기아차뿐 아니라 글로벌 완성차 업체에 공급하는 부품 비중도 점차 늘리고 있다.

현대모비스는	현대모비스/NNP+는/JX
최근	최근/NNG
프랑스의	프랑스/NNP+의/JKG
PSA(푸조·시트로엥)와	PSA/SL+(/SS+푸조/NNP+·/SP+시트로엥/NNP+)/SS+와/JKB
220억	220/SN+억/NR
원	원/NNB
규모의	규모/NNG+의/JKG
통합형	통합/NNG+형/XSN
스위치	스위치/NNG
모듈(ICS)	모듈/NNG+(/SS+ICS/SL+)/SS
공급	공급/NNG
계약을	계약/NNG+을/JKO
체결하는	체결/NNG+하/XSV+는/ETM
등	등/NNB
현대·기아차뿐	현대/NNP+·/SP+기아차/NNP+뿐/JX
아니라	아니/VCN+라/EC
글로벌	글로벌/NNG
완성차	완성차/NNG
업체에	업체/NNG+에/JKB
공급하는	공급/NNG+하/XSV+는/ETM
부품	부품/NNG
비중도	비중/NNG+도/JX
점차	점차/MAG
늘리고	늘리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.28.6.5
현대모비스 외에 톱 100에 포함된 업체는 현대위아(42위)와 만도(50위) 성우하이텍(75위) 현대파워텍(76위) 현대다이모스(91위)다.

현대모비스	현대모비스/NNP
외에	외/NNB+에/JKB
톱	톱/NNG
100에	100/SN+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
업체는	업체/NNG+는/JX
현대위아(42위)와	현대위아/NNP+(/SS+42/SN+위/NNB+)/SS+와/JC
만도(50위)	만도/NNP+(/SS+50/SN+위/NNB+)/SS
성우하이텍(75위)	성우하이텍/NNP+(/SS+75/SN+위/NNB+)/SS
현대파워텍(76위)	현대파워텍/NNP+(/SS+76/SN+위/NNB+)/SS
현대다이모스(91위)다.	현대다이모스/NNP+(/SS+91/SN+위/NNB+)/SS+이/VCP+다/EF+./SF


