# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.367
metadata : {}


# id : NWRW1800000038.367.1.1
[윤창중 파문] 訪美성과 도루묵 되나

[윤창중	[/SS+윤창중/NNP
잘하고	잘/MAG+하/XSV+고/EC
있다"는	있/VX+다/EF+"/SS+는/ETM
응답은	응답/NNG+은/JX
56%였다.	56/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.367.6.2
이는 5월 첫째 주(50%)와 4월 넷째 주(46%)보다 각각 6%포인트와 10%포인트 오른 것이다.

이는	이/NP+는/JX
5월	5/SN+월/NNB
첫째	첫째/NR
주(50%)와	주/NNG+(/SS+50/SN+%/SW+)/SS+와/JC
4월	4/SN+월/NNB
넷째	넷째/NR
주(46%)보다	주/NNG+(/SS+46/SN+%/SW+)/SS+보다/JKB
각각	각각/MAG
6%포인트와	6/SN+%포인트/NNG+와/JC
10%포인트	10/SN+%포인트/NNG
오른	오르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.367.6.3
"잘못하고 있다"는 응답은 24%(4월 넷째 주)→23%(5월 첫째 주)→17%(5월 둘째 주)로 줄고 있었다.

"잘못하고	"/SS+잘못/MAG+하/XSV+고/EC
있다"는	있/VX+다/EF+"/SS+는/ETM
응답은	응답/NNG+은/JX
24%(4월	24/SN+%/SW+(/SS+4/SN+월/NNB
넷째	넷째/NR
주)→23%(5월	주/NNG+)/SS+→/SW+23/SN+%/SW+(/SS+5/SN+월/NNB
첫째	첫째/NR
주)→17%(5월	주/NNG+)/SS+→/SW+17/SN+%/SW+(/SS+5/SN+월/NNB
둘째	둘째/NR
주)로	주/NNG+)/SS+로/JKB
줄고	줄/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.367.6.4
한국갤럽 측은 "박 대통령의 방미 일정 마지막에 불거진 '윤창중 사건'은 이번 여론조사 결과에 반영되지 않았다"며 "이번 사건이 박 대통령 귀국 후 부정적 영향을 미칠 가능성이 있다"고 했다.

한국갤럽	한국갤럽/NNP
측은	측/NNB+은/JX
"박	"/SS+박/NNP
대통령의	대통령/NNG+의/JKG
방미	방미/NNG
일정	일정/NNG
마지막에	마지막/NNG+에/JKB
불거진	불거지/VV+ㄴ/ETM
'윤창중	'/SS+윤창중/NNP
사건'은	사건/NNG+'/SS+은/JX
이번	이번/NNG
여론조사	여론/NNG+조사/NNG
결과에	결과/NNG+에/JKB
반영되지	반영/NNG+되/XSV+지/EC
않았다"며	않/VX+았/EP+다/EF+"/SS+며/EC
"이번	"/SS+이번/NNG
사건이	사건/NNG+이/JKS
박	박/NNP
대통령	대통령/NNG
귀국	귀국/NNG
후	후/NNG
부정적	부정/NNG+적/XSN
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


