# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.190
metadata : {}


# id : NWRW1800000038.190.1.1
"실종자 얼굴 알아보고, 비명도 감지" 똑똑한 CCTV 내년 상반기 도입키로

"실종자	"/SS+실종자/NNG
출동할	출동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.190.5.1
부산 금정구엔 '실종 사회적 약자 찾기 서비스'가 개발·설치된다.

부산	부산/NNP
금정구엔	금정구/NNP+에/JKB+ㄴ/JX
'실종	'/SS+실종/NNG
사회적	사회/NNG+적/XSN
약자	약자/NNG
찾기	찾/VV+기/ETN
서비스'가	서비스/NNG+'/SS+가/JKS
개발·설치된다.	개발/NNG+·/SP+설치/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.190.5.2
실종 사회적 약자 찾기 서비스는 CCTV에 비친 얼굴과 실종자 DB의 사진을 비교·분석해 일치할 경우 바로 경찰이 출동해 실종자를 찾는 방식이다.

실종	실종/NNG
사회적	사회/NNG+적/XSN
약자	약자/NNG
찾기	찾/VV+기/ETN
서비스는	서비스/NNG+는/JX
CCTV에	CCTV/SL+에/JKB
비친	비치/VV+ㄴ/ETM
얼굴과	얼굴/NNG+과/JC
실종자	실종자/NNG
DB의	DB/SL+의/JKG
사진을	사진/NNG+을/JKO
비교·분석해	비교/NNG+·/SP+분석/NNG+하/XSV+아/EC
일치할	일치/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
바로	바로/MAG
경찰이	경찰/NNG+이/JKS
출동해	출동/NNG+하/XSV+아/EC
실종자를	실종자/NNG+를/JKO
찾는	찾/VV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.190.5.3
먼저 통합관제센터에 지역 실종자 사진과 신체 특징 DB를 설치하면 통합관제센터의 컴퓨터 프로그램이 자동으로 CCTV 화면에 잡힌 얼굴과 실종자 DB의 얼굴을 실시간 비교한다.

먼저	먼저/MAG
통합관제센터에	통합/NNG+관제/NNG+센터/NNG+에/JKB
지역	지역/NNG
실종자	실종자/NNG
사진과	사진/NNG+과/JC
신체	신체/NNG
특징	특징/NNG
DB를	DB/SL+를/JKO
설치하면	설치/NNG+하/XSV+면/EC
통합관제센터의	통합/NNG+관제/NNG+센터/NNG+의/JKG
컴퓨터	컴퓨터/NNG
프로그램이	프로그램/NNG+이/JKS
자동으로	자동/NNG+으로/JKB
CCTV	CCTV/SL
화면에	화면/NNG+에/JKB
잡힌	잡히/VV+ㄴ/ETM
얼굴과	얼굴/NNG+과/JC
DB의	DB/SL+의/JKG
얼굴을	얼굴/NNG+을/JKO
실시간	실시간/NNG
비교한다.	비교/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.190.5.4
프로그램에서 일치율이 높은 인물이 나오면 곧바로 관제 요원의 모니터에 띄운다.

프로그램에서	프로그램/NNG+에서/JKB
일치율이	일치/NNG+율/XSN+이/JKS
높은	높/VA+은/ETM
인물이	인물/NNG+이/JKS
나오면	나오/VV+면/EC
곧바로	곧바로/MAG
관제	관제/NNG
요원의	요원/NNG+의/JKG
모니터에	모니터/NNG+에/JKB
띄운다.	띄우/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.190.5.5
해당 프로그램은 안전행정부와 해당 지방자치단체가 개발할 계획이다.

해당	해당/NNG
프로그램은	프로그램/NNG+은/JX
안전행정부와	안전/NNG+행정부/NNG+와/JC
지방자치단체가	지방/NNG+자치/NNG+단체/NNG+가/JKS
개발할	개발/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.190.5.6
안행부는 "기술적 문제가 대부분 해결됐기 때문에 개발·설치에 어려움은 없다"고 밝혔다.

안행부는	안행부/NNG+는/JX
"기술적	"/SS+기술/NNG+적/XSN
문제가	문제/NNG+가/JKS
대부분	대/XPN+부분/NNG
해결됐기	해결/NNG+되/XSV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
개발·설치에	개발/NNG+·/SP+설치/NNG+에/JKB
어려움은	어려움/NNG+은/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.190.6.1
안전행정부는 충북 진천군과 부산 금정구에 2억원씩을 지원해 연말까지 테스트를 마친 뒤 내년 상반기에는 해당 지자체에 시범 서비스를 시작할 계획이다.

안전행정부는	안전/NNG+행정부/NNG+는/JX
충북	충북/NNP
진천군과	진천군/NNP+과/JC
부산	부산/NNP
금정구에	금정구/NNP+에/JKB
2억원씩을	2/SN+억/NR+원/NNB+씩/XSN+을/JKO
지원해	지원/NNG+하/XSV+아/EC
연말까지	연말/NNG+까지/JX
테스트를	테스트/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
내년	내년/NNG
상반기에는	상반기/NNG+에/JKB+는/JX
해당	해당/NNG
지자체에	지자체/NNG+에/JKB
시범	시범/NNG
서비스를	서비스/NNG+를/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.190.6.2
또한 시범 서비스 실시 후 희망하는 지자체에 대해 지능형 관제 서비스 도입을 권장할 방침이다.

또한	또한/MAG
시범	시범/NNG
서비스	서비스/NNG
실시	실시/NNG
후	후/NNG
희망하는	희망/NNG+하/XSV+는/ETM
지자체에	지자체/NNG+에/JKB
대해	대하/VV+아/EC
지능형	지능/NNG+형/XSN
관제	관제/NNG
도입을	도입/NNG+을/JKO
권장할	권장/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.190.6.3
안전행정부 관계자는 "국민의 안전한 생활에 CCTV의 역할이 점점 커지고 있다"며 "지능형 관제 서비스를 통해 언제, 어디서나 안심하고 생활할 수 있는 환경을 만들 것"이라고 말했다.

안전행정부	안전/NNG+행정부/NNG
관계자는	관계자/NNG+는/JX
"국민의	"/SS+국민/NNG+의/JKG
안전한	안전/NNG+하/XSA+ㄴ/ETM
생활에	생활/NNG+에/JKB
CCTV의	CCTV/SL+의/JKG
역할이	역할/NNG+이/JKS
점점	점점/MAG
커지고	커지/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"지능형	"/SS+지능/NNG+형/XSN
관제	관제/NNG
서비스를	서비스/NNG+를/JKO
통해	통하/VV+아/EC
언제,	언제/MAG+,/SP
어디서나	어디/NP+서/JKB+나/JX
안심하고	안심/NNG+하/XSV+고/EC
생활할	생활/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
환경을	환경/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


