# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.354
metadata : {}


# id : NWRW1800000033.354.1.1
시중銀 서울지점 10곳 중 3곳 강남3구 몰려

시중銀	시중/NNG+銀/SH
강남·서초·송파구에	강남/NNP+·/SP+서초/NNP+·/SP+송파구/NNP+에/JKB
속해	속하/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.354.4.1
은행별로는 하나은행의 강남 쏠림 현상이 가장 심했다.

은행별로는	은행/NNG+별/XSN+로/JKB+는/JX
하나은행의	하나은행/NNP+의/JKG
강남	강남/NNP
쏠림	쏠림/NNG
현상이	현상/NNG+이/JKS
가장	가장/MAG
심했다.	심하/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.354.4.2
하나은행의 서울 점포 236곳 중 절반에 가까운 103곳(43.6%)이 강남 3구에 있었다.

하나은행의	하나은행/NNP+의/JKG
서울	서울/NNP
점포	점포/NNG
236곳	236/SN+곳/NNG
중	중/NNB
절반에	절반/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
103곳(43.6%)이	103/SN+곳/NNG+(/SS+43/SN+./SP+6/SN+%/SW+)/SS+이/JKS
강남	강남/NNP
3구에	3/SN+구/NNG+에/JKB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.354.4.3
이어 외환(36.4%), 신한(32.2%), 국민(27.2%) 우리(25.1%) 순으로 강남 3구 점포 비율이 높았다.

이어	이어/MAG
외환(36.4%),	외환/NNP+(/SS+36/SN+./SP+4/SN+%/SW+)/SS+,/SP
신한(32.2%),	신한/NNP+(/SS+32/SN+./SP+2/SN+%/SW+)/SS+,/SP
국민(27.2%)	국민/NNP+(/SS+27/SN+./SP+2/SN+%/SW+)/SS
우리(25.1%)	우리/NNP+(/SS+25/SN+./SP+1/SN+%/SW+)/SS
순으로	순/NNB+으로/JKB
강남	강남/NNP
3구	3/SN+구/NNG
점포	점포/NNG
비율이	비율/NNG+이/JKS
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.354.4.4
이는 부유층이 많은 강남 3구 주민들을 고객으로 유치하기 위해 은행들이 이 지역에 점포를 집중 개설했기 때문이다.

이는	이/NP+는/JX
부유층이	부유/NNG+층/XSN+이/JKS
많은	많/VA+은/ETM
강남	강남/NNP
3구	3/SN+구/NNG
주민들을	주민/NNG+들/XSN+을/JKO
고객으로	고객/NNG+으로/JKB
유치하기	유치/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
은행들이	은행/NNG+들/XSN+이/JKS
이	이/MMD
지역에	지역/NNG+에/JKB
점포를	점포/NNG+를/JKO
집중	집중/NNG
개설했기	개설/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.354.4.5
5대 시중은행의 서울 점포 예금총액 489조8103억 원 중 27.9%인 136조6906억 원이 강남 3구 점포에 예치된 것으로 나타났다.

5대	5/SN+대/NNG
시중은행의	시중/NNG+은행/NNG+의/JKG
서울	서울/NNP
점포	점포/NNG
예금총액	예금/NNG+총액/NNG
489조8103억	489/SN+조/NR+8103/SN+억/NR
원	원/NNB
중	중/NNB
27.9%인	27/SN+./SP+9/SN+%/SW+이/VCP+ㄴ/ETM
136조6906억	136/SN+조/NR+6906/SN+억/NR
원이	원/NNB+이/JKS
강남	강남/NNP
3구	3/SN+구/NNG
점포에	점포/NNG+에/JKB
예치된	예치/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.354.5.1
반면 서울 노원·도봉·강북구 등 ‘강북 3구’의 은행 인프라는 낙후된 것으로 나타났다.

반면	반면/NNG
서울	서울/NNP
노원·도봉·강북구	노원/NNP+·/SP+도봉/NNP+·/SP+강북구/NNP
등	등/NNB
‘강북	‘/SS+강북/NNP
3구’의	3/SN+구/NNG+’/SS+의/JKG
은행	은행/NNG
인프라는	인프라/NNG+는/JX
낙후된	낙후/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.354.5.2
강북 3구의 점포 수는 106곳(5.2%)으로 강남 3구의 5분의 1에도 못 미쳤다.

강북	강북/NNP
3구의	3/SN+구/NNG+의/JKG
점포	점포/NNG
수는	수/NNG+는/JX
106곳(5.2%)으로	106/SN+곳/NNG+(/SS+5/SN+./SP+2/SN+%/SW+)/SS+으로/JKB
강남	강남/NNP
5분의	5/SN+분/XSN+의/JKG
1에도	1/SN+에/JKB+도/JX
못	못/MAG
미쳤다.	미치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.354.5.3
강북 3구의 점포당 예금자는 2만3130∼4만191명으로 강남 3구(1만3938∼1만7047명)보다 훨씬 많았다.

강북	강북/NNP
3구의	3/SN+구/NNG+의/JKG
점포당	점포/NNG+당/XSN
예금자는	예금자/NNG+는/JX
2만3130∼4만191명으로	2/SN+만/NR+3130/SN+∼/SO+4/SN+만/NR+191/SN+명/NNB+으로/JKB
강남	강남/NNP
3구(1만3938∼1만7047명)보다	3/SN+구/NNG+(/SS+1/SN+만/NR+3938/SN+∼/SO+1/SN+만/NR+7047/SN+명/NNB+)/SS+보다/JKB
훨씬	훨씬/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.354.6.1
김 의원은 “같은 은행 업무라도 강남에서 5분이면 될 일이 강북에서는 10분 걸린다는 의미”라며 “예금액이 많으면 조금 기다리고, 예금액이 적으면 오래 기다리게 하는 것은 은행들의 차별적인 행태”라고 말했다.

김	김/NNP
의원은	의원/NNG+은/JX
“같은	“/SS+같/VA+은/ETM
은행	은행/NNG
업무라도	업무/NNG+이/VCP+라도/EC
강남에서	강남/NNP+에서/JKB
5분이면	5/SN+분/NNB+이/VCP+면/EC
될	되/VV+ㄹ/ETM
일이	일/NNG+이/JKS
강북에서는	강북/NNP+에서/JKB+는/JX
10분	10/SN+분/NNB
걸린다는	걸리/VV+ㄴ다는/ETM
의미”라며	의미/NNG+”/SS+이/VCP+라며/EC
“예금액이	“/SS+예금액/NNG+이/JKS
많으면	많/VA+으면/EC
조금	조금/MAG
기다리고,	기다리/VV+고/EC+,/SP
예금액이	예금액/NNG+이/JKS
적으면	적/VA+으면/EC
오래	오래/MAG
기다리게	기다리/VV+게/EC
하는	하/VX+는/ETM
것은	것/NNB+은/JX
은행들의	은행/NNG+들/XSN+의/JKG
차별적인	차별/NNG+적/XSN+이/VCP+ㄴ/ETM
행태”라고	행태/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


