# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.60
metadata : {}


# id : NWRW1800000040.60.1.1
‘다른부처 같은사업’ 세출 구조조정 ‘미흡’

‘다른부처	‘/SS+다른/MMD+부처/NNG
이미 다른 특별회계에 재원이 마련돼 있는 등 재정 지원이 적절치 않음에도 불구하고, 신규 예산이 배정됐다는 이유였다.

이미	이미/MAG
다른	다른/MMD
특별회계에	특별/NNG+회계/NNG+에/JKB
재원이	재원/NNG+이/JKS
마련돼	마련/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
등	등/NNB
재정	재정/NNG
지원이	지원/NNG+이/JKS
적절치	적절하/VA+지/EC
않음에도	않/VX+음/ETN+에/JKB+도/JX
불구하고,	불구하/VV+고/EC+,/SP
신규	신규/NNG
예산이	예산/NNG+이/JKS
배정됐다는	배정/NNG+되/XSV+었/EP+다는/ETM
이유였다.	이유/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.60.8.3
또 국토교통부의 ‘주택바우처 사업’(236억원) 등 5개 사업은 법적 근거가 마련되기도 전에 예산부터 배정된 경우였고, 방위사업청의 ‘패트리어트 성능개량’ 등 6가지 국방 관련 사업은 사업 절차도 제대로 거치지 않았다는 지적을 받았다.

또	또/MAG
국토교통부의	국토/NNG+교통부/NNG+의/JKG
‘주택바우처	‘/SS+주택/NNG+바우처/NNG
사업’(236억원)	사업/NNG+’/SS+(/SS+236/SN+억/NR+원/NNB+)/SS
등	등/NNB
5개	5/SN+개/NNB
사업은	사업/NNG+은/JX
법적	법/NNG+적/XSN
근거가	근거/NNG+가/JKS
마련되기도	마련/NNG+되/XSV+기/ETN+도/JX
전에	전/NNG+에/JKB
예산부터	예산/NNG+부터/JX
배정된	배정/NNG+되/XSV+ㄴ/ETM
경우였고,	경우/NNG+이/VCP+었/EP+고/EC+,/SP
방위사업청의	방위/NNG+사업청/NNG+의/JKG
‘패트리어트	‘/SS+패트리어트/NNG
성능개량’	성능/NNG+개량/NNG+’/SS
6가지	6/SN+가지/NNB
국방	국방/NNG
관련	관련/NNG
사업	사업/NNG
절차도	절차/NNG+도/JX
제대로	제대로/MAG
거치지	거치/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
지적을	지적/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.60.9.1
부처 간 칸막이를 낮추라는 박 대통령의 지시에도 불구하고, 부처 내외 유사·중복 사업에도 예산이 중복 배정되는 경우가 많았다.

부처	부처/NNG
간	간/NNB
칸막이를	칸막이/NNG+를/JKO
낮추라는	낮추/VV+라는/ETM
박	박/NNP
대통령의	대통령/NNG+의/JKG
지시에도	지시/NNG+에/JKB+도/JX
불구하고,	불구하/VV+고/EC+,/SP
내외	내외/NNG
유사·중복	유사/NNG+·/SP+중복/NNG
사업에도	사업/NNG+에/JKB+도/JX
예산이	예산/NNG+이/JKS
중복	중복/NNG
배정되는	배정/NNG+되/XSV+는/ETM
경우가	경우/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000040.60.9.2
예산의 효율적 집행을 위해 유사·중복 사업에 대한 지적은 끊이지 않았지만, 2014년 예산안에도 36건의 유사·중복 사업이 편성돼 있었다.

예산의	예산/NNG+의/JKG
효율적	효율/NNG+적/XSN
집행을	집행/NNG+을/JKO
위해	위하/VV+아/EC
유사·중복	유사/NNG+·/SP+중복/NNG
사업에	사업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지적은	지적/NNG+은/JX
끊이지	끊이/VV+지/EC
않았지만,	않/VX+았/EP+지만/EC+,/SP
2014년	2014/SN+년/NNB
예산안에도	예산안/NNG+에/JKB+도/JX
36건의	36/SN+건/NNB+의/JKG
사업이	사업/NNG+이/JKS
편성돼	편성/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.60.9.3
예산정책처가 추산한 유사·중복 사업은 2010년 12건, 2011년 11건, 2012년 31건, 2013년 38건으로 오히려 증가세를 유지하고 있었다.

예산정책처가	예산/NNG+정책처/NNG+가/JKS
추산한	추산/NNG+하/XSV+ㄴ/ETM
유사·중복	유사/NNG+·/SP+중복/NNG
사업은	사업/NNG+은/JX
2010년	2010/SN+년/NNB
12건,	12/SN+건/NNB+,/SP
2011년	2011/SN+년/NNB
11건,	11/SN+건/NNB+,/SP
2012년	2012/SN+년/NNB
31건,	31/SN+건/NNB+,/SP
2013년	2013/SN+년/NNB
38건으로	38/SN+건/NNB+으로/JKB
오히려	오히려/MAG
증가세를	증가세/NNG+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.60.9.4
이들 사업에는 모두 8827억원이 배정됐다.

이들	이/NP+들/XSN
사업에는	사업/NNG+에/JKB+는/JX
모두	모두/MAG
8827억원이	8827/SN+억/NR+원/NNB+이/JKS
배정됐다.	배정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.60.9.5
특히 부처 내부에서 유사·중복 사업으로 예산을 배정 받은 경우도 20건에 달하는 것으로 분석됐다.

특히	특히/MAG
부처	부처/NNG
내부에서	내부/NNG+에서/JKB
유사·중복	유사/NNG+·/SP+중복/NNG
사업으로	사업/NNG+으로/JKB
예산을	예산/NNG+을/JKO
배정	배정/NNG
받은	받/VV+은/ETM
경우도	경우/NNG+도/JX
20건에	20/SN+건/NNB+에/JKB
달하는	달하/VV+는/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.60.10.1
예컨대 미래창조과학부의 ‘정보통신기술(ICT) 사업화 기반구축사업’은 2014년 신규사업으로 102억원을 배정받았는데, 이는 기존에 추진되던 기술확산지원사업과 사업 내용과 목적이 비슷한 것으로 평가됐다.

예컨대	예컨대/MAG
미래창조과학부의	미래/NNG+창조/NNG+과학부/NNG+의/JKG
‘정보통신기술(ICT)	‘/SS+정보/NNG+통신/NNG+기술/NNG+(/SS+ICT/SL+)/SS
사업화	사업/NNG+화/XSN
기반구축사업’은	기반/NNG+구축/NNG+사업/NNG+’/SS+은/JX
2014년	2014/SN+년/NNB
신규사업으로	신규/NNG+사업/NNG+으로/JKB
102억원을	102/SN+억/NR+원/NNB+을/JKO
배정받았는데,	배정/NNG+받/XSV+았/EP+는데/EC+,/SP
이는	이/NP+는/JX
기존에	기존/NNG+에/JKB
추진되던	추진/NNG+되/XSV+던/ETM
기술확산지원사업과	기술/NNG+확산/NNG+지원/NNG+사업/NNG+과/JKB
사업	사업/NNG
내용과	내용/NNG+과/JC
목적이	목적/NNG+이/JKS
비슷한	비슷하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
평가됐다.	평가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.60.10.2
또 국토교통부가 추진하는 ‘도시재생사업’은 2014년 243억원을 배정받아 2013년 5억원에 비해 예산을 큰 폭으로 늘렸다.

또	또/MAG
국토교통부가	국토/NNG+교통부/NNG+가/JKS
추진하는	추진/NNG+하/XSV+는/ETM
‘도시재생사업’은	‘/SS+도시/NNG+재생/NNG+사업/NNG+’/SS+은/JX
2014년	2014/SN+년/NNB
243억원을	243/SN+억/NR+원/NNB+을/JKO
배정받아	배정/NNG+받/XSV+아/EC
2013년	2013/SN+년/NNB
5억원에	5/SN+억/NR+원/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
예산을	예산/NNG+을/JKO
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.60.10.3
이에 대해 분석 보고서는 “기존 도시활력증진지역개발사업과 대상 지역이 중복된다”고 지적했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
분석	분석/NNG
보고서는	보고서/NNG+는/JX
“기존	“/SS+기존/NNG
도시활력증진지역개발사업과	도시/NNG+활력/NNG+증진/NNG+지역/NNG+개발/NNG+사업/NNG+과/JKB
대상	대상/NNG
지역이	지역/NNG+이/JKS
중복된다”고	중복/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.60.10.4
이어 국무총리실의 ‘정부합동 안전점검단’은 안전행정부와, 외교부의 ‘동북아 지역국가 교류협력 강화’는 여성가족부의 기존 사업과 유사한 것으로 분석됐다.

이어	이어/MAG
국무총리실의	국무총리실/NNG+의/JKG
‘정부합동	‘/SS+정부/NNG+합동/NNG
안전점검단’은	안전/NNG+점검단/NNG+’/SS+은/JX
안전행정부와,	안전/NNG+행정부/NNG+와/JC+,/SP
외교부의	외교부/NNG+의/JKG
‘동북아	‘/SS+동북아/NNP
지역국가	지역/NNG+국가/NNG
교류협력	교류/NNG+협력/NNG
강화’는	강화/NNG+’/SS+는/JX
여성가족부의	여성/NNG+가족부/NNG+의/JKG
기존	기존/NNG
사업과	사업/NNG+과/JKB
유사한	유사/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.60.10.5
또 2009년부터 2012년까지 4년 평균 예산 집행률이 70% 미만인 150개 가운데 43개 사업에는, 기존과 동일한 예산을 배정하거나 오히려 예산을 늘린 것으로 나타났다.

또	또/MAG
2009년부터	2009/SN+년/NNB+부터/JX
2012년까지	2012/SN+년/NNB+까지/JX
4년	4/SN+년/NNB
평균	평균/NNG
예산	예산/NNG
집행률이	집행/NNG+률/XSN+이/JKS
70%	70/SN+%/SW
미만인	미만/NNG+이/VCP+ㄴ/ETM
150개	150/SN+개/NNB
가운데	가운데/NNG
43개	43/SN+개/NNB
사업에는,	사업/NNG+에/JKB+는/JX+,/SP
기존과	기존/NNG+과/JKB
동일한	동일/NNG+하/XSA+ㄴ/ETM
예산을	예산/NNG+을/JKO
배정하거나	배정/NNG+하/XSV+거나/EC
오히려	오히려/MAG
늘린	늘리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.60.10.6
이들 43개 사업에는 전년대비 42.4% 증액된 3조1603억원이 배정됐다.

이들	이/NP+들/XSN
43개	43/SN+개/NNB
사업에는	사업/NNG+에/JKB+는/JX
전년대비	전년/NNG+대비/NNG
42.4%	42/SN+./SP+4/SN+%/SW
증액된	증액/NNG+되/XSV+ㄴ/ETM
3조1603억원이	3/SN+조/NR+1603/SN+억/NR+원/NNB+이/JKS
배정됐다.	배정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.60.11.1
예산정책처는 “집행가능성을 구체적으로 점검해 집행 부진이 해소되지 않을 경우 예산을 조정해야 한다”고 제안했다.

예산정책처는	예산/NNG+정책처/NNG+는/JX
“집행가능성을	“/SS+집행/NNG+가능/NNG+성/XSN+을/JKO
구체적으로	구체/NNG+적/XSN+으로/JKB
점검해	점검/NNG+하/XSV+아/EC
집행	집행/NNG
부진이	부진/NNG+이/JKS
해소되지	해소/NNG+되/XSV+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
예산을	예산/NNG+을/JKO
조정해야	조정/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


