# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.148
metadata : {}


# id : NWRW1800000046.148.1.1
野의원 비서, 세월호 시위 현장서 경찰 버스에 남자 성기 그림 그려

野의원	野/SH+의원/NNG

# id : NWRW1800000046.148.5.2
권씨는 "부당한 공권력을 풍자하고 조롱하는 의미에서 낙서한 것"이라며 "심 의원과는 상관없이 시민 개인으로서 한 일"이라고 해명했다.

권씨는	권/NNP+씨/NNB+는/JX
"부당한	"/SS+부당/NNG+하/XSA+ㄴ/ETM
공권력을	공권력/NNG+을/JKO
풍자하고	풍자/NNG+하/XSV+고/EC
조롱하는	조롱/NNG+하/XSV+는/ETM
의미에서	의미/NNG+에서/JKB
낙서한	낙서/NNG+하/XSV+ㄴ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"심	"/SS+심/NNP
의원과는	의원/NNG+과/JKB+는/JX
상관없이	상관없이/MAG
시민	시민/NNG
개인으로서	개인/NNG+으로서/JKB
한	하/VV+ㄴ/ETM
일"이라고	일/NNG+"/SS+이라고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.148.5.3
권씨는 작년 7월부터 심 의원의 공보비서로 재직 중이며, 만화가·인터넷 매체 필진 등으로 활동해왔다.

권씨는	권/NNP+씨/NNB+는/JX
작년	작년/NNG
7월부터	7/SN+월/NNB+부터/JX
심	심/NNP
의원의	의원/NNG+의/JKG
공보비서로	공보/NNG+비서/NNG+로/JKB
재직	재직/NNG
중이며,	중/NNB+이/VCP+며/EC+,/SP
만화가·인터넷	만화가/NNG+·/SP+인터넷/NNG
매체	매체/NNG
필진	필진/NNG
등으로	등/NNB+으로/JKB
활동해왔다.	활동/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.148.6.1
세월호 관련 시위 과정에서 벌어진 불법 행위들을 수사 중인 서울 종로경찰서 관계자는 "채증 자료 등을 토대로 혐의가 확인되면 공무집행 방해나 공용물 손상 혐의 등으로 입건할 수 있다"고 밝혔다.

세월호	세월호/NNP
관련	관련/NNG
시위	시위/NNG
과정에서	과정/NNG+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
불법	불법/NNG
행위들을	행위/NNG+들/XSN+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
서울	서울/NNP
종로경찰서	종로경찰서/NNP
관계자는	관계자/NNG+는/JX
"채증	"/SS+채증/NNG
자료	자료/NNG
등을	등/NNB+을/JKO
토대로	토대/NNG+로/JKB
혐의가	혐의/NNG+가/JKS
확인되면	확인/NNG+되/XSV+면/EC
공무집행	공무/NNG+집행/NNG
방해나	방해/NNG+나/JC
공용물	공용물/NNG
손상	손상/NNG
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
입건할	입건/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


