# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.86
metadata : {}


# id : NWRW1800000022.86.1.1
[사이언스 인 뉴스] "흠집이여 안녕" 햇볕 받으면 복구되는 코팅 신소재 나와;게 껍데기 속 '키토산' 이용

[사이언스	[/SS+사이언스/NNG
모양을	모양/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.86.5.1
흠집이 나면 폴리우레탄에 함유된 옥세탄 고리가 끊어진다.

흠집이	흠집/NNG+이/JKS
나면	나/VV+면/EC
폴리우레탄에	폴리우레탄/NNG+에/JKB
함유된	함유/NNG+되/XSV+ㄴ/ETM
옥세탄	옥세탄/NNG
고리가	고리/NNG+가/JKS
끊어진다.	끊어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.86.5.2
끊어진 고리 양끝은 다른 물질과 반응하는 능력이 강해진다.

끊어진	끊어지/VV+ㄴ/ETM
고리	고리/NNG
양끝은	양/MMN+끝/NNG+은/JX
다른	다른/MMD
물질과	물질/NNG+과/JKB
반응하는	반응/NNG+하/XSV+는/ETM
능력이	능력/NNG+이/JKS
강해진다.	강하/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.86.5.3
옥세탄 고리에는 키토산이 나뭇가지처럼 달라붙어 있다.

옥세탄	옥세탄/NNG
고리에는	고리/NNG+에/JKB+는/JX
키토산이	키토산/NNG+이/JKS
나뭇가지처럼	나뭇가지/NNG+처럼/JKB
달라붙어	달라붙/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.86.5.4
흠집이 햇빛에 노출되면 자외선에 의해 키토산 역시 다른 물질과 결합하려는 성질을 띠게 된다.

흠집이	흠집/NNG+이/JKS
햇빛에	햇빛/NNG+에/JKB
노출되면	노출/NNG+되/XSV+면/EC
자외선에	자외선/NNG+에/JKB
의해	의하/VV+아/EC
키토산	키토산/NNG
역시	역시/MAG
다른	다른/MMD
물질과	물질/NNG+과/JKB
결합하려는	결합/NNG+하/XSV+려는/ETM
성질을	성질/NNG+을/JKO
띠게	띠/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.86.5.5
결국 키토산과 끊어진 옥세탄 고리가 다시 연결되면서 지퍼를 올리듯 흠집의 갈라진 양쪽을 서로 당겨 붙게 한다.

결국	결국/NNG
키토산과	키토산/NNG+과/JC
끊어진	끊어지/VV+ㄴ/ETM
옥세탄	옥세탄/NNG
고리가	고리/NNG+가/JKS
다시	다시/MAG
연결되면서	연결/NNG+되/XSV+면서/EC
지퍼를	지퍼/NNG+를/JKO
올리듯	올리/VV+듯/EC
흠집의	흠집/NNG+의/JKG
갈라진	갈라지/VV+ㄴ/ETM
양쪽을	양쪽/NNG+을/JKO
서로	서로/MAG
당겨	당기/VV+어/EC
붙게	붙/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.86.6.1
연구진은 실험에서 폴리우레탄 코팅제에 폭 10㎛(1㎛는 100만분의 1m), 깊이 50㎛의 흠집을 냈다.

연구진은	연구진/NNG+은/JX
실험에서	실험/NNG+에서/JKB
폴리우레탄	폴리우레탄/NNG
코팅제에	코팅제/NNG+에/JKB
폭	폭/NNG
10㎛(1㎛는	10/SN+㎛/SW+(/SS+1/SN+㎛/SW+는/JX
100만분의	100/SN+만/NR+분/XSN+의/JKG
1m),	1/SN+m/SW+)/SS+,/SP
깊이	깊이/NNG
50㎛의	50/SN+㎛/SW+의/JKG
흠집을	흠집/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.86.6.2
이 정도면 눈으로도 볼 수 있는 흠집이다.

이	이/MMD
정도면	정도/NNG+이/VCP+면/EC
눈으로도	눈/NNG+으로/JKB+도/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
흠집이다.	흠집/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.86.6.3
흠집을 햇빛에 노출시키자 30분 만에 깨끗이 복구됐다.

흠집을	흠집/NNG+을/JKO
햇빛에	햇빛/NNG+에/JKB
노출시키자	노출/NNG+시키/XSV+자/EC
30분	30/SN+분/NNB
만에	만/NNB+에/JKB
깨끗이	깨끗이/MAG
복구됐다.	복구/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.86.7.1
자기치료 물질은 이전에도 개발됐다.

자기치료	자기/NNG+치료/NNG
물질은	물질/NNG+은/JX
이전에도	이전/NNG+에/JKB+도/JX
개발됐다.	개발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.86.7.2
주로 균열이 생기면 접착제가 든 캡슐이나 미세관이 터지면서 갈라진 틈을 접착제가 메우는 방식이었다.

주로	주로/MAG
균열이	균열/NNG+이/JKS
생기면	생기/VV+면/EC
접착제가	접착제/NNG+가/JKS
든	들/VV+ㄴ/ETM
캡슐이나	캡슐/NNG+이나/JC
미세관이	미세관/NNG+이/JKS
터지면서	터지/VV+면서/EC
갈라진	갈라지/VV+ㄴ/ETM
틈을	틈/NNG+을/JKO
메우는	메우/VV+는/ETM
방식이었다.	방식/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.86.8.1
하지만 이번에는 갈라진 틈을 다른 물질로 메우는 것이 아니라 물질 스스로 갈라진 양쪽을 잡아당겨 다시 달라붙게 만드는 근원적 자기치료다.

하지만	하지만/MAJ
이번에는	이번/NNG+에/JKB+는/JX
갈라진	갈라지/VV+ㄴ/ETM
틈을	틈/NNG+을/JKO
다른	다른/MMD
물질로	물질/NNG+로/JKB
메우는	메우/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
물질	물질/NNG
스스로	스스로/MAG
양쪽을	양쪽/NNG+을/JKO
잡아당겨	잡아당기/VV+어/EC
다시	다시/MAG
달라붙게	달라붙/VV+게/EC
만드는	만들/VV+는/ETM
근원적	근원/NNG+적/XSN
자기치료다.	자기/NNG+치료/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.86.8.2
연구진은 "실용화를 위해서 아직도 많은 연구가 더 필요하다"면서도 "자동차나 가구, 휴대폰과 같은 전자제품 등 다양한 제품의 페인트, 코팅 재료에 활용될 수 있을 것"이라고 전망했다.

연구진은	연구진/NNG+은/JX
"실용화를	"/SS+실용/NNG+화/XSN+를/JKO
위해서	위하/VV+아서/EC
아직도	아직/MAG+도/JX
많은	많/VA+은/ETM
연구가	연구/NNG+가/JKS
더	더/MAG
필요하다"면서도	필요/NNG+하/XSA+다/EF+"/SS+면서/EC+도/JX
"자동차나	"/SS+자동차/NNG+나/JC
가구,	가구/NNG+,/SP
휴대폰과	휴대폰/NNG+과/JKB
같은	같/VA+은/ETM
전자제품	전자/NNG+제품/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
제품의	제품/NNG+의/JKG
페인트,	페인트/NNG+,/SP
코팅	코팅/NNG
재료에	재료/NNG+에/JKB
활용될	활용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


