# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.139
metadata : {}


# id : NWRW1800000052.139.1.1
안전, 편의 사양 강화한 ‘더 뉴 쏘울’

안전,	안전/NNG+,/SP
스마트키를	스마트키/NNG+를/JKO
기본으로	기본/NNG+으로/JKB
적용한	적용/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.139.7.3
판매가격은 가솔린 모델이 1750만~2145만원, 디젤 모델은 2315만원이다.

판매가격은	판매/NNG+가격/NNG+은/JX
가솔린	가솔린/NNG
모델이	모델/NNG+이/JKS
1750만~2145만원,	1750/SN+만/NR+~/SO+2145/SN+만/NR+원/NNB+,/SP
디젤	디젤/NNG
모델은	모델/NNG+은/JX
2315만원이다.	2315/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.139.8.1
2008년 처음 등장한 쏘울은 감각적인 디자인으로 소형 스포츠실용차 분야에서 새 바람을 일으켰으나 지난해 쌍용차 티볼리가 나온 뒤로 인기가 쪼그라들었다.

2008년	2008/SN+년/NNB
처음	처음/NNG
등장한	등장/NNG+하/XSV+ㄴ/ETM
쏘울은	쏘울/NNP+은/JX
감각적인	감각/NNG+적/XSN+이/VCP+ㄴ/ETM
디자인으로	디자인/NNG+으로/JKB
소형	소형/NNG
스포츠실용차	스포츠/NNG+실용/NNG+차/NNG
분야에서	분야/NNG+에서/JKB
새	새/MMA
바람을	바람/NNG+을/JKO
일으켰으나	일으키/VV+었/EP+으나/EC
지난해	지난해/NNG
쌍용차	쌍용차/NNP
티볼리가	티볼리/NNP+가/JKS
나온	나오/VV+ㄴ/ETM
뒤로	뒤/NNG+로/JKB
인기가	인기/NNG+가/JKS
쪼그라들었다.	쪼그라들/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.139.8.2
이번 신형은 2013년 완전변경 모델로 옷을 갈아입은 지 3년 만에 나온 부분변경 모델이다.

이번	이번/NNG
신형은	신형/NNG+은/JX
2013년	2013/SN+년/NNB
완전변경	완전/NNG+변경/NNG
모델로	모델/NNG+로/JKB
옷을	옷/NNG+을/JKO
갈아입은	갈아입/VV+은/ETM
지	지/NNB
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
나온	나오/VV+ㄴ/ETM
부분변경	부분/NNG+변경/NNG
모델이다.	모델/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.139.8.3
기아차는 더 뉴 쏘울을 앞세워 소형 스포츠실용차 시장에서 반전을 노리고 있다.

기아차는	기아차/NNP+는/JX
더	더/NNP
뉴	뉴/NNP
쏘울을	쏘울/NNP+을/JKO
앞세워	앞세우/VV+어/EC
소형	소형/NNG
스포츠실용차	스포츠/NNG+실용/NNG+차/NNG
시장에서	시장/NNG+에서/JKB
반전을	반전/NNG+을/JKO
노리고	노리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.139.9.1
기아차는 “쏘울은 세계 3대 디자인상을 석권하고 올해 미국의 제이디(JD)파워 신차품질조사에서 소형 다목적차량(MPV) 부문 1위를 수상하는 등 해외시장에서 호평받고 있는 모델”이라며 “스타일과 실용성을 중시하는 젊은 고객들이 1차 타깃”이라고 밝혔다.

기아차는	기아차/NNP+는/JX
“쏘울은	“/SS+쏘울/NNP+은/JX
세계	세계/NNG
3대	3/SN+대/NNG
디자인상을	디자인상/NNG+을/JKO
석권하고	석권/NNG+하/XSV+고/EC
올해	올해/NNG
미국의	미국/NNP+의/JKG
제이디(JD)파워	제이디/NNP+(/SS+JD/SL+)/SS+파워/NNP
신차품질조사에서	신차/NNG+품질/NNG+조사/NNG+에서/JKB
소형	소형/NNG
다목적차량(MPV)	다목적/NNG+차량/NNG+(/SS+MPV/SL+)/SS
부문	부문/NNG
1위를	1/SN+위/NNB+를/JKO
수상하는	수상/NNG+하/XSV+는/ETM
등	등/NNB
해외시장에서	해외/NNG+시장/NNG+에서/JKB
호평받고	호평/NNG+받/XSV+고/EC
있는	있/VX+는/ETM
모델”이라며	모델/NNG+”/SS+이/VCP+라며/EC
“스타일과	“/SS+스타일/NNG+과/JC
실용성을	실용/NNG+성/XSN+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
젊은	젊/VA+은/ETM
고객들이	고객/NNG+들/XSN+이/JKS
1차	1/SN+차/NNB
타깃”이라고	타깃/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.139.10.1
기아차는 ‘2017년형 쏘울EV’도 함께 출시했다.

기아차는	기아차/NNP+는/JX
‘2017년형	‘/SS+2017/SN+년/NNB+형/XSN
쏘울EV’도	쏘울EV/NNP+’/SS+도/JX
함께	함께/MAG
출시했다.	출시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.139.10.2
2017년형 쏘울EV는 충전 중단시간을 설정해 전기료를 절감하는 예약 공조기능을 강화하고 급속 충전 용량 확대(기존 83%→94%), 완속 충전 중 케이블 도난을 예방하는 ‘완속 충전기 잠금 장치’, 내비게이션 엘티이(LTE) 서비스 적용 등 전기차 전용 편의기능을 강화한 것이 특징이다.

2017년형	2017/SN+년/NNB+형/XSN
쏘울EV는	쏘울EV/NNP+는/JX
충전	충전/NNG
중단시간을	중단/NNG+시간/NNG+을/JKO
설정해	설정/NNG+하/XSV+아/EC
전기료를	전기료/NNG+를/JKO
절감하는	절감/NNG+하/XSV+는/ETM
예약	예약/NNG
공조기능을	공조/NNG+기능/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
급속	급속/NNG
용량	용량/NNG
확대(기존	확대/NNG+(/SS+기존/NNG
83%→94%),	83/SN+%/SW+→/SW+94/SN+%/SW+)/SS+,/SP
완속	완속/NNG
중	중/NNB
케이블	케이블/NNG
도난을	도난/NNG+을/JKO
예방하는	예방/NNG+하/XSV+는/ETM
‘완속	‘/SS+완속/NNG
충전기	충전기/NNG
잠금	잠금/NNG
장치’,	장치/NNG+’/SS+,/SP
내비게이션	내비게이션/NNG
엘티이(LTE)	엘티이/NNG+(/SS+LTE/SL+)/SS
서비스	서비스/NNG
적용	적용/NNG
등	등/NNB
전기차	전기/NNG+차/NNG
전용	전용/NNG
편의기능을	편의/NNG+기능/NNG+을/JKO
강화한	강화/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.139.10.3
가격은 4275만원(내비게이션 포함)이다.

가격은	가격/NNG+은/JX
4275만원(내비게이션	4275/SN+만/NR+원/NNB+(/SS+내비게이션/NNG
포함)이다.	포함/NNG+)/SS+이/VCP+다/EF+./SF


