# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.400
metadata : {}


# id : NWRW1800000045.400.1.1
측근 최재성 불출마 재확인… 文 인적쇄신 속도전

측근	측근/NNG
최 본부장은 17일 기자회견에서 “큰 변화에는 큰 헌신이 필요하다”며 “분주파부(焚舟破釜·돌아갈 배를 불태우고 밥솥을 제 손으로 깨뜨린다) 정신으로 총선 승리를 위해 헌신하겠다”고 밝혔다.

최	최/NNP
본부장은	본부장/NNG+은/JX
17일	17/SN+일/NNB
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“큰	“/SS+크/VA+ㄴ/ETM
변화에는	변화/NNG+에/JKB+는/JX
큰	크/VA+ㄴ/ETM
헌신이	헌신/NNG+이/JKS
필요하다”며	필요/NNG+하/XSA+다/EF+”/SS+며/EC
“분주파부(焚舟破釜·돌아갈	“/SS+분주파부/NNG+(/SS+焚舟破釜/SH+·/SP+돌아가/VV+ㄹ/ETM
배를	배/NNG+를/JKO
불태우고	불태우/VV+고/EC
밥솥을	밥솥/NNG+을/JKO
제	저/NP+의/JKG
손으로	손/NNG+으로/JKB
깨뜨린다)	깨뜨리/VV+ㄴ다/EF+)/SS
정신으로	정신/NNG+으로/JKB
총선	총선/NNG
승리를	승리/NNG+를/JKO
위해	위하/VV+아/EC
헌신하겠다”고	헌신/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.400.4.2
안 의원이 지난해 4월 지방선거를 앞두고 배수진을 쳤다는 뜻의 ‘파부침주(破釜沈舟·솥을 깨고 배를 부순다)’라고 말한 것과 비슷하다.

안	안/NNP
의원이	의원/NNG+이/JKS
지난해	지난해/NNG
4월	4/SN+월/NNB
지방선거를	지방/NNG+선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
배수진을	배수진/NNG+을/JKO
쳤다는	치/VV+었/EP+다는/ETM
뜻의	뜻/NNG+의/JKG
‘파부침주(破釜沈舟·솥을	‘/SS+파부침주/NNG+(/SS+破釜沈舟/SH+·/SP+솥/NNG+을/JKO
깨고	깨/VV+고/EC
배를	배/NNG+를/JKO
부순다)’라고	부수/VV+ㄴ다/EF+)/SS+’/SS+라고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000045.400.5.1
최 본부장의 불출마 선언으로 문 대표의 인적 쇄신에도 속도가 붙을 것으로 보인다.

최	최/NNP
본부장의	본부장/NNG+의/JKG
불출마	불/XPN+출마/NNG
선언으로	선언/NNG+으로/JKB
문	문/NNP
대표의	대표/NNG+의/JKG
인적	인/NNG+적/XSN
쇄신에도	쇄신/NNG+에/JKB+도/JX
속도가	속도/NNG+가/JKS
붙을	붙/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.400.5.2
문 대표 측이 주도하는 온라인 입당은 이날 3만 명을 넘었다.

문	문/NNP
대표	대표/NNG
측이	측/NNB+이/JKS
주도하는	주도/NNG+하/XSV+는/ETM
온라인	온라인/NNG
입당은	입당/NNG+은/JX
이날	이날/NNG
3만	3/SN+만/NR
명을	명/NNB+을/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.400.5.3
당 관계자는 “문 대표 측의 ‘내부 정리’가 끝나가는 것”이라며 “이제 비주류에 대한 물갈이만 남았다”고 했다.

당	당/NNG
관계자는	관계자/NNG+는/JX
“문	“/SS+문/NNP
대표	대표/NNG
측의	측/NNB+의/JKG
‘내부	‘/SS+내부/NNG
정리’가	정리/NNG+’/SS+가/JKS
끝나가는	끝나/VV+아/EC+가/VX+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이제	“/SS+이제/MAG
비주류에	비/XPN+주류/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
물갈이만	물갈이/NNG+만/JX
남았다”고	남/VV+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.400.6.1
안 의원은 이날 광주에서 기자들과 만나 “(최 본부장은) 불출마 선언을 두 번 한 것”이라며 에둘러 비판했다.

안	안/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
광주에서	광주/NNP+에서/JKB
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“(최	“/SS+(/SS+최/NNP
본부장은)	본부장/NNG+은/JX+)/SS
불출마	불/XPN+출마/NNG
선언을	선언/NNG+을/JKO
두	두/MMN
번	번/NNB
한	하/VV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
에둘러	에두르/VV+어/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.400.6.2
비주류의 좌장 격인 김한길 의원은 페이스북에 올린 글에서 “(문 대표의) 단호함과 엄격함은 먼저 거울을 보면서부터 적용돼야 마땅하다”며 “야권 분열상의 모든 책임을 남들에게만 묻는다면 참으로 민망한 일이 되지 않겠느냐”고 지적했다.

비주류의	비/XPN+주류/NNG+의/JKG
좌장	좌장/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
김한길	김한길/NNP
의원은	의원/NNG+은/JX
페이스북에	페이스북/NNP+에/JKB
올린	올리/VV+ㄴ/ETM
글에서	글/NNG+에서/JKB
“(문	“/SS+(/SS+문/NNP
대표의)	대표/NNG+의/JKG+)/SS
단호함과	단호하/VA+ㅁ/ETN+과/JC
엄격함은	엄격/NNG+하/XSA+ㅁ/ETN+은/JX
먼저	먼저/MAG
거울을	거울/NNG+을/JKO
보면서부터	보/VV+면서/EC+부터/JX
적용돼야	적용/NNG+되/XSV+어야/EC
마땅하다”며	마땅하/VA+다/EF+”/SS+며/EC
“야권	“/SS+야권/NNG
분열상의	분열상/NNG+의/JKG
모든	모든/MMN
책임을	책임/NNG+을/JKO
남들에게만	남/NNG+들/XSN+에게/JKB+만/JX
묻는다면	묻/VV+는다면/EC
참으로	참으로/MAG
민망한	민망하/VA+ㄴ/ETM
일이	일/NNG+이/JKC
되지	되/VV+지/EC
않겠느냐”고	않/VX+겠/EP+느냐/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.400.6.3
야권 분열의 문 대표 책임론을 거론한 것이다.

야권	야권/NNG
분열의	분열/NNG+의/JKG
문	문/NNP
대표	대표/NNG
책임론을	책임/NNG+론/XSN+을/JKO
거론한	거론/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


