# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.370
metadata : {}


# id : NWRW1800000037.370.1.1
다자녀-노부모 부양자라도 소득이나 부동산 많으면 보금자리주택 청약 제한

다자녀-노부모	다자녀/NNG+-/SO+노/XPN+부모/NNG
현재 정부는 해당 공공기관 직원들이 가구당 한 차례씩 주택을 분양받을 수 있도록 특별공급을 진행 중이지만 전국 평균 청약률이 0.3 대 1에 불과하다.

현재	현재/MAG
정부는	정부/NNG+는/JX
해당	해당/NNG
공공기관	공공/NNG+기관/NNG
직원들이	직원/NNG+들/XSN+이/JKS
가구당	가구/NNG+당/XSN
한	한/MMN
차례씩	차례/NNG+씩/XSN
주택을	주택/NNG+을/JKO
분양받을	분양/NNG+받/XSV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
특별공급을	특별/NNG+공급/NNG+을/JKO
진행	진행/NNG
중이지만	중/NNB+이/VCP+지만/EC
전국	전국/NNG
평균	평균/NNG
청약률이	청약/NNG+률/XSN+이/JKS
0.3	0/SN+./SP+3/SN
대	대/NNB
1에	1/SN+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000037.370.8.3
그 결과 6월까지 전체 이전 대상 직원의 14%에 해당하는 5223명만 분양을 받았다.

그	그/MMD
결과	결과/NNG
6월까지	6/SN+월/NNB+까지/JX
전체	전체/NNG
이전	이전/NNG
대상	대상/NNG
직원의	직원/NNG+의/JKG
14%에	14/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
5223명만	5223/SN+명/NNB+만/JX
분양을	분양/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.370.9.1
지방이전 공공기관인 법인은 2015년 말까지 한시적으로 주택 특별공급(임대 또는 분양)을 받아 관사나 숙소로 사용할 수 있게 된다.

지방이전	지방/NNG+이전/NNG
공공기관인	공공/NNG+기관/NNG+이/VCP+ㄴ/ETM
법인은	법인/NNG+은/JX
2015년	2015/SN+년/NNB
말까지	말/NNB+까지/JX
한시적으로	한시/NNG+적/XSN+으로/JKB
주택	주택/NNG
특별공급(임대	특별/NNG+공급/NNG+(/SS+임대/NNG
또는	또는/MAG
분양)을	분양/NNG+)/SS+을/JKO
받아	받/VV+아/EC
관사나	관사/NNG+나/JC
숙소로	숙소/NNG+로/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.370.9.2
국민주택규모(85m² 이하) 주택을 매입할 수 있으며 기관과 종사자를 합쳐 특별공급 비율 70% 이내에서만 가능하다.

국민주택규모(85m²	국민/NNG+주택/NNG+규모/NNG+(/SS+85/SN+m²/SW
이하)	이하/NNG+)/SS
주택을	주택/NNG+을/JKO
매입할	매입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으며	있/VA+으며/EC
기관과	기관/NNG+과/JC
종사자를	종사자/NNG+를/JKO
합쳐	합치/VV+어/EC
특별공급	특별/NNG+공급/NNG
비율	비율/NNG
70%	70/SN+%/SW
이내에서만	이내/NNG+에서/JKB+만/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


