# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.80
metadata : {}


# id : NWRW1800000045.80.1.1
공포의 평행주차… 공식 외우니 “탈출, 김여사”

공포의	공포/NNG+의/JKG
진출입로에	진출입로/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
때는	때/NNG+는/JX
차량과	차량/NNG+과/JC
벽	벽/NNG
사이	사이/NNG
1m	1/SN+m/SW
간격을	간격/NNG+을/JKO
유지한	유지/NNG+하/XSV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
내	나/NP+의/JKG
차의	차/NNG+의/JKG
사이드미러가	사이드미러/NNG+가/JKS
진출로의	진출로/NNG+의/JKG
입구를	입구/NNG+를/JKO
지났을	지나/VV+았/EP+을/ETM
때	때/NNG
스티어링	스티어링/NNG
휠을	휠/NNG+을/JKO
안으로	안/NNG+으로/JKB
크게	크/VA+게/EC
꺾으면	꺾/VV+으면/EC
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
“안전턱에	“/SS+안전/NNG+턱/NNG+에/JKB
차량이	차량/NNG+이/JKS
닿았을	닿/VV+았/EP+을/ETM
땐	때/NNG+ㄴ/JX
기어를	기어/NNG+를/JKO
N(중립)으로	N/SL+(/SS+중립/NNG+)/SS+으로/JKB
바꾼	바꾸/VV+ㄴ/ETM
뒤	뒤/NNG
차체가	차체/NNG+가/JKS
더	더/MAG
이상	이상/NNG
움직이지	움직이/VV+지/EC
않을	않/VX+을/ETM
P(주차)로	P/SL+(/SS+주차/NNG+)/SS+로/JKB
바꿔야	바꾸/VV+어야/EC
변속기가	변속기/NNG+가/JKS
손상을	손상/NNG+을/JKO
입지	입/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.80.9.1
○ “이순신 장군 모자가 보이면 타이어 교체”

○	○/SW
“이순신	“/SS+이순신/NNP
장군	장군/NNG
모자가	모자/NNG+가/JKS
보이면	보이/VV+면/EC
타이어	타이어/NNG
교체”	교체/NNG+”/SS


# id : NWRW1800000045.80.10.1
이날 행사에선 운전에 앞서 타이어 체크 및 사고 대처법 등 교육이 먼저 진행됐다.

이날	이날/NNG
행사에선	행사/NNG+에서/JKB+ㄴ/JX
운전에	운전/NNG+에/JKB
앞서	앞서/VV+어/EC
타이어	타이어/NNG
체크	체크/NNG
및	및/MAG
사고	사고/NNG
대처법	대처법/NNG
등	등/NNB
교육이	교육/NNG+이/JKS
먼저	먼저/MAG
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.80.11.1
타이어의 평균 수명은 5년이다.

타이어의	타이어/NNG+의/JKG
평균	평균/NNG
수명은	수명/NNG+은/JX
5년이다.	5/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.80.11.2
운전석 문짝에 붙어 있는 스티커에 나타난 타이어 일련번호 중 마지막 네 자리가 타이어 제조일자다.

운전석	운전석/NNG
문짝에	문짝/NNG+에/JKB
붙어	붙/VV+어/EC
있는	있/VX+는/ETM
스티커에	스티커/NNG+에/JKB
나타난	나타나/VV+ㄴ/ETM
타이어	타이어/NNG
일련번호	일련번호/NNG
중	중/NNB
마지막	마지막/NNG
네	네/MMN
자리가	자리/NNG+가/JKS
제조일자다.	제조/NNG+일자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.80.11.3
‘1415’라면 2015년 14번째 주에 제조했다는 의미다.

‘1415’라면	‘/SS+1415/SN+’/SS+이/VCP+라면/EC
2015년	2015/SN+년/NNB
14번째	14/SN+번/NNB+째/XSN
주에	주/NNG+에/JKB
제조했다는	제조/NNG+하/XSV+았/EP+다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.80.11.4
장 선수는 “100원짜리 동전에서 이순신 장군의 모습을 거꾸로 세워 타이어 트레드에 넣었을 때 사모(관복에 쓰는 모자)가 보이면 마모 정도가 심하다는 의미이므로 타이어를 교체해야 한다”며 “일반적으로 타이어의 마모 한계치는 1.6mm”라고 설명했다.

장	장/NNP
선수는	선수/NNG+는/JX
“100원짜리	“/SS+100/SN+원/NNB+짜리/XSN
동전에서	동전/NNG+에서/JKB
이순신	이순신/NNP
장군의	장군/NNG+의/JKG
모습을	모습/NNG+을/JKO
거꾸로	거꾸로/MAG
세워	세우/VV+어/EC
타이어	타이어/NNG
트레드에	트레드/NNG+에/JKB
넣었을	넣/VV+었/EP+을/ETM
때	때/NNG
사모(관복에	사모/NNG+(/SS+관복/NNG+에/JKB
쓰는	쓰/VV+는/ETM
모자)가	모자/NNG+)/SS+가/JKS
보이면	보이/VV+면/EC
마모	마모/NNG
정도가	정도/NNG+가/JKS
심하다는	심하/VA+다는/ETM
의미이므로	의미/NNG+이/VCP+므로/EC
타이어를	타이어/NNG+를/JKO
교체해야	교체/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“일반적으로	“/SS+일반/NNG+적/XSN+으로/JKB
타이어의	타이어/NNG+의/JKG
한계치는	한계/NNG+치/XSN+는/JX
1.6mm”라고	1/SN+./SP+6/SN+mm/SW+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.80.11.5
그는 “고속도로 휴게소마다 타이어 공기압을 체크하고 바람을 넣을 수 있는 곳이 있으니 알아두면 유용하다”며 “스페어타이어는 탑승 전에 미리 점검해 펑크가 났으면 보험사에 교체를 요청하라”고 덧붙였다.

그는	그/NP+는/JX
“고속도로	“/SS+고속/NNG+도로/NNG
휴게소마다	휴게소/NNG+마다/JX
타이어	타이어/NNG
공기압을	공기압/NNG+을/JKO
체크하고	체크/NNG+하/XSV+고/EC
바람을	바람/NNG+을/JKO
넣을	넣/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
곳이	곳/NNG+이/JKS
있으니	있/VA+으니/EC
알아두면	알/VV+아/EC+두/VX+면/EC
유용하다”며	유용/NNG+하/XSA+다/EF+”/SS+며/EC
“스페어타이어는	“/SS+스페어타이어/NNG+는/JX
탑승	탑승/NNG
전에	전/NNG+에/JKB
미리	미리/MAG
점검해	점검/NNG+하/XSV+아/EC
펑크가	펑크/NNG+가/JKS
났으면	나/VV+았/EP+으면/EC
보험사에	보험사/NNG+에/JKB
교체를	교체/NNG+를/JKO
요청하라”고	요청/NNG+하/XSV+라/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.80.12.1
사고가 나면 주변이 차에서 내려도 될 만큼 안전한지 확인하고, 환자가 있으면 119에 신고부터 해야 한다.

사고가	사고/NNG+가/JKS
나면	나/VV+면/EC
주변이	주변/NNG+이/JKS
차에서	차/NNG+에서/JKB
내려도	내리/VV+어도/EC
될	되/VV+ㄹ/ETM
만큼	만큼/NNB
안전한지	안전/NNG+하/XSA+ㄴ지/EF
확인하고,	확인/NNG+하/XSV+고/EC+,/SP
환자가	환자/NNG+가/JKS
있으면	있/VA+으면/EC
119에	119/SN+에/JKB
신고부터	신고/NNG+부터/JX
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.80.12.2
그 다음엔 사진 촬영을 해야 한다.

그	그/MMD
다음엔	다음/NNG+에/JKB+ㄴ/JX
사진	사진/NNG
촬영을	촬영/NNG+을/JKO
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.80.12.3
장 선수는 “사고 현장을 주변 환경과 함께 기록해두지 않으면 상대방이 여성 운전자가 잘못했다고 몰아가는 경우가 많다”며 “현장 기록을 한 뒤 보험사에 연락하면 된다”고 설명했다.

장	장/NNP
선수는	선수/NNG+는/JX
“사고	“/SS+사고/NNG
현장을	현장/NNG+을/JKO
주변	주변/NNG
환경과	환경/NNG+과/JKB
함께	함께/MAG
기록해두지	기록/NNG+하/XSV+아/EC+두/VX+지/EC
않으면	않/VX+으면/EC
상대방이	상대방/NNG+이/JKS
여성	여성/NNG
운전자가	운전자/NNG+가/JKS
잘못했다고	잘못/MAG+하/XSV+았/EP+다고/EC
몰아가는	몰아가/VV+는/ETM
경우가	경우/NNG+가/JKS
많다”며	많/VA+다/EF+”/SS+며/EC
“현장	“/SS+현장/NNG
기록을	기록/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
보험사에	보험사/NNG+에/JKB
연락하면	연락/NNG+하/XSV+면/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


