# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.46
metadata : {}


# id : NWRW1800000030.46.1.1
"사위 될 사람 뒤 좀 캐 주세요"

"사위	"/SS+사위/NNG
'믿을	'/SS+믿/VV+을/ETM
만한'	만/NNB+하/XSA+ㄴ/ETM+'/SS
사람인지	사람/NNG+이/VCP+ㄴ지/EF
알	알/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.46.5.1
인도 사설탐정들은 자녀의 자유연애에 불안을 느끼는 부모의 심리를 파고들어 새로운 사업 영역을 개척했다.

인도	인도/NNP
사설탐정들은	사설탐정/NNG+들/XSN+은/JX
자녀의	자녀/NNG+의/JKG
자유연애에	자유연애/NNG+에/JKB
불안을	불안/NNG+을/JKO
느끼는	느끼/VV+는/ETM
부모의	부모/NNG+의/JKG
심리를	심리/NNG+를/JKO
파고들어	파고들/VV+어/EC
새로운	새롭/VA+ㄴ/ETM
사업	사업/NNG
영역을	영역/NNG+을/JKO
개척했다.	개척/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.46.5.2
인도사설탐정협회(APDI)는 "결혼 시즌일 때는 이들 업체당 월평균 50~100건씩 결혼 관련 조사 의뢰가 들어온다"고 밝혔다.

인도사설탐정협회(APDI)는	인도사설탐정협회/NNP+(/SS+APDI/SL+)/SS+는/JX
"결혼	"/SS+결혼/NNG
시즌일	시즌/NNG+이/VCP+ㄹ/ETM
때는	때/NNG+는/JX
이들	이/NP+들/XSN
업체당	업체/NNG+당/XSN
월평균	월평균/NNG
50~100건씩	50/SN+~/SO+100/SN+건/NNB+씩/XSN
결혼	결혼/NNG
관련	관련/NNG
조사	조사/NNG
의뢰가	의뢰/NNG+가/JKS
들어온다"고	들어오/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.46.5.3
인도에는 전국적으로 1만5000여개의 탐정 업체가 영업 중이다.

인도에는	인도/NNP+에/JKB+는/JX
전국적으로	전국/NNG+적/XSN+으로/JKB
1만5000여개의	1/SN+만/NR+5000/SN+여/XSN+개/NNB+의/JKG
탐정	탐정/NNG
업체가	업체/NNG+가/JKS
영업	영업/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.46.6.1
인도에서는 신부가 결혼 후 시집에서 사는 일이 일상적이다.

인도에서는	인도/NNP+에서/JKB+는/JX
신부가	신부/NNG+가/JKS
결혼	결혼/NNG
후	후/NNG
시집에서	시집/NNG+에서/JKB
사는	살/VV+는/ETM
일이	일/NNG+이/JKS
일상적이다.	일상/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000030.46.6.2
이 때문에 특히 딸을 가진 부모의 의뢰가 더 많다.

이	이/NP
때문에	때문/NNB+에/JKB
특히	특히/MAG
딸을	딸/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
부모의	부모/NNG+의/JKG
의뢰가	의뢰/NNG+가/JKS
더	더/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000030.46.6.3
탐정들의 활동은 첩보영화를 떠올리게 한다.

탐정들의	탐정/NNG+들/XSN+의/JKG
활동은	활동/NNG+은/JX
첩보영화를	첩보/NNG+영화/NNG+를/JKO
떠올리게	떠올리/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.46.6.4
작은 카메라를 시계·열쇠고리·셔츠단추 등에 숨기고 거지·운전사·경비원 등으로 변장해 '조사대상'에게 접근한다.

작은	작/VA+은/ETM
카메라를	카메라/NNG+를/JKO
시계·열쇠고리·셔츠단추	시계/NNG+·/SP+열쇠고리/NNG+·/SP+셔츠/NNG+단추/NNG
등에	등/NNB+에/JKB
숨기고	숨기/VV+고/EC
거지·운전사·경비원	거지/NNG+·/SP+운전사/NNG+·/SP+경비원/NNG
등으로	등/NNB+으로/JKB
변장해	변장/NNG+하/XSV+아/EC
'조사대상'에게	'/SS+조사/NNG+대상/NNG+'/SS+에게/JKB
접근한다.	접근/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.46.7.1
여기에 미행·온라인검색·인맥 등을 이용해 수집한 정보를 합해 보고서를 작성한 뒤 의뢰인에게 전달한다.

여기에	여기/NP+에/JKB
미행·온라인검색·인맥	미행/NNG+·/SP+온라인/NNG+검색/NNG+·/SP+인맥/NNG
등을	등/NNB+을/JKO
이용해	이용/NNG+하/XSV+아/EC
수집한	수집/NNG+하/XSV+ㄴ/ETM
정보를	정보/NNG+를/JKO
합해	합/NNG+하/XSV+아/EC
보고서를	보고서/NNG+를/JKO
작성한	작성/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
의뢰인에게	의뢰인/NNG+에게/JKB
전달한다.	전달/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.46.7.2
사윗감의 성격·연애사·가족관계·재정상태·수입·음주습관·흡연여부·친구관계 등 의뢰인이 원하는 모든 것을 캐낸다.

사윗감의	사윗감/NNG+의/JKG
성격·연애사·가족관계·재정상태·수입·음주습관·흡연여부·친구관계	성격/NNG+·/SP+연애사/NNG+·/SP+가족/NNG+관계/NNG+·/SP+재정/NNG+상태/NNG+·/SP+수입/NNG+·/SP+음주/NNG+습관/NNG+·/SP+흡연/NNG+여부/NNG+·/SP+친구/NNG+관계/NNG
등	등/NNB
의뢰인이	의뢰인/NNG+이/JKS
원하는	원/NNG+하/XSV+는/ETM
모든	모든/MMN
것을	것/NNB+을/JKO
캐낸다.	캐내/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.46.7.3
부모들이 '미인계'를 요구하는 경우 포주로 변장해 '덫'도 놓는다.

부모들이	부모/NNG+들/XSN+이/JKS
'미인계'를	'/SS+미인계/NNG+'/SS+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
경우	경우/NNG
포주로	포주/NNG+로/JKB
변장해	변장/NNG+하/XSV+아/EC
'덫'도	'/SS+덫/NNG+'/SS+도/JX
놓는다.	놓/VV+는다/EF+./SF


# id : NWRW1800000030.46.8.1
탐정업체를 운영하는 라훌 라이는 "매춘 경험이나 마약중독·동성애 여부도 파악한다"며 "조사 결과에 따라 혼사가 취소된 일도 있다"고 말했다.

탐정업체를	탐정/NNG+업체/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
라훌	라훌/NNP
라이는	라이/NNP+는/JX
"매춘	"/SS+매춘/NNG
경험이나	경험/NNG+이나/JC
마약중독·동성애	마약/NNG+중독/NNG+·/SP+동성애/NNG
여부도	여부/NNG+도/JX
파악한다"며	파악/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"조사	"/SS+조사/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
혼사가	혼사/NNG+가/JKS
취소된	취소/NNG+되/XSV+ㄴ/ETM
일도	일/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


