# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.102
metadata : {}


# id : NWRW1800000041.102.1.1
디알액시온, 신뢰, 존경의 문화로 쑥쑥 성장하는 기업

디알액시온,	디알액시온/NNP+,/SP
디알 액시온의 이효건 회장은 “최고 품질과 기술력으로 미래기술 산업의 글로벌 리더가 되어가겠다”며 “인간존중, 기술제일, 정의실천의 경영이념 아래 시시각각 변화하고 있는 시대가 요구하는 자율성 창의성 유연성을 지닌 글로벌 시대의 인재들로 성장하기 위해 전 임직원이 노력하겠다”고 말했다.

디알	디알/NNP
액시온의	액시온/NNP+의/JKG
이효건	이효건/NNP
회장은	회장/NNG+은/JX
“최고	“/SS+최고/NNG
품질과	품질/NNG+과/JC
기술력으로	기술력/NNG+으로/JKB
미래기술	미래/NNG+기술/NNG
산업의	산업/NNG+의/JKG
글로벌	글로벌/NNG
리더가	리더/NNG+가/JKC
되어가겠다”며	되/VV+어/EC+가/VX+겠/EP+다/EF+”/SS+며/EC
“인간존중,	“/SS+인간/NNG+존중/NNG+,/SP
기술제일,	기술/NNG+제일/NNG+,/SP
정의실천의	정의/NNG+실천/NNG+의/JKG
경영이념	경영/NNG+이념/NNG
아래	아래/NNG
시시각각	시시각각/NNG
변화하고	변화/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
시대가	시대/NNG+가/JKS
요구하는	요구/NNG+하/XSV+는/ETM
자율성	자율/NNG+성/XSN
창의성	창의/NNG+성/XSN
유연성을	유연성/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
시대의	시대/NNG+의/JKG
인재들로	인재/NNG+들/XSN+로/JKB
성장하기	성장/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
전	전/MMN
임직원이	임직원/NNG+이/JKS
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


