# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.432
metadata : {}


# id : NWRW1800000022.432.1.1
고종의 혼 서린 환구단 정문, 42년만에 제모습

고종의	고종/NNP+의/JKG
철거돼	철거/NNG+되/XSV+어/EC
행방을	행방/NNG+을/JKO
감춘	감추/VV+ㄴ/ETM
환구단	환구단/NNP
정문이	정문/NNG+이/JKS
40년	40/SN+년/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
2007년	2007/SN+년/NNB
8월	8/SN+월/NNB
'발견'됐다.	'/SS+발견/NNG+'/SS+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.432.6.2
서울 강북구 일대 재개발 사업에 착수하기 전 우이동에 있던 옛 그린파크 호텔 정문을 조사하는 과정에서였다.

서울	서울/NNP
강북구	강북구/NNP
일대	일대/NNG
재개발	재/XPN+개발/NNG
사업에	사업/NNG+에/JKB
착수하기	착수/NNG+하/XSV+기/ETN
전	전/NNG
우이동에	우이동/NNP+에/JKB
있던	있/VA+던/ETM
옛	옛/MMA
그린파크	그린파크/NNP
호텔	호텔/NNG
정문을	정문/NNG+을/JKO
조사하는	조사/NNG+하/XSV+는/ETM
과정에서였다.	과정/NNG+에서/JKB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.432.6.3
발견 당시 호텔 정문에는 '백운문(白雲門)'이라는 현판이 달려 있었다.

발견	발견/NNG
당시	당시/NNG
호텔	호텔/NNG
정문에는	정문/NNG+에/JKB+는/JX
'백운문(白雲門)'이라는	'/SS+백운문/NNP+(/SS+白雲門/SH+)/SS+'/SS+이/VCP+라는/ETM
현판이	현판/NNG+이/JKS
달려	달리/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.432.7.1
서울시는 지난 3월부터 우이동의 환구단 정문을 중구 소공동 웨스틴조선호텔 뒤쪽으로 옮기는 공사를 벌여, 이달 초 완료했다.

서울시는	서울시/NNP+는/JX
지난	지나/VV+ㄴ/ETM
3월부터	3/SN+월/NNB+부터/JX
우이동의	우이동/NNP+의/JKG
환구단	환구단/NNP
정문을	정문/NNG+을/JKO
중구	중구/NNP
소공동	소공동/NNP
웨스틴조선호텔	웨스틴조선호텔/NNP
뒤쪽으로	뒤쪽/NNG+으로/JKB
옮기는	옮기/VV+는/ETM
공사를	공사/NNG+를/JKO
벌여,	벌이/VV+어/EC+,/SP
이달	이달/NNG
초	초/NNB
완료했다.	완료/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.432.7.2
서울광장에서 바로 마주 보이는 곳이다.

서울광장에서	서울광장/NNP+에서/JKB
바로	바로/MAG
마주	마주/MAG
보이는	보이/VV+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


